player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Anthony Davis,davisan01,2023,1,605.0,1.0,2022-10-18,,,GSW,"L, 109-123",*,,10.0,22.0,0.455,0.0,3.0,0.0,10.0,19.0,0.526,0.455,7.0,9.0,0.778,0.0,6.0,6.0,0.0,4.0,1.0,3.0,2.0,27.0,17.5,-21.0
Anthony Davis,davisan01,2023,2,606.0,2.0,2022-10-20,,,LAC,"L, 97-103",*,,9.0,16.0,0.563,2.0,4.0,0.5,7.0,12.0,0.583,0.625,5.0,7.0,0.714,2.0,6.0,8.0,0.0,2.0,0.0,2.0,2.0,25.0,19.0,5.0
Anthony Davis,davisan01,2023,3,607.0,3.0,2022-10-23,,,POR,"L, 104-106",*,,9.0,17.0,0.529,0.0,3.0,0.0,9.0,14.0,0.643,0.529,4.0,4.0,1.0,5.0,5.0,10.0,3.0,2.0,6.0,1.0,5.0,22.0,24.0,3.0
Anthony Davis,davisan01,2023,4,608.0,4.0,2022-10-26,,,DEN,"L, 99-110",*,,11.0,19.0,0.579,0.0,1.0,0.0,11.0,18.0,0.611,0.579,0.0,1.0,0.0,1.0,13.0,14.0,5.0,3.0,2.0,0.0,1.0,22.0,24.8,-22.0
Anthony Davis,davisan01,2023,5,609.0,6.0,2022-10-30,,,DEN,"W, 121-110",*,,10.0,18.0,0.556,0.0,0.0,,10.0,18.0,0.556,0.556,3.0,4.0,0.75,6.0,9.0,15.0,2.0,1.0,1.0,2.0,3.0,23.0,20.8,15.0
Anthony Davis,davisan01,2023,6,610.0,7.0,2022-11-02,,,NOP,"W, 120-117 (OT)",*,,8.0,17.0,0.471,0.0,0.0,,8.0,17.0,0.471,0.471,4.0,4.0,1.0,5.0,11.0,16.0,4.0,1.0,4.0,1.0,3.0,20.0,22.5,9.0
Anthony Davis,davisan01,2023,7,611.0,8.0,2022-11-04,,,UTA,"L, 116-130",*,,9.0,17.0,0.529,1.0,2.0,0.5,8.0,15.0,0.533,0.559,3.0,3.0,1.0,3.0,5.0,8.0,2.0,0.0,2.0,1.0,3.0,22.0,17.9,-8.0
Anthony Davis,davisan01,2023,8,612.0,9.0,2022-11-06,,,CLE,"L, 100-114",*,,7.0,12.0,0.583,0.0,0.0,,7.0,12.0,0.583,0.583,5.0,9.0,0.556,3.0,9.0,12.0,4.0,0.0,1.0,1.0,4.0,19.0,17.5,-7.0
Anthony Davis,davisan01,2023,9,613.0,10.0,2022-11-07,,,UTA,"L, 116-139",*,,11.0,18.0,0.611,1.0,1.0,1.0,10.0,17.0,0.588,0.639,6.0,7.0,0.857,1.0,3.0,4.0,2.0,1.0,1.0,2.0,2.0,29.0,22.3,-9.0
Anthony Davis,davisan01,2023,10,614.0,11.0,2022-11-09,,,LAC,"L, 101-114",*,,9.0,16.0,0.563,0.0,1.0,0.0,9.0,15.0,0.6,0.563,3.0,4.0,0.75,1.0,8.0,9.0,3.0,0.0,1.0,3.0,5.0,21.0,13.9,-10.0
Anthony Davis,davisan01,2023,11,615.0,12.0,2022-11-11,,,SAC,"L, 114-120",*,,8.0,17.0,0.471,0.0,1.0,0.0,8.0,16.0,0.5,0.471,8.0,11.0,0.727,6.0,8.0,14.0,3.0,2.0,3.0,2.0,2.0,24.0,24.1,-7.0
Anthony Davis,davisan01,2023,12,616.0,13.0,2022-11-13,,,BRK,"W, 116-103",*,,15.0,25.0,0.6,0.0,0.0,,15.0,25.0,0.6,0.6,7.0,7.0,1.0,10.0,8.0,18.0,2.0,0.0,0.0,1.0,5.0,37.0,33.3,15.0
Anthony Davis,davisan01,2023,13,617.0,14.0,2022-11-18,,,DET,"W, 128-121",*,,10.0,16.0,0.625,0.0,1.0,0.0,10.0,15.0,0.667,0.625,18.0,21.0,0.857,2.0,14.0,16.0,2.0,1.0,4.0,4.0,3.0,38.0,35.2,4.0
Anthony Davis,davisan01,2023,14,618.0,15.0,2022-11-20,,,SAS,"W, 123-92",*,,12.0,19.0,0.632,0.0,2.0,0.0,12.0,17.0,0.706,0.632,6.0,6.0,1.0,3.0,15.0,18.0,2.0,3.0,1.0,2.0,1.0,30.0,30.8,34.0
Anthony Davis,davisan01,2023,15,619.0,16.0,2022-11-22,,,PHO,"L, 105-115",*,,11.0,17.0,0.647,0.0,0.0,,11.0,17.0,0.647,0.647,15.0,16.0,0.938,3.0,18.0,21.0,2.0,5.0,5.0,6.0,2.0,37.0,39.7,-3.0
Anthony Davis,davisan01,2023,16,620.0,17.0,2022-11-25,,,SAS,"W, 105-94",*,,10.0,13.0,0.769,0.0,0.0,,10.0,13.0,0.769,0.769,5.0,7.0,0.714,4.0,11.0,15.0,4.0,1.0,3.0,3.0,4.0,25.0,26.5,16.0
Anthony Davis,davisan01,2023,17,621.0,19.0,2022-11-28,,,IND,"L, 115-116",*,,9.0,15.0,0.6,0.0,0.0,,9.0,15.0,0.6,0.6,7.0,10.0,0.7,3.0,10.0,13.0,6.0,0.0,4.0,2.0,4.0,25.0,25.4,-1.0
Anthony Davis,davisan01,2023,18,622.0,20.0,2022-11-30,,,POR,"W, 128-109",*,,9.0,17.0,0.529,1.0,2.0,0.5,8.0,15.0,0.533,0.559,8.0,9.0,0.889,5.0,7.0,12.0,1.0,1.0,3.0,2.0,3.0,27.0,24.5,8.0
Anthony Davis,davisan01,2023,19,623.0,21.0,2022-12-02,,,MIL,"W, 133-129",*,,18.0,27.0,0.667,2.0,3.0,0.667,16.0,24.0,0.667,0.704,6.0,7.0,0.857,2.0,8.0,10.0,4.0,0.0,3.0,0.0,2.0,44.0,39.8,5.0
Anthony Davis,davisan01,2023,20,624.0,22.0,2022-12-04,,,WAS,"W, 130-119",*,,22.0,30.0,0.733,2.0,3.0,0.667,20.0,27.0,0.741,0.767,9.0,9.0,1.0,3.0,14.0,17.0,1.0,0.0,3.0,2.0,1.0,55.0,49.5,17.0
Anthony Davis,davisan01,2023,21,625.0,23.0,2022-12-06,,,CLE,"L, 102-116",*,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,1.0,3.0,0.333,1.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,2.9,-6.0
Anthony Davis,davisan01,2023,22,626.0,25.0,2022-12-09,,,PHI,"L, 122-133 (OT)",*,,9.0,13.0,0.692,0.0,1.0,0.0,9.0,12.0,0.75,0.692,13.0,14.0,0.929,2.0,10.0,12.0,0.0,2.0,2.0,3.0,5.0,31.0,27.9,16.0
Anthony Davis,davisan01,2023,23,627.0,26.0,2022-12-11,,,DET,"W, 124-117",*,,12.0,18.0,0.667,0.0,1.0,0.0,12.0,17.0,0.706,0.667,10.0,12.0,0.833,3.0,12.0,15.0,7.0,2.0,1.0,1.0,3.0,34.0,36.5,7.0
Anthony Davis,davisan01,2023,24,628.0,27.0,2022-12-13,,,BOS,"L, 118-122 (OT)",*,,13.0,24.0,0.542,0.0,2.0,0.0,13.0,22.0,0.591,0.542,11.0,15.0,0.733,4.0,8.0,12.0,3.0,1.0,1.0,1.0,1.0,37.0,31.4,-8.0
Anthony Davis,davisan01,2023,25,629.0,28.0,2022-12-16,,,DEN,"W, 126-108",*,,4.0,6.0,0.667,0.0,0.0,,4.0,6.0,0.667,0.667,2.0,2.0,1.0,0.0,4.0,4.0,2.0,1.0,1.0,2.0,2.0,10.0,8.9,-4.0
Anthony Davis,davisan01,2023,26,630.0,49.0,2023-01-25,,,SAS,"W, 113-104",,,7.0,15.0,0.467,1.0,3.0,0.333,6.0,12.0,0.5,0.5,6.0,7.0,0.857,5.0,7.0,12.0,1.0,1.0,4.0,3.0,2.0,21.0,19.2,8.0
