player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Harrison Barnes,barneha02,2024,1,830.0,1.0,2023-10-25,,,UTA,"W, 130-114",*,,11,16,0.688,5,7,0.714,6,9,0.667,0.844,6,6,1.0,0,4,4,2,1,0,1,2,33,28.0,10
Harrison Barnes,barneha02,2024,2,831.0,2.0,2023-10-27,,,GSW,"L, 114-122",*,,4,5,0.8,1,2,0.5,3,3,1.0,0.9,1,4,0.25,1,3,4,1,1,0,0,1,10,9.8,-9
Harrison Barnes,barneha02,2024,3,832.0,3.0,2023-10-29,,,LAL,"W, 132-127 (OT)",*,,3,9,0.333,0,4,0.0,3,5,0.6,0.333,2,2,1.0,0,2,2,2,0,1,0,1,8,5.2,-4
Harrison Barnes,barneha02,2024,4,833.0,4.0,2023-11-01,,,GSW,"L, 101-102",*,,4,8,0.5,4,7,0.571,0,1,0.0,0.75,2,2,1.0,1,0,1,1,1,0,1,0,14,11.4,2
Harrison Barnes,barneha02,2024,5,834.0,5.0,2023-11-04,,,HOU,"L, 89-107",*,,3,7,0.429,3,4,0.75,0,3,0.0,0.643,4,5,0.8,0,3,3,0,0,0,0,0,13,9.8,-19
Harrison Barnes,barneha02,2024,6,835.0,6.0,2023-11-06,,,HOU,"L, 97-122",*,,1,6,0.167,0,4,0.0,1,2,0.5,0.167,1,2,0.5,0,0,0,1,0,0,0,0,3,-0.5,-21
Harrison Barnes,barneha02,2024,7,836.0,7.0,2023-11-08,,,POR,"W, 121-118 (OT)",*,,5,8,0.625,2,5,0.4,3,3,1.0,0.75,0,0,,1,4,5,0,1,0,1,3,12,9.1,-1
Harrison Barnes,barneha02,2024,8,837.0,8.0,2023-11-10,,,OKC,"W, 105-98",*,,1,8,0.125,0,4,0.0,1,4,0.25,0.125,2,2,1.0,2,2,4,1,0,0,1,1,4,0.1,7
Harrison Barnes,barneha02,2024,9,838.0,9.0,2023-11-13,,,CLE,"W, 132-120",*,,2,4,0.5,0,2,0.0,2,2,1.0,0.5,0,0,,2,3,5,3,0,0,1,0,4,5.4,8
Harrison Barnes,barneha02,2024,10,839.0,10.0,2023-11-15,,,LAL,"W, 125-110",*,,5,10,0.5,3,6,0.5,2,4,0.5,0.65,0,0,,0,1,1,2,4,0,2,3,13,10.5,16
Harrison Barnes,barneha02,2024,11,840.0,11.0,2023-11-17,,,SAS,"W, 129-120",*,,2,7,0.286,1,6,0.167,1,1,1.0,0.357,2,3,0.667,0,2,2,1,1,0,1,2,7,3.0,5
Harrison Barnes,barneha02,2024,12,841.0,12.0,2023-11-19,,,DAL,"W, 129-113",*,,4,11,0.364,1,7,0.143,3,4,0.75,0.409,3,3,1.0,2,2,4,6,1,0,3,1,12,9.7,17
Harrison Barnes,barneha02,2024,13,842.0,13.0,2023-11-20,,,NOP,"L, 93-129",*,,4,9,0.444,3,6,0.5,1,3,0.333,0.611,5,6,0.833,0,4,4,0,1,0,0,0,16,13.1,-23
Harrison Barnes,barneha02,2024,14,843.0,14.0,2023-11-22,,,NOP,"L, 112-117",*,,6,13,0.462,4,9,0.444,2,4,0.5,0.615,6,6,1.0,2,1,3,0,0,0,0,2,22,16.2,-6
Harrison Barnes,barneha02,2024,15,844.0,15.0,2023-11-24,,,MIN,"W, 124-111",*,,7,11,0.636,2,4,0.5,5,7,0.714,0.727,2,2,1.0,0,4,4,2,1,0,2,0,18,14.7,5
Harrison Barnes,barneha02,2024,16,845.0,16.0,2023-11-28,,,GSW,"W, 124-123",*,,5,8,0.625,2,5,0.4,3,3,1.0,0.75,0,0,,0,4,4,1,1,1,1,1,12,10.6,-10
Harrison Barnes,barneha02,2024,17,846.0,17.0,2023-11-29,,,LAC,"L, 117-131",*,,3,7,0.429,1,3,0.333,2,4,0.5,0.5,2,2,1.0,1,4,5,4,1,0,0,3,9,9.8,-9
Harrison Barnes,barneha02,2024,18,847.0,18.0,2023-12-02,,,DEN,"W, 123-117",*,,5,9,0.556,1,2,0.5,4,7,0.571,0.611,0,0,,2,1,3,0,0,0,0,1,11,8.0,11
Harrison Barnes,barneha02,2024,19,848.0,19.0,2023-12-04,,,NOP,"L, 117-127",*,,1,3,0.333,1,3,0.333,0,0,,0.5,1,2,0.5,1,3,4,1,1,1,2,0,4,3.9,-11
Harrison Barnes,barneha02,2024,20,849.0,20.0,2023-12-08,,,PHO,"W, 114-106",*,,3,11,0.273,1,4,0.25,2,7,0.286,0.318,2,3,0.667,4,4,8,2,1,0,0,0,9,8.5,8
Harrison Barnes,barneha02,2024,21,850.0,21.0,2023-12-11,,,BRK,"W, 131-118",*,,5,7,0.714,3,4,0.75,2,3,0.667,0.929,1,1,1.0,0,2,2,1,0,1,1,1,14,11.7,22
Harrison Barnes,barneha02,2024,22,851.0,22.0,2023-12-12,,,LAC,"L, 99-119",*,,1,3,0.333,0,2,0.0,1,1,1.0,0.333,0,0,,0,1,1,1,0,0,0,2,2,0.5,-13
Harrison Barnes,barneha02,2024,23,852.0,23.0,2023-12-14,,,OKC,"W, 128-123",*,,2,7,0.286,1,4,0.25,1,3,0.333,0.357,0,0,,2,1,3,2,0,0,2,1,5,1.6,-7
Harrison Barnes,barneha02,2024,24,853.0,24.0,2023-12-16,,,UTA,"W, 125-104",*,,6,11,0.545,3,5,0.6,3,6,0.5,0.682,1,1,1.0,2,2,4,2,1,0,0,1,16,14.7,5
Harrison Barnes,barneha02,2024,25,854.0,25.0,2023-12-18,,,WAS,"W, 143-131",*,,8,11,0.727,2,4,0.5,6,7,0.857,0.818,1,1,1.0,0,0,0,0,1,0,1,1,19,14.1,22
Harrison Barnes,barneha02,2024,26,855.0,26.0,2023-12-20,,,BOS,"L, 119-144",*,,3,5,0.6,2,2,1.0,1,3,0.333,0.8,2,4,0.5,1,3,4,3,0,0,0,1,10,10.2,-21
Harrison Barnes,barneha02,2024,27,856.0,27.0,2023-12-22,,,PHO,"W, 120-105",*,,5,10,0.5,4,8,0.5,1,2,0.5,0.7,5,6,0.833,0,1,1,0,2,1,0,2,19,15.8,16
Harrison Barnes,barneha02,2024,28,857.0,28.0,2023-12-23,,,MIN,"L, 98-110",*,,3,6,0.5,0,2,0.0,3,4,0.75,0.5,6,6,1.0,0,3,3,1,0,0,0,3,12,9.4,-12
Harrison Barnes,barneha02,2024,29,858.0,29.0,2023-12-26,,,POR,"L, 113-130",*,,3,8,0.375,0,3,0.0,3,5,0.6,0.375,3,3,1.0,2,3,5,1,1,0,2,2,9,5.8,-9
Harrison Barnes,barneha02,2024,30,859.0,30.0,2023-12-29,,,ATL,"W, 117-110",*,,0,2,0.0,0,2,0.0,0,0,,0.0,2,2,1.0,0,0,0,0,0,0,0,1,2,0.2,-4
Harrison Barnes,barneha02,2024,31,860.0,31.0,2023-12-31,,,MEM,"W, 123-92",*,,4,8,0.5,2,5,0.4,2,3,0.667,0.625,1,1,1.0,0,2,2,0,0,1,1,2,11,6.5,8
Harrison Barnes,barneha02,2024,32,861.0,32.0,2024-01-02,,,CHO,"L, 104-111",*,,1,2,0.5,1,2,0.5,0,0,,0.75,0,0,,0,1,1,1,2,0,1,2,3,3.2,1
Harrison Barnes,barneha02,2024,33,862.0,33.0,2024-01-03,,,ORL,"W, 138-135 (2OT)",*,,5,9,0.556,4,6,0.667,1,3,0.333,0.778,3,5,0.6,1,2,3,1,1,0,0,4,17,13.3,1
Harrison Barnes,barneha02,2024,34,863.0,34.0,2024-01-05,,,TOR,"W, 135-130",*,,5,12,0.417,5,8,0.625,0,4,0.0,0.625,1,2,0.5,3,1,4,2,0,0,1,3,16,10.8,2
Harrison Barnes,barneha02,2024,35,864.0,35.0,2024-01-07,,,NOP,"L, 100-133",*,,4,9,0.444,2,5,0.4,2,4,0.5,0.556,0,0,,1,0,1,0,1,0,0,1,10,6.6,-13
Harrison Barnes,barneha02,2024,36,865.0,36.0,2024-01-09,,,DET,"W, 131-110",*,,0,1,0.0,0,0,,0,1,0.0,0.0,0,2,0.0,0,1,1,1,0,0,0,0,0,-0.5,-9
