player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Tobias Harris,harrito02,2025,1,898.0,1.0,2024-10-23,,,IND,"L, 109-115",*,,6.0,13.0,0.462,1.0,6.0,0.167,5.0,7.0,0.714,0.5,0.0,0.0,,1.0,1.0,2.0,1.0,0.0,1.0,2.0,3.0,13.0,5.5,-11.0
Tobias Harris,harrito02,2025,2,899.0,2.0,2024-10-25,,,CLE,"L, 101-113",*,,3.0,9.0,0.333,2.0,3.0,0.667,1.0,6.0,0.167,0.444,2.0,2.0,1.0,0.0,5.0,5.0,4.0,1.0,1.0,1.0,1.0,10.0,9.5,-5.0
Tobias Harris,harrito02,2025,3,900.0,3.0,2024-10-26,,,BOS,"L, 118-124",*,,2.0,11.0,0.182,0.0,5.0,0.0,2.0,6.0,0.333,0.182,4.0,4.0,1.0,2.0,9.0,11.0,3.0,1.0,1.0,2.0,6.0,8.0,4.6,-12.0
Tobias Harris,harrito02,2025,4,901.0,4.0,2024-10-28,,,MIA,"L, 98-106",*,,4.0,11.0,0.364,0.0,3.0,0.0,4.0,8.0,0.5,0.364,1.0,1.0,1.0,2.0,8.0,10.0,1.0,1.0,1.0,2.0,2.0,9.0,6.3,7.0
Tobias Harris,harrito02,2025,5,902.0,5.0,2024-10-30,,,PHI,"W, 105-95",*,,8.0,18.0,0.444,0.0,3.0,0.0,8.0,15.0,0.533,0.444,2.0,2.0,1.0,0.0,14.0,14.0,1.0,0.0,1.0,1.0,5.0,18.0,11.2,5.0
Tobias Harris,harrito02,2025,6,903.0,6.0,2024-11-01,,,NYK,"L, 98-128",*,,5.0,8.0,0.625,1.0,2.0,0.5,4.0,6.0,0.667,0.688,2.0,2.0,1.0,0.0,8.0,8.0,3.0,1.0,3.0,3.0,1.0,13.0,13.6,-14.0
Tobias Harris,harrito02,2025,7,904.0,7.0,2024-11-03,,,BRK,"W, 106-92",*,,8.0,13.0,0.615,1.0,4.0,0.25,7.0,9.0,0.778,0.654,1.0,1.0,1.0,3.0,2.0,5.0,6.0,0.0,0.0,1.0,1.0,18.0,17.6,12.0
Tobias Harris,harrito02,2025,8,905.0,8.0,2024-11-04,,,LAL,"W, 115-103",*,,7.0,15.0,0.467,1.0,7.0,0.143,6.0,8.0,0.75,0.5,0.0,0.0,,0.0,7.0,7.0,1.0,1.0,1.0,2.0,5.0,15.0,7.8,17.0
Tobias Harris,harrito02,2025,9,906.0,9.0,2024-11-06,,,CHO,"L, 107-108",*,,7.0,12.0,0.583,0.0,3.0,0.0,7.0,9.0,0.778,0.583,0.0,1.0,0.0,0.0,7.0,7.0,3.0,1.0,1.0,1.0,5.0,14.0,10.9,-8.0
Tobias Harris,harrito02,2025,10,907.0,10.0,2024-11-08,,,ATL,"W, 122-121",*,,7.0,13.0,0.538,5.0,8.0,0.625,2.0,5.0,0.4,0.731,3.0,4.0,0.75,0.0,6.0,6.0,2.0,0.0,3.0,0.0,1.0,22.0,20.2,1.0
Tobias Harris,harrito02,2025,11,908.0,11.0,2024-11-10,,,HOU,"L, 99-101",*,,3.0,5.0,0.6,1.0,2.0,0.5,2.0,3.0,0.667,0.7,2.0,5.0,0.4,2.0,6.0,8.0,1.0,3.0,2.0,2.0,1.0,9.0,11.4,3.0
Tobias Harris,harrito02,2025,12,909.0,12.0,2024-11-12,,,MIA,"W, 123-121 (OT)",*,,7.0,15.0,0.467,2.0,4.0,0.5,5.0,11.0,0.455,0.533,2.0,2.0,1.0,2.0,5.0,7.0,4.0,1.0,0.0,2.0,0.0,18.0,15.0,4.0
Tobias Harris,harrito02,2025,13,910.0,13.0,2024-11-13,,,MIL,"L, 120-127 (OT)",*,,4.0,15.0,0.267,2.0,5.0,0.4,2.0,10.0,0.2,0.333,0.0,0.0,,0.0,8.0,8.0,5.0,1.0,2.0,0.0,2.0,10.0,8.6,1.0
Tobias Harris,harrito02,2025,14,911.0,14.0,2024-11-15,,,TOR,"W, 99-95",*,,5.0,13.0,0.385,1.0,4.0,0.25,4.0,9.0,0.444,0.423,0.0,0.0,,2.0,9.0,11.0,3.0,0.0,0.0,2.0,4.0,11.0,6.5,5.0
Tobias Harris,harrito02,2025,15,912.0,15.0,2024-11-17,,,WAS,"W, 124-104",*,,4.0,11.0,0.364,1.0,3.0,0.333,3.0,8.0,0.375,0.409,3.0,4.0,0.75,2.0,7.0,9.0,3.0,0.0,1.0,0.0,0.0,12.0,11.8,24.0
Tobias Harris,harrito02,2025,16,913.0,16.0,2024-11-18,,,CHI,"L, 112-122",*,,7.0,15.0,0.467,1.0,4.0,0.25,6.0,11.0,0.545,0.5,1.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,16.0,7.1,-21.0
Tobias Harris,harrito02,2025,17,914.0,17.0,2024-11-21,,,CHO,"L, 121-123 (OT)",*,,10.0,16.0,0.625,6.0,9.0,0.667,4.0,7.0,0.571,0.813,0.0,0.0,,3.0,5.0,8.0,2.0,1.0,0.0,2.0,2.0,26.0,22.0,-7.0
Tobias Harris,harrito02,2025,18,915.0,18.0,2024-11-23,,,ORL,"L, 100-111",*,,3.0,9.0,0.333,0.0,3.0,0.0,3.0,6.0,0.5,0.333,2.0,3.0,0.667,1.0,4.0,5.0,1.0,1.0,0.0,1.0,0.0,8.0,5.1,-19.0
Tobias Harris,harrito02,2025,19,916.0,19.0,2024-11-25,,,TOR,"W, 102-100",*,,3.0,10.0,0.3,1.0,4.0,0.25,2.0,6.0,0.333,0.35,5.0,6.0,0.833,0.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,12.0,9.1,10.0
Tobias Harris,harrito02,2025,20,917.0,21.0,2024-11-29,,,IND,"W, 130-106",*,,5.0,8.0,0.625,2.0,5.0,0.4,3.0,3.0,1.0,0.75,4.0,4.0,1.0,0.0,5.0,5.0,3.0,1.0,1.0,3.0,2.0,16.0,13.9,27.0
Tobias Harris,harrito02,2025,21,918.0,22.0,2024-11-30,,,PHI,"L, 96-111",*,,1.0,8.0,0.125,0.0,3.0,0.0,1.0,5.0,0.2,0.125,2.0,3.0,0.667,1.0,6.0,7.0,2.0,0.0,0.0,0.0,0.0,4.0,2.3,-22.0
Tobias Harris,harrito02,2025,22,919.0,23.0,2024-12-03,,,MIL,"L, 107-128",*,,5.0,10.0,0.5,2.0,5.0,0.4,3.0,5.0,0.6,0.6,4.0,4.0,1.0,2.0,3.0,5.0,3.0,3.0,1.0,1.0,2.0,16.0,17.3,-22.0
Tobias Harris,harrito02,2025,23,920.0,24.0,2024-12-04,,,BOS,"L, 120-130",*,,9.0,17.0,0.529,6.0,9.0,0.667,3.0,8.0,0.375,0.706,3.0,3.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,0.0,2.0,27.0,23.3,0.0
Tobias Harris,harrito02,2025,24,921.0,25.0,2024-12-07,,,NYK,"W, 120-111",*,,4.0,8.0,0.5,1.0,4.0,0.25,3.0,4.0,0.75,0.563,4.0,4.0,1.0,1.0,8.0,9.0,1.0,0.0,0.0,2.0,1.0,13.0,10.4,5.0
Tobias Harris,harrito02,2025,25,922.0,26.0,2024-12-12,,,BOS,"L, 99-123",*,,4.0,9.0,0.444,1.0,3.0,0.333,3.0,6.0,0.5,0.5,0.0,0.0,,1.0,7.0,8.0,3.0,0.0,0.0,0.0,0.0,9.0,9.2,-14.0
Tobias Harris,harrito02,2025,26,923.0,28.0,2024-12-19,,,UTA,"L, 119-126",*,,3.0,13.0,0.231,0.0,3.0,0.0,3.0,10.0,0.3,0.231,2.0,2.0,1.0,2.0,5.0,7.0,2.0,1.0,2.0,1.0,3.0,8.0,4.6,-17.0
Tobias Harris,harrito02,2025,27,924.0,29.0,2024-12-21,,,PHO,"W, 133-125",*,,3.0,5.0,0.6,1.0,2.0,0.5,2.0,3.0,0.667,0.7,3.0,4.0,0.75,0.0,3.0,3.0,2.0,0.0,1.0,1.0,2.0,10.0,8.5,11.0
Tobias Harris,harrito02,2025,28,925.0,30.0,2024-12-23,,,LAL,"W, 117-114",*,,3.0,10.0,0.3,0.0,3.0,0.0,3.0,7.0,0.429,0.3,0.0,0.0,,0.0,1.0,1.0,4.0,2.0,2.0,0.0,3.0,6.0,5.5,-10.0
Tobias Harris,harrito02,2025,29,926.0,31.0,2024-12-26,,,SAC,"W, 114-113",*,,1.0,7.0,0.143,0.0,2.0,0.0,1.0,5.0,0.2,0.143,2.0,2.0,1.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,2.0,4.0,1.0,3.0
Tobias Harris,harrito02,2025,30,927.0,32.0,2024-12-28,,,DEN,"L, 121-134",*,,2.0,6.0,0.333,1.0,4.0,0.25,1.0,2.0,0.5,0.417,2.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,7.0,4.5,-8.0
Tobias Harris,harrito02,2025,31,928.0,33.0,2025-01-01,,,ORL,"W, 105-96",*,,7.0,9.0,0.778,2.0,4.0,0.5,5.0,5.0,1.0,0.889,1.0,2.0,0.5,2.0,6.0,8.0,2.0,0.0,1.0,1.0,3.0,17.0,16.2,19.0
