player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Jordan Miller,millejo02,2025,1,9.0,6.0,2024-11-02,,,OKC,"L, 92-105",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-0.4,3.0
Jordan Miller,millejo02,2025,2,10.0,8.0,2024-11-06,,,PHI,"W, 110-98",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.7,-7.0
Jordan Miller,millejo02,2025,3,11.0,12.0,2024-11-13,,,HOU,"L, 103-111",,,3.0,8.0,0.375,1.0,3.0,0.333,2.0,5.0,0.4,0.438,1.0,1.0,1.0,2.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,8.0,4.6,2.0
Jordan Miller,millejo02,2025,4,12.0,13.0,2024-11-15,,,HOU,"L, 104-125",,,1.0,3.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,0.333,9.0,10.0,0.9,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,11.0,10.6,-1.0
Jordan Miller,millejo02,2025,5,13.0,16.0,2024-11-20,,,ORL,"W, 104-93",,,3.0,7.0,0.429,0.0,0.0,,3.0,7.0,0.429,0.429,2.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,0.0,0.0,2.0,8.0,7.5,3.0
Jordan Miller,millejo02,2025,6,14.0,17.0,2024-11-22,,,SAC,"W, 104-88",,,2.0,4.0,0.5,1.0,2.0,0.5,1.0,2.0,0.5,0.625,0.0,0.0,,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,5.0,4.0,3.0
Jordan Miller,millejo02,2025,7,15.0,18.0,2024-11-24,,,PHI,"W, 125-99",,,3.0,6.0,0.5,1.0,2.0,0.5,2.0,4.0,0.5,0.583,0.0,0.0,,1.0,3.0,4.0,3.0,1.0,1.0,2.0,4.0,7.0,5.8,-8.0
Jordan Miller,millejo02,2025,8,16.0,19.0,2024-11-25,,,BOS,"L, 94-126",,,4.0,10.0,0.4,0.0,1.0,0.0,4.0,9.0,0.444,0.4,2.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,10.0,3.9,-19.0
Jordan Miller,millejo02,2025,9,17.0,20.0,2024-11-27,,,WAS,"W, 121-96",,,7.0,10.0,0.7,1.0,3.0,0.333,6.0,7.0,0.857,0.75,0.0,2.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,3.0,1.0,15.0,9.0,3.0
Jordan Miller,millejo02,2025,10,18.0,21.0,2024-11-29,,,MIN,"L, 92-93",,,1.0,5.0,0.2,0.0,1.0,0.0,1.0,4.0,0.25,0.2,1.0,2.0,0.5,0.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,3.0,0.7,2.0
Jordan Miller,millejo02,2025,11,19.0,22.0,2024-12-01,,,DEN,"W, 126-122",,,4.0,6.0,0.667,0.0,2.0,0.0,4.0,4.0,1.0,0.667,0.0,0.0,,1.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,8.0,6.8,-6.0
Jordan Miller,millejo02,2025,12,20.0,23.0,2024-12-03,,,POR,"W, 127-105",,,6.0,9.0,0.667,1.0,1.0,1.0,5.0,8.0,0.625,0.722,1.0,1.0,1.0,2.0,2.0,4.0,3.0,0.0,1.0,1.0,1.0,14.0,13.5,2.0
Jordan Miller,millejo02,2025,13,21.0,24.0,2024-12-04,,,MIN,"L, 80-108",,,4.0,11.0,0.364,0.0,2.0,0.0,4.0,9.0,0.444,0.364,0.0,0.0,,3.0,1.0,4.0,1.0,0.0,0.0,0.0,3.0,8.0,3.8,-7.0
Jordan Miller,millejo02,2025,14,22.0,25.0,2024-12-08,,,HOU,"L, 106-117",,,5.0,12.0,0.417,2.0,4.0,0.5,3.0,8.0,0.375,0.5,0.0,0.0,,3.0,3.0,6.0,2.0,0.0,0.0,1.0,1.0,12.0,8.6,-2.0
Jordan Miller,millejo02,2025,15,23.0,26.0,2024-12-13,,,DEN,"L, 98-120",,,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,-1.4,-11.0
Jordan Miller,millejo02,2025,16,24.0,27.0,2024-12-16,,,UTA,"W, 144-107",,,1.0,6.0,0.167,0.0,4.0,0.0,1.0,2.0,0.5,0.167,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,-1.5,10.0
