player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Dalano Banton,bantoda01,2023,1,65.0,1.0,2022-10-19,,,CLE,"W, 108-105",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,2.6,0.0
Dalano Banton,bantoda01,2023,2,66.0,2.0,2022-10-21,,,BRK,"L, 105-109",,,2.0,4.0,0.5,0.0,1.0,0.0,2.0,3.0,0.667,0.5,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,1.6,-15.0
Dalano Banton,bantoda01,2023,3,67.0,3.0,2022-10-22,,,MIA,"L, 109-112",,,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,,0.75,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,2.3,-3.0
Dalano Banton,bantoda01,2023,4,68.0,4.0,2022-10-24,,,MIA,"W, 98-90",,,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.2,-5.0
Dalano Banton,bantoda01,2023,5,69.0,5.0,2022-10-26,,,PHI,"W, 119-109",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.7,-1.0
Dalano Banton,bantoda01,2023,6,70.0,6.0,2022-10-28,,,PHI,"L, 90-112",,,2.0,5.0,0.4,0.0,2.0,0.0,2.0,3.0,0.667,0.4,0.0,0.0,,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,4.0,2.3,-1.0
Dalano Banton,bantoda01,2023,7,71.0,7.0,2022-10-31,,,ATL,"W, 139-109",,,2.0,3.0,0.667,1.0,1.0,1.0,1.0,2.0,0.5,0.833,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,4.4,1.0
Dalano Banton,bantoda01,2023,8,72.0,8.0,2022-11-02,,,SAS,"W, 143-100",,,5.0,7.0,0.714,3.0,3.0,1.0,2.0,4.0,0.5,0.929,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,10.8,8.0
Dalano Banton,bantoda01,2023,9,73.0,9.0,2022-11-04,,,DAL,"L, 110-111",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,-1.4,-7.0
Dalano Banton,bantoda01,2023,10,74.0,11.0,2022-11-07,,,CHI,"L, 97-111",,,2.0,7.0,0.286,0.0,3.0,0.0,2.0,4.0,0.5,0.286,0.0,0.0,,0.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,4.0,3.6,-3.0
Dalano Banton,bantoda01,2023,11,75.0,12.0,2022-11-09,,,HOU,"W, 116-109",,,2.0,7.0,0.286,0.0,3.0,0.0,2.0,4.0,0.5,0.286,4.0,6.0,0.667,2.0,1.0,3.0,2.0,1.0,1.0,3.0,4.0,8.0,3.3,5.0
Dalano Banton,bantoda01,2023,12,76.0,13.0,2022-11-11,,,OKC,"L, 113-132",,,2.0,8.0,0.25,1.0,4.0,0.25,1.0,4.0,0.25,0.313,0.0,0.0,,1.0,0.0,1.0,4.0,1.0,0.0,1.0,0.0,5.0,3.7,-1.0
Dalano Banton,bantoda01,2023,13,77.0,14.0,2022-11-12,,,IND,"L, 104-118",,,5.0,8.0,0.625,2.0,3.0,0.667,3.0,5.0,0.6,0.75,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,14.0,11.4,4.0
Dalano Banton,bantoda01,2023,14,78.0,15.0,2022-11-14,,,DET,"W, 115-111",*,,9.0,16.0,0.563,3.0,7.0,0.429,6.0,9.0,0.667,0.656,6.0,6.0,1.0,0.0,4.0,4.0,4.0,3.0,2.0,2.0,4.0,27.0,24.2,0.0
Dalano Banton,bantoda01,2023,15,79.0,16.0,2022-11-16,,,MIA,"W, 112-104",*,,2.0,10.0,0.2,1.0,6.0,0.167,1.0,4.0,0.25,0.25,0.0,0.0,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,5.0,0.0,-14.0
Dalano Banton,bantoda01,2023,16,80.0,20.0,2022-11-28,,,CLE,"W, 100-88",,,1.0,4.0,0.25,0.0,1.0,0.0,1.0,3.0,0.333,0.25,0.0,0.0,,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.9,-2.0
Dalano Banton,bantoda01,2023,17,81.0,21.0,2022-11-30,,,NOP,"L, 108-126",,,3.0,6.0,0.5,1.0,3.0,0.333,2.0,3.0,0.667,0.583,0.0,0.0,,0.0,3.0,3.0,4.0,2.0,0.0,0.0,0.0,7.0,9.7,7.0
Dalano Banton,bantoda01,2023,18,82.0,23.0,2022-12-03,,,ORL,"W, 121-108",,,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,2.0,3.0,2.0,-1.3,-17.0
Dalano Banton,bantoda01,2023,19,83.0,25.0,2022-12-07,,,LAL,"W, 126-113",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.7,-2.0
Dalano Banton,bantoda01,2023,20,84.0,27.0,2022-12-11,,,ORL,"L, 99-111",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.3,-5.0
