player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Buddy Boeheim,boehebu01,2023,1,1.0,2.0,2022-10-21,,,NYK,"L, 106-130",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Buddy Boeheim,boehebu01,2023,2,2.0,64.0,2023-03-04,,,CLE,"L, 90-114",,,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,,0.5,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.6,5.0
Buddy Boeheim,boehebu01,2023,3,3.0,69.0,2023-03-13,,,IND,"W, 117-97",,,1.0,7.0,0.143,1.0,7.0,0.143,0.0,0.0,,0.214,0.0,0.0,,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,3.0,0.8,13.0
Buddy Boeheim,boehebu01,2023,4,4.0,70.0,2023-03-14,,,WAS,"L, 97-117",,,2.0,7.0,0.286,2.0,6.0,0.333,0.0,1.0,0.0,0.429,2.0,2.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,8.0,5.9,-1.0
Buddy Boeheim,boehebu01,2023,5,5.0,71.0,2023-03-16,,,DEN,"L, 100-119",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Buddy Boeheim,boehebu01,2023,6,6.0,72.0,2023-03-19,,,MIA,"L, 100-112",,,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.6,-8.0
Buddy Boeheim,boehebu01,2023,7,7.0,73.0,2023-03-21,,,ATL,"L, 107-129",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,5.0
Buddy Boeheim,boehebu01,2023,8,8.0,78.0,2023-04-02,,,ORL,"L, 102-128",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.6,-5.0
Buddy Boeheim,boehebu01,2023,9,9.0,81.0,2023-04-07,,,IND,"W, 122-115",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4,5.0
Buddy Boeheim,boehebu01,2023,10,10.0,82.0,2023-04-09,,,CHI,"L, 81-103",,,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.1,-14.0
