player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Bol Bol,bolbo01,2023,1,54.0,1.0,2022-10-19,,,DET,"L, 109-113",,,4.0,6.0,0.667,0.0,0.0,,4.0,6.0,0.667,0.667,2.0,2.0,1.0,2.0,4.0,6.0,0.0,0.0,1.0,2.0,0.0,10.0,8.7,-4.0
Bol Bol,bolbo01,2023,2,55.0,2.0,2022-10-21,,,ATL,"L, 98-108",,,2.0,3.0,0.667,0.0,0.0,,2.0,3.0,0.667,0.667,1.0,1.0,1.0,1.0,2.0,3.0,0.0,0.0,2.0,1.0,0.0,5.0,5.4,-4.0
Bol Bol,bolbo01,2023,3,56.0,3.0,2022-10-22,,,BOS,"L, 120-126",,,3.0,7.0,0.429,0.0,1.0,0.0,3.0,6.0,0.5,0.429,0.0,0.0,,0.0,5.0,5.0,0.0,0.0,4.0,0.0,2.0,6.0,5.8,9.0
Bol Bol,bolbo01,2023,4,57.0,4.0,2022-10-24,,,NYK,"L, 102-115",,,8.0,10.0,0.8,1.0,2.0,0.5,7.0,8.0,0.875,0.85,2.0,2.0,1.0,3.0,2.0,5.0,0.0,0.0,4.0,2.0,2.0,19.0,17.9,0.0
Bol Bol,bolbo01,2023,5,58.0,5.0,2022-10-26,,,CLE,"L, 92-103",,,4.0,7.0,0.571,1.0,2.0,0.5,3.0,5.0,0.6,0.643,0.0,2.0,0.0,3.0,7.0,10.0,1.0,0.0,2.0,0.0,2.0,9.0,10.4,-2.0
Bol Bol,bolbo01,2023,6,59.0,6.0,2022-10-28,,,CHO,"W, 113-93",*,,4.0,6.0,0.667,0.0,2.0,0.0,4.0,4.0,1.0,0.667,3.0,4.0,0.75,0.0,7.0,7.0,1.0,1.0,1.0,2.0,1.0,11.0,10.1,18.0
Bol Bol,bolbo01,2023,7,60.0,7.0,2022-10-30,,,DAL,"L, 105-114",*,,7.0,10.0,0.7,0.0,1.0,0.0,7.0,9.0,0.778,0.7,2.0,2.0,1.0,3.0,8.0,11.0,0.0,0.0,3.0,2.0,4.0,16.0,14.8,-5.0
Bol Bol,bolbo01,2023,8,61.0,8.0,2022-11-01,,,OKC,"L, 108-116",*,,4.0,6.0,0.667,1.0,1.0,1.0,3.0,5.0,0.6,0.75,4.0,4.0,1.0,3.0,9.0,12.0,1.0,0.0,4.0,6.0,2.0,13.0,11.9,-3.0
Bol Bol,bolbo01,2023,9,62.0,9.0,2022-11-03,,,GSW,"W, 130-129",*,,2.0,3.0,0.667,0.0,1.0,0.0,2.0,2.0,1.0,0.667,0.0,0.0,,1.0,5.0,6.0,1.0,0.0,2.0,0.0,1.0,4.0,6.6,-11.0
Bol Bol,bolbo01,2023,10,63.0,10.0,2022-11-05,,,SAC,"L, 123-126 (OT)",*,,10.0,11.0,0.909,2.0,3.0,0.667,8.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,7.0,2.0,0.0,0.0,0.0,5.0,23.0,21.2,10.0
