player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Oshae Brissett,brissos01,2023,1,108.0,1.0,2022-10-19,,,WAS,"L, 107-114",,,1.0,4.0,0.25,1.0,2.0,0.5,0.0,2.0,0.0,0.375,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,-0.8,-8.0
Oshae Brissett,brissos01,2023,2,109.0,4.0,2022-10-24,,,PHI,"L, 106-120",,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.1,-3.0
Oshae Brissett,brissos01,2023,3,110.0,7.0,2022-10-29,,,BRK,"W, 125-116",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0
Oshae Brissett,brissos01,2023,4,111.0,8.0,2022-10-31,,,BRK,"L, 109-116",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.1,-9.0
Oshae Brissett,brissos01,2023,5,112.0,9.0,2022-11-04,,,MIA,"W, 101-99",,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,1.0,2.0,0.5,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,2.6,6.0
Oshae Brissett,brissos01,2023,6,113.0,11.0,2022-11-09,,,DEN,"L, 119-122",,,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.3,21.0
Oshae Brissett,brissos01,2023,7,114.0,12.0,2022-11-12,,,TOR,"W, 118-104",,,3.0,6.0,0.5,0.0,3.0,0.0,3.0,3.0,1.0,0.5,2.0,2.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,8.0,4.3,3.0
Oshae Brissett,brissos01,2023,8,115.0,13.0,2022-11-16,,,CHO,"W, 125-113",,,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,,1.5,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,8.0,9.3,-1.0
Oshae Brissett,brissos01,2023,9,116.0,14.0,2022-11-18,,,HOU,"W, 99-91",,,5.0,7.0,0.714,4.0,6.0,0.667,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,14.0,10.5,5.0
Oshae Brissett,brissos01,2023,10,117.0,15.0,2022-11-19,,,ORL,"W, 114-113",,,2.0,7.0,0.286,1.0,3.0,0.333,1.0,4.0,0.25,0.357,0.0,0.0,,0.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,5.0,1.1,-6.0
Oshae Brissett,brissos01,2023,11,118.0,16.0,2022-11-21,,,ORL,"W, 123-102",,,5.0,9.0,0.556,4.0,7.0,0.571,1.0,2.0,0.5,0.778,4.0,5.0,0.8,1.0,2.0,3.0,1.0,2.0,0.0,0.0,1.0,18.0,16.9,19.0
Oshae Brissett,brissos01,2023,12,119.0,17.0,2022-11-23,,,MIN,"L, 101-115",,,2.0,7.0,0.286,1.0,5.0,0.2,1.0,2.0,0.5,0.357,0.0,2.0,0.0,1.0,3.0,4.0,0.0,2.0,0.0,0.0,2.0,5.0,2.9,0.0
Oshae Brissett,brissos01,2023,13,120.0,18.0,2022-11-25,,,BRK,"W, 128-117",,,1.0,3.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,0.333,0.0,0.0,,1.0,3.0,4.0,0.0,1.0,0.0,0.0,1.0,2.0,2.5,-8.0
Oshae Brissett,brissos01,2023,14,121.0,19.0,2022-11-27,,,LAC,"L, 100-114",,,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,,0.0,1.0,2.0,0.5,2.0,3.0,5.0,1.0,1.0,2.0,0.0,2.0,1.0,3.1,-6.0
Oshae Brissett,brissos01,2023,15,122.0,20.0,2022-11-28,,,LAL,"W, 116-115",,,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.1,-3.0
Oshae Brissett,brissos01,2023,16,123.0,21.0,2022-11-30,,,SAC,"L, 114-137",,,2.0,4.0,0.5,0.0,1.0,0.0,2.0,3.0,0.667,0.5,4.0,5.0,0.8,0.0,5.0,5.0,0.0,1.0,0.0,1.0,1.0,8.0,6.7,-6.0
Oshae Brissett,brissos01,2023,17,124.0,22.0,2022-12-02,,,UTA,"L, 119-139",,,2.0,4.0,0.5,0.0,0.0,,2.0,4.0,0.5,0.5,7.0,8.0,0.875,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,11.0,10.2,5.0
Oshae Brissett,brissos01,2023,18,125.0,23.0,2022-12-04,,,POR,"L, 100-116",,,2.0,3.0,0.667,1.0,2.0,0.5,1.0,1.0,1.0,0.833,0.0,0.0,,0.0,5.0,5.0,2.0,2.0,0.0,1.0,2.0,5.0,6.8,-4.0
Oshae Brissett,brissos01,2023,19,126.0,24.0,2022-12-05,,,GSW,"W, 112-104",,,5.0,9.0,0.556,3.0,6.0,0.5,2.0,3.0,0.667,0.722,1.0,2.0,0.5,2.0,6.0,8.0,2.0,1.0,1.0,1.0,2.0,14.0,13.8,7.0
Oshae Brissett,brissos01,2023,20,127.0,25.0,2022-12-07,,,MIN,"L, 115-121",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,2.0,4.0,0.5,0.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,2.7,-6.0
Oshae Brissett,brissos01,2023,21,128.0,26.0,2022-12-09,,,WAS,"W, 121-111",,,3.0,7.0,0.429,3.0,6.0,0.5,0.0,1.0,0.0,0.643,7.0,8.0,0.875,3.0,5.0,8.0,0.0,0.0,0.0,0.0,2.0,16.0,14.7,13.0
Oshae Brissett,brissos01,2023,22,129.0,27.0,2022-12-10,,,BRK,"L, 133-136",,,4.0,7.0,0.571,3.0,5.0,0.6,1.0,2.0,0.5,0.786,3.0,5.0,0.6,0.0,3.0,3.0,0.0,0.0,0.0,1.0,6.0,14.0,7.4,-1.0
Oshae Brissett,brissos01,2023,23,130.0,28.0,2022-12-12,,,MIA,"L, 82-87",,,0.0,5.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,-4.0,-10.0
Oshae Brissett,brissos01,2023,24,131.0,29.0,2022-12-14,,,GSW,"W, 125-119",,,4.0,8.0,0.5,0.0,2.0,0.0,4.0,6.0,0.667,0.5,3.0,4.0,0.75,0.0,2.0,2.0,0.0,3.0,1.0,1.0,2.0,11.0,9.1,15.0
Oshae Brissett,brissos01,2023,25,132.0,30.0,2022-12-16,,,CLE,"L, 112-118",,,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,,0.75,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,3.3,1.0
Oshae Brissett,brissos01,2023,26,133.0,31.0,2022-12-18,,,NYK,"L, 106-109",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2,-10.0
Oshae Brissett,brissos01,2023,27,134.0,32.0,2022-12-21,,,BOS,"W, 117-112",,,3.0,5.0,0.6,1.0,2.0,0.5,2.0,3.0,0.667,0.7,1.0,2.0,0.5,2.0,3.0,5.0,0.0,1.0,0.0,2.0,1.0,8.0,6.2,2.0
Oshae Brissett,brissos01,2023,28,135.0,33.0,2022-12-23,,,MIA,"W, 111-108",,,2.0,6.0,0.333,0.0,2.0,0.0,2.0,4.0,0.5,0.333,2.0,5.0,0.4,2.0,4.0,6.0,2.0,0.0,0.0,1.0,1.0,6.0,4.0,-14.0
Oshae Brissett,brissos01,2023,29,136.0,34.0,2022-12-26,,,NOP,"L, 93-113",,,1.0,4.0,0.25,0.0,2.0,0.0,1.0,2.0,0.5,0.25,0.0,2.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.7,-1.0
Oshae Brissett,brissos01,2023,30,137.0,35.0,2022-12-27,,,ATL,"W, 129-114",,,5.0,6.0,0.833,2.0,3.0,0.667,3.0,3.0,1.0,1.0,4.0,6.0,0.667,0.0,5.0,5.0,1.0,0.0,0.0,2.0,1.0,16.0,12.8,28.0
Oshae Brissett,brissos01,2023,31,138.0,36.0,2022-12-29,,,CLE,"W, 135-126",,,2.0,6.0,0.333,1.0,3.0,0.333,1.0,3.0,0.333,0.417,2.0,2.0,1.0,1.0,3.0,4.0,2.0,1.0,0.0,0.0,2.0,7.0,6.8,-3.0
Oshae Brissett,brissos01,2023,32,139.0,37.0,2022-12-31,,,LAC,"W, 131-130",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-3.0
Oshae Brissett,brissos01,2023,33,140.0,38.0,2023-01-02,,,TOR,"W, 122-114",,,2.0,8.0,0.25,1.0,2.0,0.5,1.0,6.0,0.167,0.313,0.0,0.0,,2.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,5.0,1.8,9.0
Oshae Brissett,brissos01,2023,34,141.0,39.0,2023-01-04,,,PHI,"L, 126-129 (OT)",,,1.0,3.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,0.333,1.0,3.0,0.333,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,1.5,-3.0
Oshae Brissett,brissos01,2023,35,142.0,40.0,2023-01-06,,,POR,"W, 108-99",,,2.0,4.0,0.5,1.0,1.0,1.0,1.0,3.0,0.333,0.625,0.0,0.0,,1.0,3.0,4.0,0.0,0.0,0.0,0.0,2.0,5.0,3.8,0.0
Oshae Brissett,brissos01,2023,36,143.0,41.0,2023-01-08,,,CHO,"W, 116-111",,,2.0,6.0,0.333,1.0,4.0,0.25,1.0,2.0,0.5,0.417,0.0,0.0,,3.0,7.0,10.0,0.0,1.0,0.0,2.0,2.0,5.0,4.0,-10.0
Oshae Brissett,brissos01,2023,37,144.0,43.0,2023-01-13,,,ATL,"L, 111-113",,,7.0,12.0,0.583,0.0,3.0,0.0,7.0,9.0,0.778,0.583,3.0,3.0,1.0,5.0,5.0,10.0,1.0,1.0,0.0,0.0,2.0,17.0,17.3,3.0
Oshae Brissett,brissos01,2023,38,145.0,44.0,2023-01-14,,,MEM,"L, 112-130",,,0.0,6.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,0.75,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,-1.7,-5.0
Oshae Brissett,brissos01,2023,39,146.0,45.0,2023-01-16,,,MIL,"L, 119-132",,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,0.0,0.0,,1.0,6.0,7.0,1.0,0.0,1.0,0.0,1.0,5.0,7.9,7.0
Oshae Brissett,brissos01,2023,40,147.0,46.0,2023-01-18,,,OKC,"L, 106-126",,,1.0,11.0,0.091,1.0,6.0,0.167,0.0,5.0,0.0,0.136,2.0,2.0,1.0,4.0,2.0,6.0,3.0,1.0,1.0,1.0,0.0,5.0,3.9,-3.0
Oshae Brissett,brissos01,2023,41,148.0,47.0,2023-01-20,,,DEN,"L, 111-134",*,,1.0,5.0,0.2,0.0,2.0,0.0,1.0,3.0,0.333,0.2,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.6,-2.0
Oshae Brissett,brissos01,2023,42,149.0,48.0,2023-01-21,,,PHO,"L, 107-112",,,1.0,4.0,0.25,1.0,3.0,0.333,0.0,1.0,0.0,0.375,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,5.0,4.9,-11.0
Oshae Brissett,brissos01,2023,43,150.0,50.0,2023-01-25,,,ORL,"L, 120-126",,,2.0,4.0,0.5,1.0,1.0,1.0,1.0,3.0,0.333,0.625,0.0,0.0,,0.0,3.0,3.0,1.0,0.0,0.0,0.0,3.0,5.0,3.4,12.0
