player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Jimmy Butler,butleji01,2023,1,691.0,1.0,2022-10-19,,,CHI,"L, 108-116",*,,5.0,11.0,0.455,0.0,0.0,,5.0,11.0,0.455,0.455,14.0,16.0,0.875,3.0,5.0,8.0,3.0,1.0,1.0,2.0,2.0,24.0,22.1,-12.0
Jimmy Butler,butleji01,2023,2,692.0,2.0,2022-10-21,,,BOS,"L, 104-111",*,,9.0,17.0,0.529,0.0,1.0,0.0,9.0,16.0,0.563,0.529,0.0,0.0,,3.0,4.0,7.0,5.0,1.0,0.0,0.0,0.0,18.0,17.5,7.0
Jimmy Butler,butleji01,2023,3,693.0,3.0,2022-10-22,,,TOR,"W, 112-109",*,,7.0,16.0,0.438,1.0,1.0,1.0,6.0,15.0,0.4,0.469,9.0,11.0,0.818,1.0,3.0,4.0,5.0,0.0,0.0,2.0,2.0,24.0,17.1,6.0
Jimmy Butler,butleji01,2023,4,694.0,4.0,2022-10-24,,,TOR,"L, 90-98",*,,8.0,15.0,0.533,2.0,3.0,0.667,6.0,12.0,0.5,0.6,8.0,9.0,0.889,2.0,6.0,8.0,4.0,0.0,0.0,1.0,1.0,26.0,22.9,-2.0
Jimmy Butler,butleji01,2023,5,695.0,5.0,2022-10-26,,,POR,"W, 119-98",*,,7.0,15.0,0.467,0.0,3.0,0.0,7.0,12.0,0.583,0.467,3.0,4.0,0.75,3.0,2.0,5.0,5.0,2.0,0.0,1.0,1.0,17.0,15.7,11.0
Jimmy Butler,butleji01,2023,6,696.0,6.0,2022-10-27,,,GSW,"L, 110-123",*,,8.0,13.0,0.615,4.0,7.0,0.571,4.0,6.0,0.667,0.769,7.0,7.0,1.0,1.0,5.0,6.0,8.0,6.0,0.0,2.0,2.0,27.0,32.1,-8.0
Jimmy Butler,butleji01,2023,7,697.0,7.0,2022-10-29,,,SAC,"L, 113-119",*,,4.0,11.0,0.364,0.0,1.0,0.0,4.0,10.0,0.4,0.364,5.0,7.0,0.714,1.0,6.0,7.0,6.0,2.0,0.0,2.0,0.0,13.0,12.8,-1.0
Jimmy Butler,butleji01,2023,8,698.0,8.0,2022-11-01,,,GSW,"W, 116-109",*,,6.0,17.0,0.353,2.0,7.0,0.286,4.0,10.0,0.4,0.412,9.0,9.0,1.0,3.0,3.0,6.0,8.0,0.0,1.0,3.0,1.0,23.0,19.4,2.0
Jimmy Butler,butleji01,2023,9,699.0,11.0,2022-11-07,,,POR,"L, 107-110",*,,5.0,14.0,0.357,0.0,1.0,0.0,5.0,13.0,0.385,0.357,6.0,6.0,1.0,0.0,4.0,4.0,7.0,6.0,0.0,2.0,3.0,16.0,17.1,-3.0
Jimmy Butler,butleji01,2023,10,700.0,12.0,2022-11-10,,,CHO,"W, 117-112 (OT)",*,,11.0,19.0,0.579,0.0,1.0,0.0,11.0,18.0,0.611,0.579,13.0,15.0,0.867,3.0,7.0,10.0,8.0,2.0,0.0,2.0,2.0,35.0,34.3,11.0
Jimmy Butler,butleji01,2023,11,701.0,13.0,2022-11-12,,,CHO,"W, 132-115",*,,6.0,8.0,0.75,1.0,2.0,0.5,5.0,6.0,0.833,0.813,7.0,7.0,1.0,2.0,5.0,7.0,8.0,1.0,0.0,0.0,2.0,20.0,25.5,13.0
Jimmy Butler,butleji01,2023,12,702.0,14.0,2022-11-14,,,PHO,"W, 113-112",*,,5.0,12.0,0.417,1.0,2.0,0.5,4.0,10.0,0.4,0.458,5.0,5.0,1.0,4.0,9.0,13.0,7.0,1.0,1.0,0.0,3.0,16.0,20.5,3.0
Jimmy Butler,butleji01,2023,13,703.0,15.0,2022-11-16,,,TOR,"L, 104-112",*,,4.0,8.0,0.5,0.0,2.0,0.0,4.0,6.0,0.667,0.5,5.0,5.0,1.0,0.0,1.0,1.0,5.0,1.0,0.0,5.0,2.0,13.0,8.0,-4.0
Jimmy Butler,butleji01,2023,14,704.0,23.0,2022-12-02,,,BOS,"W, 120-116 (OT)",*,,12.0,21.0,0.571,0.0,1.0,0.0,12.0,20.0,0.6,0.571,1.0,3.0,0.333,6.0,9.0,15.0,3.0,1.0,1.0,3.0,2.0,25.0,21.2,-10.0
Jimmy Butler,butleji01,2023,15,705.0,24.0,2022-12-05,,,MEM,"L, 93-101",*,,6.0,11.0,0.545,1.0,2.0,0.5,5.0,9.0,0.556,0.591,5.0,8.0,0.625,1.0,5.0,6.0,8.0,1.0,0.0,5.0,1.0,18.0,14.9,3.0
Jimmy Butler,butleji01,2023,16,706.0,26.0,2022-12-08,,,LAC,"W, 115-110",*,,10.0,12.0,0.833,2.0,2.0,1.0,8.0,10.0,0.8,0.917,4.0,5.0,0.8,1.0,4.0,5.0,8.0,4.0,0.0,1.0,0.0,26.0,31.7,-7.0
Jimmy Butler,butleji01,2023,17,707.0,27.0,2022-12-10,,,SAS,"L, 111-115",*,,11.0,16.0,0.688,0.0,1.0,0.0,11.0,15.0,0.733,0.688,8.0,10.0,0.8,1.0,1.0,2.0,4.0,0.0,0.0,2.0,0.0,30.0,24.2,8.0
Jimmy Butler,butleji01,2023,18,708.0,28.0,2022-12-12,,,IND,"W, 87-82",*,,8.0,16.0,0.5,0.0,1.0,0.0,8.0,15.0,0.533,0.5,4.0,7.0,0.571,0.0,7.0,7.0,5.0,2.0,0.0,1.0,3.0,20.0,16.2,-1.0
Jimmy Butler,butleji01,2023,19,709.0,30.0,2022-12-15,,,HOU,"W, 111-108",*,,7.0,13.0,0.538,0.0,1.0,0.0,7.0,12.0,0.583,0.538,6.0,10.0,0.6,6.0,4.0,10.0,7.0,4.0,3.0,4.0,3.0,20.0,23.3,-7.0
Jimmy Butler,butleji01,2023,20,710.0,31.0,2022-12-17,,,SAS,"W, 111-101",*,,9.0,15.0,0.6,1.0,2.0,0.5,8.0,13.0,0.615,0.633,7.0,10.0,0.7,1.0,4.0,5.0,4.0,2.0,1.0,0.0,2.0,26.0,24.5,12.0
Jimmy Butler,butleji01,2023,21,711.0,33.0,2022-12-23,,,IND,"L, 108-111",*,,6.0,11.0,0.545,1.0,2.0,0.5,5.0,9.0,0.556,0.591,7.0,8.0,0.875,2.0,4.0,6.0,3.0,2.0,0.0,1.0,1.0,20.0,19.6,-3.0
Jimmy Butler,butleji01,2023,22,712.0,35.0,2022-12-28,,,LAL,"W, 112-98",*,,11.0,18.0,0.611,0.0,4.0,0.0,11.0,14.0,0.786,0.611,5.0,5.0,1.0,1.0,4.0,5.0,4.0,6.0,0.0,0.0,0.0,27.0,29.5,-1.0
Jimmy Butler,butleji01,2023,23,713.0,36.0,2022-12-30,,,DEN,"L, 119-124",*,,5.0,13.0,0.385,0.0,0.0,,5.0,13.0,0.385,0.385,7.0,8.0,0.875,1.0,5.0,6.0,8.0,4.0,0.0,1.0,1.0,17.0,19.9,-1.0
Jimmy Butler,butleji01,2023,24,714.0,38.0,2023-01-02,,,LAC,"W, 110-100",*,,2.0,8.0,0.25,0.0,2.0,0.0,2.0,6.0,0.333,0.25,5.0,8.0,0.625,1.0,1.0,2.0,6.0,2.0,0.0,1.0,0.0,9.0,9.2,-2.0
Jimmy Butler,butleji01,2023,25,715.0,39.0,2023-01-04,,,LAL,"L, 109-112",*,,11.0,22.0,0.5,2.0,5.0,0.4,9.0,17.0,0.529,0.545,3.0,4.0,0.75,3.0,1.0,4.0,4.0,3.0,0.0,2.0,0.0,27.0,21.8,-1.0
Jimmy Butler,butleji01,2023,26,716.0,40.0,2023-01-06,,,PHO,"W, 104-96",*,,5.0,9.0,0.556,0.0,0.0,,5.0,9.0,0.556,0.556,10.0,10.0,1.0,0.0,5.0,5.0,6.0,2.0,0.0,2.0,1.0,20.0,21.0,5.0
Jimmy Butler,butleji01,2023,27,717.0,41.0,2023-01-08,,,BRK,"L, 101-102",*,,9.0,21.0,0.429,1.0,4.0,0.25,8.0,17.0,0.471,0.452,7.0,9.0,0.778,6.0,2.0,8.0,1.0,2.0,0.0,2.0,1.0,26.0,19.2,-3.0
