player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
John Collins,collijo01,2023,1,294.0,1.0,2022-10-19,,,HOU,"W, 117-107",*,,9.0,12.0,0.75,2.0,2.0,1.0,7.0,10.0,0.7,0.833,4.0,4.0,1.0,0.0,8.0,8.0,1.0,1.0,0.0,2.0,3.0,24.0,20.1,11.0
John Collins,collijo01,2023,2,295.0,2.0,2022-10-21,,,ORL,"W, 108-98",*,,9.0,14.0,0.643,3.0,4.0,0.75,6.0,10.0,0.6,0.75,2.0,2.0,1.0,3.0,10.0,13.0,0.0,3.0,1.0,2.0,4.0,23.0,22.0,26.0
John Collins,collijo01,2023,3,296.0,3.0,2022-10-23,,,CHO,"L, 109-126",*,,3.0,12.0,0.25,0.0,7.0,0.0,3.0,5.0,0.6,0.25,4.0,4.0,1.0,2.0,8.0,10.0,1.0,1.0,4.0,1.0,2.0,10.0,9.3,-11.0
John Collins,collijo01,2023,4,297.0,4.0,2022-10-26,,,DET,"W, 118-113",*,,9.0,14.0,0.643,0.0,1.0,0.0,9.0,13.0,0.692,0.643,1.0,1.0,1.0,1.0,10.0,11.0,0.0,1.0,4.0,4.0,4.0,19.0,14.7,5.0
John Collins,collijo01,2023,5,298.0,5.0,2022-10-28,,,DET,"W, 136-112",*,,2.0,4.0,0.5,0.0,1.0,0.0,2.0,3.0,0.667,0.5,0.0,0.0,,0.0,10.0,10.0,1.0,1.0,3.0,2.0,3.0,4.0,5.6,9.0
John Collins,collijo01,2023,6,299.0,6.0,2022-10-29,,,MIL,"L, 115-123",*,,2.0,4.0,0.5,0.0,2.0,0.0,2.0,2.0,1.0,0.5,0.0,2.0,0.0,2.0,3.0,5.0,2.0,0.0,0.0,2.0,3.0,4.0,1.7,-5.0
John Collins,collijo01,2023,7,300.0,7.0,2022-10-31,,,TOR,"L, 109-139",*,,5.0,12.0,0.417,1.0,6.0,0.167,4.0,6.0,0.667,0.458,1.0,1.0,1.0,3.0,9.0,12.0,1.0,0.0,0.0,0.0,6.0,12.0,8.7,-24.0
John Collins,collijo01,2023,8,301.0,8.0,2022-11-02,,,NYK,"W, 112-99",*,,4.0,10.0,0.4,0.0,2.0,0.0,4.0,8.0,0.5,0.4,4.0,4.0,1.0,5.0,8.0,13.0,2.0,1.0,1.0,2.0,3.0,12.0,12.4,14.0
John Collins,collijo01,2023,9,302.0,9.0,2022-11-05,,,NOP,"W, 124-121 (OT)",*,,3.0,6.0,0.5,1.0,2.0,0.5,2.0,4.0,0.5,0.583,0.0,0.0,,1.0,4.0,5.0,1.0,0.0,2.0,0.0,4.0,7.0,6.4,-2.0
John Collins,collijo01,2023,10,303.0,10.0,2022-11-07,,,MIL,"W, 117-98",*,,5.0,10.0,0.5,1.0,2.0,0.5,4.0,8.0,0.5,0.55,3.0,3.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,14.0,8.9,6.0
