player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Pat Connaughton,connapa01,2023,1,418.0,16.0,2022-11-21,,,POR,"W, 119-111",,,2.0,5.0,0.4,1.0,4.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0,7.0,7.2,3.0
Pat Connaughton,connapa01,2023,2,419.0,17.0,2022-11-23,,,CHI,"L, 113-118",,,1.0,6.0,0.167,1.0,5.0,0.2,0.0,1.0,0.0,0.25,0.0,0.0,,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,3.0,1.8,1.0
Pat Connaughton,connapa01,2023,3,420.0,19.0,2022-11-27,,,DAL,"W, 124-115",,,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,,0.5,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.6,-9.0
Pat Connaughton,connapa01,2023,4,421.0,20.0,2022-11-30,,,NYK,"W, 109-103",,,4.0,13.0,0.308,2.0,8.0,0.25,2.0,5.0,0.4,0.385,0.0,0.0,,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,10.0,4.1,20.0
Pat Connaughton,connapa01,2023,5,422.0,21.0,2022-12-02,,,LAL,"L, 129-133",,,3.0,10.0,0.3,2.0,7.0,0.286,1.0,3.0,0.333,0.4,0.0,0.0,,1.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,8.0,4.2,-13.0
Pat Connaughton,connapa01,2023,6,423.0,22.0,2022-12-03,,,CHO,"W, 105-96",,,3.0,7.0,0.429,1.0,4.0,0.25,2.0,3.0,0.667,0.5,2.0,2.0,1.0,1.0,4.0,5.0,0.0,1.0,0.0,1.0,2.0,9.0,6.4,10.0
Pat Connaughton,connapa01,2023,7,424.0,23.0,2022-12-05,,,ORL,"W, 109-102",,,2.0,9.0,0.222,2.0,8.0,0.25,0.0,1.0,0.0,0.333,1.0,2.0,0.5,0.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,7.0,3.3,11.0
Pat Connaughton,connapa01,2023,8,425.0,24.0,2022-12-07,,,SAC,"W, 126-113",,,2.0,7.0,0.286,2.0,6.0,0.333,0.0,1.0,0.0,0.429,0.0,1.0,0.0,2.0,4.0,6.0,0.0,0.0,1.0,0.0,2.0,6.0,4.0,9.0
Pat Connaughton,connapa01,2023,9,426.0,25.0,2022-12-09,,,DAL,"W, 106-105",,,3.0,9.0,0.333,2.0,7.0,0.286,1.0,2.0,0.5,0.444,0.0,0.0,,3.0,4.0,7.0,2.0,0.0,0.0,0.0,4.0,8.0,6.0,9.0
Pat Connaughton,connapa01,2023,10,427.0,26.0,2022-12-11,,,HOU,"L, 92-97",,,3.0,10.0,0.3,1.0,6.0,0.167,2.0,4.0,0.5,0.35,0.0,0.0,,1.0,2.0,3.0,1.0,1.0,0.0,1.0,0.0,7.0,3.2,4.0
Pat Connaughton,connapa01,2023,11,428.0,27.0,2022-12-13,,,GSW,"W, 128-111",,,2.0,4.0,0.5,1.0,3.0,0.333,1.0,1.0,1.0,0.625,4.0,4.0,1.0,0.0,3.0,3.0,1.0,2.0,1.0,4.0,2.0,9.0,6.5,5.0
Pat Connaughton,connapa01,2023,12,429.0,28.0,2022-12-15,,,MEM,"L, 101-142",,,1.0,5.0,0.2,1.0,5.0,0.2,0.0,0.0,,0.3,0.0,0.0,,0.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,3.0,0.1,-13.0
Pat Connaughton,connapa01,2023,13,430.0,29.0,2022-12-17,,,UTA,"W, 123-97",,,3.0,6.0,0.5,2.0,3.0,0.667,1.0,3.0,0.333,0.667,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,5.7,1.0
Pat Connaughton,connapa01,2023,14,431.0,30.0,2022-12-19,,,NOP,"W, 128-119",,,4.0,7.0,0.571,2.0,5.0,0.4,2.0,2.0,1.0,0.714,1.0,2.0,0.5,0.0,4.0,4.0,1.0,0.0,1.0,0.0,3.0,11.0,8.7,9.0
Pat Connaughton,connapa01,2023,15,432.0,31.0,2022-12-21,,,CLE,"L, 106-114",,,2.0,5.0,0.4,2.0,3.0,0.667,0.0,2.0,0.0,0.6,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,0.0,4.0,6.0,3.0,0.0
Pat Connaughton,connapa01,2023,16,433.0,32.0,2022-12-23,,,BRK,"L, 100-118",,,2.0,6.0,0.333,2.0,5.0,0.4,0.0,1.0,0.0,0.5,0.0,0.0,,0.0,3.0,3.0,1.0,0.0,0.0,0.0,2.0,6.0,3.4,-6.0
Pat Connaughton,connapa01,2023,17,434.0,33.0,2022-12-25,,,BOS,"L, 118-139",*,,5.0,9.0,0.556,4.0,7.0,0.571,1.0,2.0,0.5,0.778,1.0,2.0,0.5,0.0,4.0,4.0,3.0,1.0,0.0,0.0,1.0,15.0,14.2,-6.0
Pat Connaughton,connapa01,2023,18,435.0,34.0,2022-12-28,,,CHI,"L, 113-119 (OT)",*,,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,1.0,6.0,7.0,2.0,0.0,0.0,2.0,1.0,0.0,-1.4,-6.0
Pat Connaughton,connapa01,2023,19,436.0,35.0,2022-12-30,,,MIN,"W, 123-114",*,,1.0,7.0,0.143,0.0,6.0,0.0,1.0,1.0,1.0,0.143,0.0,0.0,,0.0,4.0,4.0,1.0,1.0,0.0,1.0,1.0,2.0,-1.0,0.0
Pat Connaughton,connapa01,2023,20,437.0,36.0,2023-01-01,,,WAS,"L, 95-118",*,,4.0,9.0,0.444,2.0,6.0,0.333,2.0,3.0,0.667,0.556,0.0,0.0,,0.0,3.0,3.0,0.0,2.0,0.0,1.0,1.0,10.0,6.8,-6.0
Pat Connaughton,connapa01,2023,21,438.0,37.0,2023-01-03,,,WAS,"W, 123-113",*,,4.0,10.0,0.4,3.0,9.0,0.333,1.0,1.0,1.0,0.55,0.0,0.0,,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,11.0,7.6,3.0
Pat Connaughton,connapa01,2023,22,439.0,38.0,2023-01-04,,,TOR,"W, 104-101 (OT)",*,,5.0,12.0,0.417,5.0,11.0,0.455,0.0,1.0,0.0,0.625,0.0,0.0,,2.0,4.0,6.0,1.0,0.0,0.0,0.0,0.0,15.0,11.9,6.0
Pat Connaughton,connapa01,2023,23,440.0,39.0,2023-01-06,,,CHO,"L, 109-138",*,,2.0,5.0,0.4,1.0,3.0,0.333,1.0,2.0,0.5,0.5,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,5.0,1.9,-21.0
Pat Connaughton,connapa01,2023,24,441.0,40.0,2023-01-09,,,NYK,"W, 111-107",*,,4.0,8.0,0.5,3.0,7.0,0.429,1.0,1.0,1.0,0.688,0.0,0.0,,1.0,10.0,11.0,4.0,0.0,0.0,1.0,0.0,11.0,12.5,1.0
Pat Connaughton,connapa01,2023,25,442.0,41.0,2023-01-11,,,ATL,"W, 114-105",*,,4.0,12.0,0.333,2.0,10.0,0.2,2.0,2.0,1.0,0.417,0.0,0.0,,4.0,3.0,7.0,0.0,1.0,0.0,1.0,1.0,10.0,6.5,8.0
Pat Connaughton,connapa01,2023,26,443.0,42.0,2023-01-12,,,MIA,"L, 102-108",*,,3.0,10.0,0.3,2.0,8.0,0.25,1.0,2.0,0.5,0.4,1.0,3.0,0.333,0.0,4.0,4.0,1.0,1.0,0.0,1.0,1.0,9.0,3.9,-14.0
Pat Connaughton,connapa01,2023,27,444.0,43.0,2023-01-14,,,MIA,"L, 95-111",*,,5.0,12.0,0.417,4.0,10.0,0.4,1.0,2.0,0.5,0.583,0.0,0.0,,0.0,8.0,8.0,1.0,1.0,0.0,0.0,2.0,14.0,10.9,-10.0
