player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Stephen Curry,curryst01,2023,1,827.0,1.0,2022-10-18,,,LAL,"W, 123-109",*,,10.0,22.0,0.455,4.0,13.0,0.308,6.0,9.0,0.667,0.545,9.0,9.0,1.0,1.0,5.0,6.0,7.0,4.0,1.0,4.0,1.0,33.0,29.0,20.0
Stephen Curry,curryst01,2023,2,828.0,2.0,2022-10-21,,,DEN,"L, 123-128",*,,10.0,22.0,0.455,5.0,11.0,0.455,5.0,11.0,0.455,0.568,9.0,9.0,1.0,1.0,4.0,5.0,4.0,0.0,0.0,3.0,2.0,34.0,23.5,9.0
Stephen Curry,curryst01,2023,3,829.0,3.0,2022-10-23,,,SAC,"W, 130-125",*,,11.0,22.0,0.5,7.0,12.0,0.583,4.0,10.0,0.4,0.659,4.0,4.0,1.0,0.0,5.0,5.0,2.0,1.0,0.0,2.0,3.0,33.0,22.7,19.0
Stephen Curry,curryst01,2023,4,830.0,4.0,2022-10-25,,,PHO,"L, 105-134",*,,7.0,17.0,0.412,4.0,9.0,0.444,3.0,8.0,0.375,0.529,3.0,5.0,0.6,0.0,7.0,7.0,8.0,1.0,0.0,1.0,1.0,21.0,18.4,-17.0
Stephen Curry,curryst01,2023,5,831.0,5.0,2022-10-27,,,MIA,"W, 123-110",*,,13.0,22.0,0.591,7.0,14.0,0.5,6.0,8.0,0.75,0.75,0.0,0.0,,1.0,6.0,7.0,9.0,1.0,0.0,3.0,0.0,33.0,29.6,13.0
Stephen Curry,curryst01,2023,6,832.0,6.0,2022-10-29,,,CHO,"L, 113-120 (OT)",*,,10.0,22.0,0.455,3.0,13.0,0.231,7.0,9.0,0.778,0.523,8.0,8.0,1.0,0.0,11.0,11.0,6.0,1.0,0.0,2.0,5.0,31.0,24.1,-6.0
Stephen Curry,curryst01,2023,7,833.0,7.0,2022-10-30,,,DET,"L, 114-128",*,,10.0,24.0,0.417,4.0,14.0,0.286,6.0,10.0,0.6,0.5,8.0,9.0,0.889,0.0,6.0,6.0,3.0,2.0,0.0,1.0,1.0,32.0,23.3,-12.0
Stephen Curry,curryst01,2023,8,834.0,8.0,2022-11-01,,,MIA,"L, 109-116",*,,7.0,14.0,0.5,4.0,10.0,0.4,3.0,4.0,0.75,0.643,5.0,5.0,1.0,4.0,9.0,13.0,13.0,1.0,0.0,5.0,3.0,23.0,25.4,3.0
Stephen Curry,curryst01,2023,9,835.0,9.0,2022-11-03,,,ORL,"L, 129-130",*,,13.0,22.0,0.591,8.0,15.0,0.533,5.0,7.0,0.714,0.773,5.0,5.0,1.0,1.0,2.0,3.0,9.0,0.0,0.0,5.0,3.0,39.0,30.2,4.0
Stephen Curry,curryst01,2023,10,836.0,11.0,2022-11-07,,,SAC,"W, 116-113",*,,17.0,24.0,0.708,7.0,12.0,0.583,10.0,12.0,0.833,0.854,6.0,7.0,0.857,0.0,8.0,8.0,8.0,0.0,0.0,0.0,2.0,47.0,43.8,20.0
Stephen Curry,curryst01,2023,11,837.0,12.0,2022-11-11,,,CLE,"W, 106-101",*,,15.0,23.0,0.652,6.0,11.0,0.545,9.0,12.0,0.75,0.783,4.0,6.0,0.667,0.0,4.0,4.0,5.0,1.0,0.0,2.0,4.0,40.0,31.2,7.0
Stephen Curry,curryst01,2023,12,838.0,13.0,2022-11-13,,,SAC,"L, 115-122",*,,9.0,17.0,0.529,3.0,9.0,0.333,6.0,8.0,0.75,0.618,6.0,6.0,1.0,0.0,6.0,6.0,4.0,1.0,0.0,4.0,0.0,27.0,20.3,0.0
Stephen Curry,curryst01,2023,13,839.0,14.0,2022-11-14,,,SAS,"W, 132-95",*,,5.0,11.0,0.455,3.0,7.0,0.429,2.0,4.0,0.5,0.591,3.0,3.0,1.0,1.0,4.0,5.0,5.0,1.0,0.0,1.0,1.0,16.0,15.3,17.0
Stephen Curry,curryst01,2023,14,840.0,15.0,2022-11-16,,,PHO,"L, 119-130",*,,17.0,28.0,0.607,7.0,11.0,0.636,10.0,17.0,0.588,0.732,9.0,9.0,1.0,0.0,9.0,9.0,6.0,0.0,1.0,3.0,2.0,50.0,41.0,-14.0
Stephen Curry,curryst01,2023,15,841.0,16.0,2022-11-18,,,NYK,"W, 111-101",*,,9.0,19.0,0.474,5.0,13.0,0.385,4.0,6.0,0.667,0.605,1.0,3.0,0.333,0.0,6.0,6.0,10.0,2.0,0.0,5.0,2.0,24.0,18.5,18.0
Stephen Curry,curryst01,2023,16,842.0,17.0,2022-11-20,,,HOU,"W, 127-120",*,,11.0,20.0,0.55,7.0,14.0,0.5,4.0,6.0,0.667,0.725,4.0,5.0,0.8,0.0,6.0,6.0,15.0,3.0,2.0,1.0,3.0,33.0,37.5,22.0
Stephen Curry,curryst01,2023,17,843.0,19.0,2022-11-23,,,LAC,"W, 124-107",*,,9.0,20.0,0.45,4.0,10.0,0.4,5.0,10.0,0.5,0.55,0.0,0.0,,1.0,5.0,6.0,9.0,0.0,0.0,1.0,0.0,22.0,19.1,18.0
Stephen Curry,curryst01,2023,18,844.0,20.0,2022-11-25,,,UTA,"W, 129-118",*,,13.0,23.0,0.565,6.0,13.0,0.462,7.0,10.0,0.7,0.696,1.0,1.0,1.0,0.0,5.0,5.0,4.0,2.0,0.0,5.0,4.0,33.0,21.8,19.0
Stephen Curry,curryst01,2023,19,845.0,21.0,2022-11-27,,,MIN,"W, 137-114",*,,7.0,17.0,0.412,4.0,11.0,0.364,3.0,6.0,0.5,0.529,7.0,7.0,1.0,1.0,10.0,11.0,8.0,1.0,0.0,7.0,1.0,25.0,18.8,22.0
Stephen Curry,curryst01,2023,20,846.0,22.0,2022-11-29,,,DAL,"L, 113-116",*,,11.0,24.0,0.458,5.0,14.0,0.357,6.0,10.0,0.6,0.563,5.0,6.0,0.833,1.0,4.0,5.0,5.0,0.0,0.0,4.0,4.0,32.0,19.0,-12.0
Stephen Curry,curryst01,2023,21,847.0,23.0,2022-12-02,,,CHI,"W, 119-111",*,,6.0,16.0,0.375,4.0,8.0,0.5,2.0,8.0,0.25,0.5,3.0,3.0,1.0,0.0,11.0,11.0,6.0,0.0,1.0,6.0,5.0,19.0,10.4,-1.0
Stephen Curry,curryst01,2023,22,848.0,24.0,2022-12-03,,,HOU,"W, 120-101",*,,10.0,21.0,0.476,8.0,17.0,0.471,2.0,4.0,0.5,0.667,2.0,3.0,0.667,0.0,3.0,3.0,10.0,1.0,1.0,4.0,0.0,30.0,24.5,19.0
Stephen Curry,curryst01,2023,23,849.0,25.0,2022-12-05,,,IND,"L, 104-112",*,,3.0,17.0,0.176,2.0,10.0,0.2,1.0,7.0,0.143,0.235,4.0,4.0,1.0,0.0,4.0,4.0,6.0,1.0,0.0,3.0,2.0,12.0,3.9,-17.0
Stephen Curry,curryst01,2023,24,850.0,27.0,2022-12-10,,,BOS,"W, 123-107",*,,12.0,21.0,0.571,6.0,11.0,0.545,6.0,10.0,0.6,0.714,2.0,2.0,1.0,1.0,5.0,6.0,7.0,0.0,1.0,4.0,3.0,32.0,24.7,20.0
Stephen Curry,curryst01,2023,25,851.0,28.0,2022-12-13,,,MIL,"L, 111-128",*,,6.0,17.0,0.353,3.0,10.0,0.3,3.0,7.0,0.429,0.441,5.0,5.0,1.0,2.0,4.0,6.0,1.0,1.0,1.0,2.0,0.0,20.0,13.5,-20.0
Stephen Curry,curryst01,2023,26,852.0,29.0,2022-12-14,,,IND,"L, 119-125",*,,11.0,19.0,0.579,5.0,10.0,0.5,6.0,9.0,0.667,0.711,11.0,11.0,1.0,1.0,6.0,7.0,7.0,2.0,1.0,3.0,2.0,38.0,35.4,-6.0
Stephen Curry,curryst01,2023,27,853.0,41.0,2023-01-10,,,PHO,"L, 113-125",*,,8.0,22.0,0.364,5.0,15.0,0.333,3.0,7.0,0.429,0.477,3.0,4.0,0.75,1.0,0.0,1.0,3.0,1.0,0.0,1.0,4.0,24.0,12.6,-19.0
Stephen Curry,curryst01,2023,28,854.0,42.0,2023-01-13,,,SAS,"W, 144-113",*,,6.0,12.0,0.5,2.0,7.0,0.286,4.0,5.0,0.8,0.583,1.0,1.0,1.0,0.0,4.0,4.0,3.0,0.0,1.0,0.0,3.0,15.0,11.8,12.0
Stephen Curry,curryst01,2023,29,855.0,43.0,2023-01-15,,,CHI,"L, 118-132",*,,8.0,15.0,0.533,3.0,10.0,0.3,5.0,5.0,1.0,0.633,1.0,2.0,0.5,0.0,10.0,10.0,4.0,0.0,1.0,8.0,2.0,20.0,10.0,-9.0
Stephen Curry,curryst01,2023,30,856.0,44.0,2023-01-16,,,WAS,"W, 127-118",*,,12.0,28.0,0.429,6.0,15.0,0.4,6.0,13.0,0.462,0.536,11.0,12.0,0.917,1.0,6.0,7.0,2.0,0.0,0.0,4.0,1.0,41.0,25.3,14.0
Stephen Curry,curryst01,2023,31,857.0,45.0,2023-01-19,,,BOS,"L, 118-121 (OT)",*,,9.0,25.0,0.36,6.0,18.0,0.333,3.0,7.0,0.429,0.48,5.0,5.0,1.0,0.0,4.0,4.0,7.0,3.0,2.0,3.0,1.0,29.0,22.2,9.0
Stephen Curry,curryst01,2023,32,858.0,47.0,2023-01-22,,,BRK,"L, 116-120",*,,7.0,16.0,0.438,4.0,8.0,0.5,3.0,8.0,0.375,0.563,8.0,8.0,1.0,1.0,5.0,6.0,7.0,1.0,0.0,5.0,2.0,26.0,19.9,-8.0
Stephen Curry,curryst01,2023,33,859.0,48.0,2023-01-25,,,MEM,"W, 122-120",*,,10.0,19.0,0.526,4.0,8.0,0.5,6.0,11.0,0.545,0.632,10.0,11.0,0.909,0.0,2.0,2.0,3.0,2.0,0.0,3.0,3.0,34.0,24.8,-3.0
Stephen Curry,curryst01,2023,34,860.0,49.0,2023-01-27,,,TOR,"W, 129-117",*,,13.0,21.0,0.619,4.0,8.0,0.5,9.0,13.0,0.692,0.714,5.0,5.0,1.0,0.0,7.0,7.0,11.0,2.0,0.0,3.0,1.0,35.0,33.9,13.0
Stephen Curry,curryst01,2023,35,861.0,50.0,2023-01-30,,,OKC,"W, 128-120",*,,12.0,20.0,0.6,8.0,14.0,0.571,4.0,6.0,0.667,0.8,6.0,6.0,1.0,1.0,7.0,8.0,12.0,0.0,1.0,4.0,0.0,38.0,36.7,17.0
Stephen Curry,curryst01,2023,36,862.0,51.0,2023-02-01,,,MIN,"L, 114-119 (OT)",*,,8.0,21.0,0.381,5.0,12.0,0.417,3.0,9.0,0.333,0.5,8.0,9.0,0.889,0.0,10.0,10.0,3.0,1.0,1.0,4.0,5.0,29.0,17.9,-5.0
Stephen Curry,curryst01,2023,37,863.0,52.0,2023-02-02,,,DEN,"L, 117-134",*,,10.0,17.0,0.588,5.0,10.0,0.5,5.0,7.0,0.714,0.735,3.0,3.0,1.0,2.0,3.0,5.0,5.0,0.0,0.0,6.0,4.0,28.0,18.3,-16.0
Stephen Curry,curryst01,2023,38,864.0,53.0,2023-02-04,,,DAL,"W, 119-113",*,,7.0,11.0,0.636,2.0,6.0,0.333,5.0,5.0,1.0,0.727,5.0,5.0,1.0,0.0,6.0,6.0,7.0,0.0,0.0,0.0,2.0,21.0,22.0,14.0
Stephen Curry,curryst01,2023,39,865.0,65.0,2023-03-05,,,LAL,"L, 105-113",*,,8.0,20.0,0.4,5.0,13.0,0.385,3.0,7.0,0.429,0.525,6.0,6.0,1.0,0.0,2.0,2.0,6.0,1.0,0.0,2.0,3.0,27.0,18.8,-12.0
Stephen Curry,curryst01,2023,40,866.0,66.0,2023-03-07,,,OKC,"L, 128-137",*,,14.0,23.0,0.609,10.0,16.0,0.625,4.0,7.0,0.571,0.826,2.0,2.0,1.0,1.0,5.0,6.0,7.0,0.0,0.0,6.0,4.0,40.0,29.0,-2.0
Stephen Curry,curryst01,2023,41,867.0,67.0,2023-03-09,,,MEM,"L, 110-131",*,,10.0,19.0,0.526,4.0,8.0,0.5,6.0,11.0,0.545,0.632,5.0,6.0,0.833,3.0,4.0,7.0,4.0,1.0,0.0,4.0,3.0,29.0,21.2,2.0
Stephen Curry,curryst01,2023,42,868.0,68.0,2023-03-11,,,MIL,"W, 125-116 (OT)",*,,13.0,27.0,0.481,6.0,15.0,0.4,7.0,12.0,0.583,0.593,4.0,4.0,1.0,1.0,5.0,6.0,4.0,2.0,1.0,5.0,1.0,36.0,24.6,10.0
