player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Dyson Daniels,daniedy01,2023,1,1.0,1.0,2022-10-19,,,BRK,"W, 130-108",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.3,-2.0
Dyson Daniels,daniedy01,2023,2,2.0,4.0,2022-10-25,,,DAL,"W, 113-111",,,4.0,5.0,0.8,1.0,1.0,1.0,3.0,4.0,0.75,0.9,2.0,2.0,1.0,1.0,2.0,3.0,2.0,3.0,1.0,1.0,3.0,11.0,13.3,-18.0
Dyson Daniels,daniedy01,2023,3,3.0,7.0,2022-11-02,,,LAL,"L, 117-120 (OT)",,,3.0,5.0,0.6,2.0,3.0,0.667,1.0,2.0,0.5,0.8,0.0,2.0,0.0,1.0,4.0,5.0,2.0,0.0,1.0,1.0,0.0,8.0,7.9,5.0
Dyson Daniels,daniedy01,2023,4,4.0,9.0,2022-11-05,,,ATL,"L, 121-124 (OT)",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.4,-3.0
Dyson Daniels,daniedy01,2023,5,5.0,13.0,2022-11-12,,,HOU,"W, 119-106",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
Dyson Daniels,daniedy01,2023,6,6.0,14.0,2022-11-15,,,MEM,"W, 113-102",,,1.0,4.0,0.25,1.0,3.0,0.333,0.0,1.0,0.0,0.375,0.0,0.0,,1.0,8.0,9.0,1.0,1.0,1.0,0.0,1.0,3.0,5.7,13.0
Dyson Daniels,daniedy01,2023,7,7.0,15.0,2022-11-16,,,CHI,"W, 124-110",,,2.0,3.0,0.667,0.0,0.0,,2.0,3.0,0.667,0.667,0.0,0.0,,1.0,3.0,4.0,2.0,0.0,1.0,0.0,5.0,4.0,4.4,-4.0
Dyson Daniels,daniedy01,2023,8,8.0,16.0,2022-11-18,,,BOS,"L, 109-117",,,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,1.0,2.0,0.5,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,1.0
Dyson Daniels,daniedy01,2023,9,9.0,17.0,2022-11-21,,,GSW,"W, 128-83",,,4.0,7.0,0.571,1.0,3.0,0.333,3.0,4.0,0.75,0.643,0.0,0.0,,0.0,5.0,5.0,2.0,2.0,0.0,0.0,5.0,9.0,8.6,14.0
Dyson Daniels,daniedy01,2023,10,10.0,18.0,2022-11-23,,,SAS,"W, 129-110",,,2.0,5.0,0.4,0.0,2.0,0.0,2.0,3.0,0.667,0.4,1.0,2.0,0.5,0.0,1.0,1.0,2.0,1.0,1.0,2.0,5.0,5.0,1.3,3.0
Dyson Daniels,daniedy01,2023,11,11.0,19.0,2022-11-25,,,MEM,"L, 111-132",,,3.0,5.0,0.6,1.0,1.0,1.0,2.0,4.0,0.5,0.7,2.0,2.0,1.0,0.0,5.0,5.0,6.0,0.0,0.0,3.0,2.0,9.0,8.6,18.0
Dyson Daniels,daniedy01,2023,12,12.0,20.0,2022-11-28,,,OKC,"W, 105-101",,,3.0,5.0,0.6,2.0,3.0,0.667,1.0,2.0,0.5,0.8,0.0,0.0,,0.0,5.0,5.0,2.0,2.0,0.0,1.0,3.0,8.0,8.4,-4.0
Dyson Daniels,daniedy01,2023,13,13.0,21.0,2022-11-30,,,TOR,"W, 126-108",,,6.0,9.0,0.667,1.0,2.0,0.5,5.0,7.0,0.714,0.722,1.0,2.0,0.5,2.0,6.0,8.0,9.0,1.0,0.0,1.0,1.0,14.0,18.8,6.0
Dyson Daniels,daniedy01,2023,14,14.0,22.0,2022-12-02,,,SAS,"W, 117-99",*,,2.0,7.0,0.286,0.0,3.0,0.0,2.0,4.0,0.5,0.286,0.0,0.0,,1.0,4.0,5.0,3.0,0.0,0.0,1.0,3.0,4.0,1.7,-10.0
Dyson Daniels,daniedy01,2023,15,15.0,23.0,2022-12-04,,,DEN,"W, 121-106",*,,1.0,3.0,0.333,0.0,0.0,,1.0,3.0,0.333,0.333,0.0,0.0,,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,1.9,-5.0
