player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Spencer Dinwiddie,dinwisp01,2023,1,388.0,1.0,2022-10-19,,,PHO,"L, 105-107",*,,6.0,11.0,0.545,3.0,5.0,0.6,3.0,6.0,0.5,0.682,0.0,2.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,4.0,15.0,10.3,2.0
Spencer Dinwiddie,dinwisp01,2023,2,389.0,2.0,2022-10-22,,,MEM,"W, 137-96",*,,6.0,13.0,0.462,3.0,5.0,0.6,3.0,8.0,0.375,0.577,0.0,0.0,,0.0,2.0,2.0,2.0,0.0,0.0,3.0,2.0,15.0,6.5,23.0
Spencer Dinwiddie,dinwisp01,2023,3,390.0,3.0,2022-10-25,,,NOP,"L, 111-113",*,,8.0,15.0,0.533,4.0,8.0,0.5,4.0,7.0,0.571,0.667,4.0,5.0,0.8,0.0,2.0,2.0,5.0,0.0,0.0,2.0,2.0,24.0,17.6,-15.0
Spencer Dinwiddie,dinwisp01,2023,4,391.0,4.0,2022-10-27,,,BRK,"W, 129-125 (OT)",*,,4.0,8.0,0.5,3.0,5.0,0.6,1.0,3.0,0.333,0.688,0.0,0.0,,0.0,3.0,3.0,5.0,1.0,0.0,2.0,3.0,11.0,9.2,-20.0
Spencer Dinwiddie,dinwisp01,2023,5,392.0,5.0,2022-10-29,,,OKC,"L, 111-117 (OT)",*,,8.0,13.0,0.615,2.0,6.0,0.333,6.0,7.0,0.857,0.692,2.0,3.0,0.667,0.0,2.0,2.0,2.0,1.0,0.0,2.0,3.0,20.0,13.5,2.0
Spencer Dinwiddie,dinwisp01,2023,6,393.0,6.0,2022-10-30,,,ORL,"W, 114-105",*,,5.0,13.0,0.385,0.0,4.0,0.0,5.0,9.0,0.556,0.385,2.0,2.0,1.0,0.0,4.0,4.0,5.0,3.0,0.0,1.0,3.0,12.0,10.4,-9.0
Spencer Dinwiddie,dinwisp01,2023,7,394.0,7.0,2022-11-02,,,UTA,"W, 103-100",*,,8.0,20.0,0.4,4.0,11.0,0.364,4.0,9.0,0.444,0.5,0.0,0.0,,1.0,3.0,4.0,5.0,4.0,0.0,1.0,1.0,20.0,16.9,9.0
Spencer Dinwiddie,dinwisp01,2023,8,395.0,8.0,2022-11-04,,,TOR,"W, 111-110",*,,8.0,17.0,0.471,3.0,8.0,0.375,5.0,9.0,0.556,0.559,2.0,2.0,1.0,0.0,1.0,1.0,7.0,2.0,0.0,2.0,4.0,21.0,15.9,0.0
Spencer Dinwiddie,dinwisp01,2023,9,396.0,9.0,2022-11-07,,,BRK,"W, 96-94",*,,1.0,8.0,0.125,0.0,3.0,0.0,1.0,5.0,0.2,0.125,0.0,0.0,,2.0,4.0,6.0,5.0,0.0,0.0,4.0,3.0,2.0,-2.3,-3.0
Spencer Dinwiddie,dinwisp01,2023,10,397.0,10.0,2022-11-09,,,ORL,"L, 87-94",*,,9.0,19.0,0.474,4.0,10.0,0.4,5.0,9.0,0.556,0.579,7.0,8.0,0.875,0.0,4.0,4.0,5.0,2.0,1.0,1.0,2.0,29.0,24.5,-5.0
