player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Luka Dončić,doncilu01,2023,1,265.0,1.0,2022-10-19,,,PHO,"L, 105-107",*,,10.0,23.0,0.435,2.0,10.0,0.2,8.0,13.0,0.615,0.478,13.0,13.0,1.0,0.0,9.0,9.0,6.0,1.0,0.0,4.0,3.0,35.0,25.6,-16.0
Luka Dončić,doncilu01,2023,2,266.0,2.0,2022-10-22,,,MEM,"W, 137-96",*,,12.0,23.0,0.522,4.0,9.0,0.444,8.0,14.0,0.571,0.609,4.0,5.0,0.8,2.0,5.0,7.0,10.0,2.0,2.0,3.0,2.0,32.0,29.8,31.0
Luka Dončić,doncilu01,2023,3,267.0,3.0,2022-10-25,,,NOP,"L, 111-113",*,,16.0,30.0,0.533,2.0,13.0,0.154,14.0,17.0,0.824,0.567,3.0,5.0,0.6,3.0,8.0,11.0,7.0,2.0,1.0,3.0,3.0,37.0,29.5,6.0
Luka Dončić,doncilu01,2023,4,268.0,4.0,2022-10-27,,,BRK,"W, 129-125 (OT)",*,,14.0,28.0,0.5,2.0,6.0,0.333,12.0,22.0,0.545,0.536,11.0,13.0,0.846,1.0,10.0,11.0,14.0,3.0,0.0,5.0,2.0,41.0,36.9,20.0
Luka Dončić,doncilu01,2023,5,269.0,5.0,2022-10-29,,,OKC,"L, 111-117 (OT)",*,,8.0,23.0,0.348,0.0,6.0,0.0,8.0,17.0,0.471,0.348,15.0,19.0,0.789,2.0,14.0,16.0,10.0,1.0,0.0,3.0,6.0,31.0,24.7,-25.0
Luka Dončić,doncilu01,2023,6,270.0,6.0,2022-10-30,,,ORL,"W, 114-105",*,,17.0,26.0,0.654,2.0,9.0,0.222,15.0,17.0,0.882,0.692,8.0,14.0,0.571,0.0,3.0,3.0,5.0,1.0,0.0,0.0,3.0,44.0,34.4,13.0
Luka Dončić,doncilu01,2023,7,271.0,7.0,2022-11-02,,,UTA,"W, 103-100",*,,12.0,20.0,0.6,2.0,6.0,0.333,10.0,14.0,0.714,0.65,7.0,10.0,0.7,0.0,5.0,5.0,11.0,2.0,0.0,5.0,3.0,33.0,27.6,-3.0
Luka Dončić,doncilu01,2023,8,272.0,8.0,2022-11-04,,,TOR,"W, 111-110",*,,10.0,15.0,0.667,3.0,6.0,0.5,7.0,9.0,0.778,0.767,12.0,14.0,0.857,1.0,7.0,8.0,6.0,3.0,1.0,4.0,4.0,35.0,32.8,8.0
Luka Dončić,doncilu01,2023,9,273.0,9.0,2022-11-07,,,BRK,"W, 96-94",*,,11.0,22.0,0.5,5.0,9.0,0.556,6.0,13.0,0.462,0.614,9.0,12.0,0.75,0.0,6.0,6.0,6.0,2.0,1.0,5.0,5.0,36.0,25.5,1.0
Luka Dončić,doncilu01,2023,10,274.0,10.0,2022-11-09,,,ORL,"L, 87-94",*,,9.0,29.0,0.31,2.0,11.0,0.182,7.0,18.0,0.389,0.345,4.0,7.0,0.571,0.0,6.0,6.0,6.0,3.0,2.0,0.0,3.0,24.0,15.3,-3.0
Luka Dončić,doncilu01,2023,11,275.0,11.0,2022-11-10,,,WAS,"L, 105-113",*,,8.0,21.0,0.381,3.0,8.0,0.375,5.0,13.0,0.385,0.452,3.0,9.0,0.333,0.0,9.0,9.0,6.0,2.0,0.0,5.0,2.0,22.0,11.2,-6.0
Luka Dončić,doncilu01,2023,12,276.0,12.0,2022-11-12,,,POR,"W, 117-112",*,,13.0,22.0,0.591,1.0,5.0,0.2,12.0,17.0,0.706,0.614,15.0,18.0,0.833,3.0,10.0,13.0,10.0,2.0,1.0,2.0,3.0,42.0,42.2,6.0
Luka Dončić,doncilu01,2023,13,277.0,13.0,2022-11-15,,,LAC,"W, 103-101",*,,11.0,22.0,0.5,2.0,5.0,0.4,9.0,17.0,0.529,0.545,11.0,11.0,1.0,2.0,9.0,11.0,5.0,3.0,0.0,3.0,3.0,35.0,30.4,4.0
Luka Dončić,doncilu01,2023,14,278.0,15.0,2022-11-18,,,DEN,"W, 127-99",*,,11.0,22.0,0.5,2.0,7.0,0.286,9.0,15.0,0.6,0.545,9.0,11.0,0.818,1.0,11.0,12.0,11.0,1.0,0.0,2.0,1.0,33.0,31.5,25.0
Luka Dončić,doncilu01,2023,15,279.0,16.0,2022-11-20,,,DEN,"L, 97-98",*,,7.0,16.0,0.438,2.0,8.0,0.25,5.0,8.0,0.625,0.5,6.0,10.0,0.6,0.0,9.0,9.0,8.0,1.0,0.0,4.0,2.0,22.0,16.5,1.0
