player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Jerami Grant,grantje01,2023,1,556.0,1.0,2022-10-19,,,SAC,"W, 115-108",*,,5.0,11.0,0.455,3.0,3.0,1.0,2.0,8.0,0.25,0.591,10.0,13.0,0.769,2.0,6.0,8.0,1.0,2.0,0.0,1.0,4.0,23.0,19.4,7.0
Jerami Grant,grantje01,2023,2,557.0,2.0,2022-10-21,,,PHO,"W, 113-111 (OT)",*,,3.0,7.0,0.429,1.0,2.0,0.5,2.0,5.0,0.4,0.5,1.0,4.0,0.25,0.0,4.0,4.0,2.0,0.0,2.0,1.0,1.0,8.0,5.7,-4.0
Jerami Grant,grantje01,2023,3,558.0,3.0,2022-10-23,,,LAL,"W, 106-104",*,,5.0,11.0,0.455,2.0,3.0,0.667,3.0,8.0,0.375,0.545,4.0,4.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,3.0,16.0,9.4,0.0
Jerami Grant,grantje01,2023,4,559.0,4.0,2022-10-24,,,DEN,"W, 135-110",*,,7.0,13.0,0.538,1.0,6.0,0.167,6.0,7.0,0.857,0.577,6.0,7.0,0.857,0.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,21.0,14.9,19.0
Jerami Grant,grantje01,2023,5,560.0,5.0,2022-10-26,,,MIA,"L, 98-119",*,,4.0,10.0,0.4,1.0,5.0,0.2,3.0,5.0,0.6,0.45,2.0,5.0,0.4,0.0,3.0,3.0,4.0,0.0,0.0,3.0,0.0,11.0,5.1,-11.0
Jerami Grant,grantje01,2023,6,561.0,6.0,2022-10-28,,,HOU,"W, 125-111",*,,5.0,11.0,0.455,2.0,6.0,0.333,3.0,5.0,0.6,0.545,3.0,4.0,0.75,1.0,4.0,5.0,4.0,2.0,1.0,3.0,2.0,15.0,12.5,22.0
Jerami Grant,grantje01,2023,7,562.0,7.0,2022-11-02,,,MEM,"L, 106-111",*,,7.0,18.0,0.389,3.0,9.0,0.333,4.0,9.0,0.444,0.472,6.0,7.0,0.857,0.0,5.0,5.0,3.0,0.0,1.0,4.0,1.0,23.0,12.7,8.0
Jerami Grant,grantje01,2023,8,563.0,8.0,2022-11-04,,,PHO,"W, 108-106",*,,10.0,17.0,0.588,1.0,3.0,0.333,9.0,14.0,0.643,0.618,9.0,11.0,0.818,0.0,2.0,2.0,5.0,0.0,1.0,3.0,3.0,30.0,21.9,-2.0
Jerami Grant,grantje01,2023,9,564.0,9.0,2022-11-05,,,PHO,"L, 82-102",*,,4.0,10.0,0.4,1.0,1.0,1.0,3.0,9.0,0.333,0.45,5.0,6.0,0.833,2.0,3.0,5.0,3.0,0.0,1.0,3.0,1.0,14.0,9.9,-19.0
Jerami Grant,grantje01,2023,10,565.0,10.0,2022-11-07,,,MIA,"W, 110-107",*,,9.0,15.0,0.6,5.0,8.0,0.625,4.0,7.0,0.571,0.767,0.0,0.0,,1.0,5.0,6.0,2.0,0.0,1.0,3.0,3.0,23.0,16.2,3.0
Jerami Grant,grantje01,2023,11,566.0,12.0,2022-11-10,,,NOP,"W, 106-95",*,,10.0,20.0,0.5,4.0,8.0,0.5,6.0,12.0,0.5,0.6,3.0,5.0,0.6,3.0,5.0,8.0,4.0,4.0,1.0,2.0,3.0,27.0,24.1,20.0
Jerami Grant,grantje01,2023,12,567.0,13.0,2022-11-12,,,DAL,"L, 112-117",*,,13.0,22.0,0.591,5.0,9.0,0.556,8.0,13.0,0.615,0.705,6.0,6.0,1.0,2.0,4.0,6.0,2.0,0.0,2.0,2.0,2.0,37.0,29.4,-4.0
Jerami Grant,grantje01,2023,13,568.0,14.0,2022-11-15,,,SAS,"W, 117-110",*,,9.0,15.0,0.6,6.0,8.0,0.75,3.0,7.0,0.429,0.8,5.0,8.0,0.625,2.0,6.0,8.0,1.0,1.0,0.0,2.0,1.0,29.0,23.4,18.0
Jerami Grant,grantje01,2023,14,569.0,15.0,2022-11-17,,,BRK,"L, 107-109",*,,2.0,13.0,0.154,1.0,5.0,0.2,1.0,8.0,0.125,0.192,0.0,0.0,,0.0,5.0,5.0,3.0,1.0,1.0,1.0,4.0,5.0,-0.6,-8.0
Jerami Grant,grantje01,2023,15,570.0,16.0,2022-11-19,,,UTA,"L, 113-118",*,,5.0,11.0,0.455,4.0,7.0,0.571,1.0,4.0,0.25,0.636,0.0,0.0,,0.0,2.0,2.0,1.0,2.0,2.0,0.0,2.0,14.0,12.2,-3.0
Jerami Grant,grantje01,2023,16,571.0,17.0,2022-11-21,,,MIL,"L, 111-119",*,,6.0,16.0,0.375,0.0,2.0,0.0,6.0,14.0,0.429,0.375,6.0,8.0,0.75,1.0,3.0,4.0,2.0,0.0,2.0,2.0,2.0,18.0,10.0,-20.0
Jerami Grant,grantje01,2023,17,572.0,18.0,2022-11-23,,,CLE,"L, 96-114",*,,6.0,12.0,0.5,5.0,8.0,0.625,1.0,4.0,0.25,0.708,4.0,4.0,1.0,0.0,3.0,3.0,3.0,3.0,0.0,4.0,1.0,21.0,16.6,-19.0
Jerami Grant,grantje01,2023,18,573.0,19.0,2022-11-25,,,NYK,"W, 132-129 (OT)",*,,10.0,20.0,0.5,3.0,7.0,0.429,7.0,13.0,0.538,0.575,21.0,28.0,0.75,0.0,1.0,1.0,2.0,0.0,1.0,2.0,4.0,44.0,30.0,-1.0
