player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Buddy Hield,hieldbu01,2023,1,469.0,1.0,2022-10-19,,,WAS,"L, 107-114",*,,6.0,16.0,0.375,4.0,11.0,0.364,2.0,5.0,0.4,0.5,0.0,0.0,,4.0,6.0,10.0,3.0,0.0,0.0,1.0,2.0,16.0,12.1,0.0
Buddy Hield,hieldbu01,2023,2,470.0,2.0,2022-10-21,,,SAS,"L, 134-137",*,,5.0,9.0,0.556,3.0,6.0,0.5,2.0,3.0,0.667,0.722,0.0,0.0,,2.0,3.0,5.0,2.0,2.0,1.0,3.0,5.0,13.0,10.1,-8.0
Buddy Hield,hieldbu01,2023,3,471.0,3.0,2022-10-22,,,DET,"W, 124-115",*,,2.0,8.0,0.25,2.0,6.0,0.333,0.0,2.0,0.0,0.375,0.0,0.0,,1.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,6.0,1.2,0.0
Buddy Hield,hieldbu01,2023,4,472.0,4.0,2022-10-24,,,PHI,"L, 106-120",*,,6.0,14.0,0.429,3.0,10.0,0.3,3.0,4.0,0.75,0.536,3.0,3.0,1.0,0.0,6.0,6.0,6.0,0.0,0.0,1.0,3.0,18.0,14.4,-4.0
Buddy Hield,hieldbu01,2023,5,473.0,5.0,2022-10-26,,,CHI,"L, 109-124",*,,8.0,16.0,0.5,7.0,12.0,0.583,1.0,4.0,0.25,0.719,2.0,3.0,0.667,1.0,2.0,3.0,4.0,0.0,0.0,2.0,0.0,25.0,18.7,-3.0
Buddy Hield,hieldbu01,2023,6,474.0,6.0,2022-10-28,,,WAS,"W, 127-117",*,,10.0,17.0,0.588,5.0,9.0,0.556,5.0,8.0,0.625,0.735,0.0,0.0,,0.0,5.0,5.0,2.0,0.0,0.0,1.0,1.0,25.0,18.6,10.0
Buddy Hield,hieldbu01,2023,7,475.0,7.0,2022-10-29,,,BRK,"W, 125-116",*,,6.0,14.0,0.429,5.0,11.0,0.455,1.0,3.0,0.333,0.607,0.0,0.0,,1.0,8.0,9.0,8.0,1.0,0.0,1.0,3.0,17.0,17.1,7.0
Buddy Hield,hieldbu01,2023,8,476.0,8.0,2022-10-31,,,BRK,"L, 109-116",*,,8.0,16.0,0.5,3.0,10.0,0.3,5.0,6.0,0.833,0.594,3.0,3.0,1.0,1.0,2.0,3.0,7.0,2.0,0.0,3.0,2.0,22.0,18.4,-4.0
Buddy Hield,hieldbu01,2023,9,477.0,9.0,2022-11-04,,,MIA,"W, 101-99",*,,10.0,18.0,0.556,5.0,12.0,0.417,5.0,6.0,0.833,0.694,0.0,0.0,,1.0,8.0,9.0,0.0,2.0,0.0,5.0,1.0,25.0,16.1,5.0
Buddy Hield,hieldbu01,2023,10,478.0,10.0,2022-11-07,,,NOP,"W, 129-122",*,,6.0,16.0,0.375,5.0,13.0,0.385,1.0,3.0,0.333,0.531,3.0,3.0,1.0,2.0,3.0,5.0,3.0,2.0,2.0,0.0,3.0,20.0,17.8,9.0
Buddy Hield,hieldbu01,2023,11,479.0,11.0,2022-11-09,,,DEN,"L, 119-122",*,,7.0,16.0,0.438,2.0,9.0,0.222,5.0,7.0,0.714,0.5,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,17.0,8.1,-14.0
Buddy Hield,hieldbu01,2023,12,480.0,12.0,2022-11-12,,,TOR,"W, 118-104",*,,8.0,15.0,0.533,5.0,11.0,0.455,3.0,4.0,0.75,0.7,1.0,2.0,0.5,2.0,6.0,8.0,2.0,0.0,1.0,4.0,3.0,22.0,14.4,10.0
Buddy Hield,hieldbu01,2023,13,481.0,13.0,2022-11-16,,,CHO,"W, 125-113",*,,5.0,13.0,0.385,3.0,5.0,0.6,2.0,8.0,0.25,0.5,6.0,6.0,1.0,0.0,2.0,2.0,4.0,2.0,1.0,1.0,2.0,19.0,16.2,18.0
Buddy Hield,hieldbu01,2023,14,482.0,14.0,2022-11-18,,,HOU,"W, 99-91",*,,3.0,15.0,0.2,3.0,13.0,0.231,0.0,2.0,0.0,0.3,1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,4.0,2.0,10.0,-0.1,6.0
Buddy Hield,hieldbu01,2023,15,483.0,15.0,2022-11-19,,,ORL,"W, 114-113",*,,5.0,12.0,0.417,5.0,11.0,0.455,0.0,1.0,0.0,0.625,0.0,0.0,,0.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,15.0,10.9,7.0
Buddy Hield,hieldbu01,2023,16,484.0,16.0,2022-11-21,,,ORL,"W, 123-102",*,,3.0,13.0,0.231,1.0,10.0,0.1,2.0,3.0,0.667,0.269,2.0,2.0,1.0,1.0,4.0,5.0,0.0,1.0,0.0,2.0,1.0,9.0,1.6,3.0
Buddy Hield,hieldbu01,2023,17,485.0,17.0,2022-11-23,,,MIN,"L, 101-115",*,,5.0,16.0,0.313,3.0,11.0,0.273,2.0,5.0,0.4,0.406,0.0,0.0,,2.0,1.0,3.0,2.0,2.0,0.0,4.0,3.0,13.0,3.7,-3.0
Buddy Hield,hieldbu01,2023,18,486.0,18.0,2022-11-25,,,BRK,"W, 128-117",*,,9.0,15.0,0.6,5.0,8.0,0.625,4.0,7.0,0.571,0.767,3.0,3.0,1.0,0.0,3.0,3.0,3.0,3.0,0.0,4.0,4.0,26.0,19.5,21.0
Buddy Hield,hieldbu01,2023,19,487.0,19.0,2022-11-27,,,LAC,"L, 100-114",*,,3.0,14.0,0.214,1.0,9.0,0.111,2.0,5.0,0.4,0.25,3.0,4.0,0.75,1.0,3.0,4.0,3.0,2.0,0.0,3.0,1.0,10.0,3.3,-17.0
Buddy Hield,hieldbu01,2023,20,488.0,20.0,2022-11-28,,,LAL,"W, 116-115",*,,5.0,13.0,0.385,1.0,6.0,0.167,4.0,7.0,0.571,0.423,4.0,5.0,0.8,2.0,2.0,4.0,1.0,0.0,0.0,1.0,4.0,15.0,7.6,3.0
Buddy Hield,hieldbu01,2023,21,489.0,21.0,2022-11-30,,,SAC,"L, 114-137",*,,6.0,13.0,0.462,3.0,8.0,0.375,3.0,5.0,0.6,0.577,2.0,3.0,0.667,0.0,4.0,4.0,1.0,0.0,0.0,1.0,3.0,17.0,9.6,-7.0
Buddy Hield,hieldbu01,2023,22,490.0,22.0,2022-12-02,,,UTA,"L, 119-139",*,,2.0,8.0,0.25,1.0,4.0,0.25,1.0,4.0,0.25,0.313,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,2.0,6.0,-1.9,-18.0
Buddy Hield,hieldbu01,2023,23,491.0,23.0,2022-12-04,,,POR,"L, 100-116",*,,8.0,17.0,0.471,4.0,9.0,0.444,4.0,8.0,0.5,0.588,2.0,3.0,0.667,3.0,8.0,11.0,3.0,1.0,1.0,2.0,2.0,22.0,18.4,-4.0
Buddy Hield,hieldbu01,2023,24,492.0,24.0,2022-12-05,,,GSW,"W, 112-104",*,,6.0,19.0,0.316,4.0,13.0,0.308,2.0,6.0,0.333,0.421,1.0,2.0,0.5,0.0,9.0,9.0,5.0,1.0,0.0,1.0,0.0,17.0,11.9,3.0
Buddy Hield,hieldbu01,2023,25,493.0,25.0,2022-12-07,,,MIN,"L, 115-121",*,,9.0,15.0,0.6,7.0,11.0,0.636,2.0,4.0,0.5,0.833,1.0,1.0,1.0,0.0,3.0,3.0,1.0,1.0,0.0,3.0,1.0,26.0,18.3,8.0
Buddy Hield,hieldbu01,2023,26,494.0,26.0,2022-12-09,,,WAS,"W, 121-111",*,,12.0,19.0,0.632,4.0,10.0,0.4,8.0,9.0,0.889,0.737,0.0,0.0,,0.0,2.0,2.0,4.0,3.0,1.0,1.0,1.0,28.0,25.2,2.0
Buddy Hield,hieldbu01,2023,27,495.0,27.0,2022-12-10,,,BRK,"L, 133-136",*,,6.0,11.0,0.545,4.0,8.0,0.5,2.0,3.0,0.667,0.727,1.0,1.0,1.0,3.0,1.0,4.0,2.0,0.0,0.0,3.0,2.0,17.0,11.7,-13.0
Buddy Hield,hieldbu01,2023,28,496.0,28.0,2022-12-12,,,MIA,"L, 82-87",*,,8.0,16.0,0.5,3.0,7.0,0.429,5.0,9.0,0.556,0.594,0.0,0.0,,1.0,8.0,9.0,2.0,0.0,0.0,4.0,1.0,19.0,11.1,1.0
Buddy Hield,hieldbu01,2023,29,497.0,29.0,2022-12-14,,,GSW,"W, 125-119",*,,6.0,12.0,0.5,3.0,8.0,0.375,3.0,4.0,0.75,0.625,2.0,2.0,1.0,1.0,4.0,5.0,1.0,1.0,0.0,2.0,2.0,17.0,11.8,-21.0
Buddy Hield,hieldbu01,2023,30,498.0,30.0,2022-12-16,,,CLE,"L, 112-118",*,,5.0,9.0,0.556,4.0,6.0,0.667,1.0,3.0,0.333,0.778,0.0,0.0,,0.0,1.0,1.0,5.0,0.0,0.0,2.0,1.0,14.0,11.1,-8.0
Buddy Hield,hieldbu01,2023,31,499.0,31.0,2022-12-18,,,NYK,"L, 106-109",*,,9.0,16.0,0.563,5.0,10.0,0.5,4.0,6.0,0.667,0.719,0.0,0.0,,0.0,3.0,3.0,3.0,1.0,0.0,3.0,6.0,23.0,14.0,4.0
Buddy Hield,hieldbu01,2023,32,500.0,32.0,2022-12-21,,,BOS,"W, 117-112",*,,3.0,7.0,0.429,2.0,3.0,0.667,1.0,4.0,0.25,0.571,0.0,0.0,,1.0,4.0,5.0,5.0,1.0,1.0,1.0,1.0,8.0,10.0,2.0
Buddy Hield,hieldbu01,2023,33,501.0,33.0,2022-12-23,,,MIA,"W, 111-108",*,,7.0,15.0,0.467,7.0,11.0,0.636,0.0,4.0,0.0,0.7,0.0,0.0,,0.0,5.0,5.0,2.0,0.0,0.0,0.0,2.0,21.0,15.4,17.0
Buddy Hield,hieldbu01,2023,34,502.0,34.0,2022-12-26,,,NOP,"L, 93-113",*,,4.0,10.0,0.4,4.0,7.0,0.571,0.0,3.0,0.0,0.6,0.0,0.0,,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,12.0,9.2,-10.0
Buddy Hield,hieldbu01,2023,35,503.0,35.0,2022-12-27,,,ATL,"W, 129-114",*,,11.0,16.0,0.688,6.0,7.0,0.857,5.0,9.0,0.556,0.875,0.0,0.0,,1.0,8.0,9.0,2.0,0.0,0.0,0.0,0.0,28.0,25.7,11.0
Buddy Hield,hieldbu01,2023,36,504.0,36.0,2022-12-29,,,CLE,"W, 135-126",*,,10.0,14.0,0.714,5.0,6.0,0.833,5.0,8.0,0.625,0.893,0.0,0.0,,0.0,3.0,3.0,3.0,2.0,0.0,1.0,4.0,25.0,21.6,14.0
Buddy Hield,hieldbu01,2023,37,505.0,37.0,2022-12-31,,,LAC,"W, 131-130",*,,6.0,16.0,0.375,5.0,12.0,0.417,1.0,4.0,0.25,0.531,1.0,1.0,1.0,2.0,6.0,8.0,2.0,1.0,0.0,1.0,2.0,18.0,13.0,2.0
Buddy Hield,hieldbu01,2023,38,506.0,38.0,2023-01-02,,,TOR,"W, 122-114",*,,7.0,11.0,0.636,4.0,7.0,0.571,3.0,4.0,0.75,0.818,1.0,1.0,1.0,0.0,5.0,5.0,4.0,0.0,0.0,0.0,1.0,19.0,18.0,0.0
Buddy Hield,hieldbu01,2023,39,507.0,39.0,2023-01-04,,,PHI,"L, 126-129 (OT)",*,,9.0,22.0,0.409,6.0,14.0,0.429,3.0,8.0,0.375,0.545,0.0,0.0,,1.0,8.0,9.0,6.0,2.0,1.0,0.0,1.0,24.0,21.8,1.0
Buddy Hield,hieldbu01,2023,40,508.0,40.0,2023-01-06,,,POR,"W, 108-99",*,,3.0,9.0,0.333,2.0,5.0,0.4,1.0,4.0,0.25,0.444,3.0,3.0,1.0,0.0,6.0,6.0,0.0,2.0,1.0,0.0,2.0,11.0,9.6,9.0
Buddy Hield,hieldbu01,2023,41,509.0,41.0,2023-01-08,,,CHO,"W, 116-111",*,,7.0,21.0,0.333,4.0,12.0,0.333,3.0,9.0,0.333,0.429,3.0,4.0,0.75,0.0,1.0,1.0,2.0,0.0,1.0,2.0,0.0,21.0,9.1,13.0
Buddy Hield,hieldbu01,2023,42,510.0,42.0,2023-01-11,,,NYK,"L, 113-119",*,,11.0,20.0,0.55,7.0,15.0,0.467,4.0,5.0,0.8,0.725,2.0,2.0,1.0,0.0,8.0,8.0,0.0,1.0,0.0,1.0,3.0,31.0,22.6,-3.0
Buddy Hield,hieldbu01,2023,43,511.0,43.0,2023-01-13,,,ATL,"L, 111-113",*,,5.0,15.0,0.333,5.0,12.0,0.417,0.0,3.0,0.0,0.5,3.0,3.0,1.0,0.0,5.0,5.0,5.0,3.0,0.0,1.0,4.0,18.0,14.9,-7.0
Buddy Hield,hieldbu01,2023,44,512.0,44.0,2023-01-14,,,MEM,"L, 112-130",*,,2.0,8.0,0.25,0.0,3.0,0.0,2.0,5.0,0.4,0.25,1.0,1.0,1.0,0.0,5.0,5.0,1.0,0.0,0.0,2.0,1.0,5.0,0.0,-29.0
Buddy Hield,hieldbu01,2023,45,513.0,45.0,2023-01-16,,,MIL,"L, 119-132",*,,6.0,15.0,0.4,5.0,10.0,0.5,1.0,5.0,0.2,0.567,1.0,1.0,1.0,0.0,5.0,5.0,5.0,1.0,0.0,2.0,3.0,18.0,12.7,-19.0
Buddy Hield,hieldbu01,2023,46,514.0,46.0,2023-01-18,,,OKC,"L, 106-126",*,,1.0,4.0,0.25,1.0,4.0,0.25,0.0,0.0,,0.375,0.0,0.0,,0.0,2.0,2.0,3.0,0.0,0.0,3.0,1.0,3.0,-0.1,-27.0
Buddy Hield,hieldbu01,2023,47,515.0,47.0,2023-01-20,,,DEN,"L, 111-134",*,,3.0,6.0,0.5,0.0,2.0,0.0,3.0,4.0,0.75,0.5,3.0,3.0,1.0,1.0,5.0,6.0,3.0,1.0,0.0,2.0,0.0,9.0,9.3,-12.0
