player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Jonathan Isaac,isaacjo01,2023,1,137.0,47.0,2023-01-23,,,BOS,"W, 113-98",,,4.0,7.0,0.571,2.0,3.0,0.667,2.0,4.0,0.5,0.714,0.0,2.0,0.0,1.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,10.0,9.9,7.0
Jonathan Isaac,isaacjo01,2023,2,138.0,48.0,2023-01-25,,,IND,"W, 126-120",,,2.0,4.0,0.5,1.0,2.0,0.5,1.0,2.0,0.5,0.625,0.0,0.0,,0.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,5.0,6.3,2.0
Jonathan Isaac,isaacjo01,2023,3,139.0,50.0,2023-01-28,,,CHI,"L, 109-128",,,2.0,7.0,0.286,1.0,4.0,0.25,1.0,3.0,0.333,0.357,0.0,0.0,,1.0,3.0,4.0,0.0,1.0,0.0,0.0,1.0,5.0,3.1,-1.0
Jonathan Isaac,isaacjo01,2023,4,140.0,51.0,2023-01-30,,,PHI,"W, 119-109",,,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,,1.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,3.3,1.0
Jonathan Isaac,isaacjo01,2023,5,141.0,53.0,2023-02-03,,,MIN,"W, 127-120",,,4.0,5.0,0.8,0.0,0.0,,4.0,5.0,0.8,0.8,1.0,1.0,1.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,9.0,9.0,-9.0
Jonathan Isaac,isaacjo01,2023,6,142.0,54.0,2023-02-05,,,CHO,"W, 119-113",,,3.0,7.0,0.429,0.0,1.0,0.0,3.0,6.0,0.5,0.429,0.0,0.0,,4.0,3.0,7.0,0.0,0.0,1.0,0.0,0.0,6.0,6.7,-11.0
Jonathan Isaac,isaacjo01,2023,7,143.0,55.0,2023-02-07,,,NYK,"L, 98-102",,,1.0,5.0,0.2,0.0,2.0,0.0,1.0,3.0,0.333,0.2,0.0,0.0,,2.0,3.0,5.0,1.0,0.0,1.0,0.0,0.0,2.0,2.6,-7.0
Jonathan Isaac,isaacjo01,2023,8,144.0,56.0,2023-02-09,,,DEN,"W, 115-104",,,0.0,3.0,0.0,0.0,0.0,,0.0,3.0,0.0,0.0,3.0,4.0,0.75,1.0,2.0,3.0,1.0,3.0,1.0,0.0,0.0,3.0,6.2,5.0
Jonathan Isaac,isaacjo01,2023,9,145.0,57.0,2023-02-11,,,MIA,"L, 103-107 (OT)",,,1.0,3.0,0.333,0.0,0.0,,1.0,3.0,0.333,0.333,1.0,2.0,0.5,1.0,3.0,4.0,0.0,1.0,0.0,1.0,0.0,3.0,2.5,5.0
Jonathan Isaac,isaacjo01,2023,10,146.0,58.0,2023-02-13,,,CHI,"W, 100-91",,,0.0,4.0,0.0,0.0,0.0,,0.0,4.0,0.0,0.0,0.0,0.0,,2.0,2.0,4.0,0.0,1.0,0.0,1.0,1.0,0.0,-1.2,-4.0
Jonathan Isaac,isaacjo01,2023,11,147.0,60.0,2023-02-23,,,DET,"W, 108-106",,,4.0,6.0,0.667,2.0,3.0,0.667,2.0,3.0,0.667,0.833,0.0,0.0,,1.0,6.0,7.0,1.0,2.0,1.0,2.0,1.0,10.0,10.9,-7.0
