player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Luke Kennard,kennalu01,2023,1,298.0,1.0,2022-10-20,,,LAL,"W, 103-97",,,4.0,6.0,0.667,3.0,3.0,1.0,1.0,3.0,0.333,0.917,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,11.0,8.2,-1.0
Luke Kennard,kennalu01,2023,2,299.0,2.0,2022-10-22,,,SAC,"W, 111-109",,,4.0,11.0,0.364,1.0,4.0,0.25,3.0,7.0,0.429,0.409,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,5.2,15.0
Luke Kennard,kennalu01,2023,3,300.0,3.0,2022-10-23,,,PHO,"L, 95-112",,,1.0,4.0,0.25,0.0,1.0,0.0,1.0,3.0,0.333,0.25,0.0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,3.0,3.0,2.0,-3.7,-4.0
Luke Kennard,kennalu01,2023,4,301.0,4.0,2022-10-25,,,OKC,"L, 94-108",,,6.0,13.0,0.462,3.0,7.0,0.429,3.0,6.0,0.5,0.577,0.0,0.0,,0.0,4.0,4.0,2.0,1.0,0.0,1.0,1.0,15.0,10.5,2.0
Luke Kennard,kennalu01,2023,5,302.0,5.0,2022-10-27,,,OKC,"L, 110-118",,,4.0,5.0,0.8,2.0,3.0,0.667,2.0,2.0,1.0,1.0,0.0,0.0,,1.0,0.0,1.0,0.0,1.0,0.0,4.0,1.0,10.0,5.4,-2.0
Luke Kennard,kennalu01,2023,6,303.0,6.0,2022-10-30,,,NOP,"L, 91-112",,,3.0,5.0,0.6,1.0,3.0,0.333,2.0,2.0,1.0,0.7,0.0,0.0,,1.0,5.0,6.0,0.0,0.0,0.0,0.0,1.0,7.0,6.5,-15.0
Luke Kennard,kennalu01,2023,7,304.0,7.0,2022-10-31,,,HOU,"W, 95-93",*,,3.0,8.0,0.375,2.0,6.0,0.333,1.0,2.0,0.5,0.5,0.0,0.0,,1.0,9.0,10.0,2.0,0.0,0.0,2.0,3.0,8.0,5.2,3.0
Luke Kennard,kennalu01,2023,8,305.0,8.0,2022-11-02,,,HOU,"W, 109-101",*,,2.0,3.0,0.667,2.0,3.0,0.667,0.0,0.0,,1.0,0.0,0.0,,1.0,5.0,6.0,0.0,1.0,0.0,1.0,1.0,6.0,6.5,16.0
Luke Kennard,kennalu01,2023,9,306.0,9.0,2022-11-04,,,SAS,"W, 113-106",*,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.6,12.0
Luke Kennard,kennalu01,2023,10,307.0,11.0,2022-11-07,,,CLE,"W, 119-117",,,2.0,4.0,0.5,2.0,4.0,0.5,0.0,0.0,,0.75,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,6.0,5.6,-3.0
