player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Kevon Looney,looneke01,2023,1,368.0,1.0,2022-10-18,,,LAL,"W, 123-109",*,,3,4,0.75,0,0,,3,4,0.75,0.75,1,1,1.0,2,4,6,2,1,0,0,2,7,9.6,30
Kevon Looney,looneke01,2023,2,369.0,2.0,2022-10-21,,,DEN,"L, 123-128",*,,2,4,0.5,0,0,,2,4,0.5,0.5,0,0,,0,1,1,4,0,0,0,3,4,3.9,3
Kevon Looney,looneke01,2023,3,370.0,3.0,2022-10-23,,,SAC,"W, 130-125",*,,3,4,0.75,0,0,,3,4,0.75,0.75,0,2,0.0,2,6,8,6,0,1,0,3,6,10.5,18
Kevon Looney,looneke01,2023,4,371.0,4.0,2022-10-25,,,PHO,"L, 105-134",*,,3,3,1.0,0,0,,3,3,1.0,1.0,0,0,,2,2,4,3,0,0,1,4,6,6.6,-4
Kevon Looney,looneke01,2023,5,372.0,5.0,2022-10-27,,,MIA,"W, 123-110",*,,3,5,0.6,0,0,,3,5,0.6,0.6,1,2,0.5,2,6,8,4,0,0,1,2,7,8.5,12
Kevon Looney,looneke01,2023,6,373.0,6.0,2022-10-29,,,CHO,"L, 113-120 (OT)",*,,3,6,0.5,0,0,,3,6,0.5,0.5,4,6,0.667,4,5,9,4,0,1,0,2,10,13.2,-3
Kevon Looney,looneke01,2023,7,374.0,7.0,2022-10-30,,,DET,"L, 114-128",*,,1,4,0.25,0,0,,1,4,0.25,0.25,0,0,,6,3,9,2,0,0,0,2,2,5.3,-17
Kevon Looney,looneke01,2023,8,375.0,8.0,2022-11-01,,,MIA,"L, 109-116",*,,2,2,1.0,0,0,,2,2,1.0,1.0,0,0,,0,3,3,2,1,0,0,3,4,5.5,11
Kevon Looney,looneke01,2023,9,376.0,9.0,2022-11-03,,,ORL,"L, 129-130",*,,8,11,0.727,0,0,,8,11,0.727,0.727,1,1,1.0,2,5,7,3,1,0,0,5,17,16.5,10
Kevon Looney,looneke01,2023,10,377.0,10.0,2022-11-04,,,NOP,"L, 105-114",*,,2,3,0.667,0,0,,2,3,0.667,0.667,1,1,1.0,1,4,5,2,0,0,0,5,5,5.0,-7
Kevon Looney,looneke01,2023,11,378.0,11.0,2022-11-07,,,SAC,"W, 116-113",*,,1,4,0.25,0,0,,1,4,0.25,0.25,0,0,,3,10,13,4,1,1,0,4,2,7.6,8
Kevon Looney,looneke01,2023,12,379.0,12.0,2022-11-11,,,CLE,"W, 106-101",*,,3,4,0.75,0,0,,3,4,0.75,0.75,1,1,1.0,1,8,9,3,0,2,2,4,7,8.4,7
Kevon Looney,looneke01,2023,13,380.0,13.0,2022-11-13,,,SAC,"L, 115-122",*,,4,7,0.571,0,0,,4,7,0.571,0.571,0,0,,6,4,10,2,0,2,3,4,8,8.3,-4
Kevon Looney,looneke01,2023,14,381.0,14.0,2022-11-14,,,SAS,"W, 132-95",*,,1,3,0.333,0,0,,1,3,0.333,0.333,0,0,,1,3,4,4,1,0,0,0,2,5.7,17
Kevon Looney,looneke01,2023,15,382.0,15.0,2022-11-16,,,PHO,"L, 119-130",*,,5,6,0.833,0,0,,5,6,0.833,0.833,0,0,,2,6,8,2,0,1,0,2,10,12.3,-11
Kevon Looney,looneke01,2023,16,383.0,16.0,2022-11-18,,,NYK,"W, 111-101",*,,1,2,0.5,0,0,,1,2,0.5,0.5,3,4,0.75,3,5,8,3,1,0,0,4,5,8.7,20
Kevon Looney,looneke01,2023,17,384.0,17.0,2022-11-20,,,HOU,"W, 127-120",*,,1,2,0.5,0,0,,1,2,0.5,0.5,1,2,0.5,2,5,7,5,0,1,0,6,3,6.3,0
Kevon Looney,looneke01,2023,18,385.0,18.0,2022-11-21,,,NOP,"L, 83-128",*,,0,0,,0,0,,0,0,,,0,0,,0,3,3,0,0,0,1,1,0,-0.5,-8
Kevon Looney,looneke01,2023,19,386.0,19.0,2022-11-23,,,LAC,"W, 124-107",*,,4,4,1.0,0,0,,4,4,1.0,1.0,1,3,0.333,0,3,3,2,2,2,0,5,9,10.7,7
Kevon Looney,looneke01,2023,20,387.0,20.0,2022-11-25,,,UTA,"W, 129-118",*,,5,8,0.625,0,0,,5,8,0.625,0.625,0,1,0.0,7,5,12,4,0,0,2,1,10,12.8,2
Kevon Looney,looneke01,2023,21,388.0,21.0,2022-11-27,,,MIN,"W, 137-114",*,,1,1,1.0,0,0,,1,1,1.0,1.0,0,0,,2,5,7,4,1,0,0,2,2,7.6,23
Kevon Looney,looneke01,2023,22,389.0,22.0,2022-11-29,,,DAL,"L, 113-116",*,,4,4,1.0,0,0,,4,4,1.0,1.0,3,3,1.0,3,3,6,1,0,0,0,1,11,13.1,-15
Kevon Looney,looneke01,2023,23,390.0,23.0,2022-12-02,,,CHI,"W, 119-111",*,,3,5,0.6,0,0,,3,5,0.6,0.6,1,4,0.25,4,8,12,3,1,1,0,1,7,12.1,11
Kevon Looney,looneke01,2023,24,391.0,24.0,2022-12-03,,,HOU,"W, 120-101",*,,3,4,0.75,0,0,,3,4,0.75,0.75,3,5,0.6,0,12,12,2,0,1,0,2,9,11.5,19
Kevon Looney,looneke01,2023,25,392.0,25.0,2022-12-05,,,IND,"L, 104-112",*,,2,2,1.0,0,0,,2,2,1.0,1.0,2,2,1.0,1,6,7,0,0,0,0,1,6,7.5,-21
Kevon Looney,looneke01,2023,26,393.0,26.0,2022-12-07,,,UTA,"L, 123-124",*,,3,5,0.6,0,0,,3,5,0.6,0.6,1,1,1.0,5,4,9,1,0,1,1,4,7,8.2,10
Kevon Looney,looneke01,2023,27,394.0,27.0,2022-12-10,,,BOS,"W, 123-107",*,,3,4,0.75,0,0,,3,4,0.75,0.75,1,2,0.5,3,12,15,3,0,2,0,1,7,13.8,19
