player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Trey Lyles,lylestr01,2023,1,450.0,1.0,2022-10-19,,,POR,"L, 108-115",,,2.0,8.0,0.25,2.0,7.0,0.286,0.0,1.0,0.0,0.375,0.0,0.0,,0.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,6.0,3.4,-4.0
Trey Lyles,lylestr01,2023,2,451.0,3.0,2022-10-23,,,GSW,"L, 125-130",,,1.0,3.0,0.333,0.0,2.0,0.0,1.0,1.0,1.0,0.333,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,0.5,4.0
Trey Lyles,lylestr01,2023,3,452.0,5.0,2022-10-29,,,MIA,"W, 119-113",,,4.0,7.0,0.571,2.0,4.0,0.5,2.0,3.0,0.667,0.714,0.0,2.0,0.0,1.0,4.0,5.0,0.0,1.0,1.0,1.0,1.0,10.0,8.1,3.0
Trey Lyles,lylestr01,2023,4,453.0,6.0,2022-10-31,,,CHO,"W, 115-108",,,1.0,4.0,0.25,1.0,3.0,0.333,0.0,1.0,0.0,0.375,3.0,4.0,0.75,2.0,2.0,4.0,3.0,1.0,2.0,2.0,4.0,6.0,6.1,11.0
Trey Lyles,lylestr01,2023,5,454.0,7.0,2022-11-02,,,MIA,"L, 107-110",,,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,,0.5,0.0,0.0,,0.0,4.0,4.0,1.0,0.0,0.0,1.0,0.0,3.0,2.2,-4.0
Trey Lyles,lylestr01,2023,6,455.0,8.0,2022-11-05,,,ORL,"W, 126-123 (OT)",,,5.0,10.0,0.5,4.0,7.0,0.571,1.0,3.0,0.333,0.7,1.0,1.0,1.0,0.0,3.0,3.0,2.0,0.0,1.0,2.0,2.0,15.0,10.2,10.0
Trey Lyles,lylestr01,2023,7,456.0,9.0,2022-11-07,,,GSW,"L, 113-116",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0
Trey Lyles,lylestr01,2023,8,457.0,10.0,2022-11-09,,,CLE,"W, 127-120",,,5.0,9.0,0.556,4.0,7.0,0.571,1.0,2.0,0.5,0.778,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,2.0,16.0,9.6,1.0
Trey Lyles,lylestr01,2023,9,458.0,11.0,2022-11-11,,,LAL,"W, 120-114",,,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.1,-7.0
Trey Lyles,lylestr01,2023,10,459.0,12.0,2022-11-13,,,GSW,"W, 122-115",,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.1,-9.0
