player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Josh Minott,minotjo01,2023,1,1.0,21.0,2022-11-28,,,WAS,"L, 127-142",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,4.0,6.4,10.0
Josh Minott,minotjo01,2023,2,2.0,27.0,2022-12-12,,,POR,"L, 112-133",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3,3.0
Josh Minott,minotjo01,2023,3,3.0,28.0,2022-12-14,,,LAC,"L, 88-99",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.4,5.0
Josh Minott,minotjo01,2023,4,4.0,30.0,2022-12-18,,,CHI,"W, 150-126",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.7,6.0
Josh Minott,minotjo01,2023,5,5.0,31.0,2022-12-19,,,DAL,"W, 116-106",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0
Josh Minott,minotjo01,2023,6,6.0,33.0,2022-12-23,,,BOS,"L, 109-121",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,4.0
Josh Minott,minotjo01,2023,7,7.0,40.0,2023-01-06,,,LAC,"W, 128-115",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.9,-3.0
Josh Minott,minotjo01,2023,8,8.0,56.0,2023-02-05,,,DEN,"W, 128-98",,,1.0,3.0,0.333,0.0,0.0,,1.0,3.0,0.333,0.333,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.3,-1.0
Josh Minott,minotjo01,2023,9,9.0,57.0,2023-02-07,,,DEN,"L, 112-146",,,4.0,7.0,0.571,1.0,1.0,1.0,3.0,6.0,0.5,0.643,2.0,2.0,1.0,1.0,4.0,5.0,0.0,1.0,2.0,0.0,1.0,11.0,11.6,3.0
Josh Minott,minotjo01,2023,10,10.0,58.0,2023-02-08,,,UTA,"W, 143-118",,,6.0,12.0,0.5,0.0,2.0,0.0,6.0,10.0,0.6,0.5,0.0,0.0,,2.0,9.0,11.0,0.0,1.0,2.0,0.0,4.0,12.0,10.9,9.0
Josh Minott,minotjo01,2023,11,11.0,59.0,2023-02-10,,,MEM,"L, 107-128",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh Minott,minotjo01,2023,12,12.0,67.0,2023-03-07,,,PHI,"L, 94-117",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,1.0
Josh Minott,minotjo01,2023,13,13.0,69.0,2023-03-13,,,ATL,"W, 136-115",,,2.0,3.0,0.667,1.0,1.0,1.0,1.0,2.0,0.5,0.833,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,3.3,-2.0
Josh Minott,minotjo01,2023,14,14.0,72.0,2023-03-18,,,TOR,"L, 107-122",,,2.0,3.0,0.667,0.0,0.0,,2.0,3.0,0.667,0.667,2.0,2.0,1.0,0.0,3.0,3.0,1.0,1.0,0.0,3.0,2.0,6.0,3.5,-1.0
Josh Minott,minotjo01,2023,15,15.0,81.0,2023-04-08,,,SAS,"W, 151-131",,,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.7,-6.0
