player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Evan Mobley,mobleev01,2023,1,70.0,1.0,2022-10-19,,,TOR,"L, 105-108",*,,5.0,9.0,0.556,1.0,3.0,0.333,4.0,6.0,0.667,0.611,3.0,4.0,0.75,0.0,6.0,6.0,1.0,1.0,1.0,3.0,1.0,14.0,10.1,-14.0
Evan Mobley,mobleev01,2023,2,71.0,2.0,2022-10-22,,,CHI,"W, 128-96",*,,7.0,9.0,0.778,0.0,0.0,,7.0,9.0,0.778,0.778,2.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,16.0,12.8,7.0
Evan Mobley,mobleev01,2023,3,72.0,3.0,2022-10-23,,,WAS,"W, 117-107 (OT)",*,,2.0,7.0,0.286,0.0,0.0,,2.0,7.0,0.286,0.286,6.0,6.0,1.0,2.0,5.0,7.0,2.0,2.0,1.0,2.0,3.0,10.0,9.7,-3.0
Evan Mobley,mobleev01,2023,4,73.0,4.0,2022-10-26,,,ORL,"W, 103-92",*,,9.0,15.0,0.6,0.0,0.0,,9.0,15.0,0.6,0.6,2.0,4.0,0.5,0.0,3.0,3.0,3.0,1.0,1.0,3.0,4.0,20.0,12.4,3.0
Evan Mobley,mobleev01,2023,5,74.0,5.0,2022-10-28,,,BOS,"W, 132-123 (OT)",*,,7.0,12.0,0.583,1.0,3.0,0.333,6.0,9.0,0.667,0.625,4.0,6.0,0.667,3.0,7.0,10.0,3.0,1.0,2.0,2.0,4.0,19.0,17.7,2.0
Evan Mobley,mobleev01,2023,6,75.0,6.0,2022-10-30,,,NYK,"W, 121-108",*,,6.0,13.0,0.462,0.0,2.0,0.0,6.0,11.0,0.545,0.462,4.0,4.0,1.0,2.0,5.0,7.0,3.0,1.0,1.0,2.0,5.0,16.0,12.0,18.0
Evan Mobley,mobleev01,2023,7,76.0,7.0,2022-11-02,,,BOS,"W, 114-113 (OT)",*,,7.0,8.0,0.875,0.0,1.0,0.0,7.0,7.0,1.0,0.875,1.0,2.0,0.5,2.0,5.0,7.0,2.0,0.0,0.0,3.0,3.0,15.0,11.9,15.0
Evan Mobley,mobleev01,2023,8,77.0,8.0,2022-11-04,,,DET,"W, 112-88",*,,5.0,14.0,0.357,0.0,1.0,0.0,5.0,13.0,0.385,0.357,1.0,2.0,0.5,2.0,6.0,8.0,2.0,0.0,8.0,1.0,0.0,11.0,12.0,0.0
Evan Mobley,mobleev01,2023,9,78.0,9.0,2022-11-06,,,LAL,"W, 114-100",*,,2.0,7.0,0.286,0.0,1.0,0.0,2.0,6.0,0.333,0.286,1.0,2.0,0.5,2.0,5.0,7.0,3.0,2.0,1.0,1.0,3.0,5.0,6.0,1.0
Evan Mobley,mobleev01,2023,10,79.0,10.0,2022-11-07,,,LAC,"L, 117-119",*,,12.0,18.0,0.667,0.0,0.0,,12.0,18.0,0.667,0.667,2.0,2.0,1.0,3.0,5.0,8.0,1.0,0.0,0.0,3.0,6.0,26.0,17.1,-20.0
