player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Ja Morant,moranja01,2023,1,188.0,1.0,2022-10-19,,,NYK,"W, 115-112 (OT)",*,,11.0,24.0,0.458,3.0,6.0,0.5,8.0,18.0,0.444,0.521,9.0,11.0,0.818,1.0,3.0,4.0,9.0,0.0,1.0,6.0,4.0,34.0,21.8,1.0
Ja Morant,moranja01,2023,2,189.0,2.0,2022-10-21,,,HOU,"W, 129-122",*,,17.0,26.0,0.654,5.0,6.0,0.833,12.0,20.0,0.6,0.75,10.0,13.0,0.769,3.0,1.0,4.0,8.0,1.0,2.0,3.0,2.0,49.0,43.0,23.0
Ja Morant,moranja01,2023,3,190.0,3.0,2022-10-22,,,DAL,"L, 96-137",*,,6.0,12.0,0.5,0.0,2.0,0.0,6.0,10.0,0.6,0.5,8.0,8.0,1.0,0.0,1.0,1.0,4.0,1.0,0.0,3.0,3.0,20.0,13.9,-31.0
Ja Morant,moranja01,2023,4,191.0,4.0,2022-10-24,,,BRK,"W, 134-124",*,,12.0,22.0,0.545,4.0,6.0,0.667,8.0,16.0,0.5,0.636,10.0,11.0,0.909,2.0,6.0,8.0,7.0,2.0,0.0,2.0,1.0,38.0,34.7,20.0
Ja Morant,moranja01,2023,5,192.0,5.0,2022-10-27,,,SAC,"W, 125-110",*,,8.0,18.0,0.444,1.0,3.0,0.333,7.0,15.0,0.467,0.472,5.0,5.0,1.0,1.0,4.0,5.0,6.0,0.0,0.0,3.0,1.0,22.0,15.3,2.0
Ja Morant,moranja01,2023,6,193.0,7.0,2022-10-31,,,UTA,"L, 105-121",*,,12.0,18.0,0.667,1.0,2.0,0.5,11.0,16.0,0.688,0.694,12.0,15.0,0.8,1.0,4.0,5.0,4.0,0.0,0.0,3.0,2.0,37.0,28.9,-19.0
Ja Morant,moranja01,2023,7,194.0,8.0,2022-11-02,,,POR,"W, 111-106",*,,7.0,19.0,0.368,0.0,2.0,0.0,7.0,17.0,0.412,0.368,6.0,7.0,0.857,0.0,9.0,9.0,7.0,2.0,0.0,8.0,1.0,20.0,10.3,1.0
Ja Morant,moranja01,2023,8,195.0,9.0,2022-11-04,,,CHO,"W, 130-99",*,,4.0,12.0,0.333,1.0,3.0,0.333,3.0,9.0,0.333,0.375,3.0,4.0,0.75,0.0,4.0,4.0,11.0,0.0,0.0,5.0,0.0,12.0,8.7,40.0
Ja Morant,moranja01,2023,9,196.0,10.0,2022-11-06,,,WAS,"W, 103-97",*,,9.0,27.0,0.333,1.0,4.0,0.25,8.0,23.0,0.348,0.352,4.0,6.0,0.667,2.0,7.0,9.0,6.0,1.0,0.0,4.0,0.0,23.0,11.6,3.0
Ja Morant,moranja01,2023,10,197.0,11.0,2022-11-07,,,BOS,"L, 106-109",*,,10.0,24.0,0.417,5.0,12.0,0.417,5.0,12.0,0.417,0.521,5.0,9.0,0.556,0.0,8.0,8.0,9.0,2.0,1.0,4.0,4.0,30.0,21.4,14.0
Ja Morant,moranja01,2023,11,198.0,12.0,2022-11-09,,,SAS,"W, 124-122 (OT)",*,,14.0,25.0,0.56,2.0,5.0,0.4,12.0,20.0,0.6,0.6,2.0,3.0,0.667,0.0,5.0,5.0,5.0,1.0,0.0,3.0,1.0,32.0,22.3,11.0
Ja Morant,moranja01,2023,12,199.0,13.0,2022-11-11,,,MIN,"W, 114-103",*,,11.0,25.0,0.44,2.0,10.0,0.2,9.0,15.0,0.6,0.48,4.0,7.0,0.571,3.0,7.0,10.0,8.0,2.0,0.0,4.0,4.0,28.0,19.9,-2.0
Ja Morant,moranja01,2023,13,200.0,15.0,2022-11-15,,,NOP,"L, 102-113",*,,13.0,27.0,0.481,2.0,6.0,0.333,11.0,21.0,0.524,0.519,8.0,11.0,0.727,3.0,5.0,8.0,4.0,3.0,0.0,3.0,1.0,36.0,27.1,5.0
Ja Morant,moranja01,2023,14,201.0,16.0,2022-11-18,,,OKC,"W, 121-110",*,,5.0,20.0,0.25,0.0,2.0,0.0,5.0,18.0,0.278,0.25,9.0,10.0,0.9,2.0,5.0,7.0,11.0,0.0,1.0,2.0,1.0,19.0,15.5,6.0
Ja Morant,moranja01,2023,15,202.0,18.0,2022-11-22,,,SAC,"L, 109-113",*,,12.0,21.0,0.571,1.0,3.0,0.333,11.0,18.0,0.611,0.595,9.0,15.0,0.6,1.0,6.0,7.0,6.0,2.0,0.0,5.0,2.0,34.0,24.6,1.0
Ja Morant,moranja01,2023,16,203.0,19.0,2022-11-25,,,NOP,"W, 132-111",*,,8.0,16.0,0.5,2.0,6.0,0.333,6.0,10.0,0.6,0.563,5.0,10.0,0.5,2.0,2.0,4.0,11.0,0.0,0.0,2.0,1.0,23.0,20.3,24.0
Ja Morant,moranja01,2023,17,204.0,20.0,2022-11-27,,,NYK,"W, 127-123",*,,9.0,20.0,0.45,0.0,3.0,0.0,9.0,17.0,0.529,0.45,9.0,11.0,0.818,1.0,9.0,10.0,14.0,1.0,0.0,4.0,3.0,27.0,24.8,7.0
Ja Morant,moranja01,2023,18,205.0,21.0,2022-11-30,,,MIN,"L, 101-109",*,,8.0,20.0,0.4,2.0,4.0,0.5,6.0,16.0,0.375,0.45,6.0,11.0,0.545,2.0,3.0,5.0,6.0,2.0,0.0,7.0,2.0,24.0,11.9,-9.0
Ja Morant,moranja01,2023,19,206.0,22.0,2022-12-02,,,PHI,"W, 117-109",*,,10.0,28.0,0.357,2.0,8.0,0.25,8.0,20.0,0.4,0.393,6.0,8.0,0.75,1.0,7.0,8.0,3.0,0.0,0.0,1.0,3.0,28.0,14.3,-8.0
Ja Morant,moranja01,2023,20,207.0,23.0,2022-12-04,,,DET,"W, 122-112",*,,12.0,23.0,0.522,3.0,7.0,0.429,9.0,16.0,0.563,0.587,6.0,8.0,0.75,1.0,4.0,5.0,10.0,1.0,0.0,4.0,2.0,33.0,26.0,21.0
Ja Morant,moranja01,2023,21,208.0,25.0,2022-12-07,,,OKC,"W, 123-102",*,,8.0,16.0,0.5,2.0,3.0,0.667,6.0,13.0,0.462,0.563,8.0,10.0,0.8,3.0,10.0,13.0,11.0,2.0,0.0,3.0,2.0,26.0,28.2,11.0
Ja Morant,moranja01,2023,22,209.0,26.0,2022-12-09,,,DET,"W, 114-103",*,,6.0,20.0,0.3,0.0,7.0,0.0,6.0,13.0,0.462,0.3,3.0,5.0,0.6,1.0,5.0,6.0,12.0,3.0,1.0,4.0,3.0,15.0,11.7,22.0
Ja Morant,moranja01,2023,23,210.0,28.0,2022-12-15,,,MIL,"W, 142-101",*,,9.0,21.0,0.429,2.0,8.0,0.25,7.0,13.0,0.538,0.476,5.0,8.0,0.625,2.0,8.0,10.0,10.0,1.0,0.0,1.0,1.0,25.0,23.1,30.0
Ja Morant,moranja01,2023,24,211.0,29.0,2022-12-17,,,OKC,"L, 109-115",*,,3.0,10.0,0.3,0.0,3.0,0.0,3.0,7.0,0.429,0.3,0.0,1.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,2.0,1.0,6.0,0.3,-10.0
Ja Morant,moranja01,2023,25,212.0,30.0,2022-12-20,,,DEN,"L, 91-105",*,,12.0,26.0,0.462,3.0,6.0,0.5,9.0,20.0,0.45,0.519,8.0,10.0,0.8,0.0,1.0,1.0,10.0,0.0,0.0,7.0,2.0,35.0,20.3,-16.0
Ja Morant,moranja01,2023,26,213.0,31.0,2022-12-23,,,PHO,"W, 125-100",*,,4.0,14.0,0.286,0.0,2.0,0.0,4.0,12.0,0.333,0.286,4.0,6.0,0.667,2.0,3.0,5.0,11.0,0.0,0.0,3.0,1.0,12.0,9.6,27.0
Ja Morant,moranja01,2023,27,214.0,32.0,2022-12-25,,,GSW,"L, 109-123",*,,15.0,29.0,0.517,2.0,10.0,0.2,13.0,19.0,0.684,0.552,4.0,7.0,0.571,0.0,7.0,7.0,8.0,1.0,0.0,6.0,1.0,36.0,22.8,-7.0
Ja Morant,moranja01,2023,28,215.0,33.0,2022-12-27,,,PHO,"L, 108-125",*,,8.0,22.0,0.364,3.0,10.0,0.3,5.0,12.0,0.417,0.432,15.0,16.0,0.938,1.0,2.0,3.0,6.0,1.0,0.0,2.0,3.0,34.0,24.7,-23.0
Ja Morant,moranja01,2023,29,216.0,34.0,2022-12-29,,,TOR,"W, 119-106",*,,9.0,19.0,0.474,1.0,4.0,0.25,8.0,15.0,0.533,0.5,0.0,0.0,,0.0,4.0,4.0,17.0,0.0,1.0,3.0,1.0,19.0,19.7,21.0
Ja Morant,moranja01,2023,30,217.0,35.0,2022-12-31,,,NOP,"W, 116-101",*,,13.0,22.0,0.591,0.0,6.0,0.0,13.0,16.0,0.813,0.591,6.0,7.0,0.857,0.0,3.0,3.0,8.0,2.0,0.0,4.0,0.0,32.0,25.9,7.0
Ja Morant,moranja01,2023,31,218.0,36.0,2023-01-01,,,SAC,"W, 118-108",*,,13.0,23.0,0.565,1.0,5.0,0.2,12.0,18.0,0.667,0.587,8.0,10.0,0.8,0.0,7.0,7.0,5.0,1.0,1.0,3.0,4.0,35.0,26.0,8.0
Ja Morant,moranja01,2023,32,219.0,37.0,2023-01-04,,,CHO,"W, 131-107",*,,8.0,17.0,0.471,2.0,5.0,0.4,6.0,12.0,0.5,0.529,5.0,6.0,0.833,0.0,1.0,1.0,8.0,2.0,0.0,1.0,1.0,23.0,20.4,16.0
Ja Morant,moranja01,2023,33,220.0,38.0,2023-01-05,,,ORL,"W, 123-115",*,,13.0,21.0,0.619,1.0,5.0,0.2,12.0,16.0,0.75,0.643,5.0,7.0,0.714,2.0,3.0,5.0,6.0,1.0,0.0,3.0,0.0,32.0,26.2,-8.0
Ja Morant,moranja01,2023,34,221.0,41.0,2023-01-11,,,SAS,"W, 135-129",*,,14.0,25.0,0.56,3.0,5.0,0.6,11.0,20.0,0.55,0.62,7.0,9.0,0.778,3.0,2.0,5.0,4.0,0.0,1.0,5.0,0.0,38.0,26.5,-3.0
Ja Morant,moranja01,2023,35,222.0,42.0,2023-01-14,,,IND,"W, 130-112",*,,7.0,17.0,0.412,0.0,3.0,0.0,7.0,14.0,0.5,0.412,9.0,12.0,0.75,1.0,2.0,3.0,10.0,0.0,1.0,2.0,1.0,23.0,19.3,17.0
Ja Morant,moranja01,2023,36,223.0,43.0,2023-01-16,,,PHO,"W, 136-106",*,,11.0,20.0,0.55,5.0,8.0,0.625,6.0,12.0,0.5,0.675,2.0,2.0,1.0,0.0,2.0,2.0,7.0,1.0,0.0,1.0,1.0,29.0,24.5,14.0
Ja Morant,moranja01,2023,37,224.0,44.0,2023-01-18,,,CLE,"W, 115-114",*,,9.0,19.0,0.474,0.0,3.0,0.0,9.0,16.0,0.563,0.474,6.0,9.0,0.667,0.0,2.0,2.0,8.0,1.0,0.0,1.0,1.0,24.0,18.9,-13.0
Ja Morant,moranja01,2023,38,225.0,45.0,2023-01-20,,,LAL,"L, 121-122",*,,9.0,29.0,0.31,1.0,6.0,0.167,8.0,23.0,0.348,0.328,3.0,5.0,0.6,2.0,1.0,3.0,8.0,0.0,0.0,5.0,3.0,22.0,5.6,-6.0
Ja Morant,moranja01,2023,39,226.0,46.0,2023-01-22,,,PHO,"L, 110-112",*,,9.0,17.0,0.529,1.0,2.0,0.5,8.0,15.0,0.533,0.559,8.0,10.0,0.8,0.0,5.0,5.0,8.0,1.0,0.0,3.0,1.0,27.0,22.6,-1.0
Ja Morant,moranja01,2023,40,227.0,48.0,2023-01-25,,,GSW,"L, 120-122",*,,10.0,20.0,0.5,2.0,7.0,0.286,8.0,13.0,0.615,0.55,7.0,12.0,0.583,1.0,3.0,4.0,12.0,2.0,1.0,5.0,3.0,29.0,23.5,1.0
Ja Morant,moranja01,2023,41,228.0,49.0,2023-01-27,,,MIN,"L, 100-111",*,,10.0,21.0,0.476,3.0,6.0,0.5,7.0,15.0,0.467,0.548,4.0,4.0,1.0,1.0,9.0,10.0,11.0,0.0,0.0,6.0,1.0,27.0,21.0,-2.0
Ja Morant,moranja01,2023,42,229.0,50.0,2023-01-29,,,IND,"W, 112-100",*,,9.0,21.0,0.429,1.0,6.0,0.167,8.0,15.0,0.533,0.452,8.0,9.0,0.889,2.0,8.0,10.0,15.0,2.0,1.0,2.0,3.0,27.0,29.3,20.0
Ja Morant,moranja01,2023,43,230.0,51.0,2023-02-01,,,POR,"L, 112-122",*,,8.0,16.0,0.5,3.0,7.0,0.429,5.0,9.0,0.556,0.594,13.0,18.0,0.722,2.0,7.0,9.0,12.0,1.0,0.0,5.0,2.0,32.0,29.1,-6.0
Ja Morant,moranja01,2023,44,231.0,52.0,2023-02-02,,,CLE,"L, 113-128",*,,9.0,20.0,0.45,0.0,1.0,0.0,9.0,19.0,0.474,0.45,6.0,6.0,1.0,3.0,5.0,8.0,8.0,1.0,1.0,3.0,5.0,24.0,19.5,-14.0
