player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Svi Mykhailiuk,mykhasv01,2023,1,221.0,2.0,2022-10-21,,,DET,"W, 130-106",,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.5,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.3,0.0
Svi Mykhailiuk,mykhasv01,2023,2,222.0,10.0,2022-11-07,,,MIN,"W, 120-107",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
Svi Mykhailiuk,mykhasv01,2023,3,223.0,11.0,2022-11-09,,,BRK,"L, 85-112",,,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,,1.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,4.0,5.0
Svi Mykhailiuk,mykhasv01,2023,4,224.0,16.0,2022-11-18,,,GSW,"L, 101-111",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Svi Mykhailiuk,mykhasv01,2023,5,225.0,17.0,2022-11-20,,,PHO,"L, 95-116",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,1.0,2.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9,0.0
Svi Mykhailiuk,mykhasv01,2023,6,226.0,21.0,2022-11-29,,,DET,"W, 140-110",,,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1,1.0
Svi Mykhailiuk,mykhasv01,2023,7,227.0,23.0,2022-12-03,,,DAL,"L, 100-121",,,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,,0.75,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.3,9.0
Svi Mykhailiuk,mykhasv01,2023,8,228.0,25.0,2022-12-07,,,ATL,"W, 113-89",,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.7,-1.0
Svi Mykhailiuk,mykhasv01,2023,9,229.0,26.0,2022-12-09,,,CHO,"W, 121-102",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.8,1.0
Svi Mykhailiuk,mykhasv01,2023,10,230.0,29.0,2022-12-16,,,CHI,"W, 114-91",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6,-4.0
Svi Mykhailiuk,mykhasv01,2023,11,231.0,31.0,2022-12-20,,,GSW,"W, 132-94",,,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,,0.75,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,4.7,8.0
Svi Mykhailiuk,mykhasv01,2023,12,232.0,38.0,2023-01-02,,,PHO,"W, 102-83",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Svi Mykhailiuk,mykhasv01,2023,13,233.0,47.0,2023-01-20,,,ATL,"L, 124-139",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
