player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Chris Paul,paulch01,2023,1,1156.0,1.0,2022-10-19,,,DAL,"W, 107-105",*,,1.0,6.0,0.167,0.0,2.0,0.0,1.0,4.0,0.25,0.167,4.0,4.0,1.0,0.0,3.0,3.0,9.0,2.0,0.0,3.0,3.0,6.0,7.2,-9.0
Chris Paul,paulch01,2023,2,1157.0,2.0,2022-10-21,,,POR,"L, 111-113 (OT)",*,,5.0,11.0,0.455,0.0,1.0,0.0,5.0,10.0,0.5,0.455,0.0,0.0,,0.0,4.0,4.0,12.0,5.0,0.0,1.0,5.0,10.0,15.9,0.0
Chris Paul,paulch01,2023,3,1158.0,3.0,2022-10-23,,,LAC,"W, 112-95",*,,3.0,11.0,0.273,1.0,8.0,0.125,2.0,3.0,0.667,0.318,0.0,0.0,,3.0,5.0,8.0,11.0,1.0,1.0,2.0,2.0,7.0,10.7,15.0
Chris Paul,paulch01,2023,4,1159.0,4.0,2022-10-25,,,GSW,"W, 134-105",*,,5.0,10.0,0.5,4.0,5.0,0.8,1.0,5.0,0.2,0.7,2.0,2.0,1.0,0.0,7.0,7.0,9.0,1.0,0.0,2.0,4.0,16.0,16.8,21.0
Chris Paul,paulch01,2023,5,1160.0,5.0,2022-10-28,,,NOP,"W, 124-111",*,,1.0,7.0,0.143,0.0,1.0,0.0,1.0,6.0,0.167,0.143,5.0,6.0,0.833,1.0,4.0,5.0,9.0,1.0,0.0,3.0,1.0,7.0,7.9,-3.0
Chris Paul,paulch01,2023,6,1161.0,6.0,2022-10-30,,,HOU,"W, 124-109",*,,3.0,7.0,0.429,0.0,4.0,0.0,3.0,3.0,1.0,0.429,4.0,5.0,0.8,0.0,1.0,1.0,15.0,0.0,0.0,0.0,1.0,10.0,16.3,19.0
Chris Paul,paulch01,2023,7,1162.0,7.0,2022-11-01,,,MIN,"W, 116-107",*,,5.0,12.0,0.417,1.0,5.0,0.2,4.0,7.0,0.571,0.458,4.0,6.0,0.667,1.0,7.0,8.0,12.0,3.0,0.0,1.0,2.0,15.0,20.2,18.0
Chris Paul,paulch01,2023,8,1163.0,8.0,2022-11-04,,,POR,"L, 106-108",*,,1.0,4.0,0.25,1.0,3.0,0.333,0.0,1.0,0.0,0.375,4.0,4.0,1.0,0.0,2.0,2.0,11.0,2.0,1.0,0.0,2.0,7.0,14.8,4.0
Chris Paul,paulch01,2023,9,1164.0,9.0,2022-11-05,,,POR,"W, 102-82",*,,3.0,7.0,0.429,2.0,4.0,0.5,1.0,3.0,0.333,0.571,7.0,7.0,1.0,0.0,5.0,5.0,4.0,0.0,0.0,1.0,2.0,15.0,13.8,16.0
Chris Paul,paulch01,2023,10,1165.0,10.0,2022-11-07,,,PHI,"L, 88-100",*,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,2.0,3.3,-10.0
Chris Paul,paulch01,2023,11,1166.0,25.0,2022-12-07,,,BOS,"L, 98-125",*,,2.0,6.0,0.333,0.0,2.0,0.0,2.0,4.0,0.5,0.333,0.0,0.0,,0.0,4.0,4.0,4.0,1.0,0.0,4.0,3.0,4.0,0.4,-28.0
Chris Paul,paulch01,2023,12,1167.0,26.0,2022-12-09,,,NOP,"L, 117-128",*,,7.0,14.0,0.5,6.0,9.0,0.667,1.0,5.0,0.2,0.714,4.0,4.0,1.0,0.0,8.0,8.0,7.0,0.0,0.0,3.0,3.0,24.0,20.1,3.0
Chris Paul,paulch01,2023,13,1168.0,27.0,2022-12-11,,,NOP,"L, 124-129 (OT)",*,,3.0,10.0,0.3,0.0,3.0,0.0,3.0,7.0,0.429,0.3,0.0,1.0,0.0,1.0,2.0,3.0,11.0,1.0,0.0,3.0,6.0,6.0,4.4,-5.0
Chris Paul,paulch01,2023,14,1169.0,28.0,2022-12-13,,,HOU,"L, 97-111",*,,5.0,17.0,0.294,2.0,10.0,0.2,3.0,7.0,0.429,0.353,4.0,4.0,1.0,1.0,5.0,6.0,7.0,2.0,1.0,4.0,2.0,16.0,11.1,-10.0
Chris Paul,paulch01,2023,15,1170.0,29.0,2022-12-15,,,LAC,"W, 111-95",*,,6.0,13.0,0.462,2.0,6.0,0.333,4.0,7.0,0.571,0.538,1.0,2.0,0.5,1.0,6.0,7.0,13.0,2.0,1.0,1.0,0.0,15.0,21.2,7.0
Chris Paul,paulch01,2023,16,1171.0,30.0,2022-12-17,,,NOP,"W, 118-114",*,,6.0,11.0,0.545,5.0,7.0,0.714,1.0,4.0,0.25,0.773,1.0,2.0,0.5,0.0,5.0,5.0,8.0,1.0,0.0,2.0,2.0,18.0,17.6,6.0
Chris Paul,paulch01,2023,17,1172.0,31.0,2022-12-19,,,LAL,"W, 130-104",*,,9.0,18.0,0.5,3.0,5.0,0.6,6.0,13.0,0.462,0.583,7.0,8.0,0.875,1.0,3.0,4.0,8.0,2.0,0.0,0.0,4.0,28.0,26.2,18.0
Chris Paul,paulch01,2023,18,1173.0,32.0,2022-12-20,,,WAS,"L, 110-113",*,,3.0,11.0,0.273,1.0,3.0,0.333,2.0,8.0,0.25,0.318,5.0,7.0,0.714,2.0,2.0,4.0,11.0,2.0,0.0,3.0,3.0,12.0,12.2,-10.0
Chris Paul,paulch01,2023,19,1174.0,33.0,2022-12-23,,,MEM,"L, 100-125",*,,5.0,8.0,0.625,0.0,1.0,0.0,5.0,7.0,0.714,0.625,0.0,0.0,,0.0,2.0,2.0,3.0,0.0,0.0,1.0,1.0,10.0,7.7,-20.0
Chris Paul,paulch01,2023,20,1175.0,34.0,2022-12-25,,,DEN,"L, 125-128 (OT)",*,,6.0,17.0,0.353,0.0,3.0,0.0,6.0,14.0,0.429,0.353,5.0,10.0,0.5,0.0,4.0,4.0,16.0,2.0,1.0,0.0,4.0,17.0,19.0,-1.0
Chris Paul,paulch01,2023,21,1176.0,35.0,2022-12-27,,,MEM,"W, 125-108",*,,5.0,9.0,0.556,4.0,5.0,0.8,1.0,4.0,0.25,0.778,0.0,0.0,,0.0,1.0,1.0,6.0,1.0,0.0,4.0,2.0,14.0,10.4,4.0
Chris Paul,paulch01,2023,22,1177.0,36.0,2022-12-28,,,WAS,"L, 102-127",*,,8.0,15.0,0.533,3.0,6.0,0.5,5.0,9.0,0.556,0.633,1.0,2.0,0.5,0.0,2.0,2.0,6.0,2.0,2.0,4.0,3.0,20.0,15.3,-14.0
