player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Mason Plumlee,plumlma01,2023,1,662.0,1.0,2022-10-19,,,SAS,"W, 129-102",*,,5.0,9.0,0.556,0.0,0.0,5.0,9.0,0.556,0.556,2.0,2.0,1.0,4.0,3.0,7.0,4.0,0.0,1.0,1.0,2.0,12.0,13.1,6.0
Mason Plumlee,plumlma01,2023,2,663.0,2.0,2022-10-21,,,NOP,"L, 112-124",*,,4.0,5.0,0.8,0.0,0.0,4.0,5.0,0.8,0.8,0.0,0.0,,2.0,3.0,5.0,4.0,0.0,0.0,1.0,5.0,8.0,8.2,-1.0
Mason Plumlee,plumlma01,2023,3,664.0,3.0,2022-10-23,,,ATL,"W, 126-109",*,,2.0,4.0,0.5,0.0,0.0,2.0,4.0,0.5,0.5,4.0,9.0,0.444,1.0,7.0,8.0,6.0,0.0,1.0,2.0,2.0,8.0,8.9,-7.0
Mason Plumlee,plumlma01,2023,4,665.0,4.0,2022-10-26,,,NYK,"L, 131-134 (OT)",*,,2.0,3.0,0.667,0.0,0.0,2.0,3.0,0.667,0.667,4.0,6.0,0.667,2.0,5.0,7.0,4.0,1.0,1.0,2.0,5.0,8.0,9.3,-15.0
Mason Plumlee,plumlma01,2023,5,666.0,5.0,2022-10-28,,,ORL,"L, 93-113",*,,1.0,2.0,0.5,0.0,0.0,1.0,2.0,0.5,0.5,0.0,0.0,,1.0,3.0,4.0,4.0,0.0,0.0,2.0,3.0,2.0,2.2,-19.0
Mason Plumlee,plumlma01,2023,6,667.0,6.0,2022-10-29,,,GSW,"W, 120-113 (OT)",*,,2.0,4.0,0.5,0.0,0.0,2.0,4.0,0.5,0.5,2.0,6.0,0.333,4.0,5.0,9.0,7.0,1.0,0.0,2.0,4.0,6.0,9.0,6.0
Mason Plumlee,plumlma01,2023,7,668.0,7.0,2022-10-31,,,SAC,"L, 108-115",*,,5.0,6.0,0.833,0.0,0.0,5.0,6.0,0.833,0.833,2.0,5.0,0.4,2.0,8.0,10.0,2.0,0.0,1.0,2.0,4.0,12.0,10.9,-4.0
Mason Plumlee,plumlma01,2023,8,669.0,8.0,2022-11-02,,,CHI,"L, 88-106",*,,4.0,8.0,0.5,0.0,0.0,4.0,8.0,0.5,0.5,3.0,4.0,0.75,4.0,9.0,13.0,3.0,0.0,2.0,2.0,3.0,11.0,12.4,1.0
Mason Plumlee,plumlma01,2023,9,670.0,9.0,2022-11-04,,,MEM,"L, 99-130",*,,3.0,5.0,0.6,0.0,0.0,3.0,5.0,0.6,0.6,1.0,2.0,0.5,2.0,5.0,7.0,3.0,1.0,0.0,1.0,1.0,7.0,8.9,-31.0
Mason Plumlee,plumlma01,2023,10,671.0,10.0,2022-11-05,,,BRK,"L, 94-98",*,,4.0,8.0,0.5,0.0,0.0,4.0,8.0,0.5,0.5,1.0,1.0,1.0,3.0,8.0,11.0,3.0,1.0,0.0,2.0,5.0,9.0,8.6,-13.0
Mason Plumlee,plumlma01,2023,11,672.0,11.0,2022-11-07,,,WAS,"L, 100-108",*,,1.0,5.0,0.2,0.0,0.0,1.0,5.0,0.2,0.2,4.0,6.0,0.667,7.0,3.0,10.0,5.0,2.0,0.0,2.0,4.0,6.0,9.8,-6.0
Mason Plumlee,plumlma01,2023,12,673.0,12.0,2022-11-09,,,POR,"L, 95-105",*,,7.0,10.0,0.7,0.0,0.0,7.0,10.0,0.7,0.7,2.0,5.0,0.4,5.0,7.0,12.0,4.0,0.0,1.0,1.0,2.0,16.0,17.9,-1.0
Mason Plumlee,plumlma01,2023,13,674.0,13.0,2022-11-10,,,MIA,"L, 112-117 (OT)",*,,4.0,4.0,1.0,0.0,0.0,4.0,4.0,1.0,1.0,5.0,7.0,0.714,2.0,13.0,15.0,5.0,0.0,0.0,3.0,4.0,13.0,15.2,4.0
Mason Plumlee,plumlma01,2023,14,675.0,14.0,2022-11-12,,,MIA,"L, 115-132",*,,4.0,6.0,0.667,0.0,0.0,4.0,6.0,0.667,0.667,1.0,1.0,1.0,1.0,4.0,5.0,5.0,0.0,0.0,3.0,2.0,9.0,8.0,-16.0
Mason Plumlee,plumlma01,2023,15,676.0,15.0,2022-11-14,,,ORL,"W, 112-105",*,,8.0,9.0,0.889,0.0,0.0,8.0,9.0,0.889,0.889,2.0,2.0,1.0,4.0,6.0,10.0,2.0,3.0,1.0,2.0,5.0,18.0,20.6,10.0
Mason Plumlee,plumlma01,2023,16,677.0,16.0,2022-11-16,,,IND,"L, 113-125",*,,5.0,7.0,0.714,0.0,0.0,5.0,7.0,0.714,0.714,2.0,2.0,1.0,2.0,8.0,10.0,3.0,0.0,2.0,3.0,3.0,12.0,12.2,-22.0
