player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Jeremiah Robinson-Earl,robinje02,2023,1,50.0,1.0,2022-10-19,,,MIN,"L, 108-115",,,2.0,3.0,0.667,2.0,3.0,0.667,0.0,0.0,,1.0,0.0,0.0,,1.0,4.0,5.0,0.0,1.0,0.0,0.0,5.0,6.0,5.6,-9.0
Jeremiah Robinson-Earl,robinje02,2023,2,51.0,2.0,2022-10-22,,,DEN,"L, 117-122",*,,4.0,6.0,0.667,2.0,4.0,0.5,2.0,2.0,1.0,0.833,0.0,0.0,,0.0,2.0,2.0,0.0,1.0,0.0,2.0,0.0,10.0,7.0,-17.0
Jeremiah Robinson-Earl,robinje02,2023,3,52.0,3.0,2022-10-23,,,MIN,"L, 106-116",*,,5.0,6.0,0.833,3.0,4.0,0.75,2.0,2.0,1.0,1.083,2.0,2.0,1.0,0.0,2.0,2.0,3.0,1.0,0.0,0.0,2.0,15.0,15.7,-9.0
Jeremiah Robinson-Earl,robinje02,2023,4,53.0,4.0,2022-10-25,,,LAC,"W, 108-94",*,,0.0,7.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,2.0,2.0,1.0,3.0,6.0,9.0,0.0,3.0,1.0,0.0,1.0,2.0,4.3,8.0
Jeremiah Robinson-Earl,robinje02,2023,5,54.0,5.0,2022-10-27,,,LAC,"W, 118-110",*,,2.0,4.0,0.5,1.0,2.0,0.5,1.0,2.0,0.5,0.625,0.0,0.0,,1.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,5.0,4.6,7.0
Jeremiah Robinson-Earl,robinje02,2023,6,55.0,6.0,2022-10-29,,,DAL,"W, 117-111 (OT)",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-7.0
Jeremiah Robinson-Earl,robinje02,2023,7,56.0,7.0,2022-11-01,,,ORL,"W, 116-108",*,,5.0,8.0,0.625,0.0,2.0,0.0,5.0,6.0,0.833,0.625,1.0,1.0,1.0,0.0,5.0,5.0,2.0,3.0,1.0,0.0,3.0,11.0,12.8,22.0
Jeremiah Robinson-Earl,robinje02,2023,8,57.0,8.0,2022-11-03,,,DEN,"L, 110-122",*,,4.0,10.0,0.4,2.0,5.0,0.4,2.0,5.0,0.4,0.5,0.0,2.0,0.0,1.0,6.0,7.0,1.0,2.0,0.0,0.0,1.0,10.0,8.6,-22.0
Jeremiah Robinson-Earl,robinje02,2023,9,58.0,9.0,2022-11-05,,,MIL,"L, 94-108",*,,5.0,7.0,0.714,2.0,4.0,0.5,3.0,3.0,1.0,0.857,0.0,0.0,,2.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,12.0,10.8,-15.0
Jeremiah Robinson-Earl,robinje02,2023,10,59.0,10.0,2022-11-07,,,DET,"L, 103-112",*,,2.0,7.0,0.286,1.0,4.0,0.25,1.0,3.0,0.333,0.357,2.0,4.0,0.5,2.0,2.0,4.0,0.0,0.0,1.0,0.0,1.0,7.0,4.4,-15.0
Jeremiah Robinson-Earl,robinje02,2023,11,60.0,11.0,2022-11-09,,,MIL,"L, 132-136 (2OT)",*,,2.0,6.0,0.333,1.0,3.0,0.333,1.0,3.0,0.333,0.417,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,5.0,-0.9,-8.0
Jeremiah Robinson-Earl,robinje02,2023,12,61.0,13.0,2022-11-13,,,NYK,"W, 145-135",*,,7.0,9.0,0.778,3.0,4.0,0.75,4.0,5.0,0.8,0.944,0.0,0.0,,3.0,4.0,7.0,0.0,0.0,0.0,1.0,5.0,17.0,13.8,11.0
Jeremiah Robinson-Earl,robinje02,2023,13,62.0,14.0,2022-11-14,,,BOS,"L, 122-126",,,2.0,4.0,0.5,0.0,0.0,,2.0,4.0,0.5,0.5,0.0,0.0,,2.0,3.0,5.0,0.0,0.0,0.0,0.0,4.0,4.0,2.7,-13.0
Jeremiah Robinson-Earl,robinje02,2023,14,63.0,15.0,2022-11-16,,,WAS,"W, 121-120",,,2.0,3.0,0.667,1.0,2.0,0.5,1.0,1.0,1.0,0.833,3.0,4.0,0.75,1.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,8.0,7.6,0.0
