player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Alperen Şengün,sengual01,2023,1,73.0,1.0,2022-10-19,,,ATL,"L, 107-117",,,5.0,9.0,0.556,1.0,2.0,0.5,4.0,7.0,0.571,0.611,4.0,4.0,1.0,4.0,5.0,9.0,0.0,0.0,0.0,6.0,3.0,15.0,7.8,-6.0
Alperen Şengün,sengual01,2023,2,74.0,2.0,2022-10-21,,,MEM,"L, 122-129",,,9.0,13.0,0.692,1.0,2.0,0.5,8.0,11.0,0.727,0.731,4.0,10.0,0.4,5.0,7.0,12.0,1.0,1.0,2.0,1.0,3.0,23.0,21.6,13.0
Alperen Şengün,sengual01,2023,3,75.0,3.0,2022-10-22,,,MIL,"L, 105-125",,,4.0,9.0,0.444,0.0,3.0,0.0,4.0,6.0,0.667,0.444,1.0,2.0,0.5,3.0,6.0,9.0,2.0,1.0,1.0,1.0,2.0,9.0,9.1,-8.0
Alperen Şengün,sengual01,2023,4,76.0,6.0,2022-10-28,,,POR,"L, 111-125",*,,6.0,12.0,0.5,1.0,1.0,1.0,5.0,11.0,0.455,0.542,1.0,1.0,1.0,6.0,5.0,11.0,1.0,0.0,3.0,1.0,4.0,14.0,13.9,-8.0
Alperen Şengün,sengual01,2023,5,77.0,7.0,2022-10-30,,,PHO,"L, 109-124",*,,6.0,10.0,0.6,0.0,2.0,0.0,6.0,8.0,0.75,0.6,4.0,4.0,1.0,3.0,6.0,9.0,2.0,1.0,0.0,1.0,3.0,16.0,15.5,-1.0
Alperen Şengün,sengual01,2023,6,78.0,8.0,2022-10-31,,,LAC,"L, 93-95",*,,4.0,8.0,0.5,0.0,0.0,,4.0,8.0,0.5,0.5,6.0,6.0,1.0,2.0,7.0,9.0,3.0,0.0,1.0,2.0,3.0,14.0,13.1,-8.0
Alperen Şengün,sengual01,2023,7,79.0,9.0,2022-11-02,,,LAC,"L, 101-109",*,,8.0,13.0,0.615,0.0,1.0,0.0,8.0,12.0,0.667,0.615,10.0,11.0,0.909,3.0,10.0,13.0,2.0,1.0,0.0,0.0,6.0,26.0,24.8,-13.0
Alperen Şengün,sengual01,2023,8,80.0,10.0,2022-11-05,,,MIN,"L, 117-129",*,,8.0,9.0,0.889,0.0,0.0,,8.0,9.0,0.889,0.889,1.0,3.0,0.333,5.0,2.0,7.0,5.0,0.0,0.0,2.0,3.0,17.0,17.5,0.0
Alperen Şengün,sengual01,2023,9,81.0,11.0,2022-11-07,,,ORL,"W, 134-127",*,,6.0,14.0,0.429,0.0,1.0,0.0,6.0,13.0,0.462,0.429,8.0,10.0,0.8,7.0,3.0,10.0,4.0,2.0,1.0,3.0,2.0,20.0,19.3,6.0
Alperen Şengün,sengual01,2023,10,82.0,12.0,2022-11-09,,,TOR,"L, 109-116",*,,5.0,8.0,0.625,0.0,0.0,,5.0,8.0,0.625,0.625,7.0,7.0,1.0,3.0,5.0,8.0,1.0,1.0,3.0,3.0,2.0,17.0,17.0,-13.0
