player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Myles Turner,turnemy01,2023,1,432.0,5.0,2022-10-26,,,CHI,"L, 109-124",*,,1.0,7.0,0.143,0.0,4.0,0.0,1.0,3.0,0.333,0.143,3.0,3.0,1.0,2.0,4.0,6.0,2.0,1.0,4.0,2.0,2.0,5.0,5.5,-8.0
Myles Turner,turnemy01,2023,2,433.0,6.0,2022-10-28,,,WAS,"W, 127-117",*,,7.0,14.0,0.5,3.0,4.0,0.75,4.0,10.0,0.4,0.607,10.0,10.0,1.0,1.0,9.0,10.0,2.0,0.0,5.0,2.0,4.0,27.0,24.7,20.0
Myles Turner,turnemy01,2023,3,434.0,8.0,2022-10-31,,,BRK,"L, 109-116",*,,2.0,8.0,0.25,0.0,3.0,0.0,2.0,5.0,0.4,0.25,3.0,6.0,0.5,0.0,5.0,5.0,2.0,0.0,2.0,4.0,3.0,7.0,0.1,-21.0
Myles Turner,turnemy01,2023,4,435.0,9.0,2022-11-04,,,MIA,"W, 101-99",*,,7.0,9.0,0.778,1.0,2.0,0.5,6.0,7.0,0.857,0.833,1.0,3.0,0.333,2.0,5.0,7.0,1.0,0.0,3.0,3.0,4.0,16.0,12.8,-4.0
Myles Turner,turnemy01,2023,5,436.0,10.0,2022-11-07,,,NOP,"W, 129-122",*,,11.0,18.0,0.611,4.0,7.0,0.571,7.0,11.0,0.636,0.722,11.0,11.0,1.0,2.0,10.0,12.0,1.0,0.0,3.0,1.0,4.0,37.0,33.4,10.0
Myles Turner,turnemy01,2023,6,437.0,11.0,2022-11-09,,,DEN,"L, 119-122",*,,5.0,11.0,0.455,0.0,4.0,0.0,5.0,7.0,0.714,0.455,4.0,5.0,0.8,2.0,9.0,11.0,2.0,1.0,3.0,0.0,5.0,14.0,14.5,-4.0
Myles Turner,turnemy01,2023,7,438.0,12.0,2022-11-12,,,TOR,"W, 118-104",*,,5.0,8.0,0.625,2.0,3.0,0.667,3.0,5.0,0.6,0.75,7.0,8.0,0.875,2.0,8.0,10.0,0.0,0.0,2.0,1.0,4.0,19.0,17.6,14.0
Myles Turner,turnemy01,2023,8,439.0,13.0,2022-11-16,,,CHO,"W, 125-113",*,,7.0,10.0,0.7,1.0,2.0,0.5,6.0,8.0,0.75,0.75,5.0,6.0,0.833,1.0,9.0,10.0,3.0,1.0,3.0,2.0,3.0,20.0,20.8,11.0
Myles Turner,turnemy01,2023,9,440.0,14.0,2022-11-18,,,HOU,"W, 99-91",*,,5.0,8.0,0.625,0.0,0.0,,5.0,8.0,0.625,0.625,7.0,9.0,0.778,3.0,4.0,7.0,1.0,0.0,4.0,2.0,4.0,17.0,15.8,3.0
Myles Turner,turnemy01,2023,10,441.0,15.0,2022-11-19,,,ORL,"W, 114-113",*,,8.0,13.0,0.615,1.0,1.0,1.0,7.0,12.0,0.583,0.654,3.0,4.0,0.75,4.0,7.0,11.0,0.0,1.0,1.0,2.0,4.0,20.0,16.7,3.0
Myles Turner,turnemy01,2023,11,442.0,16.0,2022-11-21,,,ORL,"W, 123-102",*,,3.0,9.0,0.333,0.0,3.0,0.0,3.0,6.0,0.5,0.333,4.0,4.0,1.0,0.0,5.0,5.0,1.0,1.0,3.0,1.0,3.0,10.0,8.0,18.0
Myles Turner,turnemy01,2023,12,443.0,17.0,2022-11-23,,,MIN,"L, 101-115",*,,12.0,17.0,0.706,7.0,9.0,0.778,5.0,8.0,0.625,0.912,0.0,0.0,,0.0,7.0,7.0,2.0,4.0,1.0,1.0,4.0,31.0,29.5,-15.0
Myles Turner,turnemy01,2023,13,444.0,18.0,2022-11-25,,,BRK,"W, 128-117",*,,9.0,11.0,0.818,2.0,3.0,0.667,7.0,8.0,0.875,0.909,3.0,4.0,0.75,0.0,8.0,8.0,3.0,0.0,2.0,1.0,0.0,23.0,23.4,26.0
Myles Turner,turnemy01,2023,14,445.0,19.0,2022-11-27,,,LAC,"L, 100-114",*,,3.0,9.0,0.333,1.0,6.0,0.167,2.0,3.0,0.667,0.389,2.0,3.0,0.667,0.0,5.0,5.0,0.0,0.0,0.0,3.0,4.0,9.0,0.4,-17.0
Myles Turner,turnemy01,2023,15,446.0,20.0,2022-11-28,,,LAL,"W, 116-115",*,,7.0,17.0,0.412,1.0,7.0,0.143,6.0,10.0,0.6,0.441,0.0,0.0,,3.0,10.0,13.0,4.0,0.0,3.0,0.0,2.0,15.0,15.1,3.0
