player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Dean Wade,wadede01,2023,1,127.0,1.0,2022-10-19,,,TOR,"L, 105-108",,,3.0,4.0,0.75,1.0,2.0,0.5,2.0,2.0,1.0,0.875,1.0,2.0,0.5,1.0,2.0,3.0,2.0,0.0,1.0,0.0,1.0,8.0,9.0,-11.0
Dean Wade,wadede01,2023,2,128.0,2.0,2022-10-22,,,CHI,"W, 128-96",,,2.0,3.0,0.667,1.0,2.0,0.5,1.0,1.0,1.0,0.833,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,5.0,4.0,6.0
Dean Wade,wadede01,2023,3,129.0,3.0,2022-10-23,,,WAS,"W, 117-107 (OT)",,,3.0,4.0,0.75,2.0,3.0,0.667,1.0,1.0,1.0,1.0,4.0,5.0,0.8,1.0,2.0,3.0,2.0,0.0,1.0,0.0,1.0,12.0,13.0,19.0
Dean Wade,wadede01,2023,4,130.0,4.0,2022-10-26,,,ORL,"W, 103-92",*,,4.0,7.0,0.571,4.0,7.0,0.571,0.0,0.0,,0.857,0.0,0.0,,0.0,3.0,3.0,0.0,1.0,0.0,0.0,2.0,12.0,9.8,9.0
Dean Wade,wadede01,2023,5,131.0,5.0,2022-10-28,,,BOS,"W, 132-123 (OT)",*,,1.0,3.0,0.333,1.0,2.0,0.5,0.0,1.0,0.0,0.5,1.0,2.0,0.5,0.0,6.0,6.0,1.0,0.0,0.0,1.0,4.0,4.0,1.8,20.0
Dean Wade,wadede01,2023,6,132.0,6.0,2022-10-30,,,NYK,"W, 121-108",*,,8.0,11.0,0.727,6.0,8.0,0.75,2.0,3.0,0.667,1.0,0.0,0.0,,1.0,3.0,4.0,3.0,0.0,0.0,0.0,4.0,22.0,19.6,20.0
Dean Wade,wadede01,2023,7,133.0,7.0,2022-11-02,,,BOS,"W, 114-113 (OT)",,,2.0,7.0,0.286,0.0,3.0,0.0,2.0,4.0,0.5,0.286,2.0,2.0,1.0,1.0,3.0,4.0,0.0,2.0,0.0,1.0,4.0,6.0,2.9,2.0
Dean Wade,wadede01,2023,8,134.0,8.0,2022-11-04,,,DET,"W, 112-88",*,,0.0,4.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,-1.6,2.0
Dean Wade,wadede01,2023,9,135.0,9.0,2022-11-06,,,LAL,"W, 114-100",,,1.0,3.0,0.333,0.0,2.0,0.0,1.0,1.0,1.0,0.333,0.0,0.0,,1.0,5.0,6.0,1.0,1.0,1.0,0.0,4.0,2.0,3.3,13.0
Dean Wade,wadede01,2023,10,136.0,10.0,2022-11-07,,,LAC,"L, 117-119",,,2.0,4.0,0.5,2.0,3.0,0.667,0.0,1.0,0.0,0.75,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,6.0,4.5,-1.0
Dean Wade,wadede01,2023,11,137.0,11.0,2022-11-09,,,SAC,"L, 120-127",,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.5,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,2.1,8.0
Dean Wade,wadede01,2023,12,138.0,18.0,2022-11-23,,,POR,"W, 114-96",,,2.0,3.0,0.667,0.0,1.0,0.0,2.0,2.0,1.0,0.667,0.0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,3.2,17.0
Dean Wade,wadede01,2023,13,139.0,19.0,2022-11-25,,,MIL,"L, 102-117",*,,2.0,7.0,0.286,2.0,6.0,0.333,0.0,1.0,0.0,0.429,1.0,2.0,0.5,2.0,10.0,12.0,2.0,1.0,1.0,0.0,4.0,7.0,8.4,-22.0
Dean Wade,wadede01,2023,14,140.0,20.0,2022-11-27,,,DET,"W, 102-94",*,,1.0,5.0,0.2,1.0,5.0,0.2,0.0,0.0,,0.3,0.0,0.0,,0.0,7.0,7.0,1.0,0.0,0.0,1.0,4.0,3.0,0.1,-6.0
Dean Wade,wadede01,2023,15,141.0,21.0,2022-11-28,,,TOR,"L, 88-100",*,,3.0,10.0,0.3,2.0,6.0,0.333,1.0,4.0,0.25,0.4,0.0,0.0,,1.0,5.0,6.0,1.0,1.0,0.0,0.0,4.0,8.0,4.5,-9.0
Dean Wade,wadede01,2023,16,142.0,22.0,2022-11-30,,,PHI,"W, 113-85",*,,3.0,7.0,0.429,0.0,1.0,0.0,3.0,6.0,0.5,0.429,0.0,0.0,,2.0,3.0,5.0,2.0,3.0,1.0,2.0,1.0,6.0,7.3,20.0
Dean Wade,wadede01,2023,17,143.0,23.0,2022-12-02,,,ORL,"W, 107-96",*,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.1,-4.0
Dean Wade,wadede01,2023,18,144.0,48.0,2023-01-21,,,MIL,"W, 114-102",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.2,-6.0
Dean Wade,wadede01,2023,19,145.0,49.0,2023-01-24,,,NYK,"L, 103-105",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-0.8,-1.0
Dean Wade,wadede01,2023,20,146.0,50.0,2023-01-26,,,HOU,"W, 113-95",,,5.0,8.0,0.625,4.0,7.0,0.571,1.0,1.0,1.0,0.875,1.0,3.0,0.333,1.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,15.0,13.2,10.0
Dean Wade,wadede01,2023,21,147.0,51.0,2023-01-27,,,OKC,"L, 100-112",,,2.0,5.0,0.4,1.0,4.0,0.25,1.0,1.0,1.0,0.5,0.0,0.0,,0.0,4.0,4.0,2.0,1.0,0.0,1.0,3.0,5.0,3.7,-12.0
Dean Wade,wadede01,2023,22,148.0,52.0,2023-01-29,,,LAC,"W, 122-99",,,2.0,5.0,0.4,1.0,4.0,0.25,1.0,1.0,1.0,0.5,3.0,5.0,0.6,0.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,8.0,6.7,14.0
Dean Wade,wadede01,2023,23,149.0,53.0,2023-01-31,,,MIA,"L, 97-100",,,2.0,6.0,0.333,1.0,4.0,0.25,1.0,2.0,0.5,0.417,0.0,0.0,,0.0,3.0,3.0,2.0,1.0,0.0,1.0,1.0,5.0,3.5,0.0
Dean Wade,wadede01,2023,24,150.0,54.0,2023-02-02,,,MEM,"W, 128-113",,,2.0,3.0,0.667,1.0,2.0,0.5,1.0,1.0,1.0,0.833,0.0,0.0,,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,5.0,5.3,-3.0
Dean Wade,wadede01,2023,25,151.0,55.0,2023-02-05,,,IND,"W, 122-103",,,2.0,4.0,0.5,2.0,4.0,0.5,0.0,0.0,,0.75,0.0,0.0,,1.0,5.0,6.0,3.0,1.0,1.0,0.0,3.0,6.0,8.8,15.0
Dean Wade,wadede01,2023,26,152.0,56.0,2023-02-06,,,WAS,"W, 114-91",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,1.0,3.0,4.0,1.0,0.0,0.0,0.0,3.0,0.0,1.1,1.0
Dean Wade,wadede01,2023,27,153.0,57.0,2023-02-08,,,DET,"W, 113-85",,,3.0,4.0,0.75,2.0,3.0,0.667,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,9.0,9.0,0.0,0.0,1.0,1.0,4.0,10.0,9.2,18.0
Dean Wade,wadede01,2023,28,154.0,58.0,2023-02-10,,,NOP,"W, 118-107",,,2.0,5.0,0.4,1.0,4.0,0.25,1.0,1.0,1.0,0.5,0.0,0.0,,1.0,1.0,2.0,0.0,2.0,1.0,1.0,4.0,5.0,3.4,0.0
Dean Wade,wadede01,2023,29,155.0,59.0,2023-02-11,,,CHI,"W, 97-89",,,0.0,5.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,1.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.9,-5.0
Dean Wade,wadede01,2023,30,156.0,60.0,2023-02-13,,,SAS,"W, 117-109",,,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,2.2,4.0
Dean Wade,wadede01,2023,31,157.0,61.0,2023-02-15,,,PHI,"L, 112-118",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,4.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,1.9,3.0
Dean Wade,wadede01,2023,32,158.0,62.0,2023-02-23,,,DEN,"L, 109-115",,,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,1.0,2.0,2.0,0.1,-4.0
Dean Wade,wadede01,2023,33,159.0,63.0,2023-02-24,,,ATL,"L, 119-136",,,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,,0.75,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,4.0,-9.0
Dean Wade,wadede01,2023,34,160.0,64.0,2023-02-26,,,TOR,"W, 118-93",,,1.0,7.0,0.143,1.0,5.0,0.2,0.0,2.0,0.0,0.214,0.0,0.0,,0.0,6.0,6.0,2.0,1.0,0.0,0.0,3.0,3.0,1.5,10.0
Dean Wade,wadede01,2023,35,161.0,65.0,2023-03-01,,,BOS,"L, 113-117",,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.5,-6.0
Dean Wade,wadede01,2023,36,162.0,66.0,2023-03-04,,,DET,"W, 114-90",,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,1.2,-11.0
Dean Wade,wadede01,2023,37,163.0,67.0,2023-03-06,,,BOS,"W, 118-114 (OT)",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-10.0
Dean Wade,wadede01,2023,38,164.0,71.0,2023-03-14,,,CHO,"W, 120-104",,,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,-2.9,6.0
Dean Wade,wadede01,2023,39,165.0,73.0,2023-03-17,,,WAS,"W, 117-94",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Dean Wade,wadede01,2023,40,166.0,78.0,2023-03-31,,,NYK,"L, 116-130",,,2.0,4.0,0.5,1.0,3.0,0.333,1.0,1.0,1.0,0.625,0.0,0.0,,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,5.0,4.6,-5.0
Dean Wade,wadede01,2023,41,167.0,79.0,2023-04-02,,,IND,"W, 115-105",*,,2.0,3.0,0.667,1.0,2.0,0.5,1.0,1.0,1.0,0.833,0.0,0.0,,2.0,3.0,5.0,1.0,0.0,0.0,0.0,3.0,5.0,5.5,15.0
