player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Aaron Wiggins,wiggiaa01,2023,1,51.0,2.0,2022-10-22,,,DEN,"L, 117-122",,,1.0,3.0,0.333,1.0,2.0,0.5,0.0,1.0,0.0,0.5,2.0,2.0,1.0,0.0,6.0,6.0,1.0,0.0,0.0,0.0,1.0,5.0,5.4,7.0
Aaron Wiggins,wiggiaa01,2023,2,52.0,3.0,2022-10-23,,,MIN,"L, 106-116",,,1.0,3.0,0.333,0.0,2.0,0.0,1.0,1.0,1.0,0.333,3.0,4.0,0.75,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,5.0,4.9,-7.0
Aaron Wiggins,wiggiaa01,2023,3,53.0,4.0,2022-10-25,,,LAC,"W, 108-94",*,,5.0,14.0,0.357,0.0,1.0,0.0,5.0,13.0,0.385,0.357,1.0,1.0,1.0,3.0,7.0,10.0,0.0,3.0,1.0,1.0,2.0,11.0,9.3,18.0
Aaron Wiggins,wiggiaa01,2023,4,54.0,5.0,2022-10-27,,,LAC,"W, 118-110",*,,4.0,7.0,0.571,3.0,6.0,0.5,1.0,1.0,1.0,0.786,0.0,0.0,,1.0,5.0,6.0,3.0,1.0,0.0,1.0,3.0,11.0,10.8,16.0
Aaron Wiggins,wiggiaa01,2023,5,55.0,6.0,2022-10-29,,,DAL,"W, 117-111 (OT)",*,,2.0,5.0,0.4,0.0,1.0,0.0,2.0,4.0,0.5,0.4,1.0,2.0,0.5,2.0,3.0,5.0,4.0,0.0,0.0,0.0,0.0,5.0,7.0,18.0
Aaron Wiggins,wiggiaa01,2023,6,56.0,7.0,2022-11-01,,,ORL,"W, 116-108",,,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,,0.5,0.0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,2.0,1.0,3.0,-0.2,-14.0
Aaron Wiggins,wiggiaa01,2023,7,57.0,9.0,2022-11-05,,,MIL,"L, 94-108",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,-4.2,1.0
Aaron Wiggins,wiggiaa01,2023,8,58.0,11.0,2022-11-09,,,MIL,"L, 132-136 (2OT)",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.7,7.0
Aaron Wiggins,wiggiaa01,2023,9,59.0,12.0,2022-11-11,,,TOR,"W, 132-113",*,,6.0,12.0,0.5,1.0,4.0,0.25,5.0,8.0,0.625,0.542,4.0,5.0,0.8,1.0,4.0,5.0,7.0,1.0,1.0,1.0,4.0,17.0,16.5,13.0
Aaron Wiggins,wiggiaa01,2023,10,60.0,13.0,2022-11-13,,,NYK,"W, 145-135",,,1.0,3.0,0.333,1.0,1.0,1.0,0.0,2.0,0.0,0.5,0.0,0.0,,0.0,3.0,3.0,2.0,1.0,0.0,0.0,5.0,3.0,2.6,2.0
Aaron Wiggins,wiggiaa01,2023,11,61.0,14.0,2022-11-14,,,BOS,"L, 122-126",,,2.0,3.0,0.667,0.0,0.0,,2.0,3.0,0.667,0.667,0.0,0.0,,2.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,4.0,4.1,-8.0
Aaron Wiggins,wiggiaa01,2023,12,62.0,15.0,2022-11-16,,,WAS,"W, 121-120",*,,3.0,4.0,0.75,1.0,1.0,1.0,2.0,3.0,0.667,0.875,0.0,0.0,,1.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,7.0,5.9,-5.0
