player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Robert Williams,williro01,2023,1,175.0,30.0,2022-12-16,,,ORL,"L, 109-117",,,4.0,4.0,1.0,0.0,0.0,,4.0,4.0,1.0,1.0,1.0,2.0,0.5,2.0,3.0,5.0,1.0,1.0,1.0,1.0,3.0,9.0,9.9,-6.0
Robert Williams,williro01,2023,2,176.0,31.0,2022-12-18,,,ORL,"L, 92-95",,,3.0,5.0,0.6,0.0,0.0,,3.0,5.0,0.6,0.6,0.0,0.0,,1.0,4.0,5.0,1.0,0.0,2.0,0.0,1.0,6.0,7.3,-4.0
Robert Williams,williro01,2023,3,177.0,32.0,2022-12-21,,,IND,"L, 112-117",,,3.0,5.0,0.6,0.0,0.0,,3.0,5.0,0.6,0.6,0.0,0.0,,7.0,5.0,12.0,2.0,1.0,1.0,2.0,1.0,6.0,10.8,4.0
Robert Williams,williro01,2023,4,178.0,34.0,2022-12-25,,,MIL,"W, 139-118",,,3.0,4.0,0.75,0.0,0.0,,3.0,4.0,0.75,0.75,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,1.0,1.0,3.0,6.0,4.3,5.0
Robert Williams,williro01,2023,5,179.0,35.0,2022-12-27,,,HOU,"W, 126-102",,,4.0,4.0,1.0,0.0,0.0,,4.0,4.0,1.0,1.0,3.0,4.0,0.75,5.0,10.0,15.0,2.0,0.0,1.0,0.0,1.0,11.0,17.6,19.0
Robert Williams,williro01,2023,6,180.0,36.0,2022-12-29,,,LAC,"W, 116-110",,,4.0,4.0,1.0,0.0,0.0,,4.0,4.0,1.0,1.0,4.0,4.0,1.0,4.0,2.0,6.0,1.0,1.0,1.0,2.0,2.0,12.0,13.8,8.0
Robert Williams,williro01,2023,7,181.0,37.0,2023-01-01,,,DEN,"L, 111-123",,,4.0,4.0,1.0,0.0,0.0,,4.0,4.0,1.0,1.0,0.0,0.0,,2.0,4.0,6.0,1.0,0.0,0.0,2.0,2.0,8.0,7.3,-2.0
Robert Williams,williro01,2023,8,182.0,39.0,2023-01-05,,,DAL,"W, 124-95",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,6.0,7.0,0.0,0.0,1.0,0.0,1.0,3.0,5.1,8.0
Robert Williams,williro01,2023,9,183.0,40.0,2023-01-07,,,SAS,"W, 121-116",,,5.0,6.0,0.833,0.0,0.0,,5.0,6.0,0.833,0.833,0.0,0.0,,4.0,7.0,11.0,3.0,2.0,4.0,0.0,1.0,10.0,19.2,1.0
Robert Williams,williro01,2023,10,184.0,41.0,2023-01-09,,,CHI,"W, 107-99",*,,3.0,4.0,0.75,0.0,0.0,,3.0,4.0,0.75,0.75,0.0,0.0,,2.0,5.0,7.0,2.0,0.0,2.0,1.0,2.0,6.0,8.3,-5.0
