player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Ivica Zubac,zubaciv01,2023,1,361.0,1.0,2022-10-20,,,LAL,"W, 103-97",*,,6.0,6.0,1.0,0.0,0.0,,6.0,6.0,1.0,1.0,2.0,4.0,0.5,6.0,11.0,17.0,1.0,0.0,5.0,5.0,2.0,14.0,17.3,13.0
Ivica Zubac,zubaciv01,2023,2,362.0,2.0,2022-10-22,,,SAC,"W, 111-109",*,,4.0,7.0,0.571,0.0,0.0,,4.0,7.0,0.571,0.571,2.0,2.0,1.0,1.0,7.0,8.0,1.0,0.0,1.0,1.0,3.0,10.0,8.7,4.0
Ivica Zubac,zubaciv01,2023,3,363.0,3.0,2022-10-23,,,PHO,"L, 95-112",*,,1.0,4.0,0.25,0.0,0.0,,1.0,4.0,0.25,0.25,0.0,0.0,,3.0,5.0,8.0,2.0,0.0,0.0,3.0,1.0,2.0,1.2,-8.0
Ivica Zubac,zubaciv01,2023,4,364.0,4.0,2022-10-25,,,OKC,"L, 94-108",*,,5.0,9.0,0.556,0.0,1.0,0.0,5.0,8.0,0.625,0.556,0.0,0.0,,4.0,10.0,14.0,2.0,0.0,7.0,1.0,2.0,10.0,16.0,-17.0
Ivica Zubac,zubaciv01,2023,5,365.0,5.0,2022-10-27,,,OKC,"L, 110-118",*,,4.0,9.0,0.444,0.0,0.0,,4.0,9.0,0.444,0.444,4.0,6.0,0.667,5.0,13.0,18.0,2.0,0.0,1.0,1.0,2.0,12.0,14.2,-14.0
Ivica Zubac,zubaciv01,2023,6,366.0,6.0,2022-10-30,,,NOP,"L, 91-112",*,,2.0,3.0,0.667,0.0,0.0,,2.0,3.0,0.667,0.667,0.0,2.0,0.0,0.0,6.0,6.0,1.0,0.0,2.0,1.0,3.0,4.0,3.6,-10.0
Ivica Zubac,zubaciv01,2023,7,367.0,7.0,2022-10-31,,,HOU,"W, 95-93",*,,6.0,8.0,0.75,0.0,0.0,,6.0,8.0,0.75,0.75,4.0,6.0,0.667,1.0,11.0,12.0,0.0,1.0,4.0,3.0,5.0,16.0,14.8,-2.0
Ivica Zubac,zubaciv01,2023,8,368.0,8.0,2022-11-02,,,HOU,"W, 109-101",*,,2.0,5.0,0.4,0.0,0.0,,2.0,5.0,0.4,0.4,1.0,2.0,0.5,1.0,5.0,6.0,2.0,1.0,1.0,2.0,5.0,5.0,3.2,3.0
Ivica Zubac,zubaciv01,2023,9,369.0,9.0,2022-11-04,,,SAS,"W, 113-106",*,,8.0,10.0,0.8,0.0,0.0,,8.0,10.0,0.8,0.8,1.0,2.0,0.5,1.0,14.0,15.0,2.0,1.0,4.0,4.0,4.0,17.0,17.3,15.0
Ivica Zubac,zubaciv01,2023,10,370.0,10.0,2022-11-06,,,UTA,"L, 102-110",*,,6.0,12.0,0.5,0.0,0.0,,6.0,12.0,0.5,0.5,0.0,0.0,,3.0,6.0,9.0,2.0,3.0,1.0,1.0,1.0,12.0,13.6,-1.0
Ivica Zubac,zubaciv01,2023,11,371.0,11.0,2022-11-07,,,CLE,"W, 119-117",*,,2.0,7.0,0.286,0.0,0.0,,2.0,7.0,0.286,0.286,6.0,8.0,0.75,4.0,5.0,9.0,0.0,1.0,1.0,0.0,1.0,10.0,10.7,-15.0
Ivica Zubac,zubaciv01,2023,12,372.0,12.0,2022-11-09,,,LAL,"W, 114-101",*,,4.0,4.0,1.0,0.0,0.0,,4.0,4.0,1.0,1.0,2.0,5.0,0.4,2.0,6.0,8.0,2.0,1.0,2.0,2.0,3.0,10.0,11.4,-8.0
Ivica Zubac,zubaciv01,2023,13,373.0,13.0,2022-11-12,,,BRK,"L, 95-110",*,,6.0,8.0,0.75,0.0,0.0,,6.0,8.0,0.75,0.75,4.0,6.0,0.667,5.0,10.0,15.0,0.0,0.0,0.0,5.0,4.0,16.0,11.9,-5.0
Ivica Zubac,zubaciv01,2023,14,374.0,14.0,2022-11-14,,,HOU,"W, 122-106",*,,3.0,5.0,0.6,0.0,0.0,,3.0,5.0,0.6,0.6,3.0,3.0,1.0,3.0,4.0,7.0,1.0,0.0,1.0,2.0,2.0,9.0,8.6,8.0
Ivica Zubac,zubaciv01,2023,15,375.0,15.0,2022-11-15,,,DAL,"L, 101-103",*,,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,3.0,4.0,0.75,2.0,5.0,7.0,4.0,0.0,2.0,1.0,5.0,3.0,5.3,-9.0
Ivica Zubac,zubaciv01,2023,16,376.0,16.0,2022-11-17,,,DET,"W, 96-91",*,,3.0,8.0,0.375,0.0,0.0,,3.0,8.0,0.375,0.375,3.0,4.0,0.75,5.0,13.0,18.0,1.0,0.0,0.0,5.0,5.0,9.0,5.3,15.0
Ivica Zubac,zubaciv01,2023,17,377.0,17.0,2022-11-19,,,SAS,"W, 119-97",*,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,3.0,6.0,0.5,3.0,8.0,11.0,1.0,0.0,1.0,1.0,4.0,3.0,4.4,10.0
Ivica Zubac,zubaciv01,2023,18,378.0,18.0,2022-11-21,,,UTA,"W, 121-114",*,,6.0,8.0,0.75,0.0,0.0,,6.0,8.0,0.75,0.75,2.0,3.0,0.667,6.0,8.0,14.0,2.0,0.0,2.0,3.0,4.0,14.0,15.2,-3.0
Ivica Zubac,zubaciv01,2023,19,379.0,19.0,2022-11-23,,,GSW,"L, 107-124",*,,4.0,5.0,0.8,0.0,0.0,,4.0,5.0,0.8,0.8,0.0,0.0,,2.0,2.0,4.0,1.0,0.0,1.0,1.0,1.0,8.0,8.1,-8.0
Ivica Zubac,zubaciv01,2023,20,380.0,20.0,2022-11-25,,,DEN,"L, 104-114",*,,2.0,6.0,0.333,0.0,0.0,,2.0,6.0,0.333,0.333,2.0,2.0,1.0,2.0,7.0,9.0,0.0,0.0,0.0,1.0,2.0,6.0,4.3,-22.0
Ivica Zubac,zubaciv01,2023,21,381.0,21.0,2022-11-27,,,IND,"W, 114-100",*,,14.0,17.0,0.824,0.0,0.0,,14.0,17.0,0.824,0.824,3.0,3.0,1.0,12.0,17.0,29.0,3.0,0.0,3.0,5.0,6.0,31.0,35.0,13.0
Ivica Zubac,zubaciv01,2023,22,382.0,22.0,2022-11-29,,,POR,"W, 118-112",*,,5.0,8.0,0.625,0.0,0.0,,5.0,8.0,0.625,0.625,2.0,2.0,1.0,5.0,8.0,13.0,0.0,2.0,1.0,2.0,1.0,12.0,14.6,-21.0
Ivica Zubac,zubaciv01,2023,23,383.0,23.0,2022-11-30,,,UTA,"L, 112-125",*,,5.0,7.0,0.714,0.0,0.0,,5.0,7.0,0.714,0.714,2.0,2.0,1.0,2.0,5.0,7.0,0.0,0.0,1.0,2.0,3.0,12.0,9.5,-18.0
Ivica Zubac,zubaciv01,2023,24,384.0,24.0,2022-12-03,,,SAC,"L, 96-123",*,,5.0,6.0,0.833,0.0,0.0,,5.0,6.0,0.833,0.833,3.0,4.0,0.75,5.0,10.0,15.0,1.0,1.0,0.0,1.0,4.0,13.0,16.0,-11.0
Ivica Zubac,zubaciv01,2023,25,385.0,25.0,2022-12-05,,,CHO,"W, 119-117",*,,3.0,4.0,0.75,0.0,0.0,,3.0,4.0,0.75,0.75,3.0,5.0,0.6,4.0,4.0,8.0,0.0,0.0,2.0,2.0,2.0,9.0,9.2,-19.0
Ivica Zubac,zubaciv01,2023,26,386.0,26.0,2022-12-07,,,ORL,"L, 111-116 (OT)",*,,6.0,9.0,0.667,0.0,0.0,,6.0,9.0,0.667,0.667,4.0,8.0,0.5,3.0,10.0,13.0,1.0,0.0,2.0,2.0,6.0,16.0,13.3,2.0
Ivica Zubac,zubaciv01,2023,27,387.0,27.0,2022-12-08,,,MIA,"L, 110-115",*,,3.0,4.0,0.75,0.0,0.0,,3.0,4.0,0.75,0.75,3.0,3.0,1.0,0.0,8.0,8.0,0.0,1.0,1.0,2.0,3.0,9.0,8.3,10.0
Ivica Zubac,zubaciv01,2023,28,388.0,28.0,2022-12-10,,,WAS,"W, 114-107",*,,2.0,5.0,0.4,0.0,0.0,,2.0,5.0,0.4,0.4,0.0,0.0,,2.0,3.0,5.0,0.0,0.0,0.0,2.0,2.0,4.0,0.8,-8.0
Ivica Zubac,zubaciv01,2023,29,389.0,29.0,2022-12-12,,,BOS,"W, 113-93",*,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,2.0,4.0,0.5,1.0,2.0,3.0,1.0,0.0,1.0,1.0,5.0,4.0,2.6,14.0
Ivica Zubac,zubaciv01,2023,30,390.0,30.0,2022-12-14,,,MIN,"W, 99-88",*,,1.0,5.0,0.2,0.0,0.0,,1.0,5.0,0.2,0.2,0.0,0.0,,5.0,3.0,8.0,0.0,0.0,0.0,2.0,2.0,2.0,0.5,-10.0
Ivica Zubac,zubaciv01,2023,31,391.0,33.0,2022-12-21,,,CHO,"W, 126-105",*,,2.0,3.0,0.667,0.0,0.0,,2.0,3.0,0.667,0.667,0.0,0.0,,3.0,5.0,8.0,1.0,0.0,1.0,2.0,5.0,4.0,3.7,2.0
Ivica Zubac,zubaciv01,2023,32,392.0,34.0,2022-12-23,,,PHI,"L, 114-119",*,,3.0,3.0,1.0,0.0,0.0,,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,10.0,12.0,2.0,0.0,2.0,0.0,1.0,7.0,12.9,0.0
Ivica Zubac,zubaciv01,2023,33,393.0,35.0,2022-12-26,,,DET,"W, 142-131 (OT)",*,,4.0,5.0,0.8,0.0,0.0,,4.0,5.0,0.8,0.8,4.0,4.0,1.0,6.0,9.0,15.0,1.0,1.0,0.0,4.0,2.0,12.0,13.9,10.0
Ivica Zubac,zubaciv01,2023,34,394.0,36.0,2022-12-27,,,TOR,"W, 124-113",*,,7.0,13.0,0.538,0.0,0.0,,7.0,13.0,0.538,0.538,9.0,12.0,0.75,10.0,6.0,16.0,1.0,0.0,1.0,2.0,3.0,23.0,22.5,15.0
Ivica Zubac,zubaciv01,2023,35,395.0,37.0,2022-12-29,,,BOS,"L, 110-116",*,,6.0,9.0,0.667,0.0,0.0,,6.0,9.0,0.667,0.667,1.0,4.0,0.25,4.0,7.0,11.0,0.0,1.0,1.0,1.0,3.0,13.0,12.3,10.0
Ivica Zubac,zubaciv01,2023,36,396.0,38.0,2022-12-31,,,IND,"L, 130-131",*,,3.0,5.0,0.6,0.0,0.0,,3.0,5.0,0.6,0.6,0.0,0.0,,3.0,4.0,7.0,0.0,0.0,0.0,1.0,1.0,6.0,5.6,0.0
Ivica Zubac,zubaciv01,2023,37,397.0,39.0,2023-01-02,,,MIA,"L, 100-110",*,,4.0,6.0,0.667,0.0,0.0,,4.0,6.0,0.667,0.667,2.0,2.0,1.0,2.0,5.0,7.0,0.0,0.0,0.0,2.0,5.0,10.0,6.3,0.0
Ivica Zubac,zubaciv01,2023,38,398.0,40.0,2023-01-05,,,DEN,"L, 91-122",*,,2.0,2.0,1.0,0.0,0.0,,2.0,2.0,1.0,1.0,4.0,4.0,1.0,0.0,5.0,5.0,0.0,0.0,1.0,1.0,0.0,8.0,8.6,-24.0
Ivica Zubac,zubaciv01,2023,39,399.0,41.0,2023-01-06,,,MIN,"L, 115-128",*,,4.0,8.0,0.5,0.0,1.0,0.0,4.0,7.0,0.571,0.5,1.0,2.0,0.5,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,9.0,4.9,-26.0
Ivica Zubac,zubaciv01,2023,40,400.0,42.0,2023-01-08,,,ATL,"L, 108-112",*,,6.0,9.0,0.667,0.0,0.0,,6.0,9.0,0.667,0.667,5.0,6.0,0.833,8.0,10.0,18.0,3.0,0.0,1.0,2.0,4.0,17.0,20.5,6.0
