player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Thanasis Antetokounmpo,antetth01,2024,1,165.0,2.0,2023-10-29,,,ATL,"L, 110-127",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,0.0,3.0,2.0,2.0,0.3,14.0
Thanasis Antetokounmpo,antetth01,2024,2,166.0,4.0,2023-11-01,,,TOR,"L, 111-130",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,4.0
Thanasis Antetokounmpo,antetth01,2024,3,167.0,9.0,2023-11-11,,,ORL,"L, 97-112",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,0.3,6.0
Thanasis Antetokounmpo,antetth01,2024,4,168.0,11.0,2023-11-15,,,TOR,"W, 128-112",,,1.0,5.0,0.2,0.0,0.0,,1.0,5.0,0.2,0.2,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,-0.9,-13.0
Thanasis Antetokounmpo,antetth01,2024,5,169.0,12.0,2023-11-17,,,CHO,"W, 130-99",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.7,11.0
Thanasis Antetokounmpo,antetth01,2024,6,170.0,14.0,2023-11-20,,,WAS,"W, 142-129",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0
Thanasis Antetokounmpo,antetth01,2024,7,171.0,17.0,2023-11-26,,,POR,"W, 108-102",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,-2.0
Thanasis Antetokounmpo,antetth01,2024,8,172.0,21.0,2023-12-05,,,NYK,"W, 146-122",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,3.4,4.0
Thanasis Antetokounmpo,antetth01,2024,9,173.0,24.0,2023-12-13,,,IND,"W, 140-126",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,-9.0
Thanasis Antetokounmpo,antetth01,2024,10,174.0,25.0,2023-12-16,,,DET,"W, 146-114",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-4.0
