player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Paolo Banchero,banchpa01,2024,1,73.0,1.0,2023-10-25,,,HOU,"W, 116-86",*,,3.0,6.0,0.5,0.0,1.0,0.0,3.0,5.0,0.6,0.5,6.0,7.0,0.857,0.0,5.0,5.0,5.0,1.0,0.0,1.0,2.0,12.0,12.8,13.0
Paolo Banchero,banchpa01,2024,2,74.0,2.0,2023-10-27,,,POR,"W, 102-97",*,,5.0,12.0,0.417,0.0,0.0,,5.0,12.0,0.417,0.417,4.0,9.0,0.444,2.0,5.0,7.0,4.0,2.0,0.0,3.0,1.0,14.0,9.9,2.0
Paolo Banchero,banchpa01,2024,3,75.0,3.0,2023-10-30,,,LAL,"L, 103-106",*,,4.0,14.0,0.286,1.0,5.0,0.2,3.0,9.0,0.333,0.321,0.0,2.0,0.0,1.0,4.0,5.0,5.0,0.0,0.0,2.0,3.0,9.0,2.2,-12.0
Paolo Banchero,banchpa01,2024,4,76.0,4.0,2023-10-31,,,LAC,"L, 102-118",*,,5.0,13.0,0.385,1.0,3.0,0.333,4.0,10.0,0.4,0.423,4.0,8.0,0.5,0.0,4.0,4.0,4.0,4.0,0.0,3.0,3.0,15.0,10.1,-15.0
Paolo Banchero,banchpa01,2024,5,77.0,5.0,2023-11-02,,,UTA,"W, 115-113",*,,9.0,13.0,0.692,1.0,2.0,0.5,8.0,11.0,0.727,0.731,11.0,15.0,0.733,2.0,7.0,9.0,5.0,3.0,2.0,6.0,4.0,30.0,26.7,-5.0
Paolo Banchero,banchpa01,2024,6,78.0,6.0,2023-11-04,,,LAL,"W, 120-101",*,,9.0,15.0,0.6,2.0,4.0,0.5,7.0,11.0,0.636,0.667,5.0,7.0,0.714,1.0,6.0,7.0,10.0,1.0,1.0,4.0,2.0,25.0,23.7,23.0
Paolo Banchero,banchpa01,2024,7,79.0,7.0,2023-11-06,,,DAL,"L, 102-117",*,,8.0,18.0,0.444,0.0,1.0,0.0,8.0,17.0,0.471,0.444,6.0,6.0,1.0,1.0,4.0,5.0,6.0,0.0,0.0,6.0,5.0,22.0,10.7,-15.0
Paolo Banchero,banchpa01,2024,8,80.0,8.0,2023-11-09,,,ATL,"L, 119-120",*,,7.0,14.0,0.5,1.0,3.0,0.333,6.0,11.0,0.545,0.536,2.0,4.0,0.5,4.0,4.0,8.0,4.0,1.0,0.0,5.0,4.0,17.0,10.4,-5.0
Paolo Banchero,banchpa01,2024,9,81.0,9.0,2023-11-11,,,MIL,"W, 112-97",*,,10.0,22.0,0.455,2.0,5.0,0.4,8.0,17.0,0.471,0.5,4.0,5.0,0.8,3.0,9.0,12.0,5.0,1.0,0.0,3.0,2.0,26.0,19.7,10.0
Paolo Banchero,banchpa01,2024,10,82.0,10.0,2023-11-14,,,BRK,"L, 104-124",*,,6.0,15.0,0.4,4.0,7.0,0.571,2.0,8.0,0.25,0.533,3.0,6.0,0.5,0.0,6.0,6.0,3.0,2.0,1.0,2.0,0.0,19.0,14.3,-16.0
Paolo Banchero,banchpa01,2024,11,83.0,11.0,2023-11-15,,,CHI,"W, 96-94",*,,4.0,12.0,0.333,2.0,4.0,0.5,2.0,8.0,0.25,0.417,7.0,10.0,0.7,1.0,8.0,9.0,3.0,1.0,0.0,1.0,0.0,17.0,14.2,-8.0
Paolo Banchero,banchpa01,2024,12,84.0,12.0,2023-11-17,,,CHI,"W, 103-97",*,,6.0,14.0,0.429,0.0,1.0,0.0,6.0,13.0,0.462,0.429,1.0,4.0,0.25,3.0,5.0,8.0,4.0,0.0,1.0,7.0,3.0,13.0,3.3,0.0
Paolo Banchero,banchpa01,2024,13,85.0,13.0,2023-11-19,,,IND,"W, 128-116",*,,9.0,14.0,0.643,0.0,0.0,,9.0,14.0,0.643,0.643,6.0,7.0,0.857,1.0,2.0,3.0,0.0,1.0,2.0,1.0,1.0,24.0,19.7,28.0
Paolo Banchero,banchpa01,2024,14,86.0,14.0,2023-11-21,,,TOR,"W, 126-107",*,,10.0,20.0,0.5,2.0,3.0,0.667,8.0,17.0,0.471,0.55,3.0,3.0,1.0,1.0,4.0,5.0,3.0,0.0,1.0,3.0,2.0,25.0,15.9,14.0
Paolo Banchero,banchpa01,2024,15,87.0,15.0,2023-11-22,,,DEN,"W, 124-119",*,,8.0,14.0,0.571,4.0,5.0,0.8,4.0,9.0,0.444,0.714,3.0,5.0,0.6,1.0,2.0,3.0,4.0,1.0,3.0,3.0,1.0,23.0,19.4,-4.0
Paolo Banchero,banchpa01,2024,16,88.0,16.0,2023-11-24,,,BOS,"W, 113-96",*,,10.0,16.0,0.625,2.0,6.0,0.333,8.0,10.0,0.8,0.688,1.0,2.0,0.5,1.0,6.0,7.0,5.0,0.0,0.0,3.0,4.0,23.0,16.8,7.0
Paolo Banchero,banchpa01,2024,17,89.0,17.0,2023-11-26,,,CHO,"W, 130-117",*,,9.0,18.0,0.5,2.0,5.0,0.4,7.0,13.0,0.538,0.556,3.0,6.0,0.5,0.0,7.0,7.0,8.0,2.0,0.0,2.0,2.0,23.0,19.7,8.0
Paolo Banchero,banchpa01,2024,18,90.0,18.0,2023-11-29,,,WAS,"W, 139-120",*,,2.0,8.0,0.25,0.0,0.0,,2.0,8.0,0.25,0.25,2.0,3.0,0.667,1.0,3.0,4.0,4.0,0.0,0.0,4.0,2.0,6.0,0.4,8.0
Paolo Banchero,banchpa01,2024,19,91.0,19.0,2023-12-01,,,WAS,"W, 130-125",*,,11.0,20.0,0.55,3.0,4.0,0.75,8.0,16.0,0.5,0.625,3.0,3.0,1.0,3.0,10.0,13.0,7.0,0.0,0.0,2.0,2.0,28.0,25.6,1.0
Paolo Banchero,banchpa01,2024,20,92.0,20.0,2023-12-02,,,BRK,"L, 101-129",*,,6.0,15.0,0.4,0.0,2.0,0.0,6.0,13.0,0.462,0.4,7.0,9.0,0.778,1.0,9.0,10.0,8.0,1.0,0.0,1.0,3.0,19.0,17.9,-16.0
Paolo Banchero,banchpa01,2024,21,93.0,21.0,2023-12-06,,,CLE,"L, 111-121",*,,16.0,26.0,0.615,1.0,5.0,0.2,15.0,21.0,0.714,0.635,9.0,12.0,0.75,1.0,5.0,6.0,1.0,0.0,2.0,3.0,3.0,42.0,29.1,2.0
Paolo Banchero,banchpa01,2024,22,94.0,22.0,2023-12-08,,,DET,"W, 123-91",*,,9.0,17.0,0.529,0.0,3.0,0.0,9.0,14.0,0.643,0.529,6.0,7.0,0.857,0.0,4.0,4.0,2.0,2.0,0.0,0.0,3.0,24.0,18.7,25.0
Paolo Banchero,banchpa01,2024,23,95.0,23.0,2023-12-11,,,CLE,"W, 104-94",*,,9.0,21.0,0.429,0.0,3.0,0.0,9.0,18.0,0.5,0.429,2.0,3.0,0.667,4.0,6.0,10.0,4.0,1.0,0.0,8.0,0.0,20.0,8.9,6.0
Paolo Banchero,banchpa01,2024,24,96.0,24.0,2023-12-15,,,BOS,"L, 111-128",*,,5.0,17.0,0.294,1.0,4.0,0.25,4.0,13.0,0.308,0.324,3.0,6.0,0.5,1.0,3.0,4.0,5.0,0.0,1.0,5.0,1.0,14.0,3.3,-13.0
Paolo Banchero,banchpa01,2024,25,97.0,25.0,2023-12-17,,,BOS,"L, 97-114",*,,14.0,30.0,0.467,4.0,10.0,0.4,10.0,20.0,0.5,0.533,4.0,6.0,0.667,2.0,8.0,10.0,1.0,2.0,0.0,4.0,0.0,36.0,22.3,-11.0
Paolo Banchero,banchpa01,2024,26,98.0,26.0,2023-12-20,,,MIA,"L, 106-115",*,,2.0,12.0,0.167,0.0,3.0,0.0,2.0,9.0,0.222,0.167,6.0,8.0,0.75,0.0,8.0,8.0,8.0,1.0,0.0,3.0,1.0,10.0,7.2,-22.0
Paolo Banchero,banchpa01,2024,27,99.0,27.0,2023-12-21,,,MIL,"L, 114-118",*,,6.0,17.0,0.353,3.0,5.0,0.6,3.0,12.0,0.25,0.441,8.0,10.0,0.8,0.0,7.0,7.0,4.0,0.0,1.0,2.0,4.0,23.0,14.7,-10.0
Paolo Banchero,banchpa01,2024,28,100.0,28.0,2023-12-23,,,IND,"W, 117-110",*,,11.0,20.0,0.55,0.0,0.0,,11.0,20.0,0.55,0.55,12.0,16.0,0.75,1.0,6.0,7.0,4.0,1.0,0.0,3.0,1.0,34.0,25.7,-2.0
Paolo Banchero,banchpa01,2024,29,101.0,29.0,2023-12-26,,,WAS,"W, 127-119",*,,10.0,22.0,0.455,0.0,1.0,0.0,10.0,21.0,0.476,0.455,4.0,8.0,0.5,1.0,2.0,3.0,8.0,1.0,1.0,3.0,1.0,24.0,16.2,0.0
Paolo Banchero,banchpa01,2024,30,102.0,30.0,2023-12-27,,,PHI,"L, 92-112",*,,6.0,21.0,0.286,1.0,8.0,0.125,5.0,13.0,0.385,0.31,6.0,7.0,0.857,0.0,9.0,9.0,4.0,1.0,1.0,1.0,0.0,19.0,12.5,-18.0
Paolo Banchero,banchpa01,2024,31,103.0,31.0,2023-12-29,,,NYK,"W, 117-108",*,,9.0,19.0,0.474,2.0,6.0,0.333,7.0,13.0,0.538,0.526,9.0,12.0,0.75,1.0,9.0,10.0,4.0,1.0,1.0,2.0,3.0,29.0,22.8,4.0
Paolo Banchero,banchpa01,2024,32,104.0,32.0,2023-12-31,,,PHO,"L, 107-112",*,,12.0,23.0,0.522,2.0,6.0,0.333,10.0,17.0,0.588,0.565,2.0,2.0,1.0,0.0,9.0,9.0,7.0,0.0,1.0,3.0,1.0,28.0,21.6,-6.0
Paolo Banchero,banchpa01,2024,33,105.0,33.0,2024-01-02,,,GSW,"L, 115-121",*,,8.0,20.0,0.4,3.0,8.0,0.375,5.0,12.0,0.417,0.475,8.0,11.0,0.727,4.0,8.0,12.0,6.0,2.0,1.0,5.0,4.0,27.0,20.5,-8.0
Paolo Banchero,banchpa01,2024,34,106.0,34.0,2024-01-03,,,SAC,"L, 135-138 (2OT)",*,,13.0,25.0,0.52,6.0,9.0,0.667,7.0,16.0,0.438,0.64,11.0,14.0,0.786,1.0,3.0,4.0,5.0,0.0,0.0,8.0,4.0,43.0,25.0,-2.0
