player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Justin Champagnie,champju01,2024,1,42.0,55.0,2024-02-22,,,DEN,"L, 110-130",,,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.167,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.1,4.0
Justin Champagnie,champju01,2024,2,43.0,56.0,2024-02-23,,,OKC,"L, 106-147",,,2.0,4.0,0.5,0.0,2.0,0.0,2.0,2.0,1.0,0.5,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,2.0,0.0
Justin Champagnie,champju01,2024,3,44.0,60.0,2024-03-01,,,LAC,"L, 115-140",,,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.4,-1.0
Justin Champagnie,champju01,2024,4,45.0,66.0,2024-03-14,,,HOU,"L, 119-135",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.4,-1.0
Justin Champagnie,champju01,2024,5,46.0,67.0,2024-03-16,,,CHI,"L, 98-127",,,4.0,9.0,0.444,3.0,6.0,0.5,1.0,3.0,0.333,0.611,0.0,0.0,,2.0,5.0,7.0,3.0,1.0,3.0,2.0,2.0,11.0,11.6,-15.0
Justin Champagnie,champju01,2024,6,47.0,68.0,2024-03-17,,,BOS,"L, 104-130",*,,5.0,11.0,0.455,2.0,4.0,0.5,3.0,7.0,0.429,0.545,2.0,2.0,1.0,2.0,6.0,8.0,1.0,2.0,0.0,3.0,2.0,14.0,10.4,-15.0
Justin Champagnie,champju01,2024,7,48.0,69.0,2024-03-19,,,HOU,"L, 114-137",,,4.0,9.0,0.444,2.0,6.0,0.333,2.0,3.0,0.667,0.556,6.0,6.0,1.0,6.0,2.0,8.0,2.0,2.0,0.0,2.0,3.0,16.0,16.3,-15.0
Justin Champagnie,champju01,2024,8,49.0,70.0,2024-03-21,,,SAC,"W, 109-102",,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Justin Champagnie,champju01,2024,9,50.0,71.0,2024-03-23,,,TOR,"W, 112-109",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.0
Justin Champagnie,champju01,2024,10,51.0,72.0,2024-03-25,,,CHI,"W, 107-105",,,2.0,8.0,0.25,2.0,8.0,0.25,0.0,0.0,,0.375,2.0,4.0,0.5,0.0,3.0,3.0,3.0,0.0,1.0,0.0,4.0,8.0,4.5,5.0
Justin Champagnie,champju01,2024,11,52.0,77.0,2024-04-03,,,LAL,"L, 120-125",,,5.0,8.0,0.625,3.0,5.0,0.6,2.0,3.0,0.667,0.813,0.0,0.0,,3.0,4.0,7.0,2.0,1.0,0.0,0.0,0.0,13.0,15.1,-6.0
Justin Champagnie,champju01,2024,12,53.0,78.0,2024-04-05,,,POR,"L, 102-108",,,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,1.0,2.0,0.5,2.0,3.0,5.0,2.0,0.0,0.0,0.0,1.0,3.0,4.9,-2.0
Justin Champagnie,champju01,2024,13,54.0,79.0,2024-04-07,,,TOR,"L, 122-130",,,1.0,3.0,0.333,0.0,2.0,0.0,1.0,1.0,1.0,0.333,0.0,0.0,,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,1.7,-8.0
Justin Champagnie,champju01,2024,14,55.0,81.0,2024-04-12,,,CHI,"L, 127-129",,,1.0,6.0,0.167,0.0,3.0,0.0,1.0,3.0,0.333,0.167,0.0,0.0,,1.0,3.0,4.0,0.0,0.0,1.0,0.0,0.0,2.0,0.5,-2.0
Justin Champagnie,champju01,2024,15,56.0,82.0,2024-04-14,,,BOS,"L, 122-132",,,4.0,9.0,0.444,0.0,2.0,0.0,4.0,7.0,0.571,0.444,1.0,1.0,1.0,1.0,6.0,7.0,3.0,2.0,1.0,0.0,1.0,9.0,11.2,-1.0
