player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Noah Clowney,clownno01,2024,1,1.0,15.0,2023-11-25,,,MIA,"W, 112-97",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-6.0
Noah Clowney,clownno01,2024,2,2.0,31.0,2023-12-27,,,MIL,"L, 122-144",,,6.0,9.0,0.667,0.0,1.0,0.0,6.0,8.0,0.75,0.667,2.0,2.0,1.0,3.0,1.0,4.0,2.0,0.0,0.0,1.0,3.0,14.0,11.7,-19.0
Noah Clowney,clownno01,2024,3,3.0,46.0,2024-01-29,,,UTA,"W, 147-114",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,3.3,4.0
Noah Clowney,clownno01,2024,4,4.0,50.0,2024-02-06,,,DAL,"L, 107-119",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.6,5.0
Noah Clowney,clownno01,2024,5,5.0,51.0,2024-02-08,,,CLE,"L, 95-118",,,3.0,6.0,0.5,0.0,2.0,0.0,3.0,4.0,0.75,0.5,2.0,2.0,1.0,3.0,1.0,4.0,1.0,0.0,0.0,1.0,1.0,8.0,6.7,-5.0
Noah Clowney,clownno01,2024,6,6.0,52.0,2024-02-10,,,SAS,"W, 123-103",,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.7,-4.0
Noah Clowney,clownno01,2024,7,7.0,54.0,2024-02-14,,,BOS,"L, 86-136",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.7,1.0
Noah Clowney,clownno01,2024,8,8.0,63.0,2024-03-07,,,DET,"L, 112-118",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,3.6,-3.0
Noah Clowney,clownno01,2024,9,9.0,65.0,2024-03-10,,,CLE,"W, 120-101",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Noah Clowney,clownno01,2024,10,10.0,67.0,2024-03-16,,,IND,"L, 100-121",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,-2.4,-5.0
