player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Ricky Council IV,councri01,2024,1,1.0,33.0,2024-01-02,,,CHI,"W, 110-97",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-12.0
Ricky Council IV,councri01,2024,2,2.0,40.0,2024-01-19,,,ORL,"W, 124-109",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2,2.0
Ricky Council IV,councri01,2024,3,3.0,41.0,2024-01-20,,,CHO,"W, 97-89",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0
Ricky Council IV,councri01,2024,4,4.0,42.0,2024-01-22,,,SAS,"W, 133-123",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-5.0
Ricky Council IV,councri01,2024,5,5.0,43.0,2024-01-25,,,IND,"L, 122-134",,,3.0,6.0,0.5,1.0,1.0,1.0,2.0,5.0,0.4,0.583,4.0,6.0,0.667,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,11.0,8.9,9.0
Ricky Council IV,councri01,2024,6,6.0,45.0,2024-01-29,,,POR,"L, 104-130",,,2.0,4.0,0.5,0.0,0.0,,2.0,4.0,0.5,0.5,4.0,4.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,8.0,8.4,-5.0
Ricky Council IV,councri01,2024,7,7.0,46.0,2024-01-30,,,GSW,"L, 107-119",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.7,-1.0
Ricky Council IV,councri01,2024,8,8.0,48.0,2024-02-03,,,BRK,"L, 121-136",,,2.0,4.0,0.5,1.0,1.0,1.0,1.0,3.0,0.333,0.625,0.0,1.0,0.0,1.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,5.0,5.2,9.0
Ricky Council IV,councri01,2024,9,9.0,49.0,2024-02-05,,,DAL,"L, 102-118",,,2.0,2.0,1.0,0.0,0.0,,2.0,2.0,1.0,1.0,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,4.6,4.0
Ricky Council IV,councri01,2024,10,10.0,50.0,2024-02-07,,,GSW,"L, 104-127",,,4.0,7.0,0.571,1.0,3.0,0.333,3.0,4.0,0.75,0.643,8.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,13.3,4.0
Ricky Council IV,councri01,2024,11,11.0,51.0,2024-02-09,,,ATL,"L, 121-127",,,1.0,3.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,0.333,2.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,2.5,0.0
