player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
DeMar DeRozan,derozde01,2024,1,1032.0,1.0,2023-10-25,,,OKC,"L, 104-124",*,,9.0,20.0,0.45,1.0,3.0,0.333,8.0,17.0,0.471,0.475,1.0,3.0,0.333,2.0,3.0,5.0,2.0,1.0,1.0,0.0,1.0,20.0,13.8,-29.0
DeMar DeRozan,derozde01,2024,2,1033.0,2.0,2023-10-27,,,TOR,"W, 104-103 (OT)",*,,11.0,22.0,0.5,1.0,3.0,0.333,10.0,19.0,0.526,0.523,10.0,14.0,0.714,1.0,3.0,4.0,3.0,4.0,1.0,2.0,2.0,33.0,26.0,0.0
DeMar DeRozan,derozde01,2024,3,1034.0,3.0,2023-10-28,,,DET,"L, 102-118",*,,7.0,13.0,0.538,0.0,1.0,0.0,7.0,12.0,0.583,0.538,6.0,7.0,0.857,1.0,1.0,2.0,4.0,1.0,2.0,1.0,3.0,20.0,17.3,-11.0
DeMar DeRozan,derozde01,2024,4,1035.0,4.0,2023-10-30,,,IND,"W, 112-105",*,,6.0,19.0,0.316,0.0,1.0,0.0,6.0,18.0,0.333,0.316,8.0,8.0,1.0,1.0,2.0,3.0,4.0,0.0,1.0,0.0,2.0,20.0,13.1,15.0
DeMar DeRozan,derozde01,2024,5,1036.0,5.0,2023-11-01,,,DAL,"L, 105-114",*,,5.0,13.0,0.385,0.0,1.0,0.0,5.0,12.0,0.417,0.385,6.0,6.0,1.0,1.0,2.0,3.0,7.0,1.0,0.0,2.0,3.0,16.0,12.9,-17.0
DeMar DeRozan,derozde01,2024,6,1037.0,6.0,2023-11-03,,,BRK,"L, 107-109",*,,9.0,20.0,0.45,2.0,4.0,0.5,7.0,16.0,0.438,0.5,4.0,4.0,1.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,24.0,17.1,-16.0
DeMar DeRozan,derozde01,2024,7,1038.0,7.0,2023-11-04,,,DEN,"L, 101-123",*,,7.0,16.0,0.438,0.0,1.0,0.0,7.0,15.0,0.467,0.438,3.0,4.0,0.75,0.0,3.0,3.0,6.0,0.0,0.0,0.0,4.0,17.0,11.7,-18.0
DeMar DeRozan,derozde01,2024,8,1039.0,8.0,2023-11-06,,,UTA,"W, 130-113",*,,8.0,13.0,0.615,1.0,1.0,1.0,7.0,12.0,0.583,0.654,4.0,5.0,0.8,3.0,2.0,5.0,4.0,4.0,0.0,1.0,3.0,21.0,22.0,2.0
DeMar DeRozan,derozde01,2024,9,1040.0,9.0,2023-11-08,,,PHO,"L, 115-116 (OT)",*,,6.0,20.0,0.3,1.0,4.0,0.25,5.0,16.0,0.313,0.325,9.0,11.0,0.818,0.0,2.0,2.0,7.0,1.0,2.0,2.0,2.0,22.0,14.7,-3.0
DeMar DeRozan,derozde01,2024,10,1041.0,10.0,2023-11-12,,,DET,"W, 119-108",*,,11.0,19.0,0.579,2.0,3.0,0.667,9.0,16.0,0.563,0.632,5.0,5.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,0.0,1.0,29.0,23.9,12.0
DeMar DeRozan,derozde01,2024,11,1042.0,11.0,2023-11-13,,,MIL,"L, 109-118",*,,3.0,14.0,0.214,0.0,3.0,0.0,3.0,11.0,0.273,0.214,5.0,5.0,1.0,2.0,2.0,4.0,7.0,0.0,1.0,1.0,3.0,11.0,7.8,-2.0
DeMar DeRozan,derozde01,2024,12,1043.0,13.0,2023-11-17,,,ORL,"L, 97-103",*,,10.0,20.0,0.5,1.0,1.0,1.0,9.0,19.0,0.474,0.525,2.0,4.0,0.5,0.0,4.0,4.0,3.0,1.0,0.0,3.0,1.0,23.0,13.1,-6.0
DeMar DeRozan,derozde01,2024,13,1044.0,14.0,2023-11-18,,,MIA,"W, 102-97",*,,6.0,12.0,0.5,2.0,4.0,0.5,4.0,8.0,0.5,0.583,9.0,13.0,0.692,1.0,3.0,4.0,4.0,1.0,0.0,3.0,1.0,23.0,17.4,-11.0
DeMar DeRozan,derozde01,2024,14,1045.0,15.0,2023-11-20,,,MIA,"L, 100-118",*,,6.0,10.0,0.6,2.0,4.0,0.5,4.0,6.0,0.667,0.7,1.0,1.0,1.0,0.0,4.0,4.0,5.0,0.0,1.0,0.0,1.0,15.0,15.4,-15.0
DeMar DeRozan,derozde01,2024,15,1046.0,16.0,2023-11-22,,,OKC,"L, 102-116",*,,6.0,17.0,0.353,0.0,2.0,0.0,6.0,15.0,0.4,0.353,13.0,13.0,1.0,1.0,1.0,2.0,6.0,2.0,1.0,1.0,3.0,25.0,21.2,-16.0
DeMar DeRozan,derozde01,2024,16,1047.0,17.0,2023-11-24,,,TOR,"L, 108-121",*,,7.0,16.0,0.438,0.0,1.0,0.0,7.0,15.0,0.467,0.438,5.0,9.0,0.556,0.0,3.0,3.0,4.0,1.0,1.0,2.0,3.0,19.0,11.2,-31.0
DeMar DeRozan,derozde01,2024,17,1048.0,18.0,2023-11-26,,,BRK,"L, 109-118",*,,11.0,22.0,0.5,2.0,4.0,0.5,9.0,18.0,0.5,0.545,3.0,5.0,0.6,2.0,4.0,6.0,6.0,1.0,0.0,1.0,2.0,27.0,21.2,5.0
DeMar DeRozan,derozde01,2024,18,1049.0,19.0,2023-11-28,,,BOS,"L, 97-124",*,,7.0,14.0,0.5,1.0,3.0,0.333,6.0,11.0,0.545,0.536,4.0,4.0,1.0,0.0,2.0,2.0,6.0,0.0,0.0,2.0,2.0,19.0,14.0,-20.0
DeMar DeRozan,derozde01,2024,19,1050.0,21.0,2023-12-02,,,NOP,"W, 124-118",*,,10.0,18.0,0.556,2.0,4.0,0.5,8.0,14.0,0.571,0.611,2.0,2.0,1.0,0.0,5.0,5.0,10.0,0.0,0.0,2.0,3.0,24.0,20.7,2.0
DeMar DeRozan,derozde01,2024,20,1051.0,22.0,2023-12-06,,,CHO,"W, 111-100",*,,8.0,20.0,0.4,1.0,3.0,0.333,7.0,17.0,0.412,0.425,12.0,14.0,0.857,0.0,6.0,6.0,3.0,0.0,1.0,2.0,1.0,29.0,19.6,17.0
DeMar DeRozan,derozde01,2024,21,1052.0,23.0,2023-12-08,,,SAS,"W, 121-112",*,,7.0,24.0,0.292,0.0,2.0,0.0,7.0,22.0,0.318,0.292,6.0,10.0,0.6,1.0,5.0,6.0,10.0,3.0,0.0,2.0,2.0,20.0,13.8,13.0
DeMar DeRozan,derozde01,2024,22,1053.0,24.0,2023-12-11,,,MIL,"L, 129-133 (OT)",*,,14.0,30.0,0.467,3.0,6.0,0.5,11.0,24.0,0.458,0.517,10.0,12.0,0.833,0.0,2.0,2.0,11.0,0.0,0.0,2.0,5.0,41.0,29.1,6.0
DeMar DeRozan,derozde01,2024,23,1054.0,25.0,2023-12-12,,,DEN,"L, 106-114",*,,3.0,13.0,0.231,1.0,4.0,0.25,2.0,9.0,0.222,0.269,7.0,7.0,1.0,0.0,4.0,4.0,5.0,1.0,2.0,0.0,5.0,14.0,11.2,-7.0
DeMar DeRozan,derozde01,2024,24,1055.0,26.0,2023-12-14,,,MIA,"W, 124-116",*,,6.0,14.0,0.429,1.0,3.0,0.333,5.0,11.0,0.455,0.464,10.0,11.0,0.909,2.0,3.0,5.0,4.0,0.0,0.0,3.0,2.0,23.0,16.5,14.0
DeMar DeRozan,derozde01,2024,25,1056.0,27.0,2023-12-16,,,MIA,"L, 116-118",*,,9.0,13.0,0.692,1.0,2.0,0.5,8.0,11.0,0.727,0.731,8.0,9.0,0.889,1.0,2.0,3.0,5.0,2.0,3.0,3.0,1.0,27.0,26.6,5.0
DeMar DeRozan,derozde01,2024,26,1057.0,28.0,2023-12-18,,,PHI,"W, 108-104",*,,5.0,15.0,0.333,0.0,0.0,,5.0,15.0,0.333,0.333,5.0,6.0,0.833,0.0,4.0,4.0,5.0,4.0,1.0,2.0,1.0,15.0,13.1,-5.0
DeMar DeRozan,derozde01,2024,27,1058.0,29.0,2023-12-20,,,LAL,"W, 124-108",*,,12.0,16.0,0.75,0.0,2.0,0.0,12.0,14.0,0.857,0.75,3.0,3.0,1.0,0.0,7.0,7.0,9.0,1.0,1.0,3.0,3.0,27.0,26.5,17.0
DeMar DeRozan,derozde01,2024,28,1059.0,30.0,2023-12-21,,,SAS,"W, 114-95",*,,9.0,15.0,0.6,1.0,3.0,0.333,8.0,12.0,0.667,0.633,2.0,2.0,1.0,0.0,4.0,4.0,5.0,0.0,1.0,0.0,1.0,21.0,19.1,10.0
DeMar DeRozan,derozde01,2024,29,1060.0,31.0,2023-12-23,,,CLE,"L, 95-109",*,,6.0,14.0,0.429,1.0,3.0,0.333,5.0,11.0,0.455,0.464,8.0,9.0,0.889,0.0,5.0,5.0,8.0,3.0,0.0,2.0,4.0,21.0,19.7,-8.0
DeMar DeRozan,derozde01,2024,30,1061.0,32.0,2023-12-26,,,ATL,"W, 118-113",*,,8.0,17.0,0.471,2.0,3.0,0.667,6.0,14.0,0.429,0.529,7.0,7.0,1.0,0.0,2.0,2.0,6.0,1.0,0.0,1.0,3.0,25.0,19.9,8.0
