player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Ayo Dosunmu,dosunay01,2024,1,158.0,1.0,2023-10-25,,,OKC,"L, 104-124",,,3.0,5.0,0.6,2.0,4.0,0.5,1.0,1.0,1.0,0.8,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,8.0,6.4,3.0
Ayo Dosunmu,dosunay01,2024,2,159.0,2.0,2023-10-27,,,TOR,"W, 104-103 (OT)",,,2.0,4.0,0.5,0.0,1.0,0.0,2.0,3.0,0.667,0.5,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.3,10.0
Ayo Dosunmu,dosunay01,2024,3,160.0,3.0,2023-10-28,,,DET,"L, 102-118",,,2.0,7.0,0.286,1.0,2.0,0.5,1.0,5.0,0.2,0.357,0.0,0.0,,2.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,5.0,4.7,-6.0
Ayo Dosunmu,dosunay01,2024,4,161.0,4.0,2023-10-30,,,IND,"W, 112-105",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.5,-2.0
Ayo Dosunmu,dosunay01,2024,5,162.0,5.0,2023-11-01,,,DAL,"L, 105-114",,,3.0,4.0,0.75,2.0,3.0,0.667,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,8.0,7.0,8.0
Ayo Dosunmu,dosunay01,2024,6,163.0,8.0,2023-11-06,,,UTA,"W, 130-113",,,2.0,5.0,0.4,2.0,3.0,0.667,0.0,2.0,0.0,0.6,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0,4.6,6.0
Ayo Dosunmu,dosunay01,2024,7,164.0,9.0,2023-11-08,,,PHO,"L, 115-116 (OT)",,,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,,2.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,2.0,2.4,-4.0
Ayo Dosunmu,dosunay01,2024,8,165.0,10.0,2023-11-12,,,DET,"W, 119-108",,,6.0,7.0,0.857,0.0,1.0,0.0,6.0,6.0,1.0,0.857,1.0,2.0,0.5,0.0,1.0,1.0,3.0,3.0,0.0,0.0,3.0,13.0,14.3,19.0
Ayo Dosunmu,dosunay01,2024,9,166.0,11.0,2023-11-13,,,MIL,"L, 109-118",,,2.0,4.0,0.5,1.0,2.0,0.5,1.0,2.0,0.5,0.625,0.0,0.0,,1.0,1.0,2.0,1.0,0.0,0.0,1.0,4.0,5.0,2.1,-13.0
Ayo Dosunmu,dosunay01,2024,10,167.0,12.0,2023-11-15,,,ORL,"L, 94-96",,,2.0,4.0,0.5,1.0,3.0,0.333,1.0,1.0,1.0,0.625,0.0,0.0,,1.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,5.0,4.0,-6.0
