player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Jeff Dowtin Jr.,dowtije01,2024,1,35.0,61.0,2024-03-05,,,BRK,"L, 107-112",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.3,-6.0
Jeff Dowtin Jr.,dowtije01,2024,2,36.0,62.0,2024-03-06,,,MEM,"L, 109-115",,,4.0,7.0,0.571,2.0,4.0,0.5,2.0,3.0,0.667,0.714,0.0,0.0,,0.0,3.0,3.0,6.0,3.0,1.0,0.0,0.0,10.0,15.5,17.0
Jeff Dowtin Jr.,dowtije01,2024,3,37.0,63.0,2024-03-08,,,NOP,"L, 95-103",,,2.0,3.0,0.667,2.0,3.0,0.667,0.0,0.0,,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,6.0,3.4,3.0
Jeff Dowtin Jr.,dowtije01,2024,4,38.0,65.0,2024-03-12,,,NYK,"L, 79-106",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-2.0
Jeff Dowtin Jr.,dowtije01,2024,5,39.0,69.0,2024-03-20,,,PHO,"L, 102-115",,,4.0,5.0,0.8,2.0,3.0,0.667,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,5.0,1.0,0.0,0.0,0.0,12.0,15.6,11.0
Jeff Dowtin Jr.,dowtije01,2024,6,40.0,71.0,2024-03-24,,,LAC,"W, 121-107",,,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,,0.5,0.0,0.0,,0.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,3.0,4.6,-5.0
Jeff Dowtin Jr.,dowtije01,2024,7,41.0,75.0,2024-03-31,,,TOR,"W, 135-120",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,-1.7,-2.0
Jeff Dowtin Jr.,dowtije01,2024,8,42.0,78.0,2024-04-06,,,MEM,"W, 116-96",,,4.0,5.0,0.8,2.0,3.0,0.667,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,2.0,0.0,0.0,0.0,0.0,11.0,12.4,2.0
Jeff Dowtin Jr.,dowtije01,2024,9,43.0,79.0,2024-04-07,,,SAS,"W, 133-126 (2OT)",,,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9,0.0
Jeff Dowtin Jr.,dowtije01,2024,10,44.0,80.0,2024-04-09,,,DET,"W, 120-102",,,4.0,7.0,0.571,0.0,0.0,,4.0,7.0,0.571,0.571,0.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,8.0,9.5,9.0
Jeff Dowtin Jr.,dowtije01,2024,11,45.0,81.0,2024-04-12,,,ORL,"W, 125-113",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
Jeff Dowtin Jr.,dowtije01,2024,12,46.0,82.0,2024-04-14,,,BRK,"W, 107-86",,,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,3.3,-4.0
