player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Kessler Edwards,edwarke02,2024,1,85.0,1.0,2023-10-25,,,UTA,"W, 130-114",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-2.0
Kessler Edwards,edwarke02,2024,2,86.0,3.0,2023-10-29,,,LAL,"W, 132-127 (OT)",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
Kessler Edwards,edwarke02,2024,3,87.0,5.0,2023-11-04,,,HOU,"L, 89-107",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kessler Edwards,edwarke02,2024,4,88.0,6.0,2023-11-06,,,HOU,"L, 97-122",,,1.0,4.0,0.25,1.0,2.0,0.5,0.0,2.0,0.0,0.375,1.0,2.0,0.5,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,4.0,3.5,11.0
Kessler Edwards,edwarke02,2024,5,89.0,7.0,2023-11-08,,,POR,"W, 121-118 (OT)",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,4.0,4.0,1.0,0.0,1.0,1.0,4.0,0.0,-0.7,4.0
Kessler Edwards,edwarke02,2024,6,90.0,8.0,2023-11-10,,,OKC,"W, 105-98",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
Kessler Edwards,edwarke02,2024,7,91.0,9.0,2023-11-13,,,CLE,"W, 132-120",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0
Kessler Edwards,edwarke02,2024,8,92.0,10.0,2023-11-15,,,LAL,"W, 125-110",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Kessler Edwards,edwarke02,2024,9,93.0,12.0,2023-11-19,,,DAL,"W, 129-113",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0
Kessler Edwards,edwarke02,2024,10,94.0,13.0,2023-11-20,,,NOP,"L, 93-129",,,1.0,4.0,0.25,1.0,4.0,0.25,0.0,0.0,,0.375,0.0,0.0,,0.0,4.0,4.0,0.0,0.0,1.0,0.0,2.0,3.0,1.7,-12.0
