player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Bruno Fernando,fernabr01,2024,1,159.0,3.0,2023-10-29,,,MIL,"W, 127-110",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,-3.1,-7.0
Bruno Fernando,fernabr01,2024,2,160.0,4.0,2023-10-30,,,MIN,"W, 127-113",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0
Bruno Fernando,fernabr01,2024,3,161.0,8.0,2023-11-09,,,ORL,"W, 120-119",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4,7.0
Bruno Fernando,fernabr01,2024,4,162.0,15.0,2023-11-25,,,WAS,"W, 136-108",,,2.0,2.0,1.0,0.0,0.0,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,4.1,-2.0
Bruno Fernando,fernabr01,2024,5,163.0,17.0,2023-11-28,,,CLE,"L, 105-128",,,1.0,6.0,0.167,0.0,0.0,,1.0,6.0,0.167,0.167,0.0,0.0,,2.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,-1.5,0.0
Bruno Fernando,fernabr01,2024,6,164.0,24.0,2023-12-15,,,TOR,"W, 125-104",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
Bruno Fernando,fernabr01,2024,7,165.0,25.0,2023-12-16,,,CLE,"L, 119-127",,,5.0,7.0,0.714,0.0,0.0,,5.0,7.0,0.714,0.714,3.0,5.0,0.6,2.0,6.0,8.0,1.0,0.0,1.0,0.0,2.0,13.0,13.1,7.0
Bruno Fernando,fernabr01,2024,8,166.0,32.0,2023-12-31,,,WAS,"W, 130-126",,,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,3.0,3.0,2.0,1.0,0.0,1.0,4.0,0.0,-0.7,7.0
Bruno Fernando,fernabr01,2024,9,167.0,34.0,2024-01-05,,,IND,"L, 116-150",,,2.0,2.0,1.0,0.0,0.0,,2.0,2.0,1.0,1.0,2.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,6.0,6.3,-2.0
Bruno Fernando,fernabr01,2024,10,168.0,36.0,2024-01-10,,,PHI,"W, 139-132 (OT)",,,3.0,4.0,0.75,0.0,0.0,,3.0,4.0,0.75,0.75,2.0,9.0,0.222,2.0,3.0,5.0,0.0,1.0,3.0,1.0,2.0,8.0,7.2,8.0
Bruno Fernando,fernabr01,2024,11,169.0,37.0,2024-01-12,,,IND,"L, 108-126",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,2.0
Bruno Fernando,fernabr01,2024,12,170.0,38.0,2024-01-13,,,WAS,"L, 99-127",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,4.0,3.3,1.0
Bruno Fernando,fernabr01,2024,13,171.0,42.0,2024-01-20,,,CLE,"L, 95-116",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,3.0
Bruno Fernando,fernabr01,2024,14,172.0,50.0,2024-02-05,,,LAC,"L, 144-149",,,3.0,6.0,0.5,0.0,0.0,,3.0,6.0,0.5,0.5,1.0,3.0,0.333,1.0,3.0,4.0,1.0,0.0,2.0,0.0,1.0,7.0,6.5,2.0
Bruno Fernando,fernabr01,2024,15,173.0,51.0,2024-02-07,,,BOS,"L, 117-125",,,2.0,4.0,0.5,0.0,0.0,,2.0,4.0,0.5,0.5,5.0,6.0,0.833,1.0,3.0,4.0,1.0,0.0,0.0,1.0,1.0,9.0,7.5,-12.0
Bruno Fernando,fernabr01,2024,16,174.0,52.0,2024-02-09,,,PHI,"W, 127-121",,,4.0,4.0,1.0,0.0,0.0,,4.0,4.0,1.0,1.0,0.0,0.0,,0.0,3.0,3.0,0.0,0.0,2.0,0.0,4.0,8.0,7.5,-2.0
