player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Taj Gibson,gibsota01,2024,1,946.0,24.0,2023-12-15,,,PHO,"W, 139-122",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
Taj Gibson,gibsota01,2024,2,947.0,25.0,2023-12-16,,,LAC,"L, 122-144",,,1.0,3.0,0.333,0.0,2.0,0.0,1.0,1.0,1.0,0.333,0.0,0.0,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0
Taj Gibson,gibsota01,2024,3,948.0,26.0,2023-12-18,,,LAL,"W, 114-109",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,-0.5,-8.0
Taj Gibson,gibsota01,2024,4,949.0,27.0,2023-12-20,,,BRK,"W, 121-102",,,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,2.0,0.0,3.0,2.0,1.8,5.0
Taj Gibson,gibsota01,2024,5,950.0,28.0,2023-12-23,,,MIL,"L, 111-130",,,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.6,-5.0
Taj Gibson,gibsota01,2024,6,951.0,29.0,2023-12-25,,,MIL,"W, 129-122",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,3.0,3.0,3.0,0.0,3.0,0.0,2.0,0.0,3.6,4.0
Taj Gibson,gibsota01,2024,7,952.0,30.0,2023-12-27,,,OKC,"L, 120-129",,,2.0,2.0,1.0,0.0,0.0,,2.0,2.0,1.0,1.0,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,3.6,-16.0
Taj Gibson,gibsota01,2024,8,953.0,31.0,2023-12-29,,,ORL,"L, 108-117",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,4.0,4.0,0.0,0.0,1.0,0.0,4.0,2.0,2.0,7.0
Taj Gibson,gibsota01,2024,9,954.0,32.0,2023-12-30,,,IND,"L, 126-140",,,1.0,3.0,0.333,0.0,0.0,,1.0,3.0,0.333,0.333,0.0,0.0,,2.0,0.0,2.0,1.0,0.0,0.0,1.0,4.0,2.0,-0.2,-13.0
Taj Gibson,gibsota01,2024,10,955.0,33.0,2024-01-01,,,MIN,"W, 112-106",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4,-1.0
Taj Gibson,gibsota01,2024,11,956.0,48.0,2024-01-30,,,UTA,"W, 118-103",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taj Gibson,gibsota01,2024,12,957.0,51.0,2024-02-06,,,MEM,"W, 123-113",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.3,-2.0
Taj Gibson,gibsota01,2024,13,958.0,52.0,2024-02-08,,,DAL,"L, 108-122",,,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,2.0,2.0,4.0,1.0,0.0,0.0,1.0,4.0,0.0,-2.0,8.0
Taj Gibson,gibsota01,2024,14,959.0,53.0,2024-02-10,,,IND,"L, 111-125",*,,0.0,4.0,0.0,0.0,0.0,,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,3.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,-2.0,-1.0
Taj Gibson,gibsota01,2024,15,960.0,54.0,2024-02-12,,,HOU,"L, 103-105",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,2.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.6,1.0
Taj Gibson,gibsota01,2024,16,961.0,55.0,2024-02-14,,,ORL,"L, 100-118",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-4.0
Taj Gibson,gibsota01,2024,17,962.0,68.0,2024-03-18,,,BOS,"L, 94-119",,,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,,0.75,0.0,0.0,,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,3.0,3.2,-3.0
Taj Gibson,gibsota01,2024,18,963.0,78.0,2024-04-06,,,BRK,"L, 103-113",,,2.0,3.0,0.667,1.0,2.0,0.5,1.0,1.0,1.0,0.833,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,3.3,1.0
Taj Gibson,gibsota01,2024,19,964.0,81.0,2024-04-12,,,DAL,"W, 107-89",,,4.0,6.0,0.667,0.0,0.0,,4.0,6.0,0.667,0.667,0.0,0.0,,1.0,4.0,5.0,2.0,0.0,1.0,0.0,1.0,8.0,9.0,8.0
Taj Gibson,gibsota01,2024,20,965.0,82.0,2024-04-14,,,SAS,"L, 95-123",,,1.0,3.0,0.333,0.0,0.0,,1.0,3.0,0.333,0.333,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.3,-11.0
