player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Eric Gordon,gordoer01,2024,1,819.0,1.0,2023-10-24,,,GSW,"W, 108-104",,,4.0,16.0,0.25,2.0,9.0,0.222,2.0,7.0,0.286,0.313,0.0,0.0,,1.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,10.0,2.6,6.0
Eric Gordon,gordoer01,2024,2,820.0,2.0,2023-10-26,,,LAL,"L, 95-100",*,,6.0,16.0,0.375,2.0,8.0,0.25,4.0,8.0,0.5,0.438,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,15.0,4.4,-27.0
Eric Gordon,gordoer01,2024,3,821.0,3.0,2023-10-28,,,UTA,"W, 126-104",*,,9.0,14.0,0.643,3.0,7.0,0.429,6.0,7.0,0.857,0.75,0.0,0.0,,0.0,2.0,2.0,4.0,1.0,0.0,0.0,1.0,21.0,18.8,23.0
Eric Gordon,gordoer01,2024,4,822.0,4.0,2023-10-31,,,SAS,"L, 114-115",*,,8.0,14.0,0.571,4.0,9.0,0.444,4.0,5.0,0.8,0.714,0.0,0.0,,0.0,2.0,2.0,6.0,0.0,0.0,4.0,1.0,20.0,13.8,8.0
Eric Gordon,gordoer01,2024,5,823.0,5.0,2023-11-02,,,SAS,"L, 121-132",,,3.0,5.0,0.6,1.0,2.0,0.5,2.0,3.0,0.667,0.7,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,7.0,7.0,-2.0
Eric Gordon,gordoer01,2024,6,824.0,6.0,2023-11-04,,,PHI,"L, 100-112",*,,6.0,15.0,0.4,1.0,4.0,0.25,5.0,11.0,0.455,0.433,0.0,0.0,,0.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,13.0,9.3,-19.0
Eric Gordon,gordoer01,2024,7,825.0,7.0,2023-11-05,,,DET,"W, 120-106",*,,8.0,14.0,0.571,3.0,5.0,0.6,5.0,9.0,0.556,0.679,2.0,2.0,1.0,2.0,3.0,5.0,8.0,1.0,0.0,1.0,0.0,21.0,22.3,23.0
Eric Gordon,gordoer01,2024,8,826.0,8.0,2023-11-08,,,CHI,"W, 116-115 (OT)",,,1.0,9.0,0.111,0.0,8.0,0.0,1.0,1.0,1.0,0.111,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,3.0,1.0,2.0,-5.6,-16.0
Eric Gordon,gordoer01,2024,9,827.0,9.0,2023-11-10,,,LAL,"L, 119-122",,,5.0,9.0,0.556,3.0,4.0,0.75,2.0,5.0,0.4,0.722,0.0,0.0,,1.0,1.0,2.0,2.0,3.0,0.0,1.0,0.0,13.0,13.1,3.0
Eric Gordon,gordoer01,2024,10,828.0,11.0,2023-11-15,,,MIN,"W, 133-115",*,,6.0,9.0,0.667,3.0,6.0,0.5,3.0,3.0,1.0,0.833,0.0,0.0,,0.0,1.0,1.0,3.0,0.0,0.0,1.0,2.0,15.0,11.7,19.0
Eric Gordon,gordoer01,2024,11,829.0,12.0,2023-11-17,,,UTA,"W, 131-128",*,,5.0,12.0,0.417,4.0,8.0,0.5,1.0,4.0,0.25,0.583,0.0,0.0,,0.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,14.0,8.8,-2.0
Eric Gordon,gordoer01,2024,12,830.0,13.0,2023-11-19,,,UTA,"W, 140-137 (2OT)",*,,7.0,16.0,0.438,5.0,12.0,0.417,2.0,4.0,0.5,0.594,1.0,2.0,0.5,1.0,4.0,5.0,6.0,2.0,2.0,1.0,3.0,20.0,18.5,5.0
Eric Gordon,gordoer01,2024,13,831.0,14.0,2023-11-21,,,POR,"W, 120-107",*,,4.0,5.0,0.8,2.0,3.0,0.667,2.0,2.0,1.0,1.0,0.0,0.0,,0.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,10.0,10.4,13.0
Eric Gordon,gordoer01,2024,14,832.0,15.0,2023-11-22,,,GSW,"W, 123-115",*,,4.0,12.0,0.333,3.0,9.0,0.333,1.0,3.0,0.333,0.458,2.0,3.0,0.667,0.0,1.0,1.0,4.0,3.0,0.0,2.0,3.0,13.0,8.7,9.0
Eric Gordon,gordoer01,2024,15,833.0,16.0,2023-11-24,,,MEM,"W, 110-89",*,,6.0,15.0,0.4,4.0,11.0,0.364,2.0,4.0,0.5,0.533,4.0,4.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,20.0,11.6,5.0
Eric Gordon,gordoer01,2024,16,834.0,17.0,2023-11-26,,,NYK,"W, 116-113",*,,9.0,13.0,0.692,6.0,9.0,0.667,3.0,4.0,0.75,0.923,1.0,2.0,0.5,0.0,2.0,2.0,2.0,0.0,1.0,2.0,3.0,25.0,18.6,0.0
Eric Gordon,gordoer01,2024,17,835.0,18.0,2023-11-29,,,TOR,"L, 105-112",*,,4.0,9.0,0.444,2.0,5.0,0.4,2.0,4.0,0.5,0.556,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,10.0,6.5,-9.0
Eric Gordon,gordoer01,2024,18,836.0,19.0,2023-12-01,,,DEN,"L, 111-119",*,,6.0,11.0,0.545,4.0,7.0,0.571,2.0,4.0,0.5,0.727,0.0,0.0,,1.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,16.0,12.4,-6.0
Eric Gordon,gordoer01,2024,19,837.0,21.0,2023-12-05,,,LAL,"L, 103-106",*,,3.0,8.0,0.375,1.0,4.0,0.25,2.0,4.0,0.5,0.438,0.0,0.0,,0.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,7.0,7.9,7.0
Eric Gordon,gordoer01,2024,20,838.0,22.0,2023-12-08,,,SAC,"L, 106-114",*,,7.0,13.0,0.538,3.0,7.0,0.429,4.0,6.0,0.667,0.654,2.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,4.0,3.0,19.0,12.3,-2.0
Eric Gordon,gordoer01,2024,21,839.0,23.0,2023-12-12,,,GSW,"W, 119-116",,,3.0,11.0,0.273,1.0,6.0,0.167,2.0,5.0,0.4,0.318,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,0.1,-12.0
Eric Gordon,gordoer01,2024,22,840.0,26.0,2023-12-17,,,WAS,"W, 112-108",,,5.0,9.0,0.556,2.0,6.0,0.333,3.0,3.0,1.0,0.667,1.0,2.0,0.5,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,13.0,9.6,12.0
Eric Gordon,gordoer01,2024,23,841.0,27.0,2023-12-19,,,POR,"L, 104-109",,,1.0,7.0,0.143,1.0,4.0,0.25,0.0,3.0,0.0,0.214,2.0,2.0,1.0,1.0,2.0,3.0,4.0,2.0,0.0,0.0,1.0,5.0,6.2,7.0
Eric Gordon,gordoer01,2024,24,842.0,28.0,2023-12-22,,,SAC,"L, 105-120",*,,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,4.0,4.0,2.0,0.0,1.0,0.0,1.0,0.0,1.5,-25.0
Eric Gordon,gordoer01,2024,25,843.0,29.0,2023-12-25,,,DAL,"L, 114-128",*,,6.0,12.0,0.5,2.0,7.0,0.286,4.0,5.0,0.8,0.583,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,14.0,8.5,-17.0
Eric Gordon,gordoer01,2024,26,844.0,30.0,2023-12-27,,,HOU,"W, 129-113",*,,10.0,15.0,0.667,7.0,11.0,0.636,3.0,4.0,0.75,0.9,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,27.0,22.9,11.0
Eric Gordon,gordoer01,2024,27,845.0,31.0,2023-12-29,,,CHO,"W, 133-119",,,7.0,12.0,0.583,7.0,12.0,0.583,0.0,0.0,,0.875,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,1.0,4.0,1.0,21.0,13.0,5.0
Eric Gordon,gordoer01,2024,28,846.0,32.0,2023-12-31,,,ORL,"W, 112-107",,,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,-1.0,-3.0
Eric Gordon,gordoer01,2024,29,847.0,33.0,2024-01-01,,,POR,"W, 109-88",,,4.0,10.0,0.4,2.0,6.0,0.333,2.0,4.0,0.5,0.5,2.0,5.0,0.4,0.0,3.0,3.0,1.0,1.0,0.0,1.0,0.0,12.0,7.0,16.0
Eric Gordon,gordoer01,2024,30,848.0,34.0,2024-01-03,,,LAC,"L, 122-131",,,5.0,11.0,0.455,3.0,6.0,0.5,2.0,5.0,0.4,0.591,3.0,4.0,0.75,1.0,4.0,5.0,1.0,1.0,0.0,1.0,1.0,16.0,12.1,3.0
Eric Gordon,gordoer01,2024,31,849.0,37.0,2024-01-08,,,LAC,"L, 111-138",,,3.0,8.0,0.375,2.0,7.0,0.286,1.0,1.0,1.0,0.5,4.0,4.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,12.0,7.9,-17.0
Eric Gordon,gordoer01,2024,32,850.0,38.0,2024-01-11,,,LAL,"W, 127-109",,,2.0,11.0,0.182,1.0,9.0,0.111,1.0,2.0,0.5,0.227,0.0,0.0,,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,-0.2,1.0
Eric Gordon,gordoer01,2024,33,851.0,39.0,2024-01-14,,,POR,"W, 127-116",,,1.0,4.0,0.25,1.0,3.0,0.333,0.0,1.0,0.0,0.375,0.0,0.0,,0.0,2.0,2.0,4.0,1.0,0.0,0.0,0.0,3.0,5.0,-1.0
Eric Gordon,gordoer01,2024,34,852.0,40.0,2024-01-16,,,SAC,"W, 119-117",,,5.0,10.0,0.5,3.0,7.0,0.429,2.0,3.0,0.667,0.65,0.0,0.0,,0.0,3.0,3.0,2.0,2.0,0.0,2.0,0.0,13.0,10.3,10.0
Eric Gordon,gordoer01,2024,35,853.0,41.0,2024-01-19,,,NOP,"W, 123-109",,,2.0,9.0,0.222,1.0,8.0,0.125,1.0,1.0,1.0,0.278,0.0,0.0,,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,5.0,1.3,9.0
Eric Gordon,gordoer01,2024,36,854.0,42.0,2024-01-21,,,IND,"W, 117-110",,,1.0,6.0,0.167,0.0,5.0,0.0,1.0,1.0,1.0,0.167,2.0,2.0,1.0,0.0,3.0,3.0,2.0,0.0,1.0,2.0,2.0,4.0,0.4,13.0
Eric Gordon,gordoer01,2024,37,855.0,45.0,2024-01-26,,,IND,"L, 131-133",,,5.0,9.0,0.556,2.0,6.0,0.333,3.0,3.0,1.0,0.667,2.0,3.0,0.667,0.0,2.0,2.0,2.0,1.0,0.0,2.0,0.0,14.0,10.3,0.0
Eric Gordon,gordoer01,2024,38,856.0,46.0,2024-01-28,,,ORL,"L, 98-113",,,4.0,5.0,0.8,1.0,2.0,0.5,3.0,3.0,1.0,0.9,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,9.0,5.7,-14.0
Eric Gordon,gordoer01,2024,39,857.0,47.0,2024-01-29,,,MIA,"W, 118-105",,,8.0,17.0,0.471,5.0,12.0,0.417,3.0,5.0,0.6,0.618,2.0,2.0,1.0,2.0,2.0,4.0,5.0,2.0,2.0,3.0,2.0,23.0,19.4,10.0
Eric Gordon,gordoer01,2024,40,858.0,48.0,2024-01-31,,,BRK,"W, 136-120",*,,6.0,10.0,0.6,5.0,9.0,0.556,1.0,1.0,1.0,0.85,0.0,0.0,,0.0,2.0,2.0,4.0,1.0,0.0,0.0,1.0,17.0,16.4,17.0
Eric Gordon,gordoer01,2024,41,859.0,49.0,2024-02-02,,,ATL,"L, 120-129",,,2.0,5.0,0.4,2.0,5.0,0.4,0.0,0.0,,0.6,0.0,0.0,,0.0,3.0,3.0,1.0,1.0,0.0,2.0,1.0,6.0,3.5,-14.0
Eric Gordon,gordoer01,2024,42,860.0,50.0,2024-02-04,,,WAS,"W, 140-112",,,3.0,6.0,0.5,1.0,3.0,0.333,2.0,3.0,0.667,0.583,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,7.0,3.6,7.0
Eric Gordon,gordoer01,2024,43,861.0,51.0,2024-02-06,,,MIL,"W, 114-106",,,1.0,4.0,0.25,1.0,3.0,0.333,0.0,1.0,0.0,0.375,0.0,0.0,,0.0,4.0,4.0,1.0,0.0,0.0,0.0,2.0,3.0,1.7,17.0
Eric Gordon,gordoer01,2024,44,862.0,52.0,2024-02-08,,,UTA,"W, 129-115",*,,7.0,8.0,0.875,3.0,4.0,0.75,4.0,4.0,1.0,1.063,2.0,2.0,1.0,0.0,2.0,2.0,4.0,1.0,1.0,1.0,0.0,19.0,20.3,13.0
Eric Gordon,gordoer01,2024,45,863.0,53.0,2024-02-10,,,GSW,"L, 112-113",,,2.0,5.0,0.4,1.0,3.0,0.333,1.0,2.0,0.5,0.5,2.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,7.0,4.2,-5.0
Eric Gordon,gordoer01,2024,46,864.0,54.0,2024-02-13,,,SAC,"W, 130-125",,,8.0,17.0,0.471,4.0,9.0,0.444,4.0,8.0,0.5,0.588,3.0,3.0,1.0,0.0,3.0,3.0,3.0,0.0,1.0,0.0,1.0,23.0,17.6,8.0
Eric Gordon,gordoer01,2024,47,865.0,55.0,2024-02-14,,,DET,"W, 116-100",*,,4.0,9.0,0.444,2.0,6.0,0.333,2.0,3.0,0.667,0.556,3.0,3.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,3.0,1.0,13.0,10.4,21.0
Eric Gordon,gordoer01,2024,48,866.0,56.0,2024-02-22,,,DAL,"L, 113-123",*,,5.0,10.0,0.5,4.0,7.0,0.571,1.0,3.0,0.333,0.7,2.0,3.0,0.667,0.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,16.0,12.1,-7.0
Eric Gordon,gordoer01,2024,49,867.0,57.0,2024-02-23,,,HOU,"L, 110-114",*,,2.0,8.0,0.25,1.0,5.0,0.2,1.0,3.0,0.333,0.313,0.0,0.0,,0.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,5.0,2.2,-15.0
Eric Gordon,gordoer01,2024,50,868.0,61.0,2024-03-03,,,OKC,"L, 110-118",,,6.0,15.0,0.4,3.0,8.0,0.375,3.0,7.0,0.429,0.5,0.0,0.0,,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,15.0,8.0,-10.0
Eric Gordon,gordoer01,2024,51,869.0,62.0,2024-03-05,,,DEN,"W, 117-107 (OT)",,,1.0,7.0,0.143,0.0,4.0,0.0,1.0,3.0,0.333,0.143,2.0,4.0,0.5,1.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,4.0,1.8,6.0
Eric Gordon,gordoer01,2024,52,870.0,63.0,2024-03-07,,,TOR,"W, 120-113",,,2.0,7.0,0.286,1.0,4.0,0.25,1.0,3.0,0.333,0.357,0.0,0.0,,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,5.0,2.8,-3.0
