player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Draymond Green,greendr01,2024,1,759.0,3.0,2023-10-29,,,HOU,"W, 106-95",*,,2.0,4.0,0.5,0.0,0.0,,2.0,4.0,0.5,0.5,0.0,1.0,0.0,1.0,4.0,5.0,5.0,0.0,0.0,4.0,3.0,4.0,1.8,2.0
Draymond Green,greendr01,2024,2,760.0,4.0,2023-10-30,,,NOP,"W, 130-102",*,,3.0,8.0,0.375,0.0,2.0,0.0,3.0,6.0,0.5,0.375,0.0,0.0,,1.0,5.0,6.0,7.0,0.0,1.0,1.0,2.0,6.0,7.6,6.0
Draymond Green,greendr01,2024,3,761.0,5.0,2023-11-01,,,SAC,"W, 102-101",*,,4.0,7.0,0.571,2.0,4.0,0.5,2.0,3.0,0.667,0.714,3.0,4.0,0.75,2.0,0.0,2.0,9.0,2.0,2.0,2.0,1.0,13.0,18.0,-5.0
Draymond Green,greendr01,2024,4,762.0,6.0,2023-11-03,,,OKC,"W, 141-139",*,,5.0,11.0,0.455,2.0,4.0,0.5,3.0,7.0,0.429,0.545,3.0,3.0,1.0,2.0,3.0,5.0,3.0,0.0,1.0,3.0,5.0,15.0,9.4,-1.0
Draymond Green,greendr01,2024,5,763.0,7.0,2023-11-05,,,CLE,"L, 104-115",*,,5.0,11.0,0.455,2.0,3.0,0.667,3.0,8.0,0.375,0.545,6.0,6.0,1.0,0.0,3.0,3.0,8.0,3.0,1.0,1.0,0.0,18.0,21.5,-6.0
Draymond Green,greendr01,2024,6,764.0,8.0,2023-11-06,,,DET,"W, 120-109",*,,2.0,4.0,0.5,0.0,1.0,0.0,2.0,3.0,0.667,0.5,2.0,2.0,1.0,3.0,6.0,9.0,8.0,0.0,0.0,1.0,2.0,6.0,11.7,1.0
Draymond Green,greendr01,2024,7,765.0,10.0,2023-11-11,,,CLE,"L, 110-118",*,,3.0,4.0,0.75,2.0,3.0,0.667,1.0,1.0,1.0,1.0,0.0,0.0,,2.0,3.0,5.0,4.0,0.0,0.0,1.0,3.0,8.0,9.3,-1.0
Draymond Green,greendr01,2024,8,766.0,11.0,2023-11-12,,,MIN,"L, 110-116",*,,3.0,7.0,0.429,1.0,3.0,0.333,2.0,4.0,0.5,0.5,2.0,2.0,1.0,2.0,7.0,9.0,7.0,1.0,0.0,2.0,5.0,9.0,10.7,-11.0
Draymond Green,greendr01,2024,9,767.0,12.0,2023-11-14,,,MIN,"L, 101-104",*,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,-0.8,-2.0
Draymond Green,greendr01,2024,10,768.0,18.0,2023-11-28,,,SAC,"L, 123-124",*,,3.0,8.0,0.375,2.0,4.0,0.5,1.0,4.0,0.25,0.5,0.0,0.0,,0.0,6.0,6.0,3.0,0.0,2.0,4.0,4.0,8.0,3.3,5.0
Draymond Green,greendr01,2024,11,769.0,19.0,2023-11-30,,,LAC,"W, 120-114",*,,4.0,8.0,0.5,2.0,4.0,0.5,2.0,4.0,0.5,0.625,3.0,4.0,0.75,1.0,4.0,5.0,5.0,0.0,0.0,2.0,5.0,13.0,10.0,-11.0
Draymond Green,greendr01,2024,12,770.0,20.0,2023-12-02,,,LAC,"L, 112-113",*,,8.0,15.0,0.533,4.0,8.0,0.5,4.0,7.0,0.571,0.667,1.0,2.0,0.5,1.0,8.0,9.0,4.0,0.0,1.0,3.0,2.0,21.0,16.1,-6.0
Draymond Green,greendr01,2024,13,771.0,21.0,2023-12-06,,,POR,"W, 110-106",*,,3.0,7.0,0.429,0.0,2.0,0.0,3.0,5.0,0.6,0.429,4.0,4.0,1.0,6.0,4.0,10.0,9.0,0.0,2.0,4.0,3.0,10.0,14.2,-1.0
Draymond Green,greendr01,2024,14,772.0,22.0,2023-12-08,,,OKC,"L, 136-138 (OT)",*,,5.0,7.0,0.714,1.0,2.0,0.5,4.0,5.0,0.8,0.786,1.0,2.0,0.5,1.0,4.0,5.0,13.0,0.0,1.0,4.0,6.0,12.0,14.0,-2.0
Draymond Green,greendr01,2024,15,773.0,23.0,2023-12-12,,,PHO,"L, 116-119",*,,1.0,3.0,0.333,0.0,2.0,0.0,1.0,1.0,1.0,0.333,0.0,0.0,,0.0,2.0,2.0,2.0,0.0,0.0,3.0,3.0,2.0,-1.9,-15.0
Draymond Green,greendr01,2024,16,774.0,40.0,2024-01-15,,,MEM,"L, 107-116",,,2.0,4.0,0.5,1.0,1.0,1.0,1.0,3.0,0.333,0.625,2.0,2.0,1.0,0.0,7.0,7.0,4.0,1.0,0.0,3.0,4.0,7.0,6.3,1.0
Draymond Green,greendr01,2024,17,775.0,41.0,2024-01-24,,,ATL,"W, 134-112",,,5.0,6.0,0.833,2.0,3.0,0.667,3.0,3.0,1.0,1.0,0.0,0.0,,1.0,4.0,5.0,3.0,2.0,1.0,2.0,3.0,12.0,13.3,19.0
Draymond Green,greendr01,2024,18,776.0,42.0,2024-01-25,,,SAC,"L, 133-134",,,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,5.0,8.0,0.625,0.0,4.0,4.0,11.0,3.0,1.0,2.0,3.0,5.0,11.1,14.0
