player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Jordan Hawkins,hawkijo01,2024,1,1.0,1.0,2023-10-25,,,MEM,"W, 111-104",,,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,,0.75,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,3.0,2.6,14.0
Jordan Hawkins,hawkijo01,2024,2,2.0,2.0,2023-10-28,,,NYK,"W, 96-87",,,3.0,7.0,0.429,3.0,6.0,0.5,0.0,1.0,0.0,0.643,0.0,0.0,,0.0,4.0,4.0,1.0,0.0,0.0,1.0,0.0,9.0,6.2,1.0
Jordan Hawkins,hawkijo01,2024,3,3.0,3.0,2023-10-30,,,GSW,"L, 102-130",*,,6.0,13.0,0.462,2.0,7.0,0.286,4.0,6.0,0.667,0.538,0.0,2.0,0.0,2.0,3.0,5.0,2.0,2.0,0.0,1.0,1.0,14.0,10.8,-14.0
Jordan Hawkins,hawkijo01,2024,4,4.0,4.0,2023-11-01,,,OKC,"W, 110-106",*,,4.0,19.0,0.211,2.0,13.0,0.154,2.0,6.0,0.333,0.263,0.0,0.0,,4.0,2.0,6.0,4.0,2.0,0.0,1.0,2.0,10.0,4.7,17.0
Jordan Hawkins,hawkijo01,2024,5,5.0,5.0,2023-11-02,,,DET,"W, 125-116",*,,1.0,7.0,0.143,1.0,5.0,0.2,0.0,2.0,0.0,0.214,3.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,0.8,-8.0
Jordan Hawkins,hawkijo01,2024,6,6.0,6.0,2023-11-04,,,ATL,"L, 105-123",,,5.0,11.0,0.455,4.0,8.0,0.5,1.0,3.0,0.333,0.636,1.0,1.0,1.0,0.0,5.0,5.0,0.0,1.0,0.0,1.0,3.0,15.0,9.6,-3.0
Jordan Hawkins,hawkijo01,2024,7,7.0,7.0,2023-11-06,,,DEN,"L, 116-134",*,,10.0,19.0,0.526,7.0,14.0,0.5,3.0,5.0,0.6,0.711,4.0,5.0,0.8,1.0,6.0,7.0,3.0,1.0,0.0,1.0,2.0,31.0,25.1,-15.0
Jordan Hawkins,hawkijo01,2024,8,8.0,8.0,2023-11-08,,,MIN,"L, 101-122",*,,4.0,11.0,0.364,2.0,5.0,0.4,2.0,6.0,0.333,0.455,4.0,4.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,5.0,14.0,4.9,-19.0
Jordan Hawkins,hawkijo01,2024,9,9.0,9.0,2023-11-10,,,HOU,"L, 101-104",*,,4.0,11.0,0.364,3.0,8.0,0.375,1.0,3.0,0.333,0.5,3.0,4.0,0.75,0.0,7.0,7.0,1.0,2.0,0.0,3.0,6.0,14.0,6.9,1.0
Jordan Hawkins,hawkijo01,2024,10,10.0,10.0,2023-11-12,,,DAL,"L, 124-136",*,,3.0,13.0,0.231,2.0,9.0,0.222,1.0,4.0,0.25,0.308,2.0,2.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,1.0,10.0,1.7,-28.0
Jordan Hawkins,hawkijo01,2024,11,11.0,11.0,2023-11-14,,,DAL,"W, 131-110",,,8.0,17.0,0.471,5.0,12.0,0.417,3.0,5.0,0.6,0.618,4.0,4.0,1.0,2.0,4.0,6.0,3.0,0.0,0.0,0.0,3.0,25.0,19.8,13.0
Jordan Hawkins,hawkijo01,2024,12,12.0,12.0,2023-11-17,,,DEN,"W, 115-110",,,3.0,7.0,0.429,1.0,3.0,0.333,2.0,4.0,0.5,0.5,0.0,0.0,,0.0,5.0,5.0,4.0,0.0,0.0,0.0,0.0,7.0,7.6,-3.0
Jordan Hawkins,hawkijo01,2024,13,13.0,13.0,2023-11-18,,,MIN,"L, 120-121",*,,6.0,12.0,0.5,3.0,8.0,0.375,3.0,4.0,0.75,0.625,0.0,0.0,,1.0,1.0,2.0,4.0,1.0,0.0,1.0,4.0,15.0,11.2,-7.0
Jordan Hawkins,hawkijo01,2024,14,14.0,14.0,2023-11-20,,,SAC,"W, 129-93",,,3.0,11.0,0.273,2.0,5.0,0.4,1.0,6.0,0.167,0.364,1.0,1.0,1.0,1.0,4.0,5.0,2.0,0.0,0.0,1.0,2.0,9.0,4.0,8.0
Jordan Hawkins,hawkijo01,2024,15,15.0,15.0,2023-11-22,,,SAC,"W, 117-112",,,3.0,9.0,0.333,2.0,8.0,0.25,1.0,1.0,1.0,0.444,5.0,5.0,1.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,3.0,13.0,9.8,2.0
Jordan Hawkins,hawkijo01,2024,16,16.0,16.0,2023-11-24,,,LAC,"W, 116-106",,,3.0,5.0,0.6,2.0,4.0,0.5,1.0,1.0,1.0,0.8,0.0,0.0,,0.0,4.0,4.0,1.0,0.0,0.0,0.0,1.0,8.0,7.2,3.0
Jordan Hawkins,hawkijo01,2024,17,17.0,17.0,2023-11-25,,,UTA,"L, 100-105",*,,8.0,17.0,0.471,5.0,12.0,0.417,3.0,5.0,0.6,0.618,4.0,5.0,0.8,1.0,5.0,6.0,3.0,1.0,0.0,4.0,1.0,25.0,16.8,4.0
Jordan Hawkins,hawkijo01,2024,18,18.0,18.0,2023-11-27,,,UTA,"L, 112-114",,,5.0,11.0,0.455,3.0,6.0,0.5,2.0,5.0,0.4,0.591,0.0,0.0,,1.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0,13.0,8.8,-8.0
Jordan Hawkins,hawkijo01,2024,19,19.0,19.0,2023-11-29,,,PHI,"W, 124-114",,,4.0,10.0,0.4,3.0,8.0,0.375,1.0,2.0,0.5,0.55,5.0,6.0,0.833,2.0,3.0,5.0,2.0,0.0,0.0,2.0,2.0,16.0,11.1,-7.0
Jordan Hawkins,hawkijo01,2024,20,20.0,20.0,2023-12-01,,,SAS,"W, 121-106",,,1.0,3.0,0.333,1.0,2.0,0.5,0.0,1.0,0.0,0.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,-0.1,-9.0
Jordan Hawkins,hawkijo01,2024,21,21.0,21.0,2023-12-02,,,CHI,"L, 118-124",,,2.0,6.0,0.333,2.0,5.0,0.4,0.0,1.0,0.0,0.5,4.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,10.0,6.1,-9.0
Jordan Hawkins,hawkijo01,2024,22,22.0,23.0,2023-12-07,,,LAL,"L, 89-133",,,2.0,8.0,0.25,0.0,3.0,0.0,2.0,5.0,0.4,0.25,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,-0.6,-5.0
Jordan Hawkins,hawkijo01,2024,23,23.0,24.0,2023-12-11,,,MIN,"W, 121-107",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-3.0
Jordan Hawkins,hawkijo01,2024,24,24.0,25.0,2023-12-13,,,WAS,"W, 142-122",,,1.0,7.0,0.143,0.0,2.0,0.0,1.0,5.0,0.2,0.143,0.0,0.0,,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,-1.2,15.0
Jordan Hawkins,hawkijo01,2024,25,25.0,26.0,2023-12-15,,,CHO,"W, 112-107",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-3.0
Jordan Hawkins,hawkijo01,2024,26,26.0,27.0,2023-12-17,,,SAS,"W, 146-110",,,3.0,6.0,0.5,1.0,4.0,0.25,2.0,2.0,1.0,0.583,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,4.6,-1.0
Jordan Hawkins,hawkijo01,2024,27,27.0,29.0,2023-12-21,,,CLE,"W, 123-104",,,2.0,5.0,0.4,2.0,3.0,0.667,0.0,2.0,0.0,0.6,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,6.0,4.3,-4.0
Jordan Hawkins,hawkijo01,2024,28,28.0,33.0,2023-12-31,,,LAL,"W, 129-109",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.2,4.0
Jordan Hawkins,hawkijo01,2024,29,29.0,34.0,2024-01-02,,,BRK,"W, 112-85",,,3.0,13.0,0.231,2.0,8.0,0.25,1.0,5.0,0.2,0.308,3.0,4.0,0.75,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,11.0,4.8,14.0
Jordan Hawkins,hawkijo01,2024,30,30.0,35.0,2024-01-03,,,MIN,"W, 117-106",,,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,-1.0
Jordan Hawkins,hawkijo01,2024,31,31.0,36.0,2024-01-05,,,LAC,"L, 95-111",,,4.0,7.0,0.571,3.0,3.0,1.0,1.0,4.0,0.25,0.786,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,10.0,12.0
Jordan Hawkins,hawkijo01,2024,32,32.0,37.0,2024-01-07,,,SAC,"W, 133-100",,,5.0,9.0,0.556,1.0,5.0,0.2,4.0,4.0,1.0,0.611,1.0,2.0,0.5,0.0,3.0,3.0,2.0,0.0,1.0,2.0,2.0,12.0,7.5,3.0
Jordan Hawkins,hawkijo01,2024,33,33.0,38.0,2024-01-10,,,GSW,"W, 141-105",,,5.0,9.0,0.556,4.0,5.0,0.8,1.0,4.0,0.25,0.778,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,14.0,11.0,25.0
Jordan Hawkins,hawkijo01,2024,34,34.0,39.0,2024-01-12,,,DEN,"L, 113-125",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Jordan Hawkins,hawkijo01,2024,35,35.0,40.0,2024-01-13,,,DAL,"W, 118-108",*,,11.0,19.0,0.579,6.0,12.0,0.5,5.0,7.0,0.714,0.737,6.0,8.0,0.75,3.0,2.0,5.0,4.0,2.0,0.0,3.0,3.0,34.0,27.6,10.0
Jordan Hawkins,hawkijo01,2024,36,36.0,41.0,2024-01-15,,,DAL,"L, 120-125",,,3.0,4.0,0.75,1.0,2.0,0.5,2.0,2.0,1.0,0.875,2.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,9.0,7.5,8.0
Jordan Hawkins,hawkijo01,2024,37,37.0,42.0,2024-01-17,,,CHO,"W, 132-112",,,7.0,12.0,0.583,6.0,9.0,0.667,1.0,3.0,0.333,0.833,1.0,2.0,0.5,2.0,4.0,6.0,1.0,1.0,0.0,2.0,1.0,21.0,16.9,5.0
Jordan Hawkins,hawkijo01,2024,38,38.0,43.0,2024-01-19,,,PHO,"L, 109-123",,,5.0,11.0,0.455,3.0,8.0,0.375,2.0,3.0,0.667,0.591,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,13.0,7.6,-4.0
