player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Jaxson Hayes,hayesja01,2024,1,242.0,1.0,2023-10-24,,,DEN,"L, 107-119",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.1,-7.0
Jaxson Hayes,hayesja01,2024,2,243.0,2.0,2023-10-26,,,PHO,"W, 100-95",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,2.0,2.0,0.0,1.0,0.0,2.0,3.0,0.0,-1.6,3.0
Jaxson Hayes,hayesja01,2024,3,244.0,3.0,2023-10-29,,,SAC,"L, 127-132 (OT)",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,3.9,1.0
Jaxson Hayes,hayesja01,2024,4,245.0,4.0,2023-10-30,,,ORL,"W, 106-103",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,-0.2,5.0
Jaxson Hayes,hayesja01,2024,5,246.0,5.0,2023-11-01,,,LAC,"W, 130-125 (OT)",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,3.0,4.3,0.0
Jaxson Hayes,hayesja01,2024,6,247.0,6.0,2023-11-04,,,ORL,"L, 101-120",,,1.0,4.0,0.25,0.0,0.0,,1.0,4.0,0.25,0.25,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,1.0,2.0,3.0,2.0,-1.5,-10.0
Jaxson Hayes,hayesja01,2024,7,248.0,9.0,2023-11-10,,,PHO,"W, 122-119",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.6,-5.0
Jaxson Hayes,hayesja01,2024,8,249.0,10.0,2023-11-12,,,POR,"W, 116-110",,,1.0,4.0,0.25,0.0,0.0,,1.0,4.0,0.25,0.25,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,-2.7,-11.0
Jaxson Hayes,hayesja01,2024,9,250.0,11.0,2023-11-14,,,MEM,"W, 134-107",,,4.0,4.0,1.0,0.0,0.0,,4.0,4.0,1.0,1.0,3.0,4.0,0.75,1.0,0.0,1.0,1.0,1.0,3.0,0.0,2.0,11.0,13.1,6.0
Jaxson Hayes,hayesja01,2024,10,251.0,12.0,2023-11-15,,,SAC,"L, 110-125",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,3.0,4.0,0.75,0.0,1.0,1.0,0.0,1.0,0.0,2.0,4.0,3.0,0.3,-2.0
