player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Killian Hayes,hayeski01,2024,1,169.0,1.0,2023-10-25,,,MIA,"L, 102-103",*,,4.0,12.0,0.333,0.0,6.0,0.0,4.0,6.0,0.667,0.333,2.0,3.0,0.667,0.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,10.0,6.1,1.0
Killian Hayes,hayeski01,2024,2,170.0,2.0,2023-10-27,,,CHO,"W, 111-99",*,,2.0,10.0,0.2,1.0,3.0,0.333,1.0,7.0,0.143,0.25,1.0,2.0,0.5,0.0,3.0,3.0,3.0,2.0,1.0,3.0,4.0,6.0,0.5,-7.0
Killian Hayes,hayeski01,2024,3,171.0,3.0,2023-10-28,,,CHI,"W, 118-102",*,,2.0,5.0,0.4,2.0,3.0,0.667,0.0,2.0,0.0,0.6,0.0,0.0,,1.0,0.0,1.0,4.0,1.0,0.0,1.0,2.0,6.0,6.0,7.0
Killian Hayes,hayeski01,2024,4,172.0,4.0,2023-10-30,,,OKC,"L, 112-124",*,,4.0,11.0,0.364,1.0,4.0,0.25,3.0,7.0,0.429,0.409,1.0,2.0,0.5,0.0,4.0,4.0,7.0,1.0,1.0,1.0,3.0,10.0,9.1,-15.0
Killian Hayes,hayeski01,2024,5,173.0,5.0,2023-11-01,,,POR,"L, 101-110",*,,0.0,6.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,,0.0,3.0,3.0,1.0,3.0,0.0,1.0,2.0,0.0,-1.4,6.0
Killian Hayes,hayeski01,2024,6,174.0,6.0,2023-11-02,,,NOP,"L, 116-125",*,,4.0,8.0,0.5,2.0,4.0,0.5,2.0,4.0,0.5,0.625,0.0,0.0,,3.0,2.0,5.0,9.0,1.0,0.0,0.0,4.0,10.0,14.4,10.0
Killian Hayes,hayeski01,2024,7,175.0,7.0,2023-11-05,,,PHO,"L, 106-120",*,,4.0,8.0,0.5,1.0,3.0,0.333,3.0,5.0,0.6,0.563,4.0,4.0,1.0,0.0,2.0,2.0,5.0,0.0,1.0,0.0,4.0,13.0,12.2,-22.0
Killian Hayes,hayeski01,2024,8,176.0,8.0,2023-11-06,,,GSW,"L, 109-120",*,,8.0,12.0,0.667,3.0,4.0,0.75,5.0,8.0,0.625,0.792,2.0,2.0,1.0,0.0,4.0,4.0,7.0,1.0,1.0,0.0,3.0,21.0,22.4,-6.0
Killian Hayes,hayeski01,2024,9,177.0,9.0,2023-11-08,,,MIL,"L, 118-120",*,,6.0,15.0,0.4,0.0,3.0,0.0,6.0,12.0,0.5,0.4,2.0,2.0,1.0,0.0,5.0,5.0,4.0,1.0,0.0,1.0,1.0,14.0,9.8,-3.0
Killian Hayes,hayeski01,2024,10,178.0,10.0,2023-11-10,,,PHI,"L, 106-114",*,,8.0,17.0,0.471,2.0,6.0,0.333,6.0,11.0,0.545,0.529,5.0,7.0,0.714,0.0,5.0,5.0,6.0,2.0,0.0,2.0,1.0,23.0,18.8,-9.0
Killian Hayes,hayeski01,2024,11,179.0,11.0,2023-11-12,,,CHI,"L, 108-119",*,,3.0,8.0,0.375,1.0,3.0,0.333,2.0,5.0,0.4,0.438,0.0,0.0,,0.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,7.0,5.2,-12.0
Killian Hayes,hayeski01,2024,12,180.0,12.0,2023-11-14,,,ATL,"L, 120-126",*,,3.0,8.0,0.375,1.0,3.0,0.333,2.0,5.0,0.4,0.438,1.0,2.0,0.5,0.0,3.0,3.0,5.0,1.0,2.0,1.0,2.0,8.0,8.2,12.0
Killian Hayes,hayeski01,2024,13,181.0,13.0,2023-11-17,,,CLE,"L, 100-108",*,,2.0,6.0,0.333,0.0,2.0,0.0,2.0,4.0,0.5,0.333,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,4.0,3.7,-14.0
Killian Hayes,hayeski01,2024,14,182.0,15.0,2023-11-20,,,DEN,"L, 103-107",,,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,-0.8,-5.0
Killian Hayes,hayeski01,2024,15,183.0,16.0,2023-11-24,,,IND,"L, 113-136",,,3.0,6.0,0.5,0.0,0.0,,3.0,6.0,0.5,0.5,0.0,0.0,,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,6.0,5.4,-25.0
Killian Hayes,hayeski01,2024,16,184.0,17.0,2023-11-27,,,WAS,"L, 107-126",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,3.0,4.0,3.0,0.0,3.0,0.0,1.0,0.0,4.7,-10.0
Killian Hayes,hayeski01,2024,17,185.0,18.0,2023-11-29,,,LAL,"L, 107-133",,,3.0,9.0,0.333,0.0,3.0,0.0,3.0,6.0,0.5,0.333,1.0,1.0,1.0,0.0,1.0,1.0,8.0,2.0,0.0,0.0,2.0,7.0,9.0,8.0
Killian Hayes,hayeski01,2024,18,186.0,19.0,2023-11-30,,,NYK,"L, 112-118",*,,10.0,13.0,0.769,2.0,3.0,0.667,8.0,10.0,0.8,0.846,1.0,4.0,0.25,0.0,3.0,3.0,4.0,1.0,1.0,0.0,3.0,23.0,20.9,-3.0
Killian Hayes,hayeski01,2024,19,187.0,20.0,2023-12-02,,,CLE,"L, 101-110",*,,6.0,11.0,0.545,1.0,1.0,1.0,5.0,10.0,0.5,0.591,0.0,1.0,0.0,0.0,6.0,6.0,3.0,2.0,1.0,2.0,2.0,13.0,11.1,7.0
