player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Tre Jones,jonestr01,2024,1,175.0,1.0,2023-10-25,,,DAL,"L, 119-126",,,5.0,7.0,0.714,2.0,3.0,0.667,3.0,4.0,0.75,0.857,4.0,4.0,1.0,1.0,4.0,5.0,6.0,0.0,0.0,1.0,0.0,16.0,18.2,1.0
Tre Jones,jonestr01,2024,2,176.0,2.0,2023-10-27,,,HOU,"W, 126-122 (OT)",,,3.0,8.0,0.375,0.0,3.0,0.0,3.0,5.0,0.6,0.375,0.0,0.0,,3.0,3.0,6.0,8.0,2.0,0.0,0.0,0.0,6.0,12.2,14.0
Tre Jones,jonestr01,2024,3,177.0,3.0,2023-10-29,,,LAC,"L, 83-123",,,1.0,4.0,0.25,1.0,2.0,0.5,0.0,2.0,0.0,0.375,2.0,2.0,1.0,0.0,2.0,2.0,4.0,1.0,0.0,4.0,3.0,5.0,1.8,0.0
Tre Jones,jonestr01,2024,4,178.0,4.0,2023-10-31,,,PHO,"W, 115-114",,,3.0,4.0,0.75,0.0,1.0,0.0,3.0,3.0,1.0,0.75,4.0,4.0,1.0,0.0,2.0,2.0,3.0,1.0,1.0,0.0,0.0,10.0,12.8,13.0
Tre Jones,jonestr01,2024,5,179.0,5.0,2023-11-02,,,PHO,"W, 132-121",,,3.0,8.0,0.375,2.0,4.0,0.5,1.0,4.0,0.25,0.5,4.0,4.0,1.0,1.0,4.0,5.0,10.0,1.0,0.0,1.0,3.0,12.0,15.3,19.0
Tre Jones,jonestr01,2024,6,180.0,6.0,2023-11-05,,,TOR,"L, 116-123 (OT)",,,3.0,10.0,0.3,0.0,2.0,0.0,3.0,8.0,0.375,0.3,0.0,0.0,,1.0,2.0,3.0,6.0,0.0,1.0,4.0,4.0,6.0,0.8,-7.0
Tre Jones,jonestr01,2024,7,181.0,7.0,2023-11-06,,,IND,"L, 111-152",,,1.0,5.0,0.2,0.0,2.0,0.0,1.0,3.0,0.333,0.2,2.0,2.0,1.0,1.0,0.0,1.0,8.0,0.0,0.0,1.0,1.0,4.0,5.8,-21.0
Tre Jones,jonestr01,2024,8,182.0,8.0,2023-11-08,,,NYK,"L, 105-126",,,6.0,11.0,0.545,0.0,2.0,0.0,6.0,9.0,0.667,0.545,0.0,1.0,0.0,0.0,1.0,1.0,5.0,1.0,1.0,0.0,0.0,12.0,11.8,-2.0
Tre Jones,jonestr01,2024,9,183.0,9.0,2023-11-10,,,MIN,"L, 110-117",,,4.0,8.0,0.5,0.0,1.0,0.0,4.0,7.0,0.571,0.5,0.0,0.0,,0.0,4.0,4.0,4.0,1.0,1.0,2.0,1.0,8.0,7.3,7.0
Tre Jones,jonestr01,2024,10,184.0,13.0,2023-11-18,,,MEM,"L, 108-120",,,1.0,4.0,0.25,0.0,1.0,0.0,1.0,3.0,0.333,0.25,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,2.0,-0.1,-18.0
