player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Cory Joseph,josepco01,2024,1,791.0,1.0,2023-10-24,,,PHO,"L, 104-108",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.4,-12.0
Cory Joseph,josepco01,2024,2,792.0,4.0,2023-10-30,,,NOP,"W, 130-102",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,-0.5,0.0
Cory Joseph,josepco01,2024,3,793.0,7.0,2023-11-05,,,CLE,"L, 104-115",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0
Cory Joseph,josepco01,2024,4,794.0,10.0,2023-11-11,,,CLE,"L, 110-118",,,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,,0.75,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,0.3,6.0
Cory Joseph,josepco01,2024,5,795.0,12.0,2023-11-14,,,MIN,"L, 101-104",,,2.0,6.0,0.333,2.0,3.0,0.667,0.0,3.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,1.0,6.0,2.6,6.0
Cory Joseph,josepco01,2024,6,796.0,13.0,2023-11-16,,,OKC,"L, 109-128",,,1.0,7.0,0.143,1.0,6.0,0.167,0.0,1.0,0.0,0.214,0.0,0.0,,1.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,3.0,1.6,-16.0
Cory Joseph,josepco01,2024,7,797.0,16.0,2023-11-22,,,PHO,"L, 115-123",,,1.0,3.0,0.333,0.0,2.0,0.0,1.0,1.0,1.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,4.0,2.0,0.0,1.0,3.0,3.0,3.5,12.0
Cory Joseph,josepco01,2024,8,798.0,18.0,2023-11-28,,,SAC,"L, 123-124",,,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,2.0,2.0,1.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,4.0,6.0,1.0
Cory Joseph,josepco01,2024,9,799.0,19.0,2023-11-30,,,LAC,"W, 120-114",,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,1.0,2.0,0.5,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.8,12.0
Cory Joseph,josepco01,2024,10,800.0,20.0,2023-12-02,,,LAC,"L, 112-113",,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,-0.1,1.0
Cory Joseph,josepco01,2024,11,801.0,22.0,2023-12-08,,,OKC,"L, 136-138 (OT)",,,1.0,3.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,0.333,0.0,0.0,,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,2.7,3.0
Cory Joseph,josepco01,2024,12,802.0,27.0,2023-12-19,,,BOS,"W, 132-126 (OT)",,,2.0,3.0,0.667,0.0,1.0,0.0,2.0,2.0,1.0,0.667,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,3.7,2.0
Cory Joseph,josepco01,2024,13,803.0,28.0,2023-12-22,,,WAS,"W, 129-118",,,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,0.0,-3.0,-7.0
Cory Joseph,josepco01,2024,14,804.0,29.0,2023-12-23,,,POR,"W, 126-106",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.0,1.0
Cory Joseph,josepco01,2024,15,805.0,31.0,2023-12-28,,,MIA,"L, 102-114",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4,3.0
Cory Joseph,josepco01,2024,16,806.0,35.0,2024-01-05,,,DET,"W, 113-109",,,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,,0.75,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,3.4,3.0
Cory Joseph,josepco01,2024,17,807.0,36.0,2024-01-07,,,TOR,"L, 118-133",,,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,-1.4,-3.0
Cory Joseph,josepco01,2024,18,808.0,37.0,2024-01-10,,,NOP,"L, 105-141",,,1.0,3.0,0.333,0.0,2.0,0.0,1.0,1.0,1.0,0.333,0.0,0.0,,2.0,1.0,3.0,2.0,0.0,0.0,2.0,2.0,2.0,0.6,-22.0
Cory Joseph,josepco01,2024,19,809.0,38.0,2024-01-12,,,CHI,"W, 140-131",,,1.0,3.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,0.333,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,1.6,4.0
Cory Joseph,josepco01,2024,20,810.0,39.0,2024-01-13,,,MIL,"L, 118-129",,,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,,0.75,0.0,0.0,,0.0,3.0,3.0,2.0,0.0,1.0,1.0,1.0,3.0,3.6,-11.0
Cory Joseph,josepco01,2024,21,811.0,40.0,2024-01-15,,,MEM,"L, 107-116",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0
Cory Joseph,josepco01,2024,22,812.0,41.0,2024-01-24,,,ATL,"W, 134-112",,,3.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.333,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,8.0,8.0,12.0
Cory Joseph,josepco01,2024,23,813.0,42.0,2024-01-25,,,SAC,"L, 133-134",,,2.0,3.0,0.667,2.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,,1.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0,6.0,6.2,3.0
Cory Joseph,josepco01,2024,24,814.0,43.0,2024-01-27,,,LAL,"L, 144-145 (2OT)",,,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,,0.75,0.0,0.0,,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,3.0,3.6,0.0
Cory Joseph,josepco01,2024,25,815.0,44.0,2024-01-30,,,PHI,"W, 119-107",,,1.0,4.0,0.25,0.0,2.0,0.0,1.0,2.0,0.5,0.25,0.0,0.0,,1.0,0.0,1.0,2.0,0.0,0.0,1.0,3.0,2.0,-0.5,-10.0
Cory Joseph,josepco01,2024,26,816.0,48.0,2024-02-07,,,PHI,"W, 127-104",,,3.0,4.0,0.75,2.0,3.0,0.667,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,7.4,4.0
