player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Vit Krejci,krejcvi01,2024,1,60.0,55.0,2024-02-14,,,CHO,"L, 99-122",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
Vit Krejci,krejcvi01,2024,2,61.0,62.0,2024-03-06,,,CLE,"W, 112-101",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4,-2.0
Vit Krejci,krejcvi01,2024,3,62.0,63.0,2024-03-08,,,MEM,"W, 99-92",*,,1.0,5.0,0.2,1.0,4.0,0.25,0.0,1.0,0.0,0.3,0.0,0.0,,1.0,0.0,1.0,5.0,2.0,1.0,0.0,1.0,3.0,6.4,7.0
Vit Krejci,krejcvi01,2024,4,63.0,64.0,2024-03-10,,,NOP,"L, 103-116",*,,1.0,3.0,0.333,1.0,2.0,0.5,0.0,1.0,0.0,0.5,0.0,0.0,,0.0,2.0,2.0,3.0,1.0,0.0,1.0,0.0,3.0,4.0,-8.0
Vit Krejci,krejcvi01,2024,5,64.0,65.0,2024-03-13,,,POR,"L, 102-106",*,,2.0,4.0,0.5,2.0,4.0,0.5,0.0,0.0,,0.75,1.0,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,7.0,6.9,-6.0
Vit Krejci,krejcvi01,2024,6,65.0,66.0,2024-03-15,,,UTA,"L, 122-124",*,,1.0,5.0,0.2,0.0,3.0,0.0,1.0,2.0,0.5,0.2,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,0.0,0.0,4.0,2.0,-0.3,5.0
Vit Krejci,krejcvi01,2024,7,66.0,67.0,2024-03-17,,,LAC,"W, 110-93",*,,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,3.0,3.0,1.0,0.0,2.0,2.0,3.0,0.0,1.0,0.0,4.0,5.0,5.8,7.0
Vit Krejci,krejcvi01,2024,8,67.0,68.0,2024-03-18,,,LAL,"L, 105-136",*,,5.0,8.0,0.625,1.0,3.0,0.333,4.0,5.0,0.8,0.688,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,11.0,6.9,-9.0
Vit Krejci,krejcvi01,2024,9,68.0,69.0,2024-03-21,,,PHO,"L, 115-128",*,,4.0,9.0,0.444,1.0,5.0,0.2,3.0,4.0,0.75,0.5,0.0,0.0,,0.0,1.0,1.0,4.0,1.0,0.0,1.0,3.0,9.0,6.2,8.0
Vit Krejci,krejcvi01,2024,10,69.0,70.0,2024-03-23,,,CHO,"W, 132-91",*,,3.0,4.0,0.75,3.0,4.0,0.75,0.0,0.0,,1.125,0.0,0.0,,0.0,4.0,4.0,4.0,0.0,0.0,2.0,3.0,9.0,8.2,28.0
Vit Krejci,krejcvi01,2024,11,70.0,71.0,2024-03-25,,,BOS,"W, 120-118",*,,6.0,11.0,0.545,4.0,7.0,0.571,2.0,4.0,0.5,0.727,0.0,0.0,,2.0,4.0,6.0,2.0,1.0,0.0,3.0,3.0,16.0,11.5,-5.0
Vit Krejci,krejcvi01,2024,12,71.0,72.0,2024-03-27,,,POR,"W, 120-106",*,,3.0,7.0,0.429,1.0,5.0,0.2,2.0,2.0,1.0,0.5,0.0,0.0,,1.0,3.0,4.0,3.0,0.0,2.0,2.0,1.0,7.0,6.0,11.0
Vit Krejci,krejcvi01,2024,13,72.0,73.0,2024-03-28,,,BOS,"W, 123-122 (OT)",*,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,1.0,2.0,3.0,1.0,0.0,0.0,0.0,6.0,2.0,1.3,0.0
Vit Krejci,krejcvi01,2024,14,73.0,74.0,2024-03-30,,,MIL,"L, 113-122",*,,3.0,5.0,0.6,2.0,4.0,0.5,1.0,1.0,1.0,0.8,0.0,0.0,,0.0,2.0,2.0,1.0,1.0,0.0,0.0,3.0,8.0,6.8,-9.0
Vit Krejci,krejcvi01,2024,15,74.0,75.0,2024-04-01,,,CHI,"W, 113-101",*,,6.0,6.0,1.0,6.0,6.0,1.0,0.0,0.0,,1.5,0.0,0.0,,0.0,4.0,4.0,3.0,0.0,0.0,1.0,1.0,18.0,18.1,1.0
Vit Krejci,krejcvi01,2024,16,75.0,76.0,2024-04-03,,,DET,"W, 121-113",,,2.0,4.0,0.5,0.0,2.0,0.0,2.0,2.0,1.0,0.5,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,1.3,6.0
Vit Krejci,krejcvi01,2024,17,76.0,77.0,2024-04-04,,,DAL,"L, 95-109",,,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,,0.75,1.0,1.0,1.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,2.0,4.0,4.9,2.0
Vit Krejci,krejcvi01,2024,18,77.0,78.0,2024-04-06,,,DEN,"L, 110-142",,,1.0,3.0,0.333,1.0,2.0,0.5,0.0,1.0,0.0,0.5,0.0,0.0,,1.0,4.0,5.0,2.0,1.0,0.0,0.0,2.0,3.0,4.8,-24.0
