player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Kyle Kuzma,kuzmaky01,2024,1,407.0,1.0,2023-10-25,,,IND,"L, 120-143",*,,9.0,18.0,0.5,1.0,4.0,0.25,8.0,14.0,0.571,0.528,6.0,6.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,25.0,18.4,-10.0
Kyle Kuzma,kuzmaky01,2024,2,408.0,2.0,2023-10-28,,,MEM,"W, 113-106",*,,9.0,23.0,0.391,1.0,10.0,0.1,8.0,13.0,0.615,0.413,2.0,3.0,0.667,3.0,10.0,13.0,2.0,1.0,0.0,0.0,2.0,21.0,14.8,-1.0
Kyle Kuzma,kuzmaky01,2024,3,409.0,3.0,2023-10-30,,,BOS,"L, 107-126",*,,9.0,15.0,0.6,3.0,6.0,0.5,6.0,9.0,0.667,0.7,0.0,0.0,,0.0,5.0,5.0,4.0,0.0,0.0,2.0,0.0,21.0,16.4,-24.0
Kyle Kuzma,kuzmaky01,2024,4,410.0,4.0,2023-11-01,,,ATL,"L, 121-130",*,,11.0,21.0,0.524,1.0,6.0,0.167,10.0,15.0,0.667,0.548,2.0,3.0,0.667,0.0,9.0,9.0,6.0,0.0,0.0,1.0,1.0,25.0,19.8,-16.0
Kyle Kuzma,kuzmaky01,2024,5,411.0,5.0,2023-11-03,,,MIA,"L, 114-121",*,,8.0,19.0,0.421,4.0,9.0,0.444,4.0,10.0,0.4,0.526,2.0,2.0,1.0,1.0,3.0,4.0,3.0,0.0,0.0,5.0,3.0,22.0,9.4,-20.0
Kyle Kuzma,kuzmaky01,2024,6,412.0,6.0,2023-11-06,,,PHI,"L, 128-146",*,,12.0,20.0,0.6,4.0,5.0,0.8,8.0,15.0,0.533,0.7,0.0,1.0,0.0,2.0,4.0,6.0,4.0,0.0,1.0,2.0,2.0,28.0,21.7,-4.0
Kyle Kuzma,kuzmaky01,2024,7,413.0,7.0,2023-11-08,,,CHO,"W, 132-116",*,,13.0,24.0,0.542,4.0,11.0,0.364,9.0,13.0,0.692,0.625,3.0,3.0,1.0,3.0,6.0,9.0,4.0,0.0,0.0,2.0,1.0,33.0,25.7,8.0
Kyle Kuzma,kuzmaky01,2024,8,414.0,8.0,2023-11-10,,,CHO,"L, 117-124",*,,7.0,17.0,0.412,2.0,5.0,0.4,5.0,12.0,0.417,0.471,1.0,1.0,1.0,1.0,5.0,6.0,1.0,0.0,0.0,3.0,1.0,17.0,7.4,-19.0
Kyle Kuzma,kuzmaky01,2024,9,415.0,9.0,2023-11-12,,,BRK,"L, 94-102",*,,4.0,16.0,0.25,0.0,5.0,0.0,4.0,11.0,0.364,0.25,7.0,10.0,0.7,0.0,4.0,4.0,3.0,1.0,2.0,1.0,2.0,15.0,8.1,-29.0
Kyle Kuzma,kuzmaky01,2024,10,416.0,10.0,2023-11-13,,,TOR,"L, 107-111",*,,14.0,25.0,0.56,4.0,7.0,0.571,10.0,18.0,0.556,0.64,2.0,3.0,0.667,1.0,2.0,3.0,3.0,0.0,0.0,6.0,5.0,34.0,17.1,1.0
Kyle Kuzma,kuzmaky01,2024,11,417.0,11.0,2023-11-15,,,DAL,"L, 117-130",*,,6.0,18.0,0.333,2.0,6.0,0.333,4.0,12.0,0.333,0.389,8.0,10.0,0.8,2.0,4.0,6.0,3.0,0.0,0.0,2.0,1.0,22.0,13.3,-24.0
Kyle Kuzma,kuzmaky01,2024,12,418.0,12.0,2023-11-17,,,NYK,"L, 99-120",*,,8.0,21.0,0.381,3.0,8.0,0.375,5.0,13.0,0.385,0.452,0.0,0.0,,0.0,4.0,4.0,5.0,0.0,0.0,2.0,3.0,19.0,9.0,-20.0
Kyle Kuzma,kuzmaky01,2024,13,419.0,13.0,2023-11-20,,,MIL,"L, 129-142",*,,10.0,15.0,0.667,2.0,5.0,0.4,8.0,10.0,0.8,0.733,0.0,0.0,,0.0,3.0,3.0,13.0,2.0,1.0,2.0,2.0,22.0,25.4,3.0
Kyle Kuzma,kuzmaky01,2024,14,420.0,14.0,2023-11-22,,,CHO,"L, 114-117",*,,12.0,22.0,0.545,3.0,6.0,0.5,9.0,16.0,0.563,0.614,1.0,1.0,1.0,0.0,9.0,9.0,10.0,1.0,2.0,2.0,4.0,28.0,25.9,13.0
Kyle Kuzma,kuzmaky01,2024,15,421.0,15.0,2023-11-24,,,MIL,"L, 128-131",*,,9.0,22.0,0.409,3.0,8.0,0.375,6.0,14.0,0.429,0.477,1.0,1.0,1.0,1.0,3.0,4.0,4.0,0.0,2.0,1.0,3.0,22.0,13.8,-1.0
Kyle Kuzma,kuzmaky01,2024,16,422.0,16.0,2023-11-25,,,ATL,"L, 108-136",*,,4.0,10.0,0.4,2.0,5.0,0.4,2.0,5.0,0.4,0.5,2.0,2.0,1.0,2.0,5.0,7.0,8.0,0.0,0.0,5.0,1.0,12.0,9.7,-25.0
Kyle Kuzma,kuzmaky01,2024,17,423.0,17.0,2023-11-27,,,DET,"W, 126-107",*,,10.0,23.0,0.435,2.0,7.0,0.286,8.0,16.0,0.5,0.478,10.0,11.0,0.909,0.0,12.0,12.0,8.0,0.0,0.0,1.0,0.0,32.0,27.7,18.0
Kyle Kuzma,kuzmaky01,2024,18,424.0,18.0,2023-11-29,,,ORL,"L, 120-139",*,,9.0,20.0,0.45,1.0,4.0,0.25,8.0,16.0,0.5,0.475,4.0,5.0,0.8,0.0,3.0,3.0,6.0,0.0,0.0,4.0,1.0,23.0,12.9,-11.0
Kyle Kuzma,kuzmaky01,2024,19,425.0,19.0,2023-12-01,,,ORL,"L, 125-130",*,,10.0,18.0,0.556,2.0,6.0,0.333,8.0,12.0,0.667,0.611,5.0,6.0,0.833,1.0,5.0,6.0,1.0,1.0,2.0,6.0,6.0,27.0,14.9,-7.0
Kyle Kuzma,kuzmaky01,2024,20,426.0,20.0,2023-12-06,,,PHI,"L, 126-131",*,,7.0,16.0,0.438,2.0,5.0,0.4,5.0,11.0,0.455,0.5,0.0,0.0,,0.0,3.0,3.0,7.0,0.0,1.0,1.0,3.0,16.0,11.9,-12.0
Kyle Kuzma,kuzmaky01,2024,21,427.0,21.0,2023-12-08,,,BRK,"L, 97-124",*,,8.0,17.0,0.471,1.0,4.0,0.25,7.0,13.0,0.538,0.5,0.0,1.0,0.0,1.0,2.0,3.0,2.0,0.0,0.0,3.0,2.0,17.0,6.8,-23.0
Kyle Kuzma,kuzmaky01,2024,22,428.0,22.0,2023-12-11,,,PHI,"L, 101-146",*,,9.0,17.0,0.529,1.0,2.0,0.5,8.0,15.0,0.533,0.559,2.0,4.0,0.5,2.0,7.0,9.0,1.0,0.0,0.0,2.0,0.0,21.0,14.1,-28.0
Kyle Kuzma,kuzmaky01,2024,23,429.0,23.0,2023-12-13,,,NOP,"L, 122-142",*,,10.0,19.0,0.526,4.0,8.0,0.5,6.0,11.0,0.545,0.632,3.0,4.0,0.75,0.0,7.0,7.0,4.0,1.0,1.0,2.0,1.0,27.0,21.5,-6.0
Kyle Kuzma,kuzmaky01,2024,24,430.0,24.0,2023-12-15,,,IND,"W, 137-123",*,,11.0,23.0,0.478,4.0,9.0,0.444,7.0,14.0,0.5,0.565,5.0,8.0,0.625,0.0,5.0,5.0,4.0,1.0,0.0,3.0,3.0,31.0,19.2,12.0
Kyle Kuzma,kuzmaky01,2024,25,431.0,25.0,2023-12-17,,,PHO,"L, 108-112",*,,7.0,22.0,0.318,3.0,13.0,0.231,4.0,9.0,0.444,0.386,0.0,2.0,0.0,1.0,6.0,7.0,2.0,0.0,2.0,2.0,6.0,17.0,4.5,0.0
Kyle Kuzma,kuzmaky01,2024,26,432.0,26.0,2023-12-18,,,SAC,"L, 131-143",*,,8.0,16.0,0.5,3.0,7.0,0.429,5.0,9.0,0.556,0.594,8.0,8.0,1.0,0.0,8.0,8.0,1.0,0.0,1.0,3.0,1.0,27.0,19.4,-23.0
Kyle Kuzma,kuzmaky01,2024,27,433.0,27.0,2023-12-21,,,POR,"W, 118-117",*,,11.0,22.0,0.5,3.0,7.0,0.429,8.0,15.0,0.533,0.568,7.0,10.0,0.7,2.0,6.0,8.0,6.0,1.0,0.0,3.0,0.0,32.0,25.2,4.0
Kyle Kuzma,kuzmaky01,2024,28,434.0,28.0,2023-12-22,,,GSW,"L, 118-129",*,,3.0,11.0,0.273,1.0,5.0,0.2,2.0,6.0,0.333,0.318,0.0,1.0,0.0,0.0,9.0,9.0,3.0,0.0,0.0,3.0,2.0,7.0,1.1,-5.0
Kyle Kuzma,kuzmaky01,2024,29,435.0,29.0,2023-12-26,,,ORL,"L, 119-127",*,,6.0,18.0,0.333,2.0,8.0,0.25,4.0,10.0,0.4,0.389,3.0,3.0,1.0,1.0,3.0,4.0,6.0,0.0,1.0,6.0,5.0,17.0,5.3,8.0
Kyle Kuzma,kuzmaky01,2024,30,436.0,30.0,2023-12-27,,,TOR,"L, 102-132",*,,6.0,13.0,0.462,1.0,5.0,0.2,5.0,8.0,0.625,0.5,1.0,2.0,0.5,2.0,2.0,4.0,7.0,0.0,0.0,5.0,3.0,14.0,7.6,-21.0
Kyle Kuzma,kuzmaky01,2024,31,437.0,31.0,2023-12-29,,,BRK,"W, 110-104",*,,11.0,22.0,0.5,4.0,10.0,0.4,7.0,12.0,0.583,0.591,0.0,0.0,,1.0,7.0,8.0,2.0,0.0,1.0,2.0,1.0,26.0,17.5,-9.0
Kyle Kuzma,kuzmaky01,2024,32,438.0,32.0,2023-12-31,,,ATL,"L, 126-130",*,,15.0,31.0,0.484,7.0,18.0,0.389,8.0,13.0,0.615,0.597,1.0,1.0,1.0,2.0,6.0,8.0,5.0,0.0,0.0,2.0,4.0,38.0,25.4,0.0
Kyle Kuzma,kuzmaky01,2024,33,439.0,33.0,2024-01-03,,,CLE,"L, 101-140",*,,7.0,12.0,0.583,2.0,6.0,0.333,5.0,6.0,0.833,0.667,0.0,0.0,,0.0,2.0,2.0,3.0,1.0,0.0,1.0,1.0,16.0,12.7,-22.0
Kyle Kuzma,kuzmaky01,2024,34,440.0,34.0,2024-01-05,,,CLE,"L, 90-114",*,,4.0,14.0,0.286,1.0,4.0,0.25,3.0,10.0,0.3,0.321,0.0,0.0,,1.0,1.0,2.0,2.0,1.0,0.0,7.0,2.0,9.0,-3.6,-20.0
Kyle Kuzma,kuzmaky01,2024,35,441.0,35.0,2024-01-06,,,NYK,"L, 105-121",*,,10.0,21.0,0.476,4.0,10.0,0.4,6.0,11.0,0.545,0.571,3.0,4.0,0.75,0.0,2.0,2.0,2.0,0.0,1.0,3.0,3.0,27.0,14.4,-8.0
Kyle Kuzma,kuzmaky01,2024,36,442.0,36.0,2024-01-08,,,OKC,"L, 128-136",*,,10.0,24.0,0.417,0.0,5.0,0.0,10.0,19.0,0.526,0.417,2.0,2.0,1.0,4.0,11.0,15.0,5.0,0.0,0.0,2.0,1.0,22.0,16.4,1.0
Kyle Kuzma,kuzmaky01,2024,37,443.0,37.0,2024-01-10,,,IND,"L, 104-112",*,,4.0,15.0,0.267,0.0,4.0,0.0,4.0,11.0,0.364,0.267,3.0,3.0,1.0,3.0,8.0,11.0,5.0,2.0,0.0,4.0,0.0,11.0,8.1,-10.0
Kyle Kuzma,kuzmaky01,2024,38,444.0,38.0,2024-01-13,,,ATL,"W, 127-99",*,,10.0,20.0,0.5,3.0,5.0,0.6,7.0,15.0,0.467,0.575,6.0,7.0,0.857,3.0,3.0,6.0,4.0,0.0,1.0,2.0,0.0,29.0,23.1,21.0
Kyle Kuzma,kuzmaky01,2024,39,445.0,39.0,2024-01-15,,,DET,"L, 117-129",*,,7.0,21.0,0.333,3.0,9.0,0.333,4.0,12.0,0.333,0.405,4.0,4.0,1.0,0.0,8.0,8.0,4.0,3.0,2.0,0.0,2.0,21.0,17.9,-17.0
Kyle Kuzma,kuzmaky01,2024,40,446.0,40.0,2024-01-18,,,NYK,"L, 109-113",*,,7.0,16.0,0.438,1.0,5.0,0.2,6.0,11.0,0.545,0.469,0.0,0.0,,0.0,6.0,6.0,5.0,2.0,1.0,3.0,2.0,15.0,10.8,-2.0
Kyle Kuzma,kuzmaky01,2024,41,447.0,41.0,2024-01-20,,,SAS,"L, 127-131",*,,5.0,14.0,0.357,0.0,4.0,0.0,5.0,10.0,0.5,0.357,1.0,1.0,1.0,3.0,9.0,12.0,6.0,1.0,0.0,2.0,0.0,11.0,11.2,-22.0
Kyle Kuzma,kuzmaky01,2024,42,448.0,42.0,2024-01-21,,,DEN,"L, 104-113",*,,7.0,13.0,0.538,2.0,4.0,0.5,5.0,9.0,0.556,0.615,1.0,2.0,0.5,0.0,6.0,6.0,7.0,0.0,2.0,3.0,5.0,17.0,13.4,-11.0
Kyle Kuzma,kuzmaky01,2024,43,449.0,43.0,2024-01-24,,,MIN,"L, 107-118",*,,5.0,11.0,0.455,3.0,8.0,0.375,2.0,3.0,0.667,0.591,4.0,4.0,1.0,0.0,14.0,14.0,8.0,0.0,1.0,5.0,4.0,17.0,15.2,-13.0
