player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Maxwell Lewis,lewisma05,2024,1,1.0,1.0,2023-10-24,,,DEN,"L, 107-119",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maxwell Lewis,lewisma05,2024,2,2.0,6.0,2023-11-04,,,ORL,"L, 101-120",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,-3.0
Maxwell Lewis,lewisma05,2024,3,3.0,8.0,2023-11-08,,,HOU,"L, 94-128",,,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1,-5.0
Maxwell Lewis,lewisma05,2024,4,4.0,11.0,2023-11-14,,,MEM,"W, 134-107",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,5.0
Maxwell Lewis,lewisma05,2024,5,5.0,12.0,2023-11-15,,,SAC,"L, 110-125",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,-4.0
Maxwell Lewis,lewisma05,2024,6,6.0,13.0,2023-11-17,,,POR,"W, 107-95",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maxwell Lewis,lewisma05,2024,7,7.0,18.0,2023-11-27,,,PHI,"L, 94-138",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,-2.0,-17.0
Maxwell Lewis,lewisma05,2024,8,8.0,19.0,2023-11-29,,,DET,"W, 133-107",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,-3.0
Maxwell Lewis,lewisma05,2024,9,9.0,20.0,2023-11-30,,,OKC,"L, 110-133",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0
Maxwell Lewis,lewisma05,2024,10,10.0,21.0,2023-12-02,,,HOU,"W, 107-97",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.1,-7.0
Maxwell Lewis,lewisma05,2024,11,11.0,23.0,2023-12-07,,,NOP,"W, 133-89",,,1.0,4.0,0.25,1.0,2.0,0.5,0.0,2.0,0.0,0.375,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.6,6.0
Maxwell Lewis,lewisma05,2024,12,12.0,28.0,2023-12-20,,,CHI,"L, 108-124",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maxwell Lewis,lewisma05,2024,13,13.0,43.0,2024-01-19,,,BRK,"L, 112-130",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maxwell Lewis,lewisma05,2024,14,14.0,44.0,2024-01-21,,,POR,"W, 134-110",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Maxwell Lewis,lewisma05,2024,15,15.0,45.0,2024-01-23,,,LAC,"L, 116-127",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.7,0.0
Maxwell Lewis,lewisma05,2024,16,16.0,48.0,2024-01-29,,,HOU,"L, 119-135",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maxwell Lewis,lewisma05,2024,17,17.0,49.0,2024-01-30,,,ATL,"L, 122-138",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.3,2.0
Maxwell Lewis,lewisma05,2024,18,18.0,50.0,2024-02-01,,,BOS,"W, 114-105",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,0.0
Maxwell Lewis,lewisma05,2024,19,19.0,55.0,2024-02-13,,,DET,"W, 125-111",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
Maxwell Lewis,lewisma05,2024,20,20.0,58.0,2024-02-23,,,SAS,"W, 123-118",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0
Maxwell Lewis,lewisma05,2024,21,21.0,63.0,2024-03-04,,,OKC,"W, 116-104",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,-2.4,-11.0
Maxwell Lewis,lewisma05,2024,22,22.0,64.0,2024-03-06,,,SAC,"L, 120-130",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maxwell Lewis,lewisma05,2024,23,23.0,66.0,2024-03-10,,,MIN,"W, 120-109",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
Maxwell Lewis,lewisma05,2024,24,24.0,67.0,2024-03-13,,,SAC,"L, 107-120",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maxwell Lewis,lewisma05,2024,25,25.0,69.0,2024-03-18,,,ATL,"W, 136-105",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.7,-3.0
Maxwell Lewis,lewisma05,2024,26,26.0,73.0,2024-03-27,,,MEM,"W, 136-124",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
Maxwell Lewis,lewisma05,2024,27,27.0,74.0,2024-03-29,,,IND,"L, 90-109",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,0.0
Maxwell Lewis,lewisma05,2024,28,28.0,75.0,2024-03-31,,,BRK,"W, 116-104",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.0,-4.0
