player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Lauri Markkanen,markkla01,2024,1,349.0,1.0,2023-10-25,,,SAC,"L, 114-130",*,,6.0,15.0,0.4,2.0,6.0,0.333,4.0,9.0,0.444,0.467,5.0,6.0,0.833,2.0,8.0,10.0,1.0,2.0,0.0,1.0,1.0,19.0,15.6,-7.0
Lauri Markkanen,markkla01,2024,2,350.0,2.0,2023-10-27,,,LAC,"W, 120-118",*,,12.0,23.0,0.522,5.0,13.0,0.385,7.0,10.0,0.7,0.63,6.0,6.0,1.0,5.0,7.0,12.0,3.0,0.0,0.0,3.0,2.0,35.0,27.6,11.0
Lauri Markkanen,markkla01,2024,3,351.0,3.0,2023-10-28,,,PHO,"L, 104-126",*,,7.0,13.0,0.538,5.0,7.0,0.714,2.0,6.0,0.333,0.731,0.0,0.0,,0.0,3.0,3.0,0.0,1.0,2.0,1.0,1.0,19.0,14.6,-21.0
Lauri Markkanen,markkla01,2024,4,352.0,4.0,2023-10-30,,,DEN,"L, 102-110",*,,10.0,24.0,0.417,5.0,13.0,0.385,5.0,11.0,0.455,0.521,2.0,2.0,1.0,5.0,9.0,14.0,5.0,0.0,1.0,2.0,2.0,27.0,21.8,3.0
Lauri Markkanen,markkla01,2024,5,353.0,5.0,2023-11-01,,,MEM,"W, 133-109",*,,6.0,11.0,0.545,4.0,6.0,0.667,2.0,5.0,0.4,0.727,3.0,3.0,1.0,1.0,10.0,11.0,1.0,1.0,0.0,0.0,5.0,19.0,17.1,10.0
Lauri Markkanen,markkla01,2024,6,354.0,6.0,2023-11-02,,,ORL,"L, 113-115",*,,9.0,17.0,0.529,4.0,10.0,0.4,5.0,7.0,0.714,0.647,0.0,2.0,0.0,1.0,6.0,7.0,1.0,2.0,0.0,3.0,4.0,22.0,13.5,2.0
Lauri Markkanen,markkla01,2024,7,355.0,7.0,2023-11-04,,,MIN,"L, 95-123",*,,7.0,20.0,0.35,4.0,11.0,0.364,3.0,9.0,0.333,0.45,4.0,5.0,0.8,4.0,4.0,8.0,1.0,0.0,1.0,2.0,4.0,22.0,12.2,-16.0
Lauri Markkanen,markkla01,2024,8,356.0,8.0,2023-11-06,,,CHI,"L, 113-130",*,,8.0,15.0,0.533,5.0,12.0,0.417,3.0,3.0,1.0,0.7,8.0,8.0,1.0,1.0,4.0,5.0,3.0,0.0,1.0,1.0,2.0,29.0,24.6,-12.0
Lauri Markkanen,markkla01,2024,9,357.0,9.0,2023-11-08,,,IND,"L, 118-134",*,,8.0,16.0,0.5,3.0,5.0,0.6,5.0,11.0,0.455,0.594,5.0,6.0,0.833,5.0,4.0,9.0,0.0,1.0,1.0,1.0,1.0,24.0,20.6,-12.0
Lauri Markkanen,markkla01,2024,10,358.0,10.0,2023-11-10,,,MEM,"W, 127-121",*,,8.0,13.0,0.615,4.0,9.0,0.444,4.0,4.0,1.0,0.769,6.0,6.0,1.0,0.0,7.0,7.0,1.0,2.0,2.0,3.0,3.0,26.0,22.1,-1.0
