player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
CJ McCollum,mccolcj01,2024,1,666.0,1.0,2023-10-25,,,MEM,"W, 111-104",*,,8.0,16.0,0.5,6.0,11.0,0.545,2.0,5.0,0.4,0.688,2.0,2.0,1.0,1.0,3.0,4.0,6.0,2.0,1.0,2.0,3.0,24.0,21.3,-1.0
CJ McCollum,mccolcj01,2024,2,667.0,2.0,2023-10-28,,,NYK,"W, 96-87",*,,4.0,11.0,0.364,2.0,7.0,0.286,2.0,4.0,0.5,0.455,2.0,4.0,0.5,0.0,3.0,3.0,7.0,4.0,0.0,1.0,2.0,12.0,13.1,18.0
CJ McCollum,mccolcj01,2024,3,668.0,3.0,2023-10-30,,,GSW,"L, 102-130",*,,7.0,21.0,0.333,2.0,8.0,0.25,5.0,13.0,0.385,0.381,3.0,4.0,0.75,2.0,4.0,6.0,5.0,1.0,0.0,0.0,1.0,19.0,13.4,-19.0
CJ McCollum,mccolcj01,2024,4,669.0,4.0,2023-11-01,,,OKC,"W, 110-106",*,,10.0,17.0,0.588,5.0,8.0,0.625,5.0,9.0,0.556,0.735,4.0,7.0,0.571,1.0,10.0,11.0,5.0,0.0,1.0,1.0,2.0,29.0,26.0,16.0
CJ McCollum,mccolcj01,2024,5,670.0,5.0,2023-11-02,,,DET,"W, 125-116",*,,10.0,23.0,0.435,3.0,10.0,0.3,7.0,13.0,0.538,0.5,10.0,11.0,0.909,1.0,3.0,4.0,5.0,0.0,0.0,4.0,3.0,33.0,20.4,-17.0
CJ McCollum,mccolcj01,2024,6,671.0,6.0,2023-11-04,,,ATL,"L, 105-123",*,,5.0,12.0,0.417,1.0,6.0,0.167,4.0,6.0,0.667,0.458,2.0,3.0,0.667,0.0,1.0,1.0,6.0,2.0,3.0,0.0,3.0,13.0,13.6,-19.0
CJ McCollum,mccolcj01,2024,7,672.0,19.0,2023-11-29,,,PHI,"W, 124-114",*,,7.0,16.0,0.438,3.0,8.0,0.375,4.0,8.0,0.5,0.531,3.0,3.0,1.0,1.0,3.0,4.0,5.0,2.0,1.0,2.0,3.0,20.0,16.2,19.0
CJ McCollum,mccolcj01,2024,8,673.0,20.0,2023-12-01,,,SAS,"W, 121-106",*,,8.0,18.0,0.444,1.0,8.0,0.125,7.0,10.0,0.7,0.472,2.0,2.0,1.0,1.0,2.0,3.0,8.0,2.0,1.0,1.0,1.0,19.0,17.8,16.0
CJ McCollum,mccolcj01,2024,9,674.0,22.0,2023-12-04,,,SAC,"W, 127-117",*,,7.0,14.0,0.5,3.0,5.0,0.6,4.0,9.0,0.444,0.607,0.0,0.0,,0.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,17.0,16.1,-4.0
CJ McCollum,mccolcj01,2024,10,675.0,23.0,2023-12-07,,,LAL,"L, 89-133",*,,4.0,14.0,0.286,1.0,4.0,0.25,3.0,10.0,0.3,0.321,0.0,0.0,,1.0,3.0,4.0,2.0,2.0,0.0,1.0,2.0,9.0,4.0,-38.0
CJ McCollum,mccolcj01,2024,11,676.0,24.0,2023-12-11,,,MIN,"W, 121-107",*,,8.0,15.0,0.533,4.0,7.0,0.571,4.0,8.0,0.5,0.667,3.0,3.0,1.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,2.0,23.0,19.6,21.0
CJ McCollum,mccolcj01,2024,12,677.0,25.0,2023-12-13,,,WAS,"W, 142-122",*,,8.0,14.0,0.571,4.0,6.0,0.667,4.0,8.0,0.5,0.714,2.0,2.0,1.0,0.0,3.0,3.0,6.0,0.0,0.0,0.0,3.0,22.0,19.3,13.0
CJ McCollum,mccolcj01,2024,13,678.0,26.0,2023-12-15,,,CHO,"W, 112-107",*,,7.0,18.0,0.389,3.0,9.0,0.333,4.0,9.0,0.444,0.472,2.0,2.0,1.0,2.0,3.0,5.0,4.0,1.0,1.0,2.0,0.0,19.0,14.0,4.0
CJ McCollum,mccolcj01,2024,14,679.0,27.0,2023-12-17,,,SAS,"W, 146-110",*,,10.0,15.0,0.667,6.0,7.0,0.857,4.0,8.0,0.5,0.867,3.0,3.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0,3.0,2.0,29.0,21.7,21.0
CJ McCollum,mccolcj01,2024,15,680.0,28.0,2023-12-19,,,MEM,"L, 113-115",*,,6.0,11.0,0.545,6.0,9.0,0.667,0.0,2.0,0.0,0.818,0.0,0.0,,0.0,3.0,3.0,6.0,1.0,1.0,1.0,2.0,18.0,17.7,9.0
CJ McCollum,mccolcj01,2024,16,681.0,29.0,2023-12-21,,,CLE,"W, 123-104",*,,7.0,15.0,0.467,2.0,8.0,0.25,5.0,7.0,0.714,0.533,2.0,2.0,1.0,0.0,6.0,6.0,4.0,4.0,1.0,2.0,2.0,18.0,16.8,13.0
CJ McCollum,mccolcj01,2024,17,682.0,30.0,2023-12-23,,,HOU,"L, 104-106",*,,4.0,10.0,0.4,2.0,7.0,0.286,2.0,3.0,0.667,0.5,3.0,4.0,0.75,1.0,4.0,5.0,2.0,1.0,1.0,4.0,4.0,13.0,6.6,-2.0
CJ McCollum,mccolcj01,2024,18,683.0,31.0,2023-12-26,,,MEM,"L, 115-116 (OT)",*,,6.0,14.0,0.429,3.0,8.0,0.375,3.0,6.0,0.5,0.536,1.0,4.0,0.25,0.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,16.0,8.5,-9.0
CJ McCollum,mccolcj01,2024,19,684.0,32.0,2023-12-28,,,UTA,"W, 112-105",*,,8.0,16.0,0.5,4.0,10.0,0.4,4.0,6.0,0.667,0.625,2.0,3.0,0.667,1.0,2.0,3.0,6.0,2.0,0.0,2.0,2.0,22.0,18.3,8.0
CJ McCollum,mccolcj01,2024,20,685.0,33.0,2023-12-31,,,LAL,"W, 129-109",*,,8.0,19.0,0.421,6.0,11.0,0.545,2.0,8.0,0.25,0.579,0.0,0.0,,0.0,5.0,5.0,9.0,1.0,1.0,1.0,2.0,22.0,19.6,15.0
CJ McCollum,mccolcj01,2024,21,686.0,34.0,2024-01-02,,,BRK,"W, 112-85",*,,6.0,11.0,0.545,4.0,8.0,0.5,2.0,3.0,0.667,0.727,0.0,0.0,,2.0,4.0,6.0,5.0,0.0,0.0,2.0,0.0,16.0,14.8,12.0
CJ McCollum,mccolcj01,2024,22,687.0,35.0,2024-01-03,,,MIN,"W, 117-106",*,,8.0,16.0,0.5,4.0,6.0,0.667,4.0,10.0,0.4,0.625,4.0,4.0,1.0,0.0,3.0,3.0,5.0,0.0,1.0,2.0,2.0,24.0,18.3,12.0
CJ McCollum,mccolcj01,2024,23,688.0,36.0,2024-01-05,,,LAC,"L, 95-111",*,,4.0,13.0,0.308,4.0,9.0,0.444,0.0,4.0,0.0,0.462,0.0,0.0,,1.0,5.0,6.0,3.0,1.0,0.0,1.0,3.0,12.0,7.6,-10.0
CJ McCollum,mccolcj01,2024,24,689.0,37.0,2024-01-07,,,SAC,"W, 133-100",*,,11.0,16.0,0.688,7.0,10.0,0.7,4.0,6.0,0.667,0.906,1.0,2.0,0.5,1.0,6.0,7.0,4.0,0.0,2.0,3.0,0.0,30.0,26.5,31.0
CJ McCollum,mccolcj01,2024,25,690.0,38.0,2024-01-10,,,GSW,"W, 141-105",*,,5.0,13.0,0.385,2.0,7.0,0.286,3.0,6.0,0.5,0.462,2.0,2.0,1.0,0.0,3.0,3.0,8.0,2.0,1.0,0.0,0.0,14.0,16.1,22.0
CJ McCollum,mccolcj01,2024,26,691.0,39.0,2024-01-12,,,DEN,"L, 113-125",*,,4.0,10.0,0.4,3.0,8.0,0.375,1.0,2.0,0.5,0.55,1.0,2.0,0.5,0.0,5.0,5.0,7.0,1.0,0.0,2.0,2.0,12.0,10.8,-13.0
CJ McCollum,mccolcj01,2024,27,692.0,41.0,2024-01-15,,,DAL,"L, 120-125",*,,9.0,17.0,0.529,3.0,7.0,0.429,6.0,10.0,0.6,0.618,2.0,2.0,1.0,0.0,6.0,6.0,4.0,1.0,0.0,0.0,5.0,23.0,18.3,15.0
CJ McCollum,mccolcj01,2024,28,693.0,42.0,2024-01-17,,,CHO,"W, 132-112",*,,8.0,15.0,0.533,4.0,9.0,0.444,4.0,6.0,0.667,0.667,2.0,2.0,1.0,2.0,3.0,5.0,6.0,0.0,2.0,1.0,2.0,22.0,20.8,4.0
CJ McCollum,mccolcj01,2024,29,694.0,43.0,2024-01-19,,,PHO,"L, 109-123",*,,5.0,13.0,0.385,1.0,7.0,0.143,4.0,6.0,0.667,0.423,2.0,3.0,0.667,0.0,4.0,4.0,4.0,0.0,2.0,1.0,1.0,13.0,9.5,-8.0
CJ McCollum,mccolcj01,2024,30,695.0,44.0,2024-01-23,,,UTA,"W, 153-124",*,,11.0,17.0,0.647,9.0,13.0,0.692,2.0,4.0,0.5,0.912,2.0,3.0,0.667,1.0,4.0,5.0,2.0,1.0,1.0,2.0,3.0,33.0,26.9,17.0
CJ McCollum,mccolcj01,2024,31,696.0,45.0,2024-01-26,,,OKC,"L, 83-107",*,,4.0,15.0,0.267,2.0,7.0,0.286,2.0,8.0,0.25,0.333,2.0,2.0,1.0,1.0,5.0,6.0,3.0,2.0,0.0,4.0,4.0,12.0,3.8,-20.0
CJ McCollum,mccolcj01,2024,32,697.0,46.0,2024-01-27,,,MIL,"L, 117-141",*,,2.0,7.0,0.286,1.0,4.0,0.25,1.0,3.0,0.333,0.357,2.0,2.0,1.0,0.0,1.0,1.0,4.0,0.0,1.0,2.0,2.0,7.0,3.9,-30.0
CJ McCollum,mccolcj01,2024,33,698.0,47.0,2024-01-29,,,BOS,"L, 112-118",*,,7.0,14.0,0.5,1.0,5.0,0.2,6.0,9.0,0.667,0.536,1.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,1.0,4.0,3.0,16.0,6.5,-1.0
CJ McCollum,mccolcj01,2024,34,699.0,48.0,2024-01-31,,,HOU,"W, 110-99",*,,7.0,15.0,0.467,3.0,7.0,0.429,4.0,8.0,0.5,0.567,2.0,2.0,1.0,0.0,5.0,5.0,3.0,1.0,2.0,3.0,1.0,19.0,13.9,3.0
CJ McCollum,mccolcj01,2024,35,700.0,49.0,2024-02-02,,,SAS,"W, 114-113",*,,8.0,17.0,0.471,3.0,10.0,0.3,5.0,7.0,0.714,0.559,2.0,4.0,0.5,1.0,3.0,4.0,4.0,1.0,1.0,2.0,3.0,21.0,14.4,13.0
CJ McCollum,mccolcj01,2024,36,701.0,50.0,2024-02-05,,,TOR,"W, 138-100",*,,7.0,12.0,0.583,6.0,10.0,0.6,1.0,2.0,0.5,0.833,0.0,0.0,,1.0,5.0,6.0,3.0,2.0,0.0,0.0,1.0,20.0,20.3,15.0
CJ McCollum,mccolcj01,2024,37,702.0,51.0,2024-02-07,,,LAC,"W, 117-106",*,,10.0,17.0,0.588,5.0,11.0,0.455,5.0,6.0,0.833,0.735,0.0,0.0,,0.0,7.0,7.0,4.0,1.0,0.0,3.0,3.0,25.0,18.8,4.0
CJ McCollum,mccolcj01,2024,38,703.0,52.0,2024-02-09,,,LAL,"L, 122-139",*,,8.0,16.0,0.5,3.0,9.0,0.333,5.0,7.0,0.714,0.594,0.0,0.0,,1.0,3.0,4.0,3.0,0.0,0.0,0.0,3.0,19.0,13.5,-18.0
CJ McCollum,mccolcj01,2024,39,704.0,53.0,2024-02-10,,,POR,"W, 93-84",*,,2.0,14.0,0.143,1.0,9.0,0.111,1.0,5.0,0.2,0.179,3.0,4.0,0.75,0.0,3.0,3.0,7.0,1.0,1.0,1.0,2.0,8.0,4.3,22.0
CJ McCollum,mccolcj01,2024,40,705.0,54.0,2024-02-12,,,MEM,"W, 96-87",*,,4.0,15.0,0.267,3.0,8.0,0.375,1.0,7.0,0.143,0.367,0.0,0.0,,0.0,5.0,5.0,2.0,1.0,0.0,2.0,1.0,11.0,3.6,9.0
CJ McCollum,mccolcj01,2024,41,706.0,55.0,2024-02-14,,,WAS,"W, 133-126",*,,9.0,17.0,0.529,3.0,9.0,0.333,6.0,8.0,0.75,0.618,5.0,5.0,1.0,0.0,3.0,3.0,6.0,1.0,0.0,0.0,2.0,26.0,23.0,-11.0
CJ McCollum,mccolcj01,2024,42,707.0,56.0,2024-02-22,,,HOU,"W, 127-105",*,,11.0,22.0,0.5,4.0,10.0,0.4,7.0,12.0,0.583,0.591,2.0,3.0,0.667,1.0,5.0,6.0,6.0,0.0,0.0,2.0,1.0,28.0,20.6,25.0
CJ McCollum,mccolcj01,2024,43,708.0,57.0,2024-02-23,,,MIA,"L, 95-106",*,,1.0,7.0,0.143,0.0,3.0,0.0,1.0,4.0,0.25,0.143,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,-0.5,-18.0
CJ McCollum,mccolcj01,2024,44,709.0,60.0,2024-02-28,,,IND,"L, 114-123",*,,9.0,21.0,0.429,5.0,8.0,0.625,4.0,13.0,0.308,0.548,0.0,0.0,,2.0,4.0,6.0,3.0,0.0,0.0,1.0,3.0,23.0,14.4,-19.0
CJ McCollum,mccolcj01,2024,45,710.0,61.0,2024-03-01,,,IND,"W, 129-102",*,,5.0,11.0,0.455,4.0,7.0,0.571,1.0,4.0,0.25,0.636,0.0,0.0,,0.0,4.0,4.0,1.0,2.0,2.0,0.0,2.0,14.0,12.8,30.0
CJ McCollum,mccolcj01,2024,46,711.0,62.0,2024-03-05,,,TOR,"W, 139-98",*,,4.0,11.0,0.364,3.0,9.0,0.333,1.0,2.0,0.5,0.5,0.0,0.0,,0.0,4.0,4.0,4.0,0.0,0.0,1.0,2.0,11.0,7.1,3.0
CJ McCollum,mccolcj01,2024,47,712.0,63.0,2024-03-08,,,PHI,"W, 103-95",*,,5.0,14.0,0.357,0.0,7.0,0.0,5.0,7.0,0.714,0.357,0.0,0.0,,0.0,4.0,4.0,1.0,0.0,0.0,3.0,2.0,10.0,0.3,-4.0
CJ McCollum,mccolcj01,2024,48,713.0,64.0,2024-03-10,,,ATL,"W, 116-103",*,,7.0,14.0,0.5,4.0,7.0,0.571,3.0,7.0,0.429,0.643,2.0,3.0,0.667,1.0,3.0,4.0,3.0,0.0,0.0,2.0,0.0,20.0,14.3,1.0
CJ McCollum,mccolcj01,2024,49,714.0,65.0,2024-03-13,,,CLE,"L, 95-116",*,,3.0,10.0,0.3,0.0,5.0,0.0,3.0,5.0,0.6,0.3,2.0,2.0,1.0,0.0,3.0,3.0,1.0,0.0,2.0,1.0,0.0,8.0,4.2,6.0
CJ McCollum,mccolcj01,2024,50,715.0,66.0,2024-03-15,,,LAC,"W, 112-104",*,,5.0,13.0,0.385,1.0,7.0,0.143,4.0,6.0,0.667,0.423,0.0,0.0,,0.0,6.0,6.0,4.0,1.0,0.0,2.0,1.0,11.0,7.1,0.0
CJ McCollum,mccolcj01,2024,51,716.0,67.0,2024-03-16,,,POR,"W, 126-107",*,,12.0,20.0,0.6,6.0,12.0,0.5,6.0,8.0,0.75,0.75,0.0,0.0,,0.0,2.0,2.0,8.0,2.0,0.0,2.0,1.0,30.0,26.6,6.0
CJ McCollum,mccolcj01,2024,52,717.0,68.0,2024-03-19,,,BRK,"W, 104-91",*,,6.0,12.0,0.5,4.0,8.0,0.5,2.0,4.0,0.5,0.667,0.0,0.0,,0.0,1.0,1.0,5.0,0.0,0.0,2.0,2.0,16.0,11.0,20.0
CJ McCollum,mccolcj01,2024,53,718.0,69.0,2024-03-21,,,ORL,"L, 106-121",*,,6.0,12.0,0.5,3.0,6.0,0.5,3.0,6.0,0.5,0.625,3.0,4.0,0.75,0.0,3.0,3.0,3.0,0.0,0.0,2.0,3.0,18.0,11.4,-10.0
CJ McCollum,mccolcj01,2024,54,719.0,70.0,2024-03-22,,,MIA,"W, 111-88",*,,12.0,21.0,0.571,6.0,12.0,0.5,6.0,9.0,0.667,0.714,0.0,0.0,,1.0,4.0,5.0,7.0,1.0,0.0,2.0,0.0,30.0,25.9,14.0
CJ McCollum,mccolcj01,2024,55,720.0,71.0,2024-03-24,,,DET,"W, 114-101",*,,9.0,18.0,0.5,5.0,9.0,0.556,4.0,9.0,0.444,0.639,0.0,0.0,,0.0,2.0,2.0,7.0,1.0,0.0,2.0,2.0,23.0,17.7,7.0
CJ McCollum,mccolcj01,2024,56,721.0,72.0,2024-03-26,,,OKC,"L, 112-119",*,,8.0,24.0,0.333,4.0,11.0,0.364,4.0,13.0,0.308,0.417,3.0,3.0,1.0,0.0,6.0,6.0,5.0,0.0,0.0,0.0,2.0,23.0,13.9,-7.0
CJ McCollum,mccolcj01,2024,57,722.0,73.0,2024-03-28,,,MIL,"W, 107-100",*,,9.0,24.0,0.375,3.0,9.0,0.333,6.0,15.0,0.4,0.438,4.0,4.0,1.0,1.0,6.0,7.0,7.0,1.0,0.0,1.0,1.0,25.0,18.8,12.0
CJ McCollum,mccolcj01,2024,58,723.0,74.0,2024-03-30,,,BOS,"L, 92-104",*,,10.0,23.0,0.435,4.0,11.0,0.364,6.0,12.0,0.5,0.522,0.0,0.0,,0.0,2.0,2.0,5.0,2.0,1.0,1.0,4.0,24.0,16.1,-6.0
CJ McCollum,mccolcj01,2024,59,724.0,75.0,2024-04-01,,,PHO,"L, 111-124",*,,6.0,17.0,0.353,2.0,6.0,0.333,4.0,11.0,0.364,0.412,1.0,1.0,1.0,2.0,3.0,5.0,9.0,0.0,1.0,3.0,1.0,15.0,11.4,-3.0
CJ McCollum,mccolcj01,2024,60,725.0,76.0,2024-04-03,,,ORL,"L, 108-117",*,,10.0,24.0,0.417,5.0,12.0,0.417,5.0,12.0,0.417,0.521,11.0,11.0,1.0,2.0,8.0,10.0,4.0,2.0,0.0,4.0,3.0,36.0,26.6,2.0
CJ McCollum,mccolcj01,2024,61,726.0,77.0,2024-04-05,,,SAS,"L, 109-111",*,,13.0,29.0,0.448,4.0,12.0,0.333,9.0,17.0,0.529,0.517,1.0,1.0,1.0,2.0,4.0,6.0,4.0,0.0,1.0,3.0,0.0,31.0,19.0,-6.0
CJ McCollum,mccolcj01,2024,62,727.0,78.0,2024-04-07,,,PHO,"W, 113-105",*,,12.0,22.0,0.545,7.0,12.0,0.583,5.0,10.0,0.5,0.705,0.0,0.0,,0.0,4.0,4.0,5.0,0.0,0.0,3.0,2.0,31.0,21.3,19.0
CJ McCollum,mccolcj01,2024,63,728.0,79.0,2024-04-09,,,POR,"W, 110-100",*,,10.0,19.0,0.526,5.0,10.0,0.5,5.0,9.0,0.556,0.658,4.0,4.0,1.0,1.0,4.0,5.0,3.0,2.0,0.0,1.0,0.0,29.0,24.7,18.0
CJ McCollum,mccolcj01,2024,64,729.0,80.0,2024-04-11,,,SAC,"W, 135-123",*,,11.0,18.0,0.611,9.0,12.0,0.75,2.0,6.0,0.333,0.861,0.0,0.0,,1.0,3.0,4.0,7.0,2.0,0.0,0.0,0.0,31.0,31.3,-11.0
CJ McCollum,mccolcj01,2024,65,730.0,81.0,2024-04-12,,,GSW,"W, 114-109",*,,10.0,21.0,0.476,8.0,13.0,0.615,2.0,8.0,0.25,0.667,0.0,0.0,,0.0,5.0,5.0,5.0,0.0,2.0,3.0,3.0,28.0,19.5,-5.0
CJ McCollum,mccolcj01,2024,66,731.0,82.0,2024-04-14,,,LAL,"L, 108-124",*,,9.0,19.0,0.474,4.0,9.0,0.444,5.0,10.0,0.5,0.579,3.0,4.0,0.75,2.0,2.0,4.0,7.0,0.0,0.0,3.0,3.0,25.0,17.6,-9.0
