player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Wendell Moore Jr.,moorewe01,2024,1,30.0,14.0,2023-11-22,,,PHI,"W, 112-99",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-1.0
Wendell Moore Jr.,moorewe01,2024,2,31.0,21.0,2023-12-08,,,MEM,"W, 127-103",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Wendell Moore Jr.,moorewe01,2024,3,32.0,22.0,2023-12-11,,,NOP,"L, 107-121",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0
Wendell Moore Jr.,moorewe01,2024,4,33.0,23.0,2023-12-14,,,DAL,"W, 119-101",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4,-1.0
Wendell Moore Jr.,moorewe01,2024,5,34.0,24.0,2023-12-16,,,IND,"W, 127-109",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0
Wendell Moore Jr.,moorewe01,2024,6,35.0,26.0,2023-12-20,,,PHI,"L, 113-127",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.7,0.0
Wendell Moore Jr.,moorewe01,2024,7,36.0,29.0,2023-12-26,,,OKC,"L, 106-129",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,-1.0
Wendell Moore Jr.,moorewe01,2024,8,37.0,34.0,2024-01-05,,,HOU,"W, 122-95",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.3,-6.0
Wendell Moore Jr.,moorewe01,2024,9,38.0,38.0,2024-01-12,,,POR,"W, 116-93",,,2.0,2.0,1.0,0.0,0.0,,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,4.0,4.6,-11.0
Wendell Moore Jr.,moorewe01,2024,10,39.0,41.0,2024-01-18,,,MEM,"W, 118-103",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
