player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Daishen Nix,nixda01,2024,1,82.0,3.0,2023-10-30,,,ATL,"L, 113-127",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Daishen Nix,nixda01,2024,2,83.0,5.0,2023-11-04,,,UTA,"W, 123-95",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.7,6.0
Daishen Nix,nixda01,2024,3,84.0,7.0,2023-11-08,,,NOP,"W, 122-101",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0
Daishen Nix,nixda01,2024,4,85.0,16.0,2023-11-26,,,MEM,"W, 119-97",,,1.0,2.0,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.75,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0
Daishen Nix,nixda01,2024,5,86.0,18.0,2023-11-30,,,UTA,"W, 101-90",,,1.0,5.0,0.2,1.0,4.0,0.25,0.0,1.0,0.0,0.3,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.2,6.0
Daishen Nix,nixda01,2024,6,87.0,22.0,2023-12-11,,,NOP,"L, 107-121",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,1.0
Daishen Nix,nixda01,2024,7,88.0,52.0,2024-02-08,,,MIL,"W, 129-105",,,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,,0.5,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0
Daishen Nix,nixda01,2024,8,89.0,53.0,2024-02-12,,,LAC,"W, 121-100",,,2.0,3.0,0.667,1.0,1.0,1.0,1.0,2.0,0.5,0.833,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.7,4.0
Daishen Nix,nixda01,2024,9,90.0,54.0,2024-02-13,,,POR,"W, 121-109",,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,1.0,2.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,-1.1,-7.0
Daishen Nix,nixda01,2024,10,91.0,55.0,2024-02-15,,,POR,"W, 128-91",,,2.0,3.0,0.667,1.0,2.0,0.5,1.0,1.0,1.0,0.833,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,4.3,6.0
Daishen Nix,nixda01,2024,11,92.0,65.0,2024-03-10,,,LAL,"L, 109-120",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,2.0
Daishen Nix,nixda01,2024,12,93.0,66.0,2024-03-12,,,LAC,"W, 118-100",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.3,-2.0
Daishen Nix,nixda01,2024,13,94.0,76.0,2024-04-03,,,TOR,"W, 133-85",,,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,7.0
Daishen Nix,nixda01,2024,14,95.0,79.0,2024-04-09,,,WAS,"W, 130-121",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.7,-6.0
Daishen Nix,nixda01,2024,15,96.0,80.0,2024-04-10,,,DEN,"L, 107-116",,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.5,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,5.0,4.7,7.0
