player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Julian Phillips,phillju01,2024,1,1.0,1.0,2023-10-25,,,OKC,"L, 104-124",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Julian Phillips,phillju01,2024,2,2.0,3.0,2023-10-28,,,DET,"L, 102-118",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Julian Phillips,phillju01,2024,3,3.0,7.0,2023-11-04,,,DEN,"L, 101-123",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
Julian Phillips,phillju01,2024,4,4.0,8.0,2023-11-06,,,UTA,"W, 130-113",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-5.0
Julian Phillips,phillju01,2024,5,5.0,12.0,2023-11-15,,,ORL,"L, 94-96",,,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.8,-4.0
Julian Phillips,phillju01,2024,6,6.0,15.0,2023-11-20,,,MIA,"L, 100-118",,,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.9,6.0
Julian Phillips,phillju01,2024,7,7.0,17.0,2023-11-24,,,TOR,"L, 108-121",,,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,-0.2,0.0
Julian Phillips,phillju01,2024,8,8.0,19.0,2023-11-28,,,BOS,"L, 97-124",,,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.5,0.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,-0.5,-2.0
Julian Phillips,phillju01,2024,9,9.0,20.0,2023-11-30,,,MIL,"W, 120-113 (OT)",,,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,2.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.1,14.0
Julian Phillips,phillju01,2024,10,10.0,21.0,2023-12-02,,,NOP,"W, 124-118",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.7,5.0
Julian Phillips,phillju01,2024,11,11.0,22.0,2023-12-06,,,CHO,"W, 111-100",,,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.7,-2.0
Julian Phillips,phillju01,2024,12,12.0,23.0,2023-12-08,,,SAS,"W, 121-112",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.9,-4.0
Julian Phillips,phillju01,2024,13,13.0,24.0,2023-12-11,,,MIL,"L, 129-133 (OT)",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0
Julian Phillips,phillju01,2024,14,14.0,25.0,2023-12-12,,,DEN,"L, 106-114",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,-1.1,3.0
Julian Phillips,phillju01,2024,15,15.0,27.0,2023-12-16,,,MIA,"L, 116-118",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Julian Phillips,phillju01,2024,16,16.0,29.0,2023-12-20,,,LAL,"W, 124-108",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
Julian Phillips,phillju01,2024,17,17.0,30.0,2023-12-21,,,SAS,"W, 114-95",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.1,-5.0
Julian Phillips,phillju01,2024,18,18.0,33.0,2023-12-28,,,IND,"L, 104-120",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
Julian Phillips,phillju01,2024,19,19.0,34.0,2023-12-30,,,PHI,"W, 105-92",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0
Julian Phillips,phillju01,2024,20,20.0,35.0,2024-01-02,,,PHI,"L, 97-110",,,3.0,5.0,0.6,1.0,3.0,0.333,2.0,2.0,1.0,0.7,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,7.0,6.0,10.0
Julian Phillips,phillju01,2024,21,21.0,36.0,2024-01-03,,,NYK,"L, 100-116",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Julian Phillips,phillju01,2024,22,22.0,44.0,2024-01-20,,,MEM,"W, 125-96",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,4.0
Julian Phillips,phillju01,2024,23,23.0,47.0,2024-01-28,,,POR,"W, 104-96",,,4.0,7.0,0.571,1.0,3.0,0.333,3.0,4.0,0.75,0.643,2.0,4.0,0.5,1.0,1.0,2.0,1.0,0.0,1.0,0.0,3.0,11.0,8.1,4.0
