player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Dwight Powell,poweldw01,2024,1,588.0,2.0,2023-10-27,,,BRK,"W, 125-120",,,4.0,4.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.125,2.0,2.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,11.0,12.2,-6.0
Dwight Powell,poweldw01,2024,2,589.0,3.0,2023-10-30,,,MEM,"W, 125-110",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,2.0,3.0,5.0,0.0,0.0,4.0,1.0,1.0,0.0,3.7,10.0
Dwight Powell,poweldw01,2024,3,590.0,4.0,2023-11-01,,,CHI,"W, 114-105",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,5.0,6.0,0.833,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,5.6,-5.0
Dwight Powell,poweldw01,2024,4,591.0,5.0,2023-11-03,,,DEN,"L, 114-125",,,2.0,5.0,0.4,0.0,0.0,,2.0,5.0,0.4,0.4,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,6.0,3.9,-2.0
Dwight Powell,poweldw01,2024,5,592.0,6.0,2023-11-05,,,CHO,"W, 124-118",,,3.0,3.0,1.0,0.0,0.0,,3.0,3.0,1.0,1.0,4.0,6.0,0.667,5.0,0.0,5.0,3.0,0.0,0.0,0.0,2.0,10.0,13.1,2.0
Dwight Powell,poweldw01,2024,6,593.0,7.0,2023-11-06,,,ORL,"W, 117-102",,,2.0,2.0,1.0,0.0,0.0,,2.0,2.0,1.0,1.0,3.0,5.0,0.6,0.0,2.0,2.0,2.0,1.0,2.0,0.0,3.0,7.0,8.8,14.0
Dwight Powell,poweldw01,2024,7,594.0,8.0,2023-11-08,,,TOR,"L, 116-127",*,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,3.0,5.0,0.6,0.0,6.0,6.0,0.0,0.0,1.0,0.0,2.0,5.0,5.6,-10.0
Dwight Powell,poweldw01,2024,8,595.0,9.0,2023-11-10,,,LAC,"W, 144-126",,,2.0,3.0,0.667,0.0,0.0,,2.0,3.0,0.667,0.667,5.0,5.0,1.0,4.0,1.0,5.0,4.0,1.0,0.0,1.0,3.0,9.0,12.4,3.0
Dwight Powell,poweldw01,2024,9,596.0,10.0,2023-11-12,,,NOP,"W, 136-124",,,3.0,4.0,0.75,0.0,0.0,,3.0,4.0,0.75,0.75,1.0,2.0,0.5,3.0,7.0,10.0,2.0,1.0,0.0,0.0,4.0,7.0,10.0,7.0
Dwight Powell,poweldw01,2024,10,597.0,11.0,2023-11-14,,,NOP,"L, 110-131",,,2.0,4.0,0.5,0.0,0.0,,2.0,4.0,0.5,0.5,0.0,0.0,,3.0,4.0,7.0,1.0,0.0,1.0,1.0,1.0,4.0,5.3,-16.0
Dwight Powell,poweldw01,2024,11,598.0,12.0,2023-11-15,,,WAS,"W, 130-117",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0
Dwight Powell,poweldw01,2024,12,599.0,13.0,2023-11-18,,,MIL,"L, 125-132",,,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,1.0,1.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,3.0,3.0,2.4,-6.0
Dwight Powell,poweldw01,2024,13,600.0,14.0,2023-11-19,,,SAC,"L, 113-129",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,-0.4,-5.0
Dwight Powell,poweldw01,2024,14,601.0,15.0,2023-11-22,,,LAL,"W, 104-101",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,-1.1,-3.0
Dwight Powell,poweldw01,2024,15,602.0,16.0,2023-11-25,,,LAC,"L, 88-107",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,2.0,2.0,1.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,2.0,2.0,3.9,-17.0
Dwight Powell,poweldw01,2024,16,603.0,17.0,2023-11-28,,,HOU,"W, 121-115",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
Dwight Powell,poweldw01,2024,17,604.0,19.0,2023-12-02,,,OKC,"L, 120-126",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.6,-9.0
Dwight Powell,poweldw01,2024,18,605.0,20.0,2023-12-06,,,UTA,"W, 147-97",,,2.0,2.0,1.0,0.0,0.0,,2.0,2.0,1.0,1.0,0.0,0.0,,1.0,3.0,4.0,3.0,1.0,0.0,0.0,1.0,4.0,7.7,20.0
Dwight Powell,poweldw01,2024,19,606.0,21.0,2023-12-08,,,POR,"W, 125-112",,,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,2.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,0.0,1.0,5.0,4.0,6.1,6.0
Dwight Powell,poweldw01,2024,20,607.0,22.0,2023-12-11,,,MEM,"W, 120-113",,,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,,1.0,1.0,2.0,2.0,0.0,0.0,1.0,3.0,2.0,1.2,4.0
Dwight Powell,poweldw01,2024,21,608.0,24.0,2023-12-14,,,MIN,"L, 101-119",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,4.0,4.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,4.0,4.8,4.0
Dwight Powell,poweldw01,2024,22,609.0,25.0,2023-12-16,,,POR,"W, 131-120",,,2.0,3.0,0.667,0.0,0.0,,2.0,3.0,0.667,0.667,2.0,3.0,0.667,4.0,1.0,5.0,0.0,0.0,1.0,0.0,2.0,6.0,7.3,7.0
Dwight Powell,poweldw01,2024,23,610.0,26.0,2023-12-18,,,DEN,"L, 104-130",*,,4.0,6.0,0.667,0.0,0.0,,4.0,6.0,0.667,0.667,0.0,0.0,,6.0,2.0,8.0,0.0,0.0,0.0,1.0,4.0,8.0,7.6,-17.0
Dwight Powell,poweldw01,2024,24,611.0,27.0,2023-12-20,,,LAC,"L, 111-120",*,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,2.9,-17.0
Dwight Powell,poweldw01,2024,25,612.0,28.0,2023-12-22,,,HOU,"L, 96-122",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,-1.0
Dwight Powell,poweldw01,2024,26,613.0,29.0,2023-12-23,,,SAS,"W, 144-119",,,5.0,5.0,1.0,0.0,0.0,,5.0,5.0,1.0,1.0,4.0,4.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,0.0,4.0,14.0,15.3,30.0
Dwight Powell,poweldw01,2024,27,614.0,30.0,2023-12-25,,,PHO,"W, 128-114",,,2.0,2.0,1.0,0.0,0.0,,2.0,2.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,4.0,4.7,-6.0
Dwight Powell,poweldw01,2024,28,615.0,31.0,2023-12-27,,,CLE,"L, 110-113",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.3,5.0
Dwight Powell,poweldw01,2024,29,616.0,32.0,2023-12-28,,,MIN,"L, 110-118",,,6.0,8.0,0.75,0.0,0.0,,6.0,8.0,0.75,0.75,0.0,0.0,,7.0,7.0,14.0,6.0,2.0,1.0,1.0,3.0,12.0,20.5,15.0
Dwight Powell,poweldw01,2024,30,617.0,33.0,2023-12-30,,,GSW,"W, 132-122",,,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,,2.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,2.3,-2.0
Dwight Powell,poweldw01,2024,31,618.0,34.0,2024-01-01,,,UTA,"L, 90-127",,,2.0,3.0,0.667,0.0,0.0,,2.0,3.0,0.667,0.667,0.0,0.0,,2.0,2.0,4.0,1.0,2.0,0.0,0.0,1.0,4.0,7.0,-13.0
Dwight Powell,poweldw01,2024,32,619.0,35.0,2024-01-03,,,POR,"W, 126-97",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,3.0,6.0,0.5,1.0,2.0,3.0,2.0,0.0,0.0,1.0,2.0,5.0,4.4,6.0
Dwight Powell,poweldw01,2024,33,620.0,36.0,2024-01-05,,,POR,"W, 139-103",*,,2.0,4.0,0.5,0.0,0.0,,2.0,4.0,0.5,0.5,2.0,4.0,0.5,2.0,7.0,9.0,3.0,1.0,1.0,2.0,0.0,6.0,8.5,32.0
Dwight Powell,poweldw01,2024,34,621.0,37.0,2024-01-07,,,MIN,"W, 115-108",*,,3.0,5.0,0.6,0.0,0.0,,3.0,5.0,0.6,0.6,3.0,5.0,0.6,5.0,1.0,6.0,4.0,1.0,0.0,0.0,4.0,9.0,11.9,14.0
Dwight Powell,poweldw01,2024,35,622.0,38.0,2024-01-09,,,MEM,"L, 103-120",*,,2.0,3.0,0.667,0.0,0.0,,2.0,3.0,0.667,0.667,0.0,0.0,,1.0,3.0,4.0,3.0,2.0,1.0,2.0,3.0,4.0,5.9,9.0
Dwight Powell,poweldw01,2024,36,623.0,39.0,2024-01-11,,,NYK,"W, 128-124",*,,2.0,3.0,0.667,0.0,0.0,,2.0,3.0,0.667,0.667,0.0,0.0,,5.0,4.0,9.0,2.0,1.0,0.0,0.0,5.0,4.0,7.8,2.0
Dwight Powell,poweldw01,2024,37,624.0,40.0,2024-01-13,,,NOP,"L, 108-118",*,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,2.0,2.0,1.0,5.0,4.0,9.0,8.0,3.0,0.0,1.0,5.0,2.0,11.6,6.0
Dwight Powell,poweldw01,2024,38,625.0,41.0,2024-01-15,,,NOP,"W, 125-120",,,2.0,2.0,1.0,0.0,0.0,,2.0,2.0,1.0,1.0,0.0,0.0,,3.0,1.0,4.0,2.0,0.0,2.0,0.0,5.0,4.0,6.6,6.0
Dwight Powell,poweldw01,2024,39,626.0,42.0,2024-01-17,,,LAL,"L, 110-127",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,1.0,2.0,0.5,2.0,2.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,1.2,6.0
