player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Immanuel Quickley,quickim01,2024,1,224.0,1.0,2023-10-25,,,BOS,"L, 104-108",,,7.0,11.0,0.636,5.0,7.0,0.714,2.0,4.0,0.5,0.864,5.0,6.0,0.833,2.0,4.0,6.0,4.0,1.0,0.0,2.0,3.0,24.0,21.9,-3.0
Immanuel Quickley,quickim01,2024,2,225.0,2.0,2023-10-27,,,ATL,"W, 126-120",,,4.0,14.0,0.286,1.0,9.0,0.111,3.0,5.0,0.6,0.321,2.0,2.0,1.0,0.0,6.0,6.0,6.0,1.0,0.0,4.0,2.0,11.0,5.0,-3.0
Immanuel Quickley,quickim01,2024,3,226.0,3.0,2023-10-28,,,NOP,"L, 87-96",,,4.0,9.0,0.444,0.0,3.0,0.0,4.0,6.0,0.667,0.444,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,3.0,10.0,3.1,-12.0
Immanuel Quickley,quickim01,2024,4,227.0,4.0,2023-10-31,,,CLE,"W, 109-91",,,6.0,11.0,0.545,3.0,6.0,0.5,3.0,5.0,0.6,0.682,3.0,3.0,1.0,0.0,3.0,3.0,2.0,0.0,0.0,3.0,0.0,18.0,12.0,9.0
Immanuel Quickley,quickim01,2024,5,228.0,5.0,2023-11-01,,,CLE,"L, 89-95",,,7.0,16.0,0.438,0.0,3.0,0.0,7.0,13.0,0.538,0.438,4.0,6.0,0.667,2.0,4.0,6.0,4.0,1.0,0.0,0.0,0.0,18.0,15.2,-1.0
Immanuel Quickley,quickim01,2024,6,229.0,6.0,2023-11-03,,,MIL,"L, 105-110",,,5.0,10.0,0.5,1.0,3.0,0.333,4.0,7.0,0.571,0.55,3.0,3.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0,1.0,14.0,9.2,-1.0
Immanuel Quickley,quickim01,2024,7,230.0,7.0,2023-11-06,,,LAC,"W, 111-97",,,3.0,5.0,0.6,1.0,3.0,0.333,2.0,2.0,1.0,0.7,0.0,0.0,,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,7.0,8.5,22.0
Immanuel Quickley,quickim01,2024,8,231.0,8.0,2023-11-08,,,SAS,"W, 126-105",,,8.0,17.0,0.471,3.0,9.0,0.333,5.0,8.0,0.625,0.559,0.0,0.0,,0.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,19.0,14.4,-3.0
Immanuel Quickley,quickim01,2024,9,232.0,9.0,2023-11-12,,,CHO,"W, 129-107",,,5.0,9.0,0.556,4.0,6.0,0.667,1.0,3.0,0.333,0.778,3.0,3.0,1.0,0.0,5.0,5.0,9.0,0.0,0.0,1.0,1.0,17.0,19.1,22.0
Immanuel Quickley,quickim01,2024,10,233.0,10.0,2023-11-13,,,BOS,"L, 98-114",,,1.0,10.0,0.1,1.0,2.0,0.5,0.0,8.0,0.0,0.15,4.0,4.0,1.0,0.0,6.0,6.0,1.0,1.0,0.0,0.0,3.0,7.0,2.7,-12.0
Immanuel Quickley,quickim01,2024,11,234.0,11.0,2023-11-15,,,ATL,"W, 116-114",,,6.0,11.0,0.545,3.0,5.0,0.6,3.0,6.0,0.5,0.682,5.0,6.0,0.833,0.0,0.0,0.0,4.0,1.0,0.0,2.0,3.0,20.0,14.9,-12.0
Immanuel Quickley,quickim01,2024,12,235.0,12.0,2023-11-17,,,WAS,"W, 120-99",,,10.0,18.0,0.556,3.0,7.0,0.429,7.0,11.0,0.636,0.639,4.0,5.0,0.8,0.0,6.0,6.0,4.0,1.0,0.0,1.0,5.0,27.0,20.6,11.0
Immanuel Quickley,quickim01,2024,13,236.0,13.0,2023-11-18,,,CHO,"W, 122-108",,,4.0,11.0,0.364,0.0,5.0,0.0,4.0,6.0,0.667,0.364,1.0,1.0,1.0,0.0,4.0,4.0,1.0,0.0,0.0,1.0,3.0,9.0,2.6,-1.0
Immanuel Quickley,quickim01,2024,14,237.0,14.0,2023-11-20,,,MIN,"L, 100-117",,,4.0,14.0,0.286,1.0,7.0,0.143,3.0,7.0,0.429,0.321,6.0,6.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,15.0,5.9,-6.0
Immanuel Quickley,quickim01,2024,15,238.0,15.0,2023-11-24,,,MIA,"W, 100-98",,,8.0,17.0,0.471,4.0,8.0,0.5,4.0,9.0,0.444,0.588,0.0,0.0,,0.0,4.0,4.0,2.0,0.0,1.0,2.0,1.0,20.0,12.2,22.0
Immanuel Quickley,quickim01,2024,16,239.0,16.0,2023-11-26,,,PHO,"L, 113-116",,,4.0,10.0,0.4,3.0,5.0,0.6,1.0,5.0,0.2,0.55,7.0,8.0,0.875,0.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,18.0,14.8,5.0
Immanuel Quickley,quickim01,2024,17,240.0,17.0,2023-11-28,,,CHO,"W, 115-91",,,9.0,20.0,0.45,4.0,10.0,0.4,5.0,10.0,0.5,0.55,1.0,1.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0,1.0,23.0,12.8,21.0
Immanuel Quickley,quickim01,2024,18,241.0,18.0,2023-11-30,,,DET,"W, 118-112",,,2.0,10.0,0.2,1.0,5.0,0.2,1.0,5.0,0.2,0.25,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,5.0,-0.5,3.0
Immanuel Quickley,quickim01,2024,19,242.0,19.0,2023-12-01,,,TOR,"W, 119-106",,,3.0,6.0,0.5,1.0,3.0,0.333,2.0,3.0,0.667,0.583,3.0,4.0,0.75,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,10.0,7.6,16.0
Immanuel Quickley,quickim01,2024,20,243.0,20.0,2023-12-05,,,MIL,"L, 122-146",,,1.0,7.0,0.143,1.0,4.0,0.25,0.0,3.0,0.0,0.214,4.0,4.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,7.0,3.9,-10.0
Immanuel Quickley,quickim01,2024,21,244.0,21.0,2023-12-08,,,BOS,"L, 123-133",,,4.0,10.0,0.4,3.0,8.0,0.375,1.0,2.0,0.5,0.55,6.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,17.0,11.5,15.0
Immanuel Quickley,quickim01,2024,22,245.0,23.0,2023-12-13,,,UTA,"L, 113-117",,,6.0,8.0,0.75,3.0,4.0,0.75,3.0,4.0,0.75,0.938,0.0,0.0,,1.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0,15.0,14.1,-13.0
Immanuel Quickley,quickim01,2024,23,246.0,24.0,2023-12-15,,,PHO,"W, 139-122",,,3.0,8.0,0.375,1.0,3.0,0.333,2.0,5.0,0.4,0.438,3.0,4.0,0.75,0.0,5.0,5.0,3.0,2.0,0.0,1.0,2.0,10.0,9.0,28.0
Immanuel Quickley,quickim01,2024,24,247.0,25.0,2023-12-16,,,LAC,"L, 122-144",,,3.0,8.0,0.375,0.0,3.0,0.0,3.0,5.0,0.6,0.375,3.0,4.0,0.75,0.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,9.0,7.5,3.0
