player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Duncan Robinson,robindu01,2024,1,282.0,1.0,2023-10-25,,,DET,"W, 103-102",,,6.0,10.0,0.6,3.0,5.0,0.6,3.0,5.0,0.6,0.75,0.0,0.0,,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,15.0,11.7,-3.0
Duncan Robinson,robindu01,2024,2,283.0,2.0,2023-10-27,,,BOS,"L, 111-119",,,3.0,7.0,0.429,3.0,6.0,0.5,0.0,1.0,0.0,0.643,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,9.0,4.8,-12.0
Duncan Robinson,robindu01,2024,3,284.0,3.0,2023-10-28,,,MIN,"L, 90-106",,,3.0,12.0,0.25,2.0,10.0,0.2,1.0,2.0,0.5,0.333,0.0,0.0,,1.0,2.0,3.0,1.0,1.0,0.0,1.0,1.0,8.0,2.4,-18.0
Duncan Robinson,robindu01,2024,4,285.0,4.0,2023-10-30,,,MIL,"L, 114-122",,,6.0,10.0,0.6,3.0,7.0,0.429,3.0,3.0,1.0,0.75,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,15.0,9.8,-1.0
Duncan Robinson,robindu01,2024,5,286.0,5.0,2023-11-01,,,BRK,"L, 105-109",,,2.0,8.0,0.25,1.0,6.0,0.167,1.0,2.0,0.5,0.313,0.0,0.0,,0.0,3.0,3.0,2.0,0.0,0.0,1.0,4.0,5.0,-0.1,-4.0
Duncan Robinson,robindu01,2024,6,287.0,6.0,2023-11-03,,,WAS,"W, 121-114",,,7.0,11.0,0.636,4.0,8.0,0.5,3.0,3.0,1.0,0.818,0.0,0.0,,0.0,1.0,1.0,6.0,1.0,0.0,2.0,0.0,18.0,16.6,2.0
Duncan Robinson,robindu01,2024,7,288.0,7.0,2023-11-06,,,LAL,"W, 108-107",,,5.0,11.0,0.455,2.0,6.0,0.333,3.0,5.0,0.6,0.545,0.0,0.0,,0.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,12.0,8.9,8.0
Duncan Robinson,robindu01,2024,8,289.0,8.0,2023-11-08,,,MEM,"W, 108-102",,,3.0,7.0,0.429,2.0,5.0,0.4,1.0,2.0,0.5,0.571,1.0,2.0,0.5,0.0,3.0,3.0,2.0,0.0,0.0,5.0,3.0,9.0,1.0,2.0
Duncan Robinson,robindu01,2024,9,290.0,9.0,2023-11-11,,,ATL,"W, 117-109",*,,5.0,15.0,0.333,1.0,10.0,0.1,4.0,5.0,0.8,0.367,0.0,0.0,,0.0,3.0,3.0,2.0,1.0,0.0,1.0,3.0,11.0,3.6,-1.0
Duncan Robinson,robindu01,2024,10,291.0,10.0,2023-11-12,,,SAS,"W, 118-113",*,,8.0,16.0,0.5,4.0,7.0,0.571,4.0,9.0,0.444,0.625,6.0,6.0,1.0,1.0,4.0,5.0,4.0,0.0,1.0,0.0,1.0,26.0,23.0,22.0
Duncan Robinson,robindu01,2024,11,292.0,11.0,2023-11-14,,,CHO,"W, 111-105",*,,6.0,13.0,0.462,4.0,10.0,0.4,2.0,3.0,0.667,0.615,2.0,2.0,1.0,0.0,8.0,8.0,5.0,1.0,1.0,1.0,2.0,18.0,17.1,1.0
Duncan Robinson,robindu01,2024,12,293.0,12.0,2023-11-16,,,BRK,"W, 122-115",*,,8.0,14.0,0.571,6.0,10.0,0.6,2.0,4.0,0.5,0.786,4.0,4.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,26.0,19.6,2.0
Duncan Robinson,robindu01,2024,13,294.0,13.0,2023-11-18,,,CHI,"L, 97-102",*,,5.0,9.0,0.556,4.0,5.0,0.8,1.0,4.0,0.25,0.778,3.0,4.0,0.75,0.0,3.0,3.0,7.0,0.0,0.0,1.0,2.0,17.0,16.3,4.0
Duncan Robinson,robindu01,2024,14,295.0,14.0,2023-11-20,,,CHI,"W, 118-100",*,,7.0,11.0,0.636,6.0,9.0,0.667,1.0,2.0,0.5,0.909,2.0,2.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,22.0,17.9,7.0
Duncan Robinson,robindu01,2024,15,296.0,15.0,2023-11-22,,,CLE,"W, 129-96",*,,3.0,7.0,0.429,1.0,3.0,0.333,2.0,4.0,0.5,0.5,0.0,0.0,,0.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0,7.0,4.8,32.0
Duncan Robinson,robindu01,2024,16,297.0,18.0,2023-11-28,,,MIL,"L, 124-131",*,,5.0,11.0,0.455,3.0,7.0,0.429,2.0,4.0,0.5,0.591,0.0,2.0,0.0,0.0,3.0,3.0,3.0,0.0,1.0,2.0,3.0,13.0,7.0,-14.0
Duncan Robinson,robindu01,2024,17,298.0,19.0,2023-11-30,,,IND,"W, 142-132",*,,5.0,9.0,0.556,4.0,6.0,0.667,1.0,3.0,0.333,0.778,2.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,3.0,16.0,12.2,9.0
