player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Mitchell Robinson,robinmi01,2024,1,290.0,1.0,2023-10-25,,,BOS,"L, 104-108",*,,1.0,4.0,0.25,0.0,0.0,1.0,4.0,0.25,0.25,0.0,2.0,0.0,3.0,3.0,6.0,1.0,2.0,0.0,1.0,4.0,2.0,1.9,1.0
Mitchell Robinson,robinmi01,2024,2,291.0,2.0,2023-10-27,,,ATL,"W, 126-120",*,,2.0,6.0,0.333,0.0,0.0,2.0,6.0,0.333,0.333,3.0,4.0,0.75,6.0,7.0,13.0,1.0,4.0,4.0,0.0,1.0,7.0,16.6,11.0
Mitchell Robinson,robinmi01,2024,3,292.0,3.0,2023-10-28,,,NOP,"L, 87-96",*,,4.0,8.0,0.5,0.0,0.0,4.0,8.0,0.5,0.5,0.0,0.0,,10.0,5.0,15.0,0.0,1.0,2.0,0.0,1.0,8.0,14.5,-11.0
Mitchell Robinson,robinmi01,2024,4,293.0,4.0,2023-10-31,,,CLE,"W, 109-91",*,,4.0,4.0,1.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,,3.0,4.0,7.0,0.0,1.0,0.0,1.0,0.0,8.0,10.1,6.0
Mitchell Robinson,robinmi01,2024,5,294.0,5.0,2023-11-01,,,CLE,"L, 89-95",*,,1.0,3.0,0.333,0.0,0.0,1.0,3.0,0.333,0.333,4.0,8.0,0.5,8.0,8.0,16.0,0.0,0.0,2.0,1.0,3.0,6.0,9.9,-1.0
Mitchell Robinson,robinmi01,2024,6,295.0,6.0,2023-11-03,,,MIL,"L, 105-110",*,,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,6.0,9.0,15.0,1.0,0.0,0.0,0.0,4.0,0.0,3.2,-4.0
Mitchell Robinson,robinmi01,2024,7,296.0,7.0,2023-11-06,,,LAC,"W, 111-97",*,,6.0,10.0,0.6,0.0,0.0,6.0,10.0,0.6,0.6,1.0,1.0,1.0,9.0,6.0,15.0,0.0,4.0,0.0,0.0,2.0,13.0,19.7,4.0
Mitchell Robinson,robinmi01,2024,8,297.0,8.0,2023-11-08,,,SAS,"W, 126-105",*,,3.0,4.0,0.75,0.0,0.0,3.0,4.0,0.75,0.75,2.0,6.0,0.333,5.0,7.0,12.0,1.0,0.0,0.0,0.0,3.0,8.0,9.9,30.0
Mitchell Robinson,robinmi01,2024,9,298.0,9.0,2023-11-12,,,CHO,"W, 129-107",*,,5.0,7.0,0.714,0.0,0.0,5.0,7.0,0.714,0.714,0.0,2.0,0.0,5.0,4.0,9.0,0.0,1.0,0.0,0.0,2.0,10.0,11.2,4.0
Mitchell Robinson,robinmi01,2024,10,299.0,10.0,2023-11-13,,,BOS,"L, 98-114",*,,2.0,2.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,3.0,3.0,6.0,1.0,1.0,2.0,1.0,2.0,4.0,6.9,-14.0
Mitchell Robinson,robinmi01,2024,11,300.0,11.0,2023-11-15,,,ATL,"W, 116-114",*,,3.0,3.0,1.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,,6.0,9.0,15.0,0.0,3.0,1.0,1.0,0.0,6.0,14.7,8.0
Mitchell Robinson,robinmi01,2024,12,301.0,12.0,2023-11-17,,,WAS,"W, 120-99",*,,3.0,4.0,0.75,0.0,0.0,3.0,4.0,0.75,0.75,0.0,1.0,0.0,3.0,5.0,8.0,1.0,0.0,1.0,0.0,1.0,6.0,8.6,16.0
Mitchell Robinson,robinmi01,2024,13,302.0,13.0,2023-11-18,,,CHO,"W, 122-108",*,,2.0,5.0,0.4,0.0,0.0,2.0,5.0,0.4,0.4,0.0,0.0,,11.0,3.0,14.0,1.0,0.0,3.0,3.0,0.0,4.0,9.7,9.0
Mitchell Robinson,robinmi01,2024,14,303.0,14.0,2023-11-20,,,MIN,"L, 100-117",*,,5.0,7.0,0.714,0.0,0.0,5.0,7.0,0.714,0.714,0.0,0.0,,7.0,4.0,11.0,0.0,2.0,2.0,2.0,3.0,10.0,13.4,-11.0
Mitchell Robinson,robinmi01,2024,15,304.0,15.0,2023-11-24,,,MIA,"W, 100-98",*,,2.0,4.0,0.5,0.0,0.0,2.0,4.0,0.5,0.5,1.0,4.0,0.25,3.0,4.0,7.0,0.0,2.0,0.0,0.0,2.0,5.0,6.3,-17.0
Mitchell Robinson,robinmi01,2024,16,305.0,16.0,2023-11-26,,,PHO,"L, 113-116",*,,1.0,2.0,0.5,0.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,0.25,5.0,6.0,11.0,1.0,1.0,1.0,1.0,2.0,3.0,6.7,-1.0
Mitchell Robinson,robinmi01,2024,17,306.0,17.0,2023-11-28,,,CHO,"W, 115-91",*,,3.0,6.0,0.5,0.0,0.0,3.0,6.0,0.5,0.5,0.0,0.0,,5.0,5.0,10.0,0.0,2.0,6.0,4.0,1.0,6.0,9.8,18.0
Mitchell Robinson,robinmi01,2024,18,307.0,18.0,2023-11-30,,,DET,"W, 118-112",*,,2.0,4.0,0.5,0.0,0.0,2.0,4.0,0.5,0.5,2.0,2.0,1.0,6.0,3.0,9.0,1.0,1.0,1.0,1.0,2.0,6.0,9.7,8.0
Mitchell Robinson,robinmi01,2024,19,308.0,19.0,2023-12-01,,,TOR,"W, 119-106",*,,3.0,3.0,1.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,,2.0,3.0,5.0,1.0,4.0,1.0,2.0,3.0,6.0,9.6,6.0
Mitchell Robinson,robinmi01,2024,20,309.0,20.0,2023-12-05,,,MIL,"L, 122-146",*,,1.0,2.0,0.5,0.0,0.0,1.0,2.0,0.5,0.5,0.0,0.0,,1.0,3.0,4.0,3.0,2.0,1.0,2.0,2.0,2.0,4.6,-10.0
Mitchell Robinson,robinmi01,2024,21,310.0,21.0,2023-12-08,,,BOS,"L, 123-133",*,,5.0,6.0,0.833,0.0,0.0,5.0,6.0,0.833,0.833,0.0,2.0,0.0,5.0,3.0,8.0,2.0,1.0,0.0,1.0,2.0,10.0,12.0,-19.0
Mitchell Robinson,robinmi01,2024,22,311.0,72.0,2024-03-27,,,TOR,"W, 145-101",,,3.0,3.0,1.0,0.0,0.0,3.0,3.0,1.0,1.0,2.0,4.0,0.5,1.0,1.0,2.0,0.0,0.0,2.0,3.0,2.0,8.0,4.9,14.0
Mitchell Robinson,robinmi01,2024,23,312.0,73.0,2024-03-29,,,SAS,"L, 126-130 (OT)",,,3.0,9.0,0.333,0.0,0.0,3.0,9.0,0.333,0.333,1.0,2.0,0.5,7.0,5.0,12.0,0.0,0.0,0.0,1.0,1.0,7.0,6.5,-10.0
Mitchell Robinson,robinmi01,2024,24,313.0,75.0,2024-04-02,,,MIA,"L, 99-109",,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,-0.6,-6.0
Mitchell Robinson,robinmi01,2024,25,314.0,76.0,2024-04-04,,,SAC,"W, 120-109",,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,6.0,0.333,5.0,2.0,7.0,2.0,0.0,1.0,0.0,0.0,2.0,5.9,-5.0
Mitchell Robinson,robinmi01,2024,26,315.0,77.0,2024-04-05,,,CHI,"L, 100-108",,,2.0,4.0,0.5,0.0,0.0,2.0,4.0,0.5,0.5,1.0,3.0,0.333,3.0,2.0,5.0,1.0,1.0,0.0,0.0,1.0,5.0,6.2,-11.0
Mitchell Robinson,robinmi01,2024,27,316.0,78.0,2024-04-07,,,MIL,"W, 122-109",,,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.5,3.0,3.0,6.0,0.0,0.0,3.0,0.0,4.0,1.0,2.7,6.0
Mitchell Robinson,robinmi01,2024,28,317.0,79.0,2024-04-09,,,CHI,"W, 128-117",,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.9,2.0
Mitchell Robinson,robinmi01,2024,29,318.0,80.0,2024-04-11,,,BOS,"W, 118-109",,,2.0,3.0,0.667,0.0,0.0,2.0,3.0,0.667,0.667,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,5.0,7.1,7.0
Mitchell Robinson,robinmi01,2024,30,319.0,81.0,2024-04-12,,,BRK,"W, 111-107",,,5.0,6.0,0.833,0.0,0.0,5.0,6.0,0.833,0.833,5.0,8.0,0.625,6.0,2.0,8.0,0.0,0.0,2.0,0.0,3.0,15.0,16.6,-9.0
